Dates,CHTR
2018-06-20,1560700.0
2018-06-21,844900.0
2018-06-25,1462700.0
2018-06-22,1663400.0
2018-06-26,1028100.0
2018-06-27,956900.0
2018-06-28,991700.0
2018-06-29,1398100.0
2018-07-02,909600.0
2018-07-03,664300.0
2018-07-05,1085000.0
2018-07-16,1119300.0
2018-09-18,900100.0
2019-01-24,1102400.0
2019-09-05,819600.0
2018-11-21,797800.0
2020-01-13,669800.0
2020-04-01,710100.0
2020-06-19,616400.0
2019-10-29,2007700.0
2020-01-16,1436800.0
2020-06-22,1093600.0
2018-10-03,967900.0
2018-07-31,1207800.0
2019-03-12,1760300.0
2019-02-08,1962100.0
2019-01-07,1350600.0
2018-12-06,1083800.0
2019-08-19,2533600.0
2019-07-18,1042200.0
2019-05-15,1064200.0
2019-09-20,1198800.0
2019-11-01,856400.0
2020-04-07,2290700.0
2020-06-25,1101800.0
2020-06-16,1452800.0
2019-11-04,1749700.0
2020-01-22,1326600.0
2019-11-07,1694800.0
2020-04-13,2386100.0
2019-07-01,1408000.0
2019-05-30,1094500.0
2018-08-15,1695500.0
2018-10-18,2454400.0
2019-03-27,1802300.0
2019-01-22,2009000.0
2018-12-21,1172500.0
2019-09-03,1212200.0
2018-11-19,1265000.0
2019-08-02,1081900.0
2020-01-28,1312300.0
2020-04-16,1256100.0
2019-11-13,1980700.0
2020-01-31,1466000.0
2018-12-04,888100.0
2018-11-02,1557400.0
2019-07-16,1257600.0
2018-08-30,1346200.0
2018-10-01,2646800.0
2019-06-14,1566200.0
2019-05-13,705400.0
2019-04-11,1232100.0
2019-02-06,1950000.0
2019-09-18,1809700.0
2020-02-03,1054900.0
2020-04-22,3811900.0
2019-11-19,1616400.0
2020-02-06,1613700.0
2019-11-22,1234800.0
2019-03-25,780200.0
2019-02-21,1037000.0
2018-12-19,1506600.0
2018-07-12,1277300.0
2018-09-14,1716200.0
2018-08-13,1714300.0
2018-10-16,1585800.0
2019-07-31,1231300.0
2019-05-28,760500.0
2019-04-26,1416300.0
2020-04-28,1955400.0
2019-11-25,1664500.0
2020-02-12,1351500.0
2020-05-01,1191600.0
2020-05-04,1115400.0
2019-06-12,1732300.0
2019-04-09,1110200.0
2019-03-08,885000.0
2019-02-04,1070600.0
2018-07-27,1331900.0
2018-08-28,1820400.0
2019-01-03,4569700.0
2019-08-15,1933300.0
2018-10-31,1524500.0
2019-09-16,1973500.0
2020-02-18,1440900.0
2020-05-07,1374900.0
2018-08-17,787100.0
2019-12-04,835700.0
2020-02-21,886500.0
2018-12-17,1075300.0
2019-08-30,756800.0
2018-11-15,866500.0
2019-07-29,835300.0
2019-06-27,948900.0
2019-04-24,1178600.0
2018-07-10,1225500.0
2018-09-12,1488100.0
2019-02-19,2836200.0
2019-01-18,1096500.0
2020-02-24,671400.0
2020-05-13,1240000.0
2019-12-10,690600.0
2020-02-27,1239500.0
2019-12-13,1084700.0
2020-05-19,1784500.0
2019-03-06,1159400.0
2018-11-30,1391800.0
2019-08-13,1311900.0
2019-07-12,1164400.0
2019-06-10,1002000.0
2019-05-09,947400.0
2018-07-25,958500.0
2018-09-27,1063100.0
2018-10-29,959300.0
2019-10-16,1829100.0
2019-12-16,1911800.0
