Dates,CHTR
2018-06-20,288.54998779296875
2018-06-21,291.010009765625
2018-06-25,292.3900146484375
2018-06-22,293.8500061035156
2018-06-26,292.3299865722656
2018-06-27,295.7300109863281
2018-06-28,292.3399963378906
2018-06-29,286.8299865722656
2018-07-02,290.260009765625
2018-07-03,294.3999938964844
2018-07-05,293.44000244140625
2018-07-16,296.7900085449219
2018-09-18,304.6499938964844
2019-01-24,302.6700134277344
2019-09-05,300.760009765625
2018-11-21,299.1199951171875
2020-01-13,302.29998779296875
2020-04-01,301.8599853515625
2020-06-19,300.3999938964844
2019-10-29,298.2099914550781
2020-01-16,290.9100036621094
2020-06-22,286.82000732421875
2018-10-03,285.0899963378906
2018-07-31,281.989990234375
2019-03-12,271.55999755859375
2019-02-08,276.5899963378906
2019-01-07,280.5899963378906
2018-12-06,283.510009765625
2019-08-19,302.20001220703125
2019-07-18,300.3900146484375
2019-05-15,293.9700012207031
2019-09-20,293.739990234375
2019-11-01,299.8399963378906
2020-04-07,293.57000732421875
2020-06-25,296.239990234375
2020-06-16,298.9700012207031
2019-11-04,302.05999755859375
2020-01-22,299.7200012207031
2019-11-07,301.239990234375
2020-04-13,294.7799987792969
2019-07-01,296.5400085449219
2019-05-30,298.92999267578125
2018-08-15,294.8399963378906
2018-10-18,295.0
2019-03-27,297.5799865722656
2019-01-22,292.7099914550781
2018-12-21,292.92999267578125
2019-09-03,300.7300109863281
2018-11-19,303.8500061035156
2019-08-02,303.8699951171875
2020-01-28,306.2099914550781
2020-04-16,307.5
2019-11-13,306.8699951171875
2020-01-31,305.92999267578125
2018-12-04,303.45001220703125
2018-11-02,303.0899963378906
2019-07-16,306.3800048828125
2018-08-30,309.5400085449219
2018-10-01,304.7699890136719
2019-06-14,314.79998779296875
2019-05-13,316.1099853515625
2019-04-11,316.29998779296875
2019-02-06,319.1700134277344
2019-09-18,328.5899963378906
2020-02-03,329.3800048828125
2020-04-22,329.489990234375
2019-11-19,325.8800048828125
2020-02-06,323.0
2019-11-22,320.8500061035156
2019-03-25,320.3800048828125
2019-02-21,321.3900146484375
2018-12-19,319.45001220703125
2018-07-12,319.5899963378906
2018-09-14,323.05999755859375
2018-08-13,321.1099853515625
2018-10-16,313.32000732421875
2019-07-31,314.6099853515625
2019-05-28,317.1000061035156
2019-04-26,309.32000732421875
2020-04-28,298.6600036621094
2019-11-25,303.3999938964844
2020-02-12,308.5899963378906
2020-05-01,314.2699890136719
2020-05-04,315.0
2019-06-12,314.0400085449219
2019-04-09,316.4700012207031
2019-03-08,318.260009765625
2019-02-04,311.989990234375
2018-07-27,305.17999267578125
2018-08-28,305.42999267578125
2019-01-03,284.3500061035156
2019-08-15,296.04998779296875
2018-10-31,301.8500061035156
2019-09-16,317.239990234375
2020-02-18,317.0
2020-05-07,309.5199890136719
2018-08-17,318.3399963378906
2019-12-04,317.80999755859375
2020-02-21,322.57000732421875
2018-12-17,322.32000732421875
2019-08-30,316.6300048828125
2018-11-15,319.760009765625
2019-07-29,323.4800109863281
2019-06-27,320.19000244140625
2019-04-24,309.9599914550781
2018-07-10,317.1400146484375
2018-09-12,321.57000732421875
2019-02-19,303.6499938964844
2019-01-18,304.7799987792969
2020-02-24,302.4599914550781
2020-05-13,308.7799987792969
2019-12-10,311.510009765625
2020-02-27,316.0
2019-12-13,325.5400085449219
2020-05-19,324.95001220703125
2019-03-06,323.5299987792969
2018-11-30,318.3299865722656
2019-08-13,313.8299865722656
2019-07-12,312.3299865722656
2019-06-10,308.8399963378906
2019-05-09,310.07000732421875
2018-07-25,315.8299865722656
2018-09-27,308.25
2018-10-29,307.510009765625
2019-10-16,307.1199951171875
2019-12-16,302.6199951171875
2020-03-04,296.7300109863281
2020-05-22,289.7099914550781
2019-10-01,282.7300109863281
2019-12-19,273.30999755859375
2018-09-10,272.9100036621094
2019-05-24,274.0799865722656
2018-08-09,274.7099914550781
2019-04-22,280.75
2019-03-21,279.1099853515625
2019-01-16,284.6199951171875
2019-08-28,288.6199951171875
2018-11-13,299.260009765625
2018-10-12,300.1199951171875
2019-06-25,295.5
2020-03-10,291.010009765625
2020-05-28,290.8299865722656
2019-10-07,290.760009765625
2020-03-13,290.5
2019-10-10,290.94000244140625
2020-03-16,290.760009765625
2020-06-03,289.57000732421875
2018-11-28,283.0199890136719
2018-09-25,279.3299865722656
2018-07-23,281.07000732421875
2018-08-24,286.79998779296875
2019-07-10,287.30999755859375
2019-05-07,287.5799865722656
2019-04-05,288.0
2019-03-04,319.29998779296875
2019-01-31,330.9200134277344
2019-09-12,336.3900146484375
2019-12-31,332.7699890136719
2020-03-19,338.9100036621094
2020-01-03,337.7200012207031
2020-06-09,338.8699951171875
2019-02-15,335.7099914550781
2019-01-14,339.1099853515625
2018-07-06,336.3800048828125
2018-08-07,335.2200012207031
2018-10-10,341.9200134277344
2018-12-13,347.010009765625
2019-08-26,347.8599853515625
2019-07-25,343.8500061035156
2019-05-22,348.760009765625
2019-03-19,347.8800048828125
2020-01-06,345.55999755859375
2020-03-25,342.9100036621094
2020-06-12,344.30999755859375
2019-10-22,344.9599914550781
2020-01-09,343.54998779296875
2020-06-15,337.0400085449219
2019-10-25,339.75
2020-03-31,337.010009765625
2020-06-18,335.5299987792969
2019-04-03,336.0400085449219
2018-08-22,339.70001220703125
2018-10-25,342.5199890136719
2019-01-29,346.2200012207031
2018-12-28,350.8500061035156
2018-11-26,355.4700012207031
2019-08-09,357.54998779296875
2019-07-08,358.69000244140625
2019-06-06,360.8500061035156
2019-09-10,360.3800048828125
2020-01-15,355.7699890136719
2020-04-03,354.5899963378906
2019-10-31,354.7699890136719
2020-04-06,352.2200012207031
2020-06-24,345.6700134277344
2018-11-09,343.70001220703125
2019-07-23,344.3599853515625
2019-06-21,343.1499938964844
2019-05-20,343.95001220703125
2019-04-18,344.989990234375
2018-09-06,350.5299987792969
2018-10-08,350.5400085449219
2019-02-13,353.0400085449219
2018-12-11,353.25
2019-09-25,354.0
2020-01-21,355.5199890136719
2020-04-09,356.9700012207031
2019-11-06,358.510009765625
2020-01-24,356.7900085449219
2020-01-27,356.4599914550781
2020-04-15,355.3299865722656
2018-12-26,355.2799987792969
2019-08-07,357.32000732421875
2019-06-04,364.69000244140625
2018-09-21,368.5799865722656
2018-07-19,368.3699951171875
2018-08-20,370.7200012207031
2018-10-23,365.8999938964844
2019-05-03,369.6099853515625
2019-04-01,372.5799865722656
2019-02-28,368.20001220703125
2019-11-12,370.1400146484375
2020-01-30,368.3299865722656
2019-11-15,369.79998779296875
2020-04-21,367.3500061035156
2019-04-16,368.7799987792969
2019-03-15,368.9200134277344
2019-02-11,378.19000244140625
2019-01-10,381.8299865722656
2019-08-22,375.260009765625
2018-11-07,376.4599914550781
2018-08-03,376.82000732421875
2018-09-04,374.0
2019-06-19,374.8900146484375
2019-09-23,375.0799865722656
2019-11-18,372.2300109863281
2020-02-05,375.739990234375
2020-04-24,373.0400085449219
2019-03-29,375.239990234375
2019-11-21,378.510009765625
2020-04-27,382.4100036621094
2020-02-11,384.010009765625
2020-04-30,387.5799865722656
2019-05-01,392.989990234375
2019-02-26,388.6300048828125
2019-01-25,389.94000244140625
2018-12-24,387.8999938964844
2019-09-06,386.6600036621094
2018-07-17,391.29998779296875
2018-09-19,394.6700134277344
2019-08-05,394.3599853515625
2019-10-08,395.8800048828125
2019-12-11,390.6700134277344
2019-11-27,391.010009765625
2020-02-14,385.75
2020-05-06,385.239990234375
2019-01-08,387.1700134277344
2018-12-07,390.3800048828125
2019-08-20,396.0199890136719
2018-11-05,395.29998779296875
2019-07-19,397.67999267578125
2018-10-04,397.3699951171875
2019-06-17,398.1000061035156
2019-05-16,396.69000244140625
2018-08-01,402.70001220703125
2019-03-13,406.989990234375
2019-12-03,409.0199890136719
2020-02-20,411.67999267578125
2019-12-06,412.7799987792969
2020-05-12,412.54998779296875
2019-12-09,409.1400146484375
2020-02-26,409.3800048828125
2020-05-15,405.760009765625
2019-03-28,403.92999267578125
2018-09-17,404.82000732421875
2018-08-16,404.5799865722656
2018-10-19,375.05999755859375
2019-04-29,390.7799987792969
2019-01-23,391.2200012207031
2019-09-04,382.0
2018-11-20,383.9800109863281
2019-07-02,379.75
2019-05-31,376.1499938964844
2019-12-12,377.4800109863281
2020-05-18,371.29998779296875
2019-09-27,370.7799987792969
2020-03-03,376.6000061035156
