Dates,CHTR
2018-06-20,298.510009765625
2018-06-21,296.7300109863281
2018-06-25,302.42999267578125
2018-06-22,301.239990234375
2018-06-26,300.17999267578125
2018-06-27,301.0
2018-06-28,298.79998779296875
2018-06-29,299.07000732421875
2018-07-02,294.94000244140625
2018-07-03,300.0799865722656
2018-07-05,302.0400085449219
2018-07-16,305.1499938964844
2018-09-18,310.57000732421875
2019-01-24,309.4100036621094
2019-09-05,307.7099914550781
2018-11-21,306.3399963378906
2020-01-13,305.9599914550781
2020-04-01,307.05999755859375
2020-06-19,304.7699890136719
2019-10-29,303.1700134277344
2020-01-16,299.9800109863281
2020-06-22,291.55999755859375
2018-10-03,288.8299865722656
2018-07-31,288.8800048828125
2019-03-12,283.1400146484375
2019-02-08,288.989990234375
2019-01-07,291.010009765625
2018-12-06,294.2799987792969
2019-08-19,314.8800048828125
2019-07-18,305.2900085449219
2019-05-15,299.6400146484375
2019-09-20,305.0
2019-11-01,304.79998779296875
2020-04-07,299.8599853515625
2020-06-25,298.92999267578125
2020-06-16,307.5299987792969
2019-11-04,304.95001220703125
2020-01-22,304.6300048828125
2019-11-07,308.69000244140625
2020-04-13,305.92999267578125
2019-07-01,303.95001220703125
2019-05-30,303.7300109863281
2018-08-15,300.7900085449219
2018-10-18,307.67999267578125
2019-03-27,306.1300048828125
2019-01-22,299.1600036621094
2018-12-21,301.8399963378906
2019-09-03,305.8699951171875
2018-11-19,310.0400085449219
2019-08-02,310.2900085449219
2020-01-28,309.42999267578125
2020-04-16,313.1099853515625
2019-11-13,316.6700134277344
2020-01-31,314.6400146484375
2018-12-04,310.5799865722656
2018-11-02,308.510009765625
2019-07-16,310.5199890136719
2018-08-30,314.70001220703125
2018-10-01,313.04998779296875
2019-06-14,324.8900146484375
2019-05-13,320.25
2019-04-11,321.44000244140625
2019-02-06,330.4599914550781
2019-09-18,331.9700012207031
2020-02-03,332.7099914550781
2020-04-22,334.9800109863281
2019-11-19,332.42999267578125
2020-02-06,327.8699951171875
2019-11-22,326.9800109863281
2019-03-25,328.7799987792969
2019-02-21,327.260009765625
2018-12-19,327.989990234375
2018-07-12,326.9599914550781
2018-09-14,329.1400146484375
2018-08-13,326.32000732421875
2018-10-16,326.1600036621094
2019-07-31,321.19000244140625
2019-05-28,325.8900146484375
2019-04-26,324.3800048828125
2020-04-28,311.8900146484375
2019-11-25,310.3800048828125
2020-02-12,317.510009765625
2020-05-01,322.8399963378906
2020-05-04,321.510009765625
2019-06-12,320.4599914550781
2019-04-09,324.55999755859375
2019-03-08,325.0
2019-02-04,319.79998779296875
2018-07-27,321.69000244140625
2018-08-28,318.25
2019-01-03,302.54998779296875
2019-08-15,310.3800048828125
2018-10-31,316.94000244140625
2019-09-16,325.8699951171875
2020-02-18,330.45001220703125
2020-05-07,329.57000732421875
2018-08-17,325.9700012207031
2019-12-04,326.9800109863281
2020-02-21,329.8699951171875
2018-12-17,329.9100036621094
2019-08-30,327.67999267578125
2018-11-15,326.3299865722656
2019-07-29,330.9700012207031
2019-06-27,329.04998779296875
2019-04-24,321.0400085449219
2018-07-10,330.57000732421875
2018-09-12,331.1700134277344
2019-02-19,322.1300048828125
2019-01-18,311.4200134277344
2020-02-24,311.70001220703125
2020-05-13,314.1300048828125
2019-12-10,320.1700134277344
2020-02-27,329.0899963378906
2019-12-13,334.760009765625
2020-05-19,333.239990234375
2019-03-06,334.30999755859375
2018-11-30,330.8599853515625
2019-08-13,326.9700012207031
2019-07-12,326.94000244140625
2019-06-10,316.9100036621094
2019-05-09,321.0199890136719
2018-07-25,323.67999267578125
2018-09-27,321.17999267578125
2018-10-29,313.8999938964844
2019-10-16,311.9599914550781
2019-12-16,313.4100036621094
2020-03-04,311.0299987792969
2020-05-22,298.9200134277344
2019-10-01,296.44000244140625
2019-12-19,284.9800109863281
2018-09-10,285.8500061035156
2019-05-24,284.75
2018-08-09,290.5199890136719
2019-04-22,287.94000244140625
2019-03-21,289.5199890136719
2019-01-16,294.0
2019-08-28,305.1199951171875
2018-11-13,304.1099853515625
2018-10-12,305.7200012207031
2019-06-25,301.94000244140625
2020-03-10,297.1000061035156
2020-05-28,295.0299987792969
2019-10-07,298.20001220703125
2020-03-13,294.1199951171875
2019-10-10,295.8299865722656
2020-03-16,295.6000061035156
