Dates,DHR
2018-06-20,100.2699966430664
2018-06-21,99.19999694824219
2018-06-25,98.76000213623047
2018-06-22,99.08000183105469
2018-06-26,99.08999633789062
2018-06-27,99.51000213623047
2018-06-28,97.97000122070312
2018-06-29,98.83000183105469
2018-07-02,98.18000030517578
2018-07-03,98.66000366210938
2018-07-05,99.08000183105469
2018-07-16,99.0
2018-09-18,99.5999984741211
2019-01-24,99.69999694824219
2019-09-05,99.33000183105469
2018-11-21,99.31999969482422
2020-01-13,99.87000274658203
2020-04-01,99.08000183105469
2020-06-19,98.20999908447266
2019-10-29,99.6500015258789
2020-01-16,106.0
2020-06-22,102.56999969482422
2018-10-03,101.4000015258789
2018-07-31,103.98999786376953
2019-03-12,103.54000091552734
2019-02-08,103.87000274658203
2019-01-07,103.86000061035156
2018-12-06,102.75
2019-08-19,102.31999969482422
2019-07-18,102.5999984741211
2019-05-15,101.69999694824219
2019-09-20,101.45999908447266
2019-11-01,101.04000091552734
2020-04-07,102.45999908447266
2020-06-25,102.13999938964844
2020-06-16,102.16999816894531
2019-11-04,101.41000366210938
2020-01-22,100.2300033569336
2019-11-07,99.95999908447266
2020-04-13,100.19999694824219
2019-07-01,100.5199966430664
2019-05-30,100.61000061035156
2018-08-15,100.79000091552734
2018-10-18,101.08999633789062
2019-03-27,100.54000091552734
2019-01-22,100.7699966430664
2018-12-21,99.94000244140625
2019-09-03,100.54000091552734
2018-11-19,102.69999694824219
2019-08-02,102.80999755859375
2020-01-28,102.95999908447266
2020-04-16,102.94000244140625
2019-11-13,103.66000366210938
2020-01-31,103.4000015258789
2018-12-04,104.01000213623047
2018-11-02,104.48999786376953
2019-07-16,105.0199966430664
2018-08-30,105.16999816894531
2018-10-01,105.55000305175781
2019-06-14,105.93000030517578
2019-05-13,107.43000030517578
2019-04-11,106.6500015258789
2019-02-06,106.23999786376953
2019-09-18,107.0
2020-02-03,108.2300033569336
2020-04-22,108.08999633789062
2019-11-19,108.16000366210938
2020-02-06,107.94999694824219
2019-11-22,108.16999816894531
2019-03-25,108.8499984741211
2019-02-21,108.18000030517578
2018-12-19,109.18000030517578
2018-07-12,109.33999633789062
2018-09-14,109.55000305175781
2018-08-13,108.16000366210938
2018-10-16,107.19999694824219
2019-07-31,106.83999633789062
2019-05-28,105.80000305175781
2019-04-26,106.5
2020-04-28,103.55999755859375
2019-11-25,102.8499984741211
2020-02-12,102.9000015258789
2020-05-01,102.94999694824219
2020-05-04,104.62999725341797
2019-06-12,106.0
2019-04-09,101.19999694824219
2019-03-08,100.47000122070312
2019-02-04,97.36000061035156
2018-07-27,97.73999786376953
2018-08-28,96.54000091552734
2019-01-03,97.01000213623047
2019-08-15,98.31999969482422
2018-10-31,97.13999938964844
2019-09-16,98.62999725341797
2020-02-18,99.38999938964844
2020-05-07,101.29000091552734
2018-08-17,101.55000305175781
2019-12-04,101.61000061035156
2020-02-21,102.02999877929688
2018-12-17,104.0199966430664
2019-08-30,104.41000366210938
2018-11-15,104.13999938964844
2019-07-29,101.88999938964844
2019-06-27,101.36000061035156
2019-04-24,100.08000183105469
2018-07-10,101.25
2018-09-12,103.26000213623047
2019-02-19,100.86000061035156
2019-01-18,102.26000213623047
2020-02-24,101.9000015258789
2020-05-13,103.0999984741211
2019-12-10,102.94999694824219
2020-02-27,104.45999908447266
2019-12-13,106.37000274658203
2020-05-19,108.11000061035156
2019-03-06,110.5
2018-11-30,108.69999694824219
2019-08-13,104.80999755859375
2019-07-12,104.66000366210938
2019-06-10,101.69000244140625
2019-05-09,102.97000122070312
2018-07-25,102.55000305175781
2018-09-27,102.66999816894531
2018-10-29,101.30999755859375
2019-10-16,99.97000122070312
2019-12-16,100.87999725341797
2020-03-04,100.87999725341797
2020-05-22,99.83000183105469
2019-10-01,98.47000122070312
2019-12-19,98.0
2018-09-10,95.19000244140625
2019-05-24,98.54000091552734
2018-08-09,102.36000061035156
2019-04-22,102.1500015258789
2019-03-21,101.66000366210938
2019-01-16,99.97000122070312
2019-08-28,98.5999984741211
2018-11-13,100.7300033569336
2018-10-12,101.7300033569336
2019-06-25,104.08000183105469
2020-03-10,104.04000091552734
2020-05-28,104.58000183105469
2019-10-07,104.36000061035156
2020-03-13,104.26000213623047
2019-10-10,105.29000091552734
2020-03-16,104.48999786376953
2020-06-03,106.41000366210938
2018-11-28,106.83000183105469
2018-09-25,106.2300033569336
2018-07-23,106.0999984741211
2018-08-24,106.77999877929688
2019-07-10,105.54000091552734
2019-05-07,106.19000244140625
2019-04-05,106.05000305175781
2019-03-04,108.63999938964844
2019-01-31,110.93000030517578
2019-09-12,109.19999694824219
2019-12-31,110.0
2020-03-19,109.27999877929688
2020-01-03,108.87000274658203
2020-06-09,107.91999816894531
2019-02-15,109.55999755859375
2019-01-14,110.5
2018-07-06,111.6500015258789
2018-08-07,110.97000122070312
2018-10-10,111.36000061035156
2018-12-13,111.3499984741211
2019-08-26,111.01000213623047
2019-07-25,111.83000183105469
2019-05-22,112.55000305175781
2019-03-19,123.94000244140625
2020-01-06,122.43000030517578
2020-03-25,125.37999725341797
2020-06-12,126.11000061035156
2019-10-22,127.55000305175781
2020-01-09,127.79000091552734
2020-06-15,125.41999816894531
2019-10-25,125.01000213623047
2020-03-31,124.44000244140625
2020-06-18,123.73999786376953
2019-04-03,125.31999969482422
2018-08-22,126.58999633789062
2018-10-25,127.75
2019-01-29,128.0
2018-12-28,128.1300048828125
2018-11-26,128.80999755859375
2019-08-09,128.52999877929688
2019-07-08,129.35000610351562
2019-06-06,128.7899932861328
2019-09-10,131.52999877929688
2020-01-15,129.3699951171875
2020-04-03,130.69000244140625
2019-10-31,130.85000610351562
2020-04-06,130.0
2020-06-24,130.44000244140625
2018-11-09,133.14999389648438
2019-07-23,132.0
2019-06-21,132.07000732421875
2019-05-20,131.25999450683594
2019-04-18,130.82000732421875
2018-09-06,131.64999389648438
2018-10-08,131.22999572753906
2019-02-13,131.94000244140625
2018-12-11,131.75999450683594
2019-09-25,131.64999389648438
2020-01-21,131.61000061035156
2020-04-09,131.4199981689453
2019-11-06,129.11000061035156
2020-01-24,128.24000549316406
2020-01-27,125.52999877929688
2020-04-15,125.48999786376953
2018-12-26,127.76000213623047
2019-08-07,128.75999450683594
2019-06-04,130.9600067138672
2018-09-21,130.99000549316406
2018-07-19,131.7100067138672
2018-08-20,132.66000366210938
2018-10-23,131.74000549316406
2019-05-03,133.99000549316406
2019-04-01,132.16000366210938
2019-02-28,133.08999633789062
2019-11-12,130.83999633789062
2020-01-30,130.32000732421875
2019-11-15,130.9600067138672
2020-04-21,129.44000244140625
2019-04-16,129.8800048828125
2019-03-15,129.72000122070312
2019-02-11,131.74000549316406
2019-01-10,130.86000061035156
2019-08-22,130.17999267578125
2018-11-07,131.3000030517578
2018-08-03,130.3699951171875
2018-09-04,130.75
2019-06-19,132.63999938964844
2019-09-23,132.63999938964844
2019-11-18,129.94000244140625
2020-02-05,130.25999450683594
2020-04-24,131.60000610351562
2019-03-29,132.1999969482422
2019-11-21,133.7100067138672
2020-04-27,133.69000244140625
2020-02-11,134.25999450683594
2020-04-30,135.77999877929688
2019-05-01,138.19000244140625
2019-02-26,138.72000122070312
2019-01-25,137.97999572753906
2018-12-24,139.10000610351562
2019-09-06,139.4199981689453
2018-07-17,139.99000549316406
2018-09-19,140.4600067138672
2019-08-05,140.75
2019-10-08,143.92999267578125
2019-12-11,143.3000030517578
2019-11-27,143.6300048828125
2020-02-14,142.42999267578125
2020-05-06,142.00999450683594
2019-01-08,141.75999450683594
2018-12-07,141.97999572753906
2019-08-20,144.0399932861328
2018-11-05,144.41000366210938
2019-07-19,144.5399932861328
2018-10-04,144.57000732421875
2019-06-17,143.97000122070312
2019-05-16,143.0800018310547
2018-08-01,142.72999572753906
2019-03-13,143.19000244140625
2019-12-03,142.39999389648438
2020-02-20,140.3800048828125
2019-12-06,141.4499969482422
2020-05-12,140.38999938964844
2019-12-09,141.4499969482422
2020-02-26,143.5
2020-05-15,142.0
2019-03-28,141.86000061035156
2018-09-17,142.44000244140625
2018-08-16,142.60000610351562
2018-10-19,144.0399932861328
2019-04-29,142.35000610351562
2019-01-23,141.97999572753906
2019-09-04,142.49000549316406
2018-11-20,140.83999633789062
2019-07-02,140.27999877929688
2019-05-31,137.1699981689453
2019-12-12,136.2899932861328
2020-05-18,136.2899932861328
2019-09-27,139.08999633789062
2020-03-03,140.75
2020-05-21,139.55999755859375
2019-05-14,137.72000122070312
2018-08-31,139.1300048828125
2018-07-30,137.74000549316406
2018-10-02,138.57000732421875
2019-04-12,141.82000732421875
2019-03-11,141.91000366210938
2019-02-07,141.39999389648438
2019-07-17,140.75
2019-09-19,139.52000427246094
2019-10-21,136.3800048828125
2019-12-18,137.97999572753906
