Dates,MMM
2018-09-21,3803400.0
2018-07-19,4541000.0
2018-08-20,3818500.0
2018-10-23,5654900.0
2019-05-03,4747700.0
2019-04-01,6517600.0
2019-02-28,5415600.0
2019-11-12,2990500.0
2020-01-30,5098200.0
2019-11-15,5012300.0
2020-04-21,5916700.0
2019-04-16,4014000.0
2019-03-15,3015500.0
2019-02-11,4039500.0
2019-01-10,4595000.0
2019-08-22,4374600.0
2018-11-07,4148200.0
2018-08-03,4504200.0
2018-09-04,3830200.0
2019-06-19,2366900.0
2019-09-23,4875100.0
2019-11-18,3669000.0
2020-02-05,2478700.0
2020-04-24,3521900.0
2019-03-29,3726500.0
2019-11-21,3746800.0
2020-04-27,3161600.0
2020-02-11,3581800.0
2020-04-30,2017700.0
2019-05-01,2257600.0
2019-02-26,2227200.0
2019-01-25,2166400.0
2018-12-24,2141500.0
2019-09-06,2719200.0
2018-07-17,1783300.0
2018-09-19,3623000.0
2019-08-05,2777400.0
2019-10-08,3064200.0
2019-12-11,4880800.0
2019-11-27,2711900.0
2020-02-14,2733200.0
2020-05-06,1812200.0
2019-01-08,1718500.0
2018-12-07,3600800.0
2019-08-20,2106700.0
2018-11-05,1555400.0
2019-07-19,1170700.0
2018-10-04,1740500.0
2019-06-17,2285300.0
2019-05-16,4536100.0
2018-08-01,2661700.0
2019-03-13,2814800.0
2019-12-03,3160700.0
2020-02-20,2187500.0
2019-12-06,3918900.0
2020-05-12,2947400.0
2019-12-09,2223300.0
2020-02-26,2360300.0
2020-05-15,2004400.0
2019-03-28,2360700.0
2018-09-17,3532300.0
2018-08-16,7362000.0
2018-10-19,4016100.0
2019-04-29,2638900.0
2019-01-23,1978900.0
2019-09-04,3015800.0
2018-11-20,2381200.0
2019-07-02,2423100.0
2019-05-31,2894700.0
2019-12-12,3494800.0
2020-05-18,5993200.0
2019-09-27,3260100.0
2020-03-03,1582100.0
2020-05-21,1446300.0
2019-05-14,3244600.0
2018-08-31,4056100.0
2018-07-30,4452700.0
2018-10-02,3481800.0
2019-04-12,3198000.0
2019-03-11,2061700.0
2019-02-07,1623600.0
2019-07-17,1441600.0
2019-09-19,4223900.0
2019-10-21,2215300.0
2019-12-18,2281100.0
2020-03-06,2346900.0
2019-10-03,3170500.0
2020-03-09,1967000.0
2020-05-27,1835800.0
2019-12-24,1506600.0
2020-03-12,2421400.0
2018-12-20,1762300.0
2019-08-01,3091300.0
2018-08-14,3240200.0
