Dates,MMM
2018-06-20,200.0
2018-06-21,197.83999633789062
2018-06-25,197.44000244140625
2018-06-22,196.3300018310547
2018-06-26,197.9499969482422
2018-06-27,199.89999389648438
2018-06-28,196.85000610351562
2018-06-29,199.4199981689453
2018-07-02,195.88999938964844
2018-07-03,198.9499969482422
2018-07-05,197.47999572753906
2018-07-16,198.05999755859375
2018-09-18,200.83999633789062
2019-01-24,202.5800018310547
2019-09-05,199.82000732421875
2018-11-21,200.0
2020-01-13,201.7899932861328
2020-04-01,201.5800018310547
2020-06-19,203.07000732421875
2019-10-29,203.1699981689453
2020-01-16,202.2899932861328
2020-06-22,202.9499969482422
2018-10-03,201.5399932861328
2018-07-31,202.19000244140625
2019-03-12,204.49000549316406
2019-02-08,208.44000244140625
2019-01-07,210.60000610351562
2018-12-06,209.25
2019-08-19,212.77999877929688
2019-07-18,211.05999755859375
2019-05-15,205.99000549316406
2019-09-20,207.5800018310547
2019-11-01,207.4600067138672
2020-04-07,209.61000061035156
2020-06-25,209.0399932861328
2020-06-16,207.97000122070312
2019-11-04,204.1300048828125
2020-01-22,202.7899932861328
2019-11-07,201.0800018310547
2020-04-13,201.75999450683594
2019-07-01,203.42999267578125
2019-05-30,204.99000549316406
2018-08-15,205.8000030517578
2018-10-18,206.0399932861328
2019-03-27,205.77000427246094
2019-01-22,203.14999389648438
2018-12-21,205.49000549316406
2019-09-03,208.5
2018-11-19,210.1199951171875
2019-08-02,210.97000122070312
2020-01-28,211.08999633789062
2020-04-16,211.72000122070312
2019-11-13,210.75
2020-01-31,211.91000366210938
2018-12-04,213.3699951171875
2018-11-02,212.97000122070312
2019-07-16,216.3699951171875
2018-08-30,212.22000122070312
2018-10-01,214.75999450683594
2019-06-14,209.13999938964844
2019-05-13,210.3000030517578
2019-04-11,210.19000244140625
2019-02-06,211.8300018310547
2019-09-18,214.13999938964844
2020-02-03,217.0
2020-04-22,217.8699951171875
2019-11-19,215.8699951171875
2020-02-06,214.1300048828125
2019-11-22,212.58999633789062
2019-03-25,212.8699951171875
2019-02-21,211.27999877929688
2018-12-19,213.39999389648438
2018-07-12,215.83999633789062
2018-09-14,217.33999633789062
2018-08-13,215.66000366210938
2018-10-16,215.02999877929688
2019-07-31,214.5800018310547
2019-05-28,213.11000061035156
2019-04-26,209.19000244140625
2020-04-28,202.91000366210938
2019-11-25,202.5500030517578
2020-02-12,200.6999969482422
2020-05-01,202.52000427246094
2020-05-04,203.77000427246094
2019-06-12,202.52000427246094
2019-04-09,201.10000610351562
2019-03-08,203.39999389648438
2019-02-04,194.88999938964844
2018-07-27,192.9600067138672
2018-08-28,187.47999572753906
2019-01-03,186.66000366210938
2019-08-15,188.8800048828125
