Dates,MMM
2018-06-20,197.25999450683594
2018-06-21,194.58999633789062
2018-06-25,195.17999267578125
2018-06-22,193.63999938964844
2018-06-26,195.97999572753906
2018-06-27,194.75999450683594
2018-06-28,194.2100067138672
2018-06-29,196.4600067138672
2018-07-02,193.50999450683594
2018-07-03,195.5
2018-07-05,195.02999877929688
2018-07-16,196.38999938964844
2018-09-18,198.07000732421875
2019-01-24,200.38999938964844
2019-09-05,197.49000549316406
2018-11-21,197.39999389648438
2020-01-13,200.0
2020-04-01,200.0800018310547
2020-06-19,200.1300048828125
2019-10-29,201.35000610351562
2020-01-16,199.50999450683594
2020-06-22,198.25
2018-10-03,197.67999267578125
2018-07-31,190.57000732421875
2019-03-12,200.52000427246094
2019-02-08,204.64999389648438
2019-01-07,206.85000610351562
2018-12-06,204.75999450683594
2019-08-19,206.5
2019-07-18,206.8699951171875
2019-05-15,203.85000610351562
2019-09-20,205.1999969482422
2019-11-01,205.24000549316406
2020-04-07,207.3699951171875
2020-06-25,206.77000427246094
2020-06-16,204.49000549316406
2019-11-04,201.0
2020-01-22,199.5
2019-11-07,199.41000366210938
2020-04-13,197.11000061035156
2019-07-01,201.82000732421875
2019-05-30,201.88999938964844
2018-08-15,203.66000366210938
2018-10-18,204.38999938964844
2019-03-27,203.39999389648438
2019-01-22,201.4600067138672
2018-12-21,203.07000732421875
2019-09-03,205.85000610351562
2018-11-19,208.47999572753906
2019-08-02,208.50999450683594
2020-01-28,209.22999572753906
2020-04-16,209.44000244140625
2019-11-13,207.5500030517578
2020-01-31,207.35000610351562
2018-12-04,211.07000732421875
2018-11-02,209.97000122070312
2019-07-16,212.86000061035156
2018-08-30,210.0
2018-10-01,205.89999389648438
2019-06-14,206.5500030517578
2019-05-13,207.14999389648438
2019-04-11,207.3000030517578
2019-02-06,208.42999267578125
2019-09-18,211.6300048828125
2020-02-03,213.25999450683594
2020-04-22,215.61000061035156
2019-11-19,212.69000244140625
2020-02-06,210.27999877929688
2019-11-22,210.63999938964844
2019-03-25,210.0
2019-02-21,208.8699951171875
2018-12-19,211.30999755859375
2018-07-12,212.10000610351562
2018-09-14,214.94000244140625
2018-08-13,212.0399932861328
2018-10-16,211.05999755859375
2019-07-31,212.25999450683594
2019-05-28,209.63999938964844
2019-04-26,201.5500030517578
2020-04-28,196.5
2019-11-25,195.92999267578125
2020-02-12,197.4199981689453
2020-05-01,199.22999572753906
2020-05-04,200.4499969482422
2019-06-12,198.39999389648438
2019-04-09,198.3699951171875
2019-03-08,199.69000244140625
