Dates,EIX
2018-06-20,999900.0
2018-06-21,1721500.0
2018-06-25,3907300.0
2018-06-22,2263400.0
2018-06-26,2514000.0
2018-06-27,1714400.0
2018-06-28,2298400.0
2018-06-29,1990000.0
2018-07-02,1706100.0
2018-07-03,2407000.0
2018-07-05,1835400.0
2018-07-16,2328100.0
2018-09-18,2241000.0
2019-01-24,2331500.0
2019-09-05,1706400.0
2018-11-21,1679700.0
2020-01-13,1226900.0
2020-04-01,1158800.0
2020-06-19,811900.0
2019-10-29,1329800.0
2020-01-16,1721700.0
2020-06-22,1907800.0
2018-10-03,1169100.0
2018-07-31,4306500.0
2019-03-12,2486100.0
2019-02-08,1949500.0
2019-01-07,2351000.0
2018-12-06,1346300.0
2019-08-19,2755200.0
2019-07-18,2456800.0
2019-05-15,1690100.0
2019-09-20,1096000.0
2019-11-01,1729700.0
2020-04-07,1830900.0
2020-06-25,1445000.0
2020-06-16,2031800.0
2019-11-04,1279100.0
2020-01-22,1305600.0
2019-11-07,842300.0
2020-04-13,2019900.0
2019-07-01,3389200.0
2019-05-30,3226500.0
2018-08-15,1811800.0
2018-10-18,1622800.0
2019-03-27,1999300.0
2019-01-22,2321900.0
2018-12-21,3034200.0
2019-09-03,1442900.0
2018-11-19,1819200.0
2019-08-02,3164600.0
2020-01-28,3169300.0
2020-04-16,2532000.0
2019-11-13,2670500.0
2020-01-31,1685000.0
2018-12-04,1548000.0
2018-11-02,1388200.0
2019-07-16,1255400.0
2018-08-30,1636400.0
2018-10-01,2568300.0
2019-06-14,1533600.0
2019-05-13,1971200.0
2019-04-11,1550900.0
2019-02-06,1864800.0
2019-09-18,2067900.0
2020-02-03,1840600.0
2020-04-22,4222600.0
2019-11-19,2098900.0
2020-02-06,1681600.0
2019-11-22,2033300.0
2019-03-25,1166200.0
2019-02-21,1840800.0
2018-12-19,1603400.0
2018-07-12,1796500.0
2018-09-14,1651900.0
2018-08-13,1768900.0
2018-10-16,1594500.0
2019-07-31,1685700.0
2019-05-28,2125400.0
2019-04-26,2847600.0
2020-04-28,4203800.0
2019-11-25,2910300.0
2020-02-12,2357000.0
2020-05-01,2222100.0
2020-05-04,1364400.0
2019-06-12,1162600.0
2019-04-09,1967700.0
2019-03-08,1010900.0
2019-02-04,1138700.0
2018-07-27,2566900.0
2018-08-28,1569500.0
2019-01-03,1871000.0
2019-08-15,1965300.0
2018-10-31,1527700.0
2019-09-16,3315600.0
2020-02-18,2598700.0
2020-05-07,2238200.0
2018-08-17,1899500.0
2019-12-04,1687500.0
2020-02-21,1628100.0
2018-12-17,1499600.0
2019-08-30,8044100.0
2018-11-15,14318800.0
2019-07-29,5180600.0
2019-06-27,11277000.0
2019-04-24,10222800.0
2018-07-10,8828700.0
2018-09-12,7564800.0
2019-02-19,3445900.0
2019-01-18,2592800.0
2020-02-24,1209100.0
2020-05-13,2267300.0
2019-12-10,3242600.0
2020-02-27,2600400.0
2019-12-13,1903200.0
2020-05-19,4336700.0
2019-03-06,3323300.0
2018-11-30,2855900.0
2019-08-13,2848800.0
2019-07-12,1910100.0
2019-06-10,1769700.0
2019-05-09,1361900.0
2018-07-25,1813000.0
2018-09-27,2053100.0
2018-10-29,2377300.0
2019-10-16,3860200.0
2019-12-16,2332800.0
2020-03-04,2526900.0
2020-05-22,2457200.0
2019-10-01,4980100.0
2019-12-19,1140500.0
2018-09-10,2315100.0
2019-05-24,2803100.0
2018-08-09,1639100.0
2019-04-22,2085300.0
2019-03-21,1801800.0
2019-01-16,1701400.0
2019-08-28,2466800.0
2018-11-13,2794400.0
2018-10-12,2216500.0
2019-06-25,1563500.0
2020-03-10,1523300.0
2020-05-28,1927800.0
2019-10-07,3424900.0
2020-03-13,5251300.0
2019-10-10,4778300.0
2020-03-16,3011000.0
2020-06-03,3069100.0
2018-11-28,3097900.0
2018-09-25,1492900.0
2018-07-23,4729400.0
2018-08-24,2971300.0
2019-07-10,2725400.0
2019-05-07,4393800.0
2019-04-05,1849200.0
2019-03-04,3678300.0
