Dates,EIX
2018-06-20,55.35890197753906
2018-06-21,55.560367584228516
2018-06-25,56.503623962402344
2018-06-22,57.0622444152832
2018-06-26,57.346134185791016
2018-06-27,57.61171340942383
2018-06-28,58.13371276855469
2018-06-29,58.49892807006836
2018-07-02,59.03518295288086
2018-07-03,59.52521514892578
2018-07-05,60.357357025146484
2018-07-16,61.263450622558594
2018-09-18,59.608428955078125
2019-01-24,60.0892219543457
2019-09-05,60.72718811035156
2018-11-21,60.71794509887695
2020-01-13,60.69020462036133
2020-04-01,60.70870590209961
2020-06-19,60.606998443603516
2019-10-29,60.274139404296875
2020-01-16,60.86588668823242
2020-06-22,60.153934478759766
2018-10-03,60.14470291137695
2018-07-31,61.07853317260742
2019-03-12,61.79047775268555
2019-02-08,62.90923309326172
2019-01-07,61.494598388671875
2018-12-06,60.72718811035156
2019-08-19,61.60554885864258
2019-07-18,61.09703063964844
2019-05-15,61.21721649169922
2019-09-20,61.96613693237305
2019-11-01,62.382205963134766
2020-04-07,62.43768310546875
2020-06-25,62.21577453613281
2020-06-16,62.33598327636719
2019-11-04,61.60554885864258
2020-01-22,61.799713134765625
2019-11-07,61.929161071777344
2020-04-13,63.01093673706055
2019-07-01,64.09269714355469
2019-05-30,64.6104736328125
2018-08-15,63.990997314453125
2018-10-18,63.73210906982422
2019-03-27,62.83525848388672
2019-01-22,62.46541976928711
2018-12-21,62.35447311401367
2019-09-03,62.483917236328125
2018-11-19,62.456180572509766
2019-08-02,62.132568359375
2020-01-28,61.42063903808594
2020-04-16,60.77342224121094
2019-11-13,61.71649932861328
2020-01-31,62.225032806396484
2018-12-04,62.382205963134766
2018-11-02,61.633296966552734
2019-07-16,62.04011535644531
2018-08-30,62.46541976928711
2018-10-01,62.6688346862793
2019-06-14,63.25132369995117
2019-05-13,63.17735290527344
2019-04-11,63.26982116699219
2019-02-06,63.158870697021484
2019-09-18,62.25277328491211
2020-02-03,62.705814361572266
2020-04-22,63.20509719848633
2019-11-19,62.557884216308594
2020-02-06,61.91991424560547
2019-11-22,61.77198028564453
2019-03-25,62.1965217590332
2019-02-21,63.148223876953125
2018-12-19,63.02692413330078
2018-07-12,64.11858367919922
2018-09-14,63.857330322265625
2018-08-13,64.09058380126953
2018-10-16,64.65975189208984
2019-07-31,65.24755096435547
2019-05-28,65.73273468017578
2019-04-26,65.38751983642578
2020-04-28,63.8293342590332
2019-11-25,64.05326080322266
2020-02-12,64.26786041259766
2020-05-01,64.87434387207031
2020-05-04,64.92100524902344
2019-06-12,64.88367462158203
2019-04-09,65.60211944580078
2019-03-08,65.18223571777344
2019-02-04,64.89299774169922
2018-07-27,65.81671905517578
2018-08-28,64.80903625488281
2019-01-03,63.60540771484375
2019-08-15,64.48246765136719
2018-10-31,64.87434387207031
2019-09-16,64.74371337890625
2020-02-18,63.62407302856445
2020-05-07,63.33481979370117
2018-08-17,64.15589904785156
2019-12-04,64.32384490966797
2020-02-21,65.032958984375
2018-12-17,64.76238250732422
2019-08-30,56.91550064086914
2018-11-15,49.97367858886719
2019-07-29,51.82109832763672
2019-06-27,50.26292419433594
