Dates,EIX
2018-06-20,60.45000076293945
2018-06-21,60.66999816894531
2018-06-25,61.70000076293945
2018-06-22,62.310001373291016
2018-06-26,62.619998931884766
2018-06-27,62.90999984741211
2018-06-28,63.47999954223633
2018-06-29,63.27000045776367
2018-07-02,63.849998474121094
2018-07-03,64.37999725341797
2018-07-05,65.27999877929688
2018-07-16,66.26000213623047
2018-09-18,64.47000122070312
2019-01-24,64.98999786376953
2019-09-05,65.68000030517578
2018-11-21,65.66999816894531
2020-01-13,65.63999938964844
2020-04-01,65.66000366210938
2020-06-19,65.55000305175781
2019-10-29,65.19000244140625
2020-01-16,65.83000183105469
2020-06-22,65.05999755859375
2018-10-03,65.05000305175781
2018-07-31,66.05999755859375
2019-03-12,66.83000183105469
2019-02-08,68.04000091552734
2019-01-07,66.51000213623047
2018-12-06,65.68000030517578
2019-08-19,66.62999725341797
2019-07-18,66.08000183105469
2019-05-15,66.20999908447266
2019-09-20,67.0199966430664
2019-11-01,67.47000122070312
2020-04-07,67.52999877929688
2020-06-25,67.29000091552734
2020-06-16,67.41999816894531
2019-11-04,66.62999725341797
2020-01-22,66.83999633789062
2019-11-07,66.9800033569336
2020-04-13,68.1500015258789
2019-07-01,69.31999969482422
2019-05-30,69.87999725341797
2018-08-15,69.20999908447266
2018-10-18,68.93000030517578
2019-03-27,67.95999908447266
2019-01-22,67.55999755859375
2018-12-21,67.44000244140625
2019-09-03,67.58000183105469
2018-11-19,67.55000305175781
2019-08-02,67.19999694824219
2020-01-28,66.43000030517578
2020-04-16,65.7300033569336
2019-11-13,66.75
2020-01-31,67.30000305175781
2018-12-04,67.47000122070312
2018-11-02,66.66000366210938
2019-07-16,67.0999984741211
2018-08-30,67.55999755859375
2018-10-01,67.77999877929688
2019-06-14,68.41000366210938
2019-05-13,68.33000183105469
2019-04-11,68.43000030517578
2019-02-06,68.30999755859375
2019-09-18,67.33000183105469
2020-02-03,67.81999969482422
2020-04-22,68.36000061035156
2019-11-19,67.66000366210938
2020-02-06,66.97000122070312
2019-11-22,66.80999755859375
2019-03-25,66.66000366210938
2019-02-21,67.68000030517578
2018-12-19,67.55000305175781
2018-07-12,68.72000122070312
2018-09-14,68.44000244140625
2018-08-13,68.69000244140625
2018-10-16,69.30000305175781
