Dates,ULTA
2018-06-20,246.41000366210938
2018-06-21,247.52999877929688
2018-06-25,247.85000610351562
2018-06-22,239.36000061035156
2018-06-26,237.0800018310547
2018-06-27,235.66000366210938
2018-06-28,235.6199951171875
2018-06-29,233.22000122070312
2018-07-02,228.3800048828125
2018-07-03,233.32000732421875
2018-07-05,232.8699951171875
2018-07-16,237.8699951171875
2018-09-18,243.17999267578125
2019-01-24,248.6199951171875
2019-09-05,249.8000030517578
2018-11-21,251.7100067138672
2020-01-13,253.4499969482422
2020-04-01,253.9499969482422
2020-06-19,252.7100067138672
2019-10-29,248.27999877929688
2020-01-16,250.24000549316406
2020-06-22,253.4600067138672
2018-10-03,252.92999267578125
2018-07-31,245.77000427246094
2019-03-12,248.0
2019-02-08,251.1699981689453
2019-01-07,248.66000366210938
2018-12-06,242.19000244140625
2019-08-19,243.66000366210938
2019-07-18,237.7100067138672
2019-05-15,229.6199951171875
2019-09-20,232.89999389648438
2019-11-01,232.6300048828125
2020-04-07,236.00999450683594
2020-06-25,235.77000427246094
2020-06-16,230.55999755859375
2019-11-04,232.52000427246094
2020-01-22,231.52999877929688
2019-11-07,233.47000122070312
2020-04-13,231.80999755859375
2019-07-01,232.47999572753906
2019-05-30,231.66000366210938
2018-08-15,235.80999755859375
2018-10-18,239.32000732421875
2019-03-27,233.1699981689453
2019-01-22,234.6199951171875
2018-12-21,237.64999389648438
2019-09-03,239.63999938964844
2018-11-19,239.44000244140625
2019-08-02,240.16000366210938
2020-01-28,240.57000732421875
2020-04-16,247.2100067138672
2019-11-13,258.2699890136719
2020-01-31,269.6300048828125
2018-12-04,270.1600036621094
2018-11-02,276.3500061035156
2019-07-16,284.2699890136719
2018-08-30,283.1600036621094
2018-10-01,282.54998779296875
2019-06-14,279.4700012207031
2019-05-13,278.94000244140625
2019-04-11,276.4100036621094
2019-02-06,278.6700134277344
2019-09-18,280.8999938964844
2020-02-03,284.2200012207031
2020-04-22,280.7300109863281
2019-11-19,277.29998779296875
2020-02-06,276.3500061035156
2019-11-22,277.2200012207031
2019-03-25,276.69000244140625
2019-02-21,278.95001220703125
2018-12-19,281.7699890136719
2018-07-12,279.69000244140625
2018-09-14,276.67999267578125
2018-08-13,272.6000061035156
2018-10-16,265.0
2019-07-31,270.1099853515625
2019-05-28,272.6700134277344
2019-04-26,267.80999755859375
2020-04-28,264.7099914550781
2019-11-25,272.0
2020-02-12,275.0799865722656
2020-05-01,278.2300109863281
2020-05-04,278.9599914550781
2019-06-12,271.260009765625
2019-04-09,270.6199951171875
2019-03-08,270.92999267578125
2019-02-04,263.010009765625
2018-07-27,266.7799987792969
2018-08-28,266.3399963378906
2019-01-03,266.0
2019-08-15,275.3999938964844
2018-10-31,263.94000244140625
2019-09-16,271.4100036621094
2020-02-18,272.2099914550781
2020-05-07,275.0400085449219
2018-08-17,282.5400085449219
2019-12-04,285.3399963378906
2020-02-21,287.0
2018-12-17,275.1099853515625
2019-08-30,302.1499938964844
2018-11-15,305.5
2019-07-29,305.510009765625
2019-06-27,309.0
2019-04-24,306.2300109863281
2018-07-10,306.0199890136719
2018-09-12,311.19000244140625
2019-02-19,301.010009765625
2019-01-18,301.30999755859375
2020-02-24,302.3299865722656
2020-05-13,299.6000061035156
2019-12-10,293.8800048828125
2020-02-27,292.57000732421875
2019-12-13,297.0199890136719
2020-05-19,296.4200134277344
2019-03-06,302.4700012207031
2018-11-30,289.2099914550781
2019-08-13,281.7799987792969
2019-07-12,252.0
2019-06-10,242.74000549316406
2019-05-09,246.55999755859375
2018-07-25,248.5399932861328
2018-09-27,250.52999877929688
2018-10-29,246.0399932861328
2019-10-16,240.5
2019-12-16,237.5500030517578
2020-03-04,237.75
2020-05-22,230.2100067138672
2019-10-01,229.25999450683594
2019-12-19,224.42999267578125
2018-09-10,229.49000549316406
2019-05-24,233.85000610351562
2018-08-09,238.1699981689453
2019-04-22,239.55999755859375
2019-03-21,239.30999755859375
2019-01-16,240.1300048828125
2019-08-28,246.0
2018-11-13,256.9700012207031
2018-10-12,267.42999267578125
2019-06-25,274.9200134277344
2020-03-10,269.2900085449219
2020-05-28,275.8699951171875
2019-10-07,274.8900146484375
2020-03-13,273.30999755859375
2019-10-10,277.510009765625
2020-03-16,280.0
2020-06-03,286.0799865722656
2018-11-28,285.82000732421875
2018-09-25,286.1300048828125
2018-07-23,286.1199951171875
2018-08-24,287.6300048828125
2019-07-10,286.3299865722656
2019-05-07,286.1300048828125
2019-04-05,286.3999938964844
2019-03-04,286.0400085449219
2019-01-31,288.010009765625
2019-09-12,282.8999938964844
2019-12-31,288.67999267578125
2020-03-19,288.04998779296875
2020-01-03,288.0899963378906
2020-06-09,289.25
2019-02-15,296.25
2019-01-14,300.7300109863281
2018-07-06,299.7200012207031
2018-08-07,300.9200134277344
2018-10-10,305.44000244140625
2018-12-13,299.760009765625
2019-08-26,303.010009765625
2019-07-25,304.1199951171875
2019-05-22,308.0
2019-03-19,308.0299987792969
2020-01-06,308.17999267578125
2020-03-25,305.1199951171875
2020-06-12,304.29998779296875
2019-10-22,313.82000732421875
2020-01-09,308.0299987792969
2020-06-15,310.29998779296875
2019-10-25,308.9800109863281
2020-03-31,304.4800109863281
2020-06-18,294.0
2019-04-03,306.57000732421875
2018-08-22,304.32000732421875
2018-10-25,311.05999755859375
2019-01-29,311.6099853515625
2018-12-28,327.0
2018-11-26,336.8699951171875
2019-08-09,331.32000732421875
2019-07-08,330.510009765625
2019-06-06,328.8299865722656
2019-09-10,328.6300048828125
2020-01-15,330.8800048828125
2020-04-03,337.45001220703125
2019-10-31,343.3399963378906
2020-04-06,343.29998779296875
2020-06-24,344.95001220703125
2018-11-09,350.739990234375
2019-07-23,346.5899963378906
2019-06-21,347.6300048828125
2019-05-20,347.75
2019-04-18,348.739990234375
2018-09-06,351.2900085449219
2018-10-08,347.29998779296875
2019-02-13,345.3800048828125
2018-12-11,348.0
2019-09-25,344.2699890136719
2020-01-21,345.989990234375
2020-04-09,349.45001220703125
2019-11-06,353.92999267578125
2020-01-24,350.25
2020-01-27,344.260009765625
2020-04-15,347.489990234375
2018-12-26,351.3299865722656
2019-08-07,348.5400085449219
2019-06-04,350.010009765625
2018-09-21,350.6499938964844
2018-07-19,346.989990234375
2018-08-20,334.6499938964844
2018-10-23,335.010009765625
2019-05-03,339.9800109863281
2019-04-01,335.7799987792969
2019-02-28,338.8900146484375
2019-11-12,340.0299987792969
2020-01-30,343.2799987792969
2019-11-15,337.010009765625
2020-04-21,328.3399963378906
2019-04-16,325.6199951171875
2019-03-15,333.4700012207031
2019-02-11,341.30999755859375
2019-01-10,342.1000061035156
2019-08-22,339.0299987792969
2018-11-07,347.8999938964844
2018-08-03,348.8900146484375
2018-09-04,336.07000732421875
2019-06-19,330.42999267578125
2019-09-23,333.010009765625
2019-11-18,321.82000732421875
2020-02-05,321.17999267578125
2020-04-24,304.0400085449219
2019-03-29,327.8500061035156
2019-11-21,331.6000061035156
2020-04-27,331.260009765625
2020-02-11,336.3800048828125
2020-04-30,337.67999267578125
2019-05-01,335.6300048828125
2019-02-26,334.55999755859375
2019-01-25,339.1400146484375
2018-12-24,343.6199951171875
2019-09-06,349.0299987792969
2018-07-17,349.55999755859375
2018-09-19,345.8999938964844
2019-08-05,343.6300048828125
2019-10-08,355.1700134277344
2019-12-11,355.2799987792969
2019-11-27,340.260009765625
2020-02-14,340.8699951171875
2020-05-06,344.2699890136719
2019-01-08,339.5299987792969
2018-12-07,343.8900146484375
2019-08-20,339.8800048828125
2018-11-05,338.25
2019-07-19,341.2099914550781
2018-10-04,343.3299865722656
2019-06-17,343.6099853515625
2019-05-16,347.0
2018-08-01,342.7799987792969
2019-03-13,346.1600036621094
2019-12-03,347.2699890136719
2020-02-20,354.29998779296875
2019-12-06,355.6099853515625
2020-05-12,361.5199890136719
2019-12-09,363.54998779296875
2020-02-26,356.45001220703125
2020-05-15,351.0899963378906
2019-03-28,349.9800109863281
2018-09-17,348.75
2018-08-16,352.0
2018-10-19,349.55999755859375
2019-04-29,341.3999938964844
2019-01-23,342.1499938964844
2019-09-04,344.3699951171875
2018-11-20,341.8999938964844
2019-07-02,334.1600036621094
2019-05-31,326.3399963378906
2019-12-12,329.0
2020-05-18,336.70001220703125
2019-09-27,344.760009765625
2020-03-03,345.0
2020-05-21,332.67999267578125
2019-05-14,333.3299865722656
2018-08-31,320.1700134277344
2018-07-30,315.489990234375
2018-10-02,319.260009765625
2019-04-12,322.45001220703125
2019-03-11,320.510009765625
2019-02-07,326.80999755859375
2019-07-17,328.5400085449219
2019-09-19,321.239990234375
2019-10-21,324.5400085449219
2019-12-18,323.6000061035156
2020-03-06,321.1600036621094
2019-10-03,333.0899963378906
2020-03-09,235.75999450683594
2020-05-27,231.02000427246094
2019-12-24,228.1999969482422
2020-03-12,227.7100067138672
2018-12-20,233.02999877929688
2019-08-01,226.02999877929688
2018-08-14,225.27999877929688
2018-07-13,227.25999450683594
2018-10-17,225.1199951171875
2019-05-29,225.52999877929688
2019-03-26,224.66000366210938
2019-02-22,225.14999389648438
2019-10-04,227.3800048828125
2019-11-05,228.61000061035156
2019-12-27,227.64999389648438
2020-06-02,229.27000427246094
2019-12-30,235.2899932861328
2020-03-18,233.27999877929688
2020-06-05,234.75
2019-07-15,237.39999389648438
2018-12-03,245.0
2019-06-13,253.00999450683594
2019-01-04,256.8900146484375
2018-08-29,250.64999389648438
2019-02-05,250.25999450683594
2018-11-01,242.32000732421875
2019-08-16,235.1999969482422
2019-04-10,235.6699981689453
2019-09-17,237.02000427246094
2019-10-15,244.1199951171875
2020-01-02,245.8000030517578
2020-06-08,244.25
2019-10-18,243.50999450683594
2020-03-24,244.97000122070312
2020-06-11,239.8000030517578
2020-01-08,235.24000549316406
2019-04-25,236.25999450683594
2019-07-30,231.0800018310547
2019-02-20,236.27000427246094
2018-07-11,237.72999572753906
2018-09-13,240.0
2018-10-15,237.3699951171875
2019-06-28,238.17999267578125
2018-12-18,229.7899932861328
2018-11-16,232.89999389648438
2019-10-02,232.08999633789062
2020-03-27,237.50999450683594
2020-01-10,241.35000610351562
2019-10-24,243.4499969482422
2020-03-30,238.3000030517578
2020-06-17,238.77999877929688
2020-01-14,239.74000549316406
2020-04-02,238.63999938964844
2019-01-02,241.35000610351562
2019-08-14,240.1300048828125
2018-10-30,242.75999450683594
2019-06-11,238.27999877929688
2019-05-10,231.97000122070312
2019-04-08,226.7100067138672
2018-08-27,227.1300048828125
2018-07-26,222.0
2018-09-28,231.1300048828125
2019-03-07,233.47999572753906
2019-10-30,232.82000732421875
2020-01-17,232.6199951171875
2020-06-23,234.25999450683594
2020-04-08,237.50999450683594
2020-06-26,234.69000244140625
2019-03-22,254.39999389648438
2019-01-17,252.52000427246094
2019-08-29,248.5800018310547
2018-11-14,245.9199981689453
2019-06-26,250.91000366210938
2018-09-11,253.39999389648438
2018-07-09,248.35000610351562
2018-08-10,248.8000030517578
2019-04-23,249.0
2019-09-30,247.0500030517578
2020-01-23,247.55999755859375
2019-11-08,250.83999633789062
2020-04-14,252.22000122070312
2019-11-11,248.77999877929688
2020-01-29,251.75
2020-04-17,249.7100067138672
2018-07-24,250.30999755859375
2018-09-26,250.64999389648438
2019-05-08,249.22000122070312
2019-03-05,246.74000549316406
2019-02-01,250.00999450683594
2018-12-31,252.4499969482422
2018-11-29,259.3999938964844
2019-08-12,262.44000244140625
2019-07-11,269.04998779296875
2019-09-13,276.1700134277344
2019-11-14,275.79998779296875
2020-04-20,276.3500061035156
2020-02-04,271.17999267578125
2020-04-23,269.75
2018-12-14,272.5
2019-08-27,268.92999267578125
2018-08-08,270.8699951171875
2018-10-11,266.2099914550781
2018-11-12,271.7799987792969
2019-07-26,271.1099853515625
2019-06-24,270.1499938964844
2019-05-23,266.739990234375
2019-03-20,272.1600036621094
2019-01-15,272.8599853515625
2019-11-20,274.44000244140625
2020-02-07,279.510009765625
2020-02-10,290.25
2020-04-29,291.7300109863281
2019-11-26,290.0299987792969
2020-02-13,294.0
2019-01-30,295.5
2018-08-23,293.44000244140625
2018-09-24,294.19000244140625
2018-11-27,296.7099914550781
2018-10-26,294.30999755859375
2019-07-09,298.0
2019-06-07,283.5899963378906
2019-05-06,277.1499938964844
2019-04-04,272.3500061035156
2019-09-11,261.8800048828125
2019-11-29,252.08999633789062
2020-05-05,249.00999450683594
2019-12-02,255.67999267578125
2020-02-19,258.760009765625
2020-05-08,252.97000122070312
2019-05-21,248.14999389648438
2019-03-18,230.0
2018-09-07,224.30999755859375
2018-08-06,218.39999389648438
2018-10-09,190.8300018310547
2019-02-14,193.64999389648438
2018-12-12,160.0
2019-07-24,141.27000427246094
2019-09-26,124.05000305175781
2019-10-28,124.33000183105469
2019-12-05,143.89999389648438
2020-05-11,140.33999633789062
2019-07-03,154.0500030517578
2020-02-25,180.0
2020-05-14,184.55999755859375
2020-02-28,171.47000122070312
2019-08-08,166.60000610351562
2019-06-05,174.00999450683594
2018-07-20,159.86000061035156
2018-08-21,153.2899932861328
2018-10-24,154.9600067138672
2019-04-02,168.11000061035156
2019-03-01,185.14999389648438
2019-01-28,187.49000549316406
2018-12-27,199.00999450683594
2019-09-09,195.49000549316406
2020-03-02,203.3000030517578
2020-05-20,194.3300018310547
2019-12-17,201.49000549316406
2020-03-05,208.25999450683594
2019-02-12,207.0
2019-01-11,200.10000610351562
2018-12-10,203.5
2019-08-23,210.22999572753906
2018-11-08,203.05999755859375
2019-07-22,207.3300018310547
2019-06-20,210.66000366210938
2018-09-05,223.00999450683594
2019-04-17,216.4199981689453
2019-09-24,209.1199951171875
2019-12-20,206.60000610351562
2020-05-26,216.0
2019-04-30,217.47999572753906
2019-12-23,221.3699951171875
2020-03-11,223.44000244140625
2020-05-29,226.69000244140625
2019-12-26,211.5800018310547
2020-06-01,195.05999755859375
2019-05-02,188.10000610351562
2019-02-27,197.50999450683594
2018-11-23,210.60000610351562
2019-08-06,204.3300018310547
2018-07-18,210.0
2018-09-20,210.74000549316406
2018-10-22,216.2899932861328
2019-07-05,228.41000366210938
2019-06-03,239.25999450683594
2019-10-09,241.0
2019-10-11,231.50999450683594
2020-03-17,236.00999450683594
2020-06-04,237.0500030517578
2019-10-14,242.0
2020-03-20,244.27999877929688
2018-11-06,249.74000549316406
2019-06-18,250.44000244140625
2019-05-17,244.17999267578125
2019-04-15,236.47000122070312
2019-03-14,223.05999755859375
2019-01-09,222.5800018310547
2018-08-02,214.5
2018-10-05,225.0
2019-08-21,222.4199981689453
2019-10-17,217.50999450683594
2020-03-23,208.50999450683594
2020-06-10,205.0800018310547
2019-02-25,205.69000244140625
2020-01-07,194.1199951171875
2020-03-26,191.66000366210938
2019-10-23,188.89999389648438
