Dates,VMC
2018-06-20,133.24000549316406
2018-06-21,129.86000061035156
2018-06-25,131.57000732421875
2018-06-22,128.42999267578125
2018-06-26,127.76000213623047
2018-06-27,128.3300018310547
2018-06-28,127.05000305175781
2018-06-29,129.05999755859375
2018-07-02,127.22000122070312
2018-07-03,128.52000427246094
2018-07-05,129.42999267578125
2018-07-16,130.44000244140625
2018-09-18,129.3000030517578
2019-01-24,127.3499984741211
2019-09-05,127.16000366210938
2018-11-21,127.29000091552734
2020-01-13,126.16000366210938
2020-04-01,122.91000366210938
2020-06-19,123.6500015258789
2019-10-29,124.43000030517578
2020-01-16,124.93000030517578
2020-06-22,123.87999725341797
2018-10-03,123.63999938964844
2018-07-31,122.58000183105469
2019-03-12,120.5
2019-02-08,116.79000091552734
2019-01-07,118.37999725341797
2018-12-06,117.2300033569336
2019-08-19,112.0
2019-07-18,113.41999816894531
2019-05-15,114.66999816894531
2019-09-20,114.5
2019-11-01,114.79000091552734
2020-04-07,115.81999969482422
2020-06-25,113.95999908447266
2020-06-16,112.91000366210938
2019-11-04,110.51000213623047
2020-01-22,110.33999633789062
2019-11-07,111.36000061035156
2020-04-13,109.81999969482422
2019-07-01,109.83000183105469
2019-05-30,110.33999633789062
2018-08-15,110.04000091552734
2018-10-18,111.7699966430664
2019-03-27,112.44000244140625
2019-01-22,111.0999984741211
2018-12-21,111.61000061035156
2019-09-03,113.58000183105469
2018-11-19,112.19000244140625
2019-08-02,113.37999725341797
2020-01-28,112.1500015258789
2020-04-16,110.80000305175781
2019-11-13,110.68000030517578
2020-01-31,110.0
2018-12-04,110.22000122070312
2018-11-02,110.81999969482422
2019-07-16,107.19999694824219
2018-08-30,109.08999633789062
2018-10-01,108.87000274658203
2019-06-14,109.69000244140625
2019-05-13,111.19999694824219
2019-04-11,110.95999908447266
2019-02-06,112.87000274658203
2019-09-18,114.41999816894531
2020-02-03,115.04000091552734
2020-04-22,115.55000305175781
2019-11-19,114.54000091552734
2020-02-06,112.86000061035156
2019-11-22,112.87999725341797
2019-03-25,113.02999877929688
2019-02-21,111.19999694824219
2018-12-19,112.27999877929688
2018-07-12,112.36000061035156
2018-09-14,112.8499984741211
2018-08-13,111.5
2018-10-16,110.63999938964844
2019-07-31,110.66999816894531
2019-05-28,109.1500015258789
2019-04-26,105.25
2020-04-28,100.37000274658203
2019-11-25,100.98999786376953
2020-02-12,99.29000091552734
2020-05-01,100.9000015258789
2020-05-04,96.2300033569336
2019-06-12,94.12999725341797
2019-04-09,92.83999633789062
2019-03-08,90.87999725341797
2019-02-04,92.33999633789062
2018-07-27,91.69999694824219
2018-08-28,90.91000366210938
2019-01-03,88.37000274658203
2019-08-15,84.19999694824219
2018-10-31,98.93000030517578
2019-09-16,101.13999938964844
2020-02-18,102.75
2020-05-07,101.70999908447266
2018-08-17,100.58999633789062
2019-12-04,104.12000274658203
2020-02-21,109.19999694824219
2018-12-17,107.9800033569336
2019-08-30,105.76000213623047
2018-11-15,103.69999694824219
2019-07-29,104.91000366210938
2019-06-27,105.88999938964844
2019-04-24,107.16000366210938
2018-07-10,106.54000091552734
2018-09-12,103.9000015258789
2019-02-19,102.76000213623047
2019-01-18,103.80000305175781
2020-02-24,103.12999725341797
2020-05-13,105.95999908447266
2019-12-10,105.19999694824219
2020-02-27,107.95999908447266
2019-12-13,106.91999816894531
2020-05-19,105.70999908447266
2019-03-06,106.05999755859375
2018-11-30,100.55999755859375
2019-08-13,103.38999938964844
2019-07-12,101.36000061035156
2019-06-10,101.54000091552734
2019-05-09,99.66000366210938
2018-07-25,100.62000274658203
2018-09-27,98.75
2018-10-29,99.63999938964844
2019-10-16,98.37999725341797
2019-12-16,98.70999908447266
2020-03-04,95.93000030517578
2020-05-22,95.08999633789062
2019-10-01,93.30000305175781
2019-12-19,90.98999786376953
2018-09-10,96.72000122070312
2019-05-24,98.19999694824219
2018-08-09,97.06999969482422
2019-04-22,98.80000305175781
2019-03-21,97.58999633789062
2019-01-16,96.58999633789062
2019-08-28,101.52999877929688
2018-11-13,103.55000305175781
2018-10-12,103.13999938964844
