Dates,VMC
2018-06-20,970000.0
2018-06-21,956600.0
2018-06-25,1122100.0
2018-06-22,827100.0
2018-06-26,1401000.0
2018-06-27,1219800.0
2018-06-28,1266400.0
2018-06-29,1104900.0
2018-07-02,1111900.0
2018-07-03,789900.0
2018-07-05,559900.0
2018-07-16,735600.0
2018-09-18,865900.0
2019-01-24,1194600.0
2019-09-05,1691800.0
2018-11-21,1361500.0
2020-01-13,916700.0
2020-04-01,1607600.0
2020-06-19,1323500.0
2019-10-29,1513000.0
2020-01-16,715700.0
2020-06-22,797300.0
2018-10-03,963900.0
2018-07-31,1172900.0
2019-03-12,2339000.0
2019-02-08,2585700.0
2019-01-07,1662900.0
2018-12-06,2148500.0
2019-08-19,4311800.0
2019-07-18,2804300.0
2019-05-15,1223300.0
2019-09-20,1240000.0
2019-11-01,752400.0
2020-04-07,883400.0
2020-06-25,779300.0
2020-06-16,953300.0
2019-11-04,1116000.0
2020-01-22,959200.0
2019-11-07,798700.0
2020-04-13,984400.0
2019-07-01,2213800.0
2019-05-30,845400.0
2018-08-15,862500.0
2018-10-18,1028800.0
2019-03-27,896600.0
2019-01-22,911300.0
2018-12-21,685400.0
2019-09-03,1435300.0
2018-11-19,941100.0
2019-08-02,811900.0
2020-01-28,801700.0
2020-04-16,984200.0
2019-11-13,858400.0
2020-01-31,895800.0
2018-12-04,793500.0
2018-11-02,815700.0
2019-07-16,2089700.0
2018-08-30,1541300.0
2018-10-01,1070800.0
2019-06-14,617800.0
2019-05-13,700200.0
2019-04-11,784600.0
2019-02-06,990200.0
2019-09-18,1178500.0
2020-02-03,1483700.0
2020-04-22,2365400.0
2019-11-19,1204300.0
2020-02-06,1353500.0
2019-11-22,1279100.0
2019-03-25,1482600.0
2019-02-21,1223400.0
2018-12-19,816800.0
2018-07-12,701600.0
2018-09-14,835200.0
2018-08-13,1824500.0
2018-10-16,1294600.0
2019-07-31,1154800.0
2019-05-28,1002700.0
2019-04-26,1644100.0
2020-04-28,2417900.0
2019-11-25,2073500.0
2020-02-12,1303800.0
2020-05-01,1317600.0
2020-05-04,2239400.0
2019-06-12,1716000.0
2019-04-09,1223100.0
2019-03-08,1297800.0
2019-02-04,2140600.0
2018-07-27,2188400.0
2018-08-28,1557100.0
2019-01-03,3301100.0
2019-08-15,3795300.0
2018-10-31,6538500.0
2019-09-16,3474500.0
2020-02-18,2289100.0
2020-05-07,2141300.0
2018-08-17,1810300.0
2019-12-04,2810500.0
2020-02-21,3319200.0
2018-12-17,1741900.0
2019-08-30,1284100.0
2018-11-15,1095700.0
2019-07-29,1131000.0
2019-06-27,1175300.0
2019-04-24,1239400.0
2018-07-10,1341400.0
2018-09-12,1144600.0
2019-02-19,1787500.0
2019-01-18,780500.0
2020-02-24,562100.0
2020-05-13,1053600.0
2019-12-10,742300.0
2020-02-27,1020000.0
2019-12-13,869800.0
2020-05-19,1254700.0
2019-03-06,1485700.0
2018-11-30,1325700.0
2019-08-13,1607400.0
2019-07-12,1363000.0
2019-06-10,1349100.0
2019-05-09,785500.0
2018-07-25,925400.0
2018-09-27,1114100.0
2018-10-29,1584600.0
2019-10-16,1327000.0
2019-12-16,846000.0
2020-03-04,952300.0
2020-05-22,2372200.0
2019-10-01,1897000.0
2019-12-19,681600.0
2018-09-10,1024000.0
2019-05-24,1022700.0
2018-08-09,1294700.0
2019-04-22,678800.0
2019-03-21,1062000.0
2019-01-16,972900.0
2019-08-28,1146300.0
2018-11-13,1177800.0
2018-10-12,973400.0
2019-06-25,887300.0
2020-03-10,775600.0
2020-05-28,667800.0
2019-10-07,1090600.0
2020-03-13,744400.0
2019-10-10,1025900.0
2020-03-16,870500.0
2020-06-03,1499600.0
2018-11-28,723400.0
2018-09-25,1440600.0
2018-07-23,1322900.0
2018-08-24,868000.0
2019-07-10,758300.0
2019-05-07,1191600.0
2019-04-05,1348900.0
2019-03-04,1538300.0
2019-01-31,1937800.0
2019-09-12,1239400.0
2019-12-31,1694400.0
2020-03-19,1636600.0
2020-01-03,1329900.0
2020-06-09,1226300.0
2019-02-15,1992300.0
2019-01-14,1858400.0
2018-07-06,1646800.0
