Dates,EXC
2018-06-20,41.939998626708984
2018-06-21,41.90999984741211
2018-06-25,41.72999954223633
2018-06-22,42.11000061035156
2018-06-26,42.220001220703125
2018-06-27,42.349998474121094
2018-06-28,42.61000061035156
2018-06-29,42.720001220703125
2018-07-02,42.91999816894531
2018-07-03,43.09000015258789
2018-07-05,42.9900016784668
2018-07-16,43.189998626708984
2018-09-18,43.20000076293945
2019-01-24,42.369998931884766
2019-09-05,42.599998474121094
2018-11-21,42.599998474121094
2020-01-13,42.529998779296875
2020-04-01,42.400001525878906
2020-06-19,42.33000183105469
2019-10-29,42.02000045776367
2020-01-16,42.470001220703125
2020-06-22,42.25
2018-10-03,42.18000030517578
2018-07-31,41.709999084472656
2019-03-12,42.2400016784668
2019-02-08,42.290000915527344
2019-01-07,42.58000183105469
2018-12-06,42.2599983215332
2019-08-19,42.52000045776367
2019-07-18,42.209999084472656
2019-05-15,42.880001068115234
2019-09-20,42.650001525878906
2019-11-01,42.779998779296875
2020-04-07,42.959999084472656
2020-06-25,42.91999816894531
2020-06-16,43.43000030517578
2019-11-04,43.7400016784668
2020-01-22,43.369998931884766
2019-11-07,43.52000045776367
2020-04-13,43.970001220703125
2019-07-01,44.439998626708984
2019-05-30,45.04999923706055
2018-08-15,44.4900016784668
2018-10-18,44.36000061035156
2019-03-27,44.20000076293945
2019-01-22,44.22999954223633
2018-12-21,44.08000183105469
2019-09-03,44.18000030517578
2018-11-19,43.599998474121094
2019-08-02,43.939998626708984
2020-01-28,44.130001068115234
2020-04-16,44.04999923706055
2019-11-13,44.130001068115234
2020-01-31,44.380001068115234
2018-12-04,44.58000183105469
2018-11-02,44.439998626708984
2019-07-16,44.849998474121094
2018-08-30,44.47999954223633
2018-10-01,44.459999084472656
2019-06-14,44.45000076293945
2019-05-13,44.36000061035156
2019-04-11,44.54999923706055
2019-02-06,44.47999954223633
2019-09-18,44.279998779296875
2020-02-03,43.560001373291016
2020-04-22,43.86000061035156
2019-11-19,43.70000076293945
2020-02-06,43.290000915527344
2019-11-22,42.84000015258789
2019-03-25,42.95000076293945
2019-02-21,43.720001220703125
2018-12-19,43.540000915527344
2018-07-12,44.209999084472656
2018-09-14,44.06999969482422
2018-08-13,43.33000183105469
2018-10-16,43.959999084472656
2019-07-31,44.209999084472656
2019-05-28,44.36000061035156
2019-04-26,44.4900016784668
2020-04-28,43.779998779296875
2019-11-25,43.11000061035156
2020-02-12,43.54999923706055
2020-05-01,43.630001068115234
2020-05-04,43.560001373291016
2019-06-12,43.310001373291016
2019-04-09,44.38999938964844
2019-03-08,43.97999954223633
2019-02-04,43.810001373291016
2018-07-27,44.869998931884766
2018-08-28,44.2400016784668
2019-01-03,44.209999084472656
2019-08-15,44.279998779296875
2018-10-31,44.790000915527344
2019-09-16,44.22999954223633
2020-02-18,44.349998474121094
2020-05-07,44.0
2018-08-17,44.5099983215332
2019-12-04,44.36000061035156
2020-02-21,44.810001373291016
2018-12-17,44.790000915527344
2019-08-30,45.29999923706055
2018-11-15,46.20000076293945
2019-07-29,46.04999923706055
2019-06-27,45.63999938964844
2019-04-24,45.72999954223633
2018-07-10,46.20000076293945
2018-09-12,46.18000030517578
2019-02-19,46.31999969482422
2019-01-18,45.47999954223633
2020-02-24,45.029998779296875
2020-05-13,45.279998779296875
2019-12-10,45.709999084472656
2020-02-27,45.90999984741211
2019-12-13,45.86000061035156
2020-05-19,46.45000076293945
2019-03-06,46.4900016784668
2018-11-30,47.369998931884766
2019-08-13,47.400001525878906
2019-07-12,47.29999923706055
2019-06-10,47.150001525878906
2019-05-09,47.16999816894531
2018-07-25,47.349998474121094
2018-09-27,47.27000045776367
2018-10-29,47.209999084472656
2019-10-16,47.22999954223633
2019-12-16,46.47999954223633
2020-03-04,46.47999954223633
2020-05-22,46.529998779296875
2019-10-01,47.02000045776367
2019-12-19,46.22999954223633
2018-09-10,44.52000045776367
2019-05-24,44.79999923706055
2018-08-09,45.29999923706055
2019-04-22,45.099998474121094
2019-03-21,45.0
2019-01-16,44.56999969482422
2019-08-28,44.630001068115234
2018-11-13,44.970001220703125
2018-10-12,45.43000030517578
2019-06-25,45.459999084472656
2020-03-10,45.84000015258789
2020-05-28,46.040000915527344
2019-10-07,45.45000076293945
2020-03-13,46.0
2019-10-10,45.83000183105469
2020-03-16,46.09000015258789
2020-06-03,46.38999938964844
2018-11-28,46.599998474121094
2018-09-25,46.88999938964844
2018-07-23,47.060001373291016
2018-08-24,47.029998779296875
2019-07-10,46.56999969482422
2019-05-07,46.5099983215332
2019-04-05,46.900001525878906
2019-03-04,47.93000030517578
2019-01-31,47.77000045776367
2019-09-12,47.34000015258789
2019-12-31,47.5
2020-03-19,47.540000915527344
2020-01-03,48.16999816894531
2020-06-09,47.810001373291016
2019-02-15,48.06999969482422
2019-01-14,48.11000061035156
2018-07-06,48.02000045776367
2018-08-07,48.08000183105469
2018-10-10,48.2599983215332
2018-12-13,48.209999084472656
2019-08-26,48.34000015258789
2019-07-25,48.619998931884766
2019-05-22,48.90999984741211
2019-03-19,48.970001220703125
2020-01-06,48.75
2020-03-25,48.790000915527344
2020-06-12,48.790000915527344
2019-10-22,48.83000183105469
2020-01-09,48.810001373291016
2020-06-15,48.560001373291016
2019-10-25,48.599998474121094
2020-03-31,48.95000076293945
2020-06-18,48.81999969482422
2019-04-03,49.13999938964844
2018-08-22,49.560001373291016
2018-10-25,49.70000076293945
2019-01-29,49.9900016784668
2018-12-28,50.20000076293945
2018-11-26,50.09000015258789
2019-08-09,49.65999984741211
