Dates,EXC
2018-06-20,41.79999923706055
2018-06-21,41.43000030517578
2018-06-25,41.5
2018-06-22,41.849998474121094
2018-06-26,42.029998779296875
2018-06-27,42.20000076293945
2018-06-28,42.279998779296875
2018-06-29,42.599998474121094
2018-07-02,42.900001525878906
2018-07-03,42.810001373291016
2018-07-05,42.91999816894531
2018-07-16,43.09000015258789
2018-09-18,41.849998474121094
2019-01-24,42.16999816894531
2019-09-05,42.45000076293945
2018-11-21,42.349998474121094
2020-01-13,42.38999938964844
2020-04-01,42.150001525878906
2020-06-19,41.91999816894531
2019-10-29,41.91999816894531
2020-01-16,42.2400016784668
2020-06-22,42.04999923706055
2018-10-03,41.61000061035156
2018-07-31,41.650001525878906
2019-03-12,41.880001068115234
2019-02-08,42.27000045776367
2019-01-07,42.20000076293945
2018-12-06,41.79999923706055
2019-08-19,42.5
2019-07-18,42.0
2019-05-15,42.290000915527344
2019-09-20,42.4900016784668
2019-11-01,42.61000061035156
2020-04-07,42.77000045776367
2020-06-25,42.849998474121094
2020-06-16,43.369998931884766
2019-11-04,43.130001068115234
2020-01-22,43.310001373291016
2019-11-07,43.349998474121094
2020-04-13,43.630001068115234
2019-07-01,44.33000183105469
2019-05-30,44.529998779296875
2018-08-15,44.2599983215332
2018-10-18,44.09000015258789
2019-03-27,43.93000030517578
2019-01-22,43.900001525878906
2018-12-21,44.029998779296875
2019-09-03,43.650001525878906
2018-11-19,43.400001525878906
2019-08-02,43.81999969482422
2020-01-28,43.939998626708984
2020-04-16,43.709999084472656
2019-11-13,43.9900016784668
2020-01-31,44.20000076293945
2018-12-04,44.36000061035156
2018-11-02,44.06999969482422
2019-07-16,44.619998931884766
2018-08-30,44.20000076293945
2018-10-01,44.119998931884766
2019-06-14,44.439998626708984
2019-05-13,44.08000183105469
2019-04-11,44.470001220703125
2019-02-06,44.20000076293945
2019-09-18,43.2400016784668
2020-02-03,43.38999938964844
2020-04-22,43.650001525878906
2019-11-19,43.20000076293945
2020-02-06,42.58000183105469
2019-11-22,42.20000076293945
2019-03-25,42.810001373291016
2019-02-21,43.65999984741211
2018-12-19,43.40999984741211
2018-07-12,44.0099983215332
2018-09-14,43.099998474121094
2018-08-13,43.2400016784668
