Dates,EXC
2018-06-20,41.70000076293945
2018-06-21,41.709999084472656
2018-06-25,41.59000015258789
2018-06-22,41.59000015258789
2018-06-26,41.95000076293945
2018-06-27,42.029998779296875
2018-06-28,42.33000183105469
2018-06-29,42.34000015258789
2018-07-02,42.66999816894531
2018-07-03,42.88999938964844
2018-07-05,42.900001525878906
2018-07-16,42.90999984741211
2018-09-18,43.15999984741211
2019-01-24,41.5
2019-09-05,42.279998779296875
2018-11-21,42.4900016784668
2020-01-13,42.470001220703125
2020-04-01,42.279998779296875
2020-06-19,42.20000076293945
2019-10-29,41.959999084472656
2020-01-16,42.0
2020-06-22,42.04999923706055
2018-10-03,42.16999816894531
2018-07-31,41.5
2019-03-12,41.619998931884766
2019-02-08,42.09000015258789
2019-01-07,42.29999923706055
2018-12-06,42.15999984741211
2019-08-19,41.959999084472656
2019-07-18,42.18000030517578
2019-05-15,42.15999984741211
2019-09-20,42.36000061035156
2019-11-01,42.439998626708984
2020-04-07,42.65999984741211
2020-06-25,42.70000076293945
2020-06-16,42.869998931884766
2019-11-04,43.470001220703125
2020-01-22,43.16999816894531
2019-11-07,43.060001373291016
2020-04-13,43.439998626708984
2019-07-01,43.619998931884766
2019-05-30,44.29999923706055
2018-08-15,44.290000915527344
2018-10-18,44.31999969482422
2019-03-27,44.20000076293945
2019-01-22,43.91999816894531
2018-12-21,43.91999816894531
2019-09-03,44.119998931884766
2018-11-19,43.52000045776367
2019-08-02,43.84000015258789
2020-01-28,43.88999938964844
2020-04-16,43.93000030517578
2019-11-13,44.09000015258789
2020-01-31,44.040000915527344
2018-12-04,44.45000076293945
2018-11-02,44.11000061035156
2019-07-16,44.27000045776367
2018-08-30,44.290000915527344
2018-10-01,44.25
2019-06-14,44.11000061035156
2019-05-13,44.34000015258789
2019-04-11,44.380001068115234
2019-02-06,44.34000015258789
2019-09-18,44.27000045776367
2020-02-03,43.16999816894531
2020-04-22,43.29999923706055
2019-11-19,43.59000015258789
2020-02-06,43.290000915527344
2019-11-22,42.689998626708984
2019-03-25,42.2400016784668
2019-02-21,42.93000030517578
2018-12-19,43.459999084472656
2018-07-12,43.54999923706055
2018-09-14,43.95000076293945
2018-08-13,43.02000045776367
2018-10-16,43.2400016784668
2019-07-31,43.970001220703125
2019-05-28,43.86000061035156
2019-04-26,43.91999816894531
2020-04-28,43.689998626708984
2019-11-25,42.81999969482422
2020-02-12,42.959999084472656
2020-05-01,43.0099983215332
2020-05-04,43.459999084472656
2019-06-12,43.0099983215332
2019-04-09,43.22999954223633
2019-03-08,43.72999954223633
2019-02-04,43.56999969482422
2018-07-27,43.869998931884766
2018-08-28,44.209999084472656
2019-01-03,44.029998779296875
2019-08-15,43.560001373291016
2018-10-31,44.790000915527344
2019-09-16,44.22999954223633
2020-02-18,43.939998626708984
2020-05-07,43.84000015258789
2018-08-17,43.83000183105469
2019-12-04,44.220001220703125
2020-02-21,44.52000045776367
2018-12-17,44.779998779296875
2019-08-30,44.83000183105469
2018-11-15,44.83000183105469
2019-07-29,45.83000183105469
2019-06-27,45.38999938964844
2019-04-24,44.90999984741211
2018-07-10,46.16999816894531
2018-09-12,45.91999816894531
2019-02-19,46.25
2019-01-18,45.290000915527344
2020-02-24,45.0
2020-05-13,44.939998626708984
2019-12-10,45.209999084472656
2020-02-27,45.65999984741211
2019-12-13,45.849998474121094
