Dates,EXC
2019-08-07,4185100.0
2019-06-04,4971800.0
2018-09-21,5297300.0
2018-07-19,7601000.0
2018-08-20,5495500.0
2018-10-23,4707500.0
2019-05-03,4597000.0
2019-04-01,5252700.0
2019-02-28,4655200.0
2019-11-12,5553700.0
2020-01-30,4447000.0
2019-11-15,4062300.0
2020-04-21,4122200.0
2019-04-16,4933400.0
2019-03-15,4516400.0
2019-02-11,4584600.0
2019-01-10,4125100.0
2019-08-22,4538600.0
2018-11-07,3871200.0
2018-08-03,4696600.0
2018-09-04,3656100.0
2019-06-19,4196600.0
2019-09-23,4299500.0
2019-11-18,3623500.0
2020-02-05,3271000.0
2020-04-24,5138400.0
2019-03-29,3738400.0
2019-11-21,3402900.0
2020-04-27,4549700.0
2020-02-11,4637400.0
2020-04-30,5780600.0
2019-05-01,3739100.0
2019-02-26,4177500.0
2019-01-25,5176400.0
2018-12-24,3781700.0
2019-09-06,4110700.0
2018-07-17,3999100.0
2018-09-19,5449300.0
2019-08-05,6665600.0
2019-10-08,4882600.0
2019-12-11,8194800.0
2019-11-27,5140500.0
2020-02-14,5656000.0
2020-05-06,6191200.0
2019-01-08,6226100.0
2018-12-07,6728400.0
2019-08-20,4397000.0
2018-11-05,7305100.0
2019-07-19,3560800.0
2018-10-04,4583400.0
2019-06-17,6751800.0
2019-05-16,5700000.0
2018-08-01,6124500.0
2019-03-13,4379900.0
2019-12-03,3981700.0
2020-02-20,4945900.0
2019-12-06,5742000.0
2020-05-12,3983400.0
2019-12-09,4691400.0
2020-02-26,6827000.0
2020-05-15,5328900.0
2019-03-28,7742100.0
2018-09-17,10354600.0
2018-08-16,8945700.0
2018-10-19,5525900.0
2019-04-29,6875300.0
2019-01-23,4200500.0
2019-09-04,6978400.0
2018-11-20,7890400.0
2019-07-02,7878900.0
2019-05-31,9973900.0
2019-12-12,7561600.0
2020-05-18,5055600.0
2019-09-27,5158500.0
2020-03-03,5661700.0
2020-05-21,6072800.0
2019-05-14,6680900.0
2018-08-31,5664000.0
2018-07-30,5173500.0
2018-10-02,5429100.0
2019-04-12,3984500.0
2019-03-11,6164800.0
2019-02-07,3780500.0
2019-07-17,3670500.0
2019-09-19,6978000.0
