Dates,AAL
2018-06-20,4930600.0
2018-06-21,5025300.0
2018-06-25,9115100.0
2018-06-22,7126400.0
2018-06-26,6037400.0
2018-06-27,7391600.0
2018-06-28,7909700.0
2018-06-29,6032100.0
2018-07-02,3363500.0
2018-07-03,5645300.0
2018-07-05,6181500.0
2018-07-16,3695000.0
2018-09-18,4530400.0
2019-01-24,4910000.0
2019-09-05,24894200.0
2018-11-21,12226300.0
2020-01-13,10829800.0
2020-04-01,5358400.0
2020-06-19,6274400.0
2019-10-29,10297400.0
2020-01-16,4985200.0
2020-06-22,5302700.0
2018-10-03,4697300.0
2018-07-31,6415100.0
2019-03-12,7336300.0
2019-02-08,12832300.0
2019-01-07,8445100.0
2018-12-06,5746200.0
2019-08-19,5761100.0
2019-07-18,7080700.0
2019-05-15,5920700.0
2019-09-20,3975100.0
2019-11-01,3339900.0
2020-04-07,6427100.0
2020-06-25,3886500.0
2020-06-16,3699400.0
2019-11-04,7481700.0
2020-01-22,4051800.0
2019-11-07,3873000.0
2020-04-13,5599200.0
2019-07-01,5876500.0
2019-05-30,6364900.0
2018-08-15,9628900.0
2018-10-18,6491800.0
2019-03-27,5593100.0
2019-01-22,3931900.0
2018-12-21,3561700.0
2019-09-03,11236000.0
2018-11-19,7373500.0
2019-08-02,4475100.0
2020-01-28,4330100.0
2020-04-16,3464000.0
2019-11-13,7123200.0
2020-01-31,9738800.0
2018-12-04,6917300.0
2018-11-02,4875700.0
2019-07-16,3901000.0
2018-08-30,5863600.0
2018-10-01,6103400.0
2019-06-14,4268900.0
2019-05-13,2905100.0
2019-04-11,5072800.0
2019-02-06,5548300.0
2019-09-18,7413600.0
2020-02-03,6865600.0
2020-04-22,10743100.0
2019-11-19,7105100.0
2020-02-06,6744200.0
2019-11-22,4623700.0
2019-03-25,5654600.0
2019-02-21,5030600.0
2018-12-19,7210700.0
2018-07-12,7625000.0
2018-09-14,6370300.0
2018-08-13,5916500.0
2018-10-16,9127000.0
2019-07-31,7879300.0
2019-05-28,19662600.0
2019-04-26,20539000.0
2020-04-28,17115800.0
2019-11-25,12905200.0
2020-02-12,11092500.0
2020-05-01,11339200.0
2020-05-04,15068600.0
2019-06-12,12778300.0
2019-04-09,10445200.0
2019-03-08,7572100.0
2019-02-04,12468300.0
2018-07-27,15348200.0
2018-08-28,18375200.0
2019-01-03,11438600.0
2019-08-15,9405500.0
2018-10-31,13067600.0
2019-09-16,11132800.0
2020-02-18,9643200.0
2020-05-07,10039100.0
2018-08-17,11305300.0
2019-12-04,11376700.0
2020-02-21,10904000.0
2018-12-17,6884800.0
2019-08-30,6794400.0
2018-11-15,9360800.0
2019-07-29,9694100.0
2019-06-27,7288400.0
