Dates,AAL
2018-06-20,41.650001525878906
2018-06-21,42.029998779296875
2018-06-25,41.459999084472656
2018-06-22,41.09000015258789
2018-06-26,39.869998931884766
2018-06-27,39.09000015258789
2018-06-28,38.33000183105469
2018-06-29,38.25
2018-07-02,37.7400016784668
2018-07-03,37.63999938964844
2018-07-05,37.849998474121094
2018-07-16,38.189998626708984
2018-09-18,38.209999084472656
2019-01-24,39.380001068115234
2019-09-05,38.310001373291016
2018-11-21,36.400001525878906
2020-01-13,36.310001373291016
2020-04-01,37.2599983215332
2020-06-19,37.099998474121094
2019-10-29,38.0
2020-01-16,38.31999969482422
2020-06-22,37.959999084472656
2018-10-03,37.650001525878906
2018-07-31,38.189998626708984
2019-03-12,37.31999969482422
2019-02-08,37.849998474121094
2019-01-07,39.93000030517578
2018-12-06,39.880001068115234
2019-08-19,39.2599983215332
2019-07-18,39.380001068115234
2019-05-15,37.86000061035156
2019-09-20,38.060001373291016
2019-11-01,38.2599983215332
2020-04-07,38.650001525878906
2020-06-25,38.40999984741211
2020-06-16,38.54999923706055
2019-11-04,37.75
2020-01-22,37.290000915527344
2019-11-07,36.84000015258789
2020-04-13,36.959999084472656
2019-07-01,37.75
2019-05-30,37.9900016784668
2018-08-15,38.040000915527344
2018-10-18,39.97999954223633
2019-03-27,40.08000183105469
2019-01-22,39.189998626708984
2018-12-21,38.900001525878906
2019-09-03,39.02000045776367
2018-11-19,39.66999816894531
2019-08-02,40.65999984741211
2020-01-28,40.36000061035156
2020-04-16,40.25
2019-11-13,40.31999969482422
2020-01-31,40.810001373291016
2018-12-04,39.47999954223633
2018-11-02,38.310001373291016
2019-07-16,38.65999984741211
2018-08-30,39.33000183105469
2018-10-01,40.2599983215332
2019-06-14,39.4900016784668
2019-05-13,39.540000915527344
2019-04-11,39.70000076293945
2019-02-06,40.36000061035156
2019-09-18,40.790000915527344
2020-02-03,41.81999969482422
2020-04-22,42.040000915527344
2019-11-19,43.27000045776367
2020-02-06,42.0
2019-11-22,40.84000015258789
2019-03-25,41.22999954223633
2019-02-21,41.369998931884766
2018-12-19,41.40999984741211
2018-07-12,39.599998474121094
2018-09-14,38.70000076293945
2018-08-13,38.79999923706055
2018-10-16,37.93000030517578
2019-07-31,36.439998626708984
2019-05-28,36.29999923706055
2019-04-26,33.33000183105469
2020-04-28,32.29999923706055
2019-11-25,31.969999313354492
2020-02-12,31.0
2020-05-01,32.060001373291016
2020-05-04,34.45000076293945
2019-06-12,33.58000183105469
2019-04-09,32.09000015258789
2019-03-08,32.27000045776367
2019-02-04,31.530000686645508
2018-07-27,32.47999954223633
2018-08-28,31.190000534057617
2019-01-03,31.399999618530273
2019-08-15,33.13999938964844
2018-10-31,32.439998626708984
2019-09-16,35.15999984741211
2020-02-18,35.29999923706055
2020-05-07,36.59000015258789
2018-08-17,36.349998474121094
2019-12-04,35.599998474121094
2020-02-21,35.56999969482422
2018-12-17,36.77000045776367
2019-08-30,36.70000076293945
2018-11-15,36.310001373291016
2019-07-29,37.150001525878906
2019-06-27,38.0
2019-04-24,37.869998931884766
2018-07-10,37.400001525878906
2018-09-12,36.7599983215332
2019-02-19,35.04999923706055
2019-01-18,36.09000015258789
2020-02-24,36.65999984741211
