Dates,ES=F
2018-06-20,2772.0
2018-06-21,2752.5
2018-06-25,2759.5
2018-06-22,2722.25
2018-06-26,2728.5
2018-06-27,2705.0
2018-06-28,2719.5
2018-06-29,2721.5
2018-07-02,2727.25
2018-07-05,2738.5
2018-07-06,2763.0
2018-07-16,2787.5
2018-09-18,2796.75
2019-01-24,2774.0
2018-11-21,2798.5
2019-08-04,2803.25
2020-01-13,2796.5
2020-04-01,2811.25
2020-06-19,2816.0
2019-10-29,2805.25
2020-01-16,2800.75
2020-06-22,2812.0
2018-10-03,2821.0
2018-07-31,2841.25
2019-03-12,2842.5
2019-02-08,2817.5
2019-01-07,2803.25
2018-12-06,2817.0
2019-08-19,2810.75
2019-07-18,2828.5
2019-05-15,2839.5
2019-09-20,2850.0
2019-11-01,2859.75
2020-01-19,2855.25
2020-04-07,2853.75
2020-06-25,2836.75
2020-06-16,2825.5
2019-11-04,2841.0
2020-01-22,2821.25
2020-06-28,2844.75
2019-11-07,2852.25
2020-04-13,2858.5
2019-07-01,2861.75
2019-05-30,2861.25
2018-08-15,2858.0
2018-10-18,2876.75
2019-03-27,2898.5
2019-01-22,2899.25
2018-12-21,2914.75
2018-11-19,2902.0
2019-08-02,2902.0
2019-09-03,2898.25
2020-01-28,2888.25
2020-04-16,2879.0
2019-11-13,2874.75
2020-01-31,2880.25
2020-04-19,2889.75
2018-12-04,2888.5
2018-11-02,2905.25
2019-07-16,2906.25
2018-08-30,2891.0
2018-10-01,2906.5
2019-06-14,2910.0
2019-05-13,2934.0
2019-04-11,2943.0
2019-02-06,2925.5
2019-09-18,2921.25
2020-02-03,2911.5
2020-04-22,2920.0
2019-09-01,2919.0
2019-11-19,2930.0
2020-02-06,2928.5
2019-11-22,2931.5
2020-02-09,2907.75
2019-03-25,2894.0
2019-02-21,2893.75
2018-12-19,2888.25
2018-07-12,2781.0
2018-09-14,2745.5
2018-08-13,2768.5
2018-10-16,2749.0
2019-07-31,2817.75
2019-05-28,2816.25
2019-04-26,2772.25
2020-04-28,2767.5
2019-11-25,2756.5
2020-02-12,2746.25
2020-05-01,2664.25
2020-05-04,2688.25
2019-06-12,2669.5
2019-04-09,2643.5
2019-03-08,2685.25
2019-02-04,2711.0
2018-07-27,2738.0
2018-08-28,2724.25
2019-01-03,2739.5
2019-08-15,2759.0
2018-10-31,2816.5
2019-07-14,2808.75
2019-12-01,2779.0
2020-02-18,2727.75
2020-05-07,2727.5
2018-08-17,2698.5
2019-09-16,2734.5
2019-12-04,2743.0
2020-02-21,2696.25
2020-05-10,2640.0
2018-12-17,2649.0
2019-08-30,2670.0
2018-11-15,2683.5
2019-07-29,2741.5
2019-06-27,2744.25
2019-04-24,2758.25
2018-07-10,2790.75
2018-09-12,2701.75
2019-02-19,2691.0
2019-01-18,2636.0
2020-02-24,2643.0
2020-05-13,2641.25
2019-12-10,2652.5
2020-02-27,2645.5
2019-12-13,2602.0
2020-03-01,2552.5
2020-05-19,2535.75
2019-03-06,2503.25
2018-11-30,2485.75
2019-08-13,2467.75
2019-07-12,2471.0
2019-06-10,2495.0
2019-05-09,2486.0
2018-07-25,2505.25
2018-09-27,2511.0
2018-10-29,2447.75
2019-10-16,2531.25
2019-12-16,2550.5
2020-03-04,2572.5
2020-05-22,2582.5
2019-10-01,2594.0
2019-12-19,2595.0
2018-09-10,2580.5
2019-05-24,2605.5
2018-08-09,2613.25
2019-04-22,2635.25
2019-03-21,2671.5
2019-01-16,2632.0
2019-08-28,2638.25
2018-11-13,2634.0
2018-10-12,2663.5
2019-06-25,2642.0
2019-12-22,2640.25
2020-03-10,2682.5
2020-05-28,2704.5
2019-10-07,2704.25
2020-03-13,2721.25
2020-05-31,2731.0
2019-10-10,2729.5
2020-03-16,2704.0
2020-06-03,2706.25
2018-11-28,2708.25
2019-08-11,2744.75
2018-09-25,2749.5
2018-07-23,2743.5
2018-08-24,2777.0
2019-07-10,2778.75
2019-05-07,2787.0
2019-04-05,2774.25
2019-03-04,2791.25
2019-01-31,2797.0
2019-10-13,2791.5
2019-12-31,2795.0
2020-03-19,2784.75
2020-01-03,2805.0
2020-03-22,2791.5
2020-06-09,2791.5
2019-02-15,2771.5
2019-01-14,2750.0
2018-08-07,2747.0
2018-10-10,2784.0
2018-12-13,2792.0
2019-08-26,2814.5
2019-07-25,2807.25
2019-05-22,2811.889892578125
2019-03-19,2840.5
2019-09-27,2836.5
2020-01-06,2827.0
2020-03-25,2862.5
2020-06-12,2810.75
2019-10-22,2807.0
2020-01-09,2823.0
2020-06-15,2810.5
2019-10-25,2821.0
2020-03-31,2837.75
2020-06-18,2870.5
2019-04-03,2867.0
2018-08-22,2879.75
2018-10-25,2882.75
2019-01-29,2896.0
2018-12-28,2898.25
2018-11-26,2882.5
2019-08-09,2894.5
2019-07-08,2891.75
2019-06-06,2912.5
2019-09-10,2909.5
2019-10-28,2911.5
2020-01-15,2900.5
2020-04-03,2910.0
2020-03-29,2912.5
2020-06-21,2938.0
2019-10-31,2930.75
2020-04-06,2926.25
2020-06-24,2941.5
2018-11-09,2943.0
2019-07-23,2948.5
2019-06-21,2923.0
2019-05-20,2917.5
2019-04-18,2947.5
2018-09-06,2932.5
2018-10-08,2890.75
2019-02-13,2887.25
2018-12-11,2872.75
2019-09-25,2887.0
2019-11-03,2807.0
2020-01-21,2839.25
2020-04-09,2855.0
2019-11-06,2878.5
2020-01-24,2862.0
2020-04-12,2844.0
2020-01-27,2866.0
2020-04-15,2857.5
2018-12-26,2819.5
2019-08-07,2831.75
2019-06-04,2805.0
2018-09-21,2780.0
2018-07-19,2790.5
2018-08-20,2752.5
2018-10-23,2749.5
2019-05-03,2805.0
2019-04-01,2827.75
2019-02-28,2845.75
2019-11-12,2875.0
2020-01-30,2889.25
2019-11-15,2887.0
2020-02-02,2881.0
2020-04-21,2894.5
2019-04-16,2890.5
2019-03-15,2892.0
2019-02-11,2921.75
2019-01-10,2929.0
2019-08-22,2955.75
2018-11-07,2953.89990234375
2019-07-21,2952.0
2018-08-03,2922.0
2018-09-04,2918.0
2019-06-19,2931.0
2019-11-18,2944.25
2020-02-05,2970.25
2020-04-24,2967.75
2019-03-29,2979.5
2019-11-21,2990.5
2020-04-27,2989.0
2019-11-24,2978.5
2020-02-11,2982.0
2020-04-30,2997.5
2019-05-01,3004.0
2019-02-26,3015.5
2019-01-25,3013.5
2018-07-17,3017.25
2018-09-19,3007.0
2019-08-05,2985.0
2019-09-06,2997.5
2019-10-08,2977.0
2019-12-11,2979.5
2020-01-12,2989.0
2019-09-09,3008.0
2019-11-27,3021.5
2020-02-14,3006.5
2020-05-03,3024.5
2019-09-12,3023.5
2020-05-06,3021.75
2019-01-08,3012.25
2018-12-07,2982.25
2019-08-20,2952.0
2018-11-05,2932.5
2019-07-19,2926.75
2018-10-04,2830.0
2019-06-17,2876.0
2019-05-16,2880.5
2018-08-01,2940.0
2019-03-13,2919.75
2019-09-15,2916.5
2019-12-03,2880.25
2020-02-20,2932.0
2019-12-06,2840.75
2020-02-23,2848.5
2020-05-12,2891.5
2019-12-09,2903.75
2020-02-26,2923.75
2020-05-15,2898.25
2019-03-28,2929.25
2018-09-17,2922.25
2018-08-16,2855.5
2018-10-19,2824.25
2019-04-29,2883.25
2019-01-23,2865.5
2018-11-20,2889.75
2019-07-02,2926.75
2019-05-31,2924.75
2019-09-04,2909.75
2019-12-12,2906.0
2020-05-18,2938.5
2019-12-15,2972.0
2020-03-03,2980.75
2020-05-21,2982.0
2019-05-14,2978.25
2018-08-31,2978.5
2018-07-30,3002.0
2018-10-02,3011.75
2019-04-12,3006.5
2019-03-11,2989.0
2019-02-07,2999.0
2019-08-18,3005.5
2019-07-17,3006.25
2019-09-19,3006.0
2019-09-30,3013.610107421875
2019-12-18,3002.75
2020-03-06,2997.0
2020-05-24,2970.25
2019-10-03,2986.25
2020-03-09,2980.5
2020-05-27,2963.75
2019-10-06,2970.5
2020-03-12,2978.5
2018-12-20,2937.75
2019-08-01,2880.5
2019-06-30,2911.75
2018-08-14,2951.0
2018-07-13,2941.75
2018-10-17,2937.5
2019-05-29,2892.5
2019-03-26,2919.0
2019-02-22,2941.0
2019-10-04,2970.75
2019-12-27,2979.5
2020-03-15,2965.5
2020-06-02,2997.75
2019-12-30,2991.5
2020-03-18,2998.0
2020-06-05,2988.25
2019-07-15,2990.25
2018-12-03,3006.5
2019-06-13,2994.5
2019-01-04,3005.75
2018-08-29,3004.25
2019-02-05,3020.25
2018-11-01,3024.25
2019-08-16,3036.25
2019-04-10,3035.75
2019-09-17,3047.75
2019-10-15,3035.75
2020-01-02,3063.25
2020-06-08,3068.5
2019-10-18,3075.75
2020-01-05,3072.0
2020-03-24,3075.5
2020-06-11,3086.0
2019-10-21,3090.5
2020-01-08,3089.75
2019-04-25,3087.5
2019-07-30,3092.0
2019-02-20,3095.5
2018-07-11,3097.0
2018-09-13,3118.25
2018-10-15,3114.0
2019-06-28,3121.75
2018-12-18,3118.5
2018-11-16,3109.0
2019-10-02,3104.0
2020-03-27,3111.5
