Dates,ES=F
2020-05-18,2939.5
2019-12-15,2986.5
2020-03-03,2988.25
2020-05-21,2985.5
2019-05-14,2991.5
2018-08-31,2985.0
2018-07-30,3004.25
2018-10-02,3021.75
2019-04-12,3023.75
2019-03-11,2997.5
2019-02-07,3003.25
2019-08-18,3006.5
2019-07-17,3011.0
2019-09-19,3022.25
2019-09-30,3015.5
2019-12-18,3008.25
2020-03-06,3008.25
2020-05-24,3012.25
2019-10-03,2991.75
2020-03-09,2995.0
2020-05-27,2993.0
2019-10-06,2980.25
2020-03-12,2986.25
2018-12-20,2994.5
2019-08-01,2949.0
2019-06-30,2912.5
2018-08-14,2953.25
2018-07-13,2942.75
2018-10-17,2959.5
2019-05-29,2950.0
2019-03-26,2934.25
2019-02-22,2954.0
2019-10-04,2994.0
2019-12-27,2981.75
2020-03-15,2982.5
2020-06-02,3003.25
2019-12-30,2997.75
2020-03-18,3008.0
2020-06-05,3001.25
2019-07-15,2991.0
2018-12-03,3007.5
2019-06-13,3014.25
2019-01-04,3006.0
2018-08-29,3015.25
2019-02-05,3026.5
2018-11-01,3026.0
2019-08-16,3042.75
2019-04-10,3046.25
2019-09-17,3055.0
2019-10-15,3052.0
2020-01-02,3065.0
2020-06-08,3069.0
2019-10-18,3083.75
2020-01-05,3085.75
2020-03-24,3078.0
2020-06-11,3097.0
2019-10-21,3092.5
2020-01-08,3092.25
2019-04-25,3092.25
2019-07-30,3102.0
2019-02-20,3097.0
2018-07-11,3099.75
2018-09-13,3119.5
2018-10-15,3119.25
2019-06-28,3127.75
2018-12-18,3132.5
2018-11-16,3118.5
2019-10-02,3114.5
2020-03-27,3114.5
2020-06-14,3121.0
2020-01-10,3133.5
2019-10-24,3145.0
2020-03-30,3155.0
2020-06-17,3148.0
2019-10-27,3158.0
2020-01-14,3121.75
2020-04-02,3119.5
2019-01-02,3124.75
2019-08-14,3151.0
2018-10-30,3148.5
2019-06-11,3149.5
2019-05-10,3143.0
2019-04-08,3144.5
2018-08-27,3177.5
2018-07-26,3185.0
2018-09-28,3177.25
2019-03-07,3198.75
2019-10-30,3199.25
2020-01-17,3199.0
2020-06-23,3209.0
2020-04-08,3231.02001953125
2020-06-26,3229.0
2019-11-05,3234.25
2019-03-22,3244.75
2019-01-17,3254.0
2019-08-29,3241.25
2018-11-14,3244.25
2019-07-28,3236.25
2019-06-26,3261.75
2018-09-11,3263.5
2018-07-09,3223.75
2018-08-10,3249.5
2019-04-23,3254.5
2020-01-23,3267.75
2020-06-29,3276.75
2019-11-08,3287.0
2020-01-26,3271.5
2020-04-14,3291.0
2019-11-11,3296.75
2020-01-29,3299.0
2020-04-17,3318.0
2018-07-24,3330.25
2018-09-26,3326.5
2019-05-08,3329.75
2019-03-05,3337.5
2019-02-01,3327.0
2018-12-31,3337.0
2018-11-29,3269.75
2019-08-12,3269.75
2019-07-11,3285.0
2019-09-13,3292.75
2019-11-14,3295.25
2020-04-20,3297.5
