Dates,JCI
2018-06-20,5432900.0
2018-06-21,6162400.0
2018-06-25,4252700.0
2018-06-22,4667100.0
2018-06-26,2854800.0
2018-06-27,3967900.0
2018-06-28,4075600.0
2018-06-29,4480900.0
2018-07-02,3427100.0
2018-07-03,2515200.0
2018-07-05,3512500.0
2018-07-16,3113400.0
2018-09-18,2524700.0
2019-01-24,2736800.0
2019-09-05,3341600.0
2018-11-21,3452900.0
2020-01-13,3410600.0
2020-04-01,2650500.0
2020-06-19,4340600.0
2019-10-29,4181500.0
2020-01-16,4666300.0
2020-06-22,4900100.0
2018-10-03,3540700.0
2018-07-31,2395200.0
2019-03-12,4445800.0
2019-02-08,3156600.0
2019-01-07,2898900.0
2018-12-06,5506700.0
2019-08-19,8142100.0
2019-07-18,7858500.0
2019-05-15,3956300.0
2019-09-20,4375700.0
2019-11-01,3438100.0
2020-04-07,3863500.0
2020-06-25,4247800.0
2020-06-16,4464200.0
2019-11-04,3738700.0
2020-01-22,4529900.0
2019-11-07,2648400.0
2020-04-13,4455500.0
2019-07-01,3760300.0
2019-05-30,4218700.0
2018-08-15,4513300.0
2018-10-18,9581200.0
2019-03-27,5858300.0
2019-01-22,3791800.0
2018-12-21,3067100.0
2019-09-03,5158000.0
2018-11-19,7477200.0
2019-08-02,20122600.0
2020-01-28,6062000.0
2020-04-16,4383700.0
2019-11-13,3487600.0
2020-01-31,6946100.0
2018-12-04,6881600.0
2018-11-02,4213500.0
2019-07-16,2887100.0
2018-08-30,4913300.0
2018-10-01,3481500.0
2019-06-14,3788800.0
2019-05-13,2353400.0
2019-04-11,3968400.0
2019-02-06,4371700.0
2019-09-18,4152600.0
2020-02-03,4973700.0
2020-04-22,8920900.0
2019-11-19,4230900.0
2020-02-06,4721400.0
2019-11-22,3975400.0
2019-03-25,3576400.0
2019-02-21,7674700.0
2018-12-19,4130500.0
2018-07-12,4030900.0
2018-09-14,3386700.0
2018-08-13,5022100.0
2018-10-16,5890600.0
2019-07-31,4186500.0
2019-05-28,4110500.0
2019-04-26,6082300.0
2020-04-28,5846100.0
2019-11-25,7738600.0
2020-02-12,5924500.0
2020-05-01,4360100.0
2020-05-04,5813200.0
2019-06-12,4670400.0
2019-04-09,4994100.0
2019-03-08,6505400.0
2019-02-04,6100000.0
2018-07-27,4735500.0
2018-08-28,5826300.0
2019-01-03,7173900.0
2019-08-15,7741900.0
2018-10-31,8146800.0
2019-09-16,6542600.0
2020-02-18,6302400.0
2020-05-07,6339500.0
2018-08-17,4926900.0
2019-12-04,3730200.0
2020-02-21,4548500.0
2018-12-17,9455500.0
2019-08-30,5367000.0
2018-11-15,4209500.0
2019-07-29,7721600.0
2019-06-27,9379400.0
2019-04-24,9033900.0
2018-07-10,5059900.0
2018-09-12,5085400.0
2019-02-19,5750600.0
2019-01-18,3172200.0
2020-02-24,1811100.0
2020-05-13,4818500.0
2019-12-10,4103100.0
2020-02-27,5314200.0
2019-12-13,4503200.0
2020-05-19,6471500.0
2019-03-06,5503000.0
2018-11-30,6933300.0
2019-08-13,7029200.0
2019-07-12,5435200.0
2019-06-10,5016900.0
2019-05-09,7442300.0
2018-07-25,4842100.0
2018-09-27,4642300.0
2018-10-29,4700600.0
2019-10-16,6283900.0
2019-12-16,6476000.0
2020-03-04,6450900.0
2020-05-22,8358800.0
2019-10-01,13082300.0
2019-12-19,5092900.0
2018-09-10,6327900.0
2019-05-24,7024900.0
2018-08-09,6511600.0
2019-04-22,6441300.0
2019-03-21,5291900.0
2019-01-16,5661000.0
2019-08-28,6400300.0
2018-11-13,5555000.0
2018-10-12,5591600.0
2019-06-25,4273300.0
2020-03-10,4885400.0
2020-05-28,6557400.0
2019-10-07,5315100.0
2020-03-13,4707900.0
2019-10-10,3528100.0
2020-03-16,4449300.0
2020-06-03,5493100.0
2018-11-28,5963400.0
2018-09-25,4237400.0
2018-07-23,3096900.0
2018-08-24,3050700.0
2019-07-10,5234400.0
2019-05-07,3791800.0
2019-04-05,4546800.0
2019-03-04,7861100.0
2019-01-31,6945000.0
2019-09-12,7255900.0
2019-12-31,4083900.0
2020-03-19,4357100.0
2020-01-03,6616000.0
2020-06-09,4308700.0
2019-02-15,4073700.0
2019-01-14,5415500.0
2018-07-06,3771100.0
2018-08-07,2654200.0
2018-10-10,3407600.0
2018-12-13,2793500.0
2019-08-26,3478000.0
2019-07-25,4487600.0
2019-05-22,3499800.0
2019-03-19,2694800.0
2020-01-06,3482500.0
2020-03-25,3183500.0
2020-06-12,3821800.0
2019-10-22,3765000.0
2020-01-09,4143200.0
2020-06-15,2998700.0
2019-10-25,2422500.0
2020-03-31,6603800.0
2020-06-18,4679200.0
2019-04-03,3167300.0
2018-08-22,2531600.0
2018-10-25,2552500.0
2019-01-29,3182900.0
2018-12-28,6559000.0
2018-11-26,4595300.0
2019-08-09,3781900.0
2019-07-08,2839300.0
2019-06-06,2747200.0
2019-09-10,3345400.0
2020-01-15,3017600.0
2020-04-03,3029800.0
2019-10-31,2596900.0
2020-04-06,2304900.0
2020-06-24,3615200.0
2018-11-09,4867400.0
2019-07-23,5215500.0
2019-06-21,7136900.0
2019-05-20,8130400.0
2019-04-18,8554800.0
2018-09-06,4818100.0
2018-10-08,5066700.0
2019-02-13,5095600.0
2018-12-11,9273300.0
2019-09-25,7693400.0
2020-01-21,5244600.0
2020-04-09,7312700.0
2019-11-06,4150100.0
2020-01-24,2119900.0
2020-01-27,2157300.0
2020-04-15,3268100.0
2018-12-26,3069700.0
2019-08-07,2898300.0
2019-06-04,7389300.0
2018-09-21,3037600.0
2018-07-19,4803000.0
2018-08-20,12988900.0
2018-10-23,7163500.0
2019-05-03,3700400.0
2019-04-01,3644800.0
2019-02-28,5142800.0
2019-11-12,6987200.0
2020-01-30,6883000.0
2019-11-15,5353700.0
2020-04-21,7744700.0
2019-04-16,5727000.0
2019-03-15,6203600.0
2019-02-11,5678400.0
2019-01-10,5040900.0
2019-08-22,6675500.0
2018-11-07,6483700.0
2018-08-03,7390800.0
2018-09-04,15821100.0
2019-06-19,14041200.0
2019-09-23,13800200.0
2019-11-18,17837600.0
2020-02-05,25331900.0
2020-04-24,27662400.0
2019-03-29,22706800.0
2019-11-21,14166300.0
2020-04-27,17685700.0
2020-02-11,7369500.0
2020-04-30,9042000.0
2019-05-01,8651400.0
2019-02-26,8044300.0
2019-01-25,8776200.0
2018-12-24,5996200.0
2019-09-06,4964800.0
2018-07-17,6890500.0
2018-09-19,6630800.0
2019-08-05,6177800.0
2019-10-08,7667200.0
2019-12-11,27707400.0
2019-11-27,7712600.0
2020-02-14,5953100.0
2020-05-06,4252300.0
2019-01-08,4981100.0
2018-12-07,5236400.0
2019-08-20,3762100.0
2018-11-05,4368400.0
2019-07-19,2952700.0
2018-10-04,3023500.0
2019-06-17,5176600.0
2019-05-16,4571800.0
2018-08-01,3635800.0
2019-03-13,4286900.0
2019-12-03,6417800.0
2020-02-20,4185000.0
2019-12-06,3424500.0
2020-05-12,4453800.0
2019-12-09,2873100.0
2020-02-26,3216600.0
2020-05-15,2729200.0
2019-03-28,4628900.0
2018-09-17,3074700.0
2018-08-16,3160000.0
2018-10-19,2874600.0
2019-04-29,3405800.0
2019-01-23,3695000.0
2019-09-04,8660400.0
2018-11-20,6032700.0
2019-07-02,4375700.0
2019-05-31,5493700.0
2019-12-12,4536600.0
2020-05-18,4222300.0
2019-09-27,4707200.0
2020-03-03,2972400.0
2020-05-21,2157900.0
2019-05-14,4863800.0
2018-08-31,4527800.0
2018-07-30,5091400.0
2018-10-02,4848500.0
2019-04-12,4262400.0
2019-03-11,3793900.0
2019-02-07,4361900.0
2019-07-17,5080700.0
2019-09-19,6418400.0
2019-10-21,4297200.0
2019-12-18,5574000.0
2020-03-06,2928100.0
2019-10-03,5835700.0
2020-03-09,4049100.0
2020-05-27,3772600.0
2019-12-24,4946800.0
2020-03-12,4681100.0
2018-12-20,3731600.0
2019-08-01,4637000.0
2018-08-14,4191000.0
2018-07-13,5124100.0
2018-10-17,3703500.0
2019-05-29,3659800.0
2019-03-26,3173300.0
2019-02-22,3989600.0
2019-10-04,4360800.0
2019-11-05,3204400.0
2019-12-27,9911500.0
2020-06-02,3276100.0
2019-12-30,5410700.0
2020-03-18,3710500.0
2020-06-05,4234900.0
2019-07-15,3566900.0
