Dates,BAX
2018-06-20,2371900.0
2018-06-21,2830400.0
2018-06-25,3249900.0
2018-06-22,3631800.0
2018-06-26,2148300.0
2018-06-27,2539700.0
2018-06-28,2835000.0
2018-06-29,2602700.0
2018-07-02,1391900.0
2018-07-03,1531800.0
2018-07-05,1595700.0
2018-07-16,1440100.0
2018-09-18,1564500.0
2019-01-24,2229700.0
2019-09-05,1296400.0
2018-11-21,1769700.0
2020-01-13,2088000.0
2020-04-01,2132800.0
2020-06-19,2701000.0
2019-10-29,1746800.0
2020-01-16,1951100.0
2020-06-22,4220500.0
2018-10-03,2405600.0
2018-07-31,3279700.0
2019-03-12,2549500.0
2019-02-08,6801900.0
2019-01-07,6406600.0
2018-12-06,4136900.0
2019-08-19,4379800.0
2019-07-18,4001200.0
2019-05-15,2263100.0
2019-09-20,1749100.0
2019-11-01,1814200.0
2020-04-07,2810500.0
2020-06-25,3328600.0
2020-06-16,3638600.0
2019-11-04,2341600.0
2020-01-22,1936300.0
2019-11-07,2133600.0
2020-04-13,2811400.0
2019-07-01,2162300.0
2019-05-30,1898100.0
2018-08-15,1697300.0
2018-10-18,5024700.0
2019-03-27,1783600.0
2019-01-22,2553600.0
2018-12-21,2232100.0
2019-09-03,2133700.0
2018-11-19,2728000.0
2019-08-02,2336300.0
2020-01-28,2982600.0
2020-04-16,2980300.0
2019-11-13,5077300.0
2020-01-31,4173800.0
2018-12-04,2367100.0
2018-11-02,2950700.0
2019-07-16,2404000.0
2018-08-30,2713000.0
2018-10-01,2351900.0
2019-06-14,2903500.0
2019-05-13,2305000.0
2019-04-11,2657200.0
2019-02-06,2228000.0
2019-09-18,3124800.0
2020-02-03,2293500.0
2020-04-22,4064300.0
2019-11-19,1575300.0
2020-02-06,1960400.0
2019-11-22,2964000.0
2019-03-25,2182000.0
2019-02-21,3484800.0
2018-12-19,2786400.0
2018-07-12,1788900.0
2018-09-14,3536800.0
2018-08-13,3137200.0
2018-10-16,2367800.0
2019-07-31,2903800.0
2019-05-28,3180100.0
2019-04-26,3101600.0
2020-04-28,4111500.0
2019-11-25,2340500.0
2020-02-12,2127200.0
2020-05-01,3099000.0
2020-05-04,3257200.0
2019-06-12,4250000.0
2019-04-09,3166500.0
2019-03-08,4823500.0
2019-02-04,3943000.0
2018-07-27,2822800.0
2018-08-28,2772800.0
2019-01-03,2447300.0
2019-08-15,3843500.0
2018-10-31,5427700.0
2019-09-16,14749300.0
2020-02-18,9031800.0
2020-05-07,4037000.0
2018-08-17,4806900.0
2019-12-04,3764600.0
2020-02-21,5380300.0
2018-12-17,3232300.0
2019-08-30,2345500.0
2018-11-15,4020300.0
2019-07-29,5074500.0
2019-06-27,5966300.0
2019-04-24,8750000.0
2018-07-10,7508000.0
2018-09-12,4066300.0
2019-02-19,4253700.0
2019-01-18,5319500.0
2020-02-24,1503900.0
2020-05-13,2990200.0
2019-12-10,4012400.0
2020-02-27,3562300.0
2019-12-13,3098700.0
2020-05-19,4091000.0
2019-03-06,5702100.0
2018-11-30,6602500.0
2019-08-13,4274100.0
2019-07-12,4614400.0
2019-06-10,4465100.0
2019-05-09,3499100.0
2018-07-25,3159600.0
2018-09-27,2796000.0
2018-10-29,2731100.0
2019-10-16,5682800.0
2019-12-16,4907500.0
2020-03-04,4905700.0
2020-05-22,4756000.0
2019-10-01,7910800.0
2019-12-19,3202700.0
2018-09-10,4321400.0
2019-05-24,4110700.0
2018-08-09,2881100.0
2019-04-22,2230900.0
2019-03-21,4816900.0
2019-01-16,4642400.0
2019-08-28,4759900.0
2018-11-13,4908000.0
2018-10-12,4764500.0
2019-06-25,3848100.0
2020-03-10,2668300.0
2020-05-28,2490100.0
2019-10-07,4054100.0
2020-03-13,3893400.0
2019-10-10,4253100.0
2020-03-16,6282400.0
2020-06-03,3396600.0
2018-11-28,4291000.0
2018-09-25,3209800.0
2018-07-23,2613400.0
2018-08-24,1962300.0
2019-07-10,2213500.0
2019-05-07,2427300.0
2019-04-05,4267200.0
2019-03-04,5555800.0
2019-01-31,3831600.0
2019-09-12,2601400.0
2019-12-31,2676800.0
2020-03-19,2052000.0
2020-01-03,2204700.0
2020-06-09,2571100.0
2019-02-15,1760800.0
2019-01-14,3458700.0
2018-07-06,2421100.0
2018-08-07,2200700.0
2018-10-10,2372300.0
2018-12-13,1999500.0
2019-08-26,2816700.0
2019-07-25,2388300.0
2019-05-22,2136500.0
2019-03-19,3457200.0
2020-01-06,3350500.0
2020-03-25,2997900.0
2020-06-12,3375100.0
2019-10-22,2420500.0
2020-01-09,3723900.0
2020-06-15,2162600.0
2019-10-25,2382200.0
2020-03-31,2916900.0
2020-06-18,2818400.0
2019-04-03,2015800.0
2018-08-22,3579400.0
2018-10-25,2485500.0
2019-01-29,1993200.0
2018-12-28,5042400.0
2018-11-26,1862200.0
2019-08-09,2064000.0
2019-07-08,2728800.0
2019-06-06,2115000.0
2019-09-10,3152200.0
2020-01-15,2050900.0
2020-04-03,3571500.0
2019-10-31,4062700.0
2020-04-06,3170100.0
2020-06-24,4078700.0
2018-11-09,3661300.0
2019-07-23,2412200.0
2019-06-21,4269700.0
2019-05-20,2246700.0
2019-04-18,2061900.0
2018-09-06,3637800.0
2018-10-08,1966600.0
2019-02-13,1807300.0
2018-12-11,1909600.0
2019-09-25,2226200.0
2020-01-21,1846300.0
2020-04-09,2384400.0
2019-11-06,5641700.0
2020-01-24,4054400.0
2020-01-27,3086400.0
2020-04-15,3411800.0
2018-12-26,4393700.0
2019-08-07,6132900.0
2019-06-04,2408000.0
2018-09-21,2390300.0
2018-07-19,2877900.0
2018-08-20,1782800.0
2018-10-23,2453300.0
2019-05-03,2539200.0
2019-04-01,2489500.0
2019-02-28,2403500.0
2019-11-12,1637900.0
2020-01-30,2376400.0
2019-11-15,3406700.0
2020-04-21,1930900.0
2019-04-16,2315100.0
2019-03-15,2511800.0
2019-02-11,2544600.0
2019-01-10,2349100.0
2019-08-22,2281400.0
2018-11-07,2649300.0
2018-08-03,2429100.0
2018-09-04,1480800.0
2019-06-19,1641900.0
2019-09-23,2609400.0
2019-11-18,1437200.0
2020-02-05,2104100.0
2020-04-24,2825500.0
2019-03-29,3111900.0
2019-11-21,3890500.0
2020-04-27,3195700.0
2020-02-11,2378900.0
2020-04-30,2441500.0
2019-05-01,1386000.0
2019-02-26,1594200.0
2019-01-25,1721900.0
2018-12-24,1833000.0
2019-09-06,1580700.0
2018-07-17,2010900.0
2018-09-19,3411800.0
2019-08-05,2108100.0
2019-10-08,2845500.0
2019-12-11,3514300.0
2019-11-27,1617800.0
2020-02-14,1900800.0
2020-05-06,2373100.0
2019-01-08,1629300.0
2018-12-07,5095100.0
2019-08-20,2266800.0
2018-11-05,1826700.0
2019-07-19,1072900.0
2018-10-04,1296800.0
2019-06-17,1807000.0
2019-05-16,1835200.0
2018-08-01,2758600.0
2019-03-13,1988300.0
2019-12-03,1147500.0
2020-02-20,1732800.0
2019-12-06,2092600.0
2020-05-12,2427700.0
2019-12-09,3649900.0
2020-02-26,2838700.0
2020-05-15,1633600.0
2019-03-28,1741400.0
2018-09-17,2843600.0
2018-08-16,4909900.0
2018-10-19,2545100.0
2019-04-29,1987900.0
2019-01-23,2028600.0
2019-09-04,2768800.0
2018-11-20,2164600.0
2019-07-02,1573800.0
2019-05-31,2305000.0
2019-12-12,1781700.0
2020-05-18,1689100.0
2019-09-27,2310800.0
2020-03-03,2132800.0
2020-05-21,2052900.0
2019-05-14,3379000.0
2018-08-31,2448700.0
2018-07-30,2720400.0
2018-10-02,1583100.0
2019-04-12,1339200.0
2019-03-11,1665600.0
2019-02-07,1405200.0
2019-07-17,1485400.0
2019-09-19,1809000.0
2019-10-21,1918800.0
2019-12-18,1891900.0
2020-03-06,1285400.0
2019-10-03,1163400.0
2020-03-09,3789700.0
2020-05-27,3392400.0
2019-12-24,1653000.0
2020-03-12,1930800.0
2018-12-20,2994600.0
2019-08-01,2838000.0
2018-08-14,3847500.0
2018-07-13,2585300.0
2018-10-17,1948500.0
2019-05-29,1869200.0
2019-03-26,1765500.0
2019-02-22,1960200.0
2019-10-04,1807200.0
2019-11-05,1683400.0
2019-12-27,10427500.0
2020-06-02,3625100.0
2019-12-30,2675300.0
2020-03-18,1883300.0
2020-06-05,2657800.0
2019-07-15,2169800.0
2018-12-03,2801100.0
2019-06-13,1991500.0
2019-01-04,2129100.0
2018-08-29,3113100.0
