Dates,BAX
2018-06-20,73.27999877929688
2018-06-21,73.37000274658203
2018-06-25,73.73999786376953
2018-06-22,73.0199966430664
2018-06-26,73.12000274658203
2018-06-27,72.55000305175781
2018-06-28,72.33000183105469
2018-06-29,73.77999877929688
2018-07-02,72.94000244140625
2018-07-03,72.91999816894531
2018-07-05,73.22000122070312
2018-07-16,73.77999877929688
2018-09-18,74.33000183105469
2019-01-24,74.41999816894531
2019-09-05,74.0999984741211
2018-11-21,74.2300033569336
2020-01-13,74.51000213623047
2020-04-01,73.58999633789062
2020-06-19,73.7300033569336
2019-10-29,74.31999969482422
2020-01-16,74.27999877929688
2020-06-22,74.58999633789062
2018-10-03,74.6500015258789
2018-07-31,75.0199966430664
2019-03-12,75.3499984741211
2019-02-08,71.01000213623047
2019-01-07,71.27999877929688
2018-12-06,70.94999694824219
2019-08-19,71.62000274658203
2019-07-18,72.37000274658203
2019-05-15,71.5199966430664
2019-09-20,71.62999725341797
2019-11-01,72.13999938964844
2020-04-07,72.0999984741211
2020-06-25,72.41000366210938
2020-06-16,71.9800033569336
2019-11-04,71.19000244140625
2020-01-22,70.66999816894531
2019-11-07,70.6500015258789
2020-04-13,70.19000244140625
2019-07-01,71.20999908447266
2019-05-30,71.05000305175781
2018-08-15,71.95999908447266
2018-10-18,71.55000305175781
2019-03-27,71.2300033569336
2019-01-22,71.8499984741211
2018-12-21,71.86000061035156
2019-09-03,72.51000213623047
2018-11-19,72.73999786376953
2019-08-02,73.04000091552734
2020-01-28,73.41999816894531
2020-04-16,73.6500015258789
2019-11-13,74.37999725341797
2020-01-31,73.66999816894531
2018-12-04,73.68000030517578
2018-11-02,74.01000213623047
2019-07-16,74.63999938964844
2018-08-30,74.73999786376953
2018-10-01,75.5199966430664
2019-06-14,76.19000244140625
2019-05-13,77.16999816894531
2019-04-11,76.94000244140625
2019-02-06,76.93000030517578
2019-09-18,77.30000305175781
2020-02-03,77.58999633789062
2020-04-22,77.31999969482422
2019-11-19,77.23999786376953
2020-02-06,77.25
2019-11-22,76.79000091552734
2019-03-25,76.55000305175781
2019-02-21,76.55000305175781
2018-12-19,77.33000183105469
2018-07-12,77.18000030517578
2018-09-14,75.68000030517578
2018-08-13,73.9000015258789
2018-10-16,73.55999755859375
2019-07-31,72.72000122070312
2019-05-28,72.70999908447266
2019-04-26,71.12000274658203
2020-04-28,69.5199966430664
2019-11-25,70.37000274658203
2020-02-12,70.44000244140625
2020-05-01,70.33000183105469
2020-05-04,71.0
2019-06-12,69.98999786376953
2019-04-09,69.19999694824219
2019-03-08,68.37999725341797
2019-02-04,67.04000091552734
2018-07-27,67.4000015258789
2018-08-28,66.91000366210938
2019-01-03,66.19000244140625
2019-08-15,66.20999908447266
2018-10-31,67.0
2019-09-16,61.04999923706055
2020-02-18,62.04999923706055
2020-05-07,61.65999984741211
2018-08-17,61.7599983215332
2019-12-04,62.040000915527344
2020-02-21,63.099998474121094
2018-12-17,63.209999084472656
2019-08-30,62.939998626708984
2018-11-15,61.4900016784668
2019-07-29,62.04999923706055
2019-06-27,62.72999954223633
