Dates,BAX
2018-06-20,73.33000183105469
2018-06-21,73.73999786376953
2018-06-25,74.31999969482422
2018-06-22,73.58999633789062
2018-06-26,73.13999938964844
2018-06-27,72.55000305175781
2018-06-28,73.80000305175781
2018-06-29,73.83999633789062
2018-07-02,73.75
2018-07-03,73.06999969482422
2018-07-05,73.80000305175781
2018-07-16,74.37000274658203
2018-09-18,74.66999816894531
2019-01-24,74.62999725341797
2019-09-05,74.31999969482422
2018-11-21,74.77999877929688
2020-01-13,74.77999877929688
2020-04-01,74.01000213623047
2020-06-19,74.75
2019-10-29,74.69999694824219
2020-01-16,74.73999786376953
2020-06-22,75.0
2018-10-03,74.94000244140625
2018-07-31,75.54000091552734
2019-03-12,76.51000213623047
2019-02-08,73.70999908447266
2019-01-07,71.70999908447266
2018-12-06,71.36000061035156
2019-08-19,72.44999694824219
2019-07-18,72.75
2019-05-15,72.23999786376953
2019-09-20,72.3499984741211
2019-11-01,72.5199966430664
2020-04-07,72.54000091552734
2020-06-25,72.66999816894531
2020-06-16,72.06999969482422
2019-11-04,71.5
2020-01-22,70.70999908447266
2019-11-07,70.70999908447266
2020-04-13,71.25
2019-07-01,71.58000183105469
2019-05-30,72.04000091552734
2018-08-15,72.19999694824219
2018-10-18,71.63999938964844
2019-03-27,72.13999938964844
2019-01-22,71.9800033569336
2018-12-21,72.3499984741211
2019-09-03,72.9800033569336
2018-11-19,73.05999755859375
2019-08-02,73.95999908447266
2020-01-28,73.9000015258789
2020-04-16,74.37000274658203
2019-11-13,74.79000091552734
2020-01-31,74.06999969482422
2018-12-04,74.5199966430664
2018-11-02,74.58999633789062
2019-07-16,74.88999938964844
2018-08-30,75.87000274658203
2018-10-01,76.08000183105469
2019-06-14,77.12999725341797
2019-05-13,77.69000244140625
2019-04-11,77.04000091552734
2019-02-06,77.23999786376953
2019-09-18,77.63999938964844
2020-02-03,77.69000244140625
2020-04-22,77.37000274658203
2019-11-19,77.75
2020-02-06,77.45999908447266
2019-11-22,76.9000015258789
2019-03-25,76.5999984741211
2019-02-21,77.08999633789062
2018-12-19,77.80000305175781
2018-07-12,77.30000305175781
2018-09-14,75.91000366210938
2018-08-13,74.25
2018-10-16,74.18000030517578
2019-07-31,73.33000183105469
2019-05-28,72.9800033569336
2019-04-26,71.19000244140625
2020-04-28,70.16999816894531
2019-11-25,71.25
2020-02-12,70.87000274658203
2020-05-01,71.76000213623047
2020-05-04,72.44000244140625
2019-06-12,70.47000122070312
2019-04-09,69.45999908447266
2019-03-08,69.0199966430664
2019-02-04,68.7300033569336
2018-07-27,67.48999786376953
