Dates,OKE
2018-06-20,1912700.0
2018-06-21,1751100.0
2018-06-25,4425400.0
2018-06-22,1630800.0
2018-06-26,1605000.0
2018-06-27,1883000.0
2018-06-28,1628900.0
2018-06-29,1877900.0
2018-07-02,1751200.0
2018-07-03,1108900.0
2018-07-05,1905600.0
2018-07-16,1603200.0
2018-09-18,2269800.0
2019-01-24,1901100.0
2019-09-05,1960800.0
2018-11-21,1640700.0
2020-01-13,2752400.0
2020-04-01,2478500.0
2020-06-19,2683500.0
2019-10-29,2737800.0
2020-01-16,2278500.0
2020-06-22,2109200.0
2018-10-03,1586300.0
2018-07-31,1987700.0
2019-03-12,2011200.0
2019-02-08,1242300.0
2019-01-07,2191100.0
2018-12-06,1833500.0
2019-08-19,4583600.0
2019-07-18,3540200.0
2019-05-15,3500700.0
2019-09-20,2726400.0
2019-11-01,2034600.0
2020-04-07,1964400.0
2020-06-25,1623600.0
2020-06-16,1752500.0
2019-11-04,2107300.0
2020-01-22,1530800.0
2019-11-07,2509100.0
2020-04-13,2001200.0
2019-07-01,1935800.0
2019-05-30,1551500.0
2018-08-15,1424300.0
2018-10-18,1312300.0
2019-03-27,1733700.0
2019-01-22,1352200.0
2018-12-21,2043600.0
2019-09-03,2137000.0
2018-11-19,1779900.0
2019-08-02,2193500.0
2020-01-28,2100600.0
2020-04-16,1876700.0
2019-11-13,1947900.0
2020-01-31,1928200.0
2018-12-04,2182600.0
2018-11-02,1392400.0
2019-07-16,2766900.0
2018-08-30,2585900.0
2018-10-01,1775300.0
2019-06-14,2084200.0
2019-05-13,2256800.0
2019-04-11,3835100.0
2019-02-06,3041300.0
2019-09-18,3252100.0
2020-02-03,3115000.0
2020-04-22,5101500.0
2019-11-19,3352500.0
2020-02-06,3232700.0
2019-11-22,2473500.0
2019-03-25,2132600.0
2019-02-21,2237400.0
2018-12-19,2155900.0
2018-07-12,2555700.0
2018-09-14,2714100.0
2018-08-13,1807800.0
2018-10-16,1582900.0
2019-07-31,1451400.0
2019-05-28,1333300.0
2019-04-26,2428900.0
2020-04-28,3041500.0
2019-11-25,2532100.0
2020-02-12,1590000.0
2020-05-01,2864800.0
2020-05-04,1582600.0
2019-06-12,1771000.0
2019-04-09,3165000.0
2019-03-08,1949600.0
2019-02-04,2870800.0
2018-07-27,2232500.0
2018-08-28,2245800.0
2019-01-03,2872400.0
2019-08-15,2449300.0
2018-10-31,2377200.0
2019-09-16,4456800.0
2020-02-18,2443600.0
2020-05-07,2757900.0
2018-08-17,2460900.0
2019-12-04,1945100.0
2020-02-21,2706900.0
2018-12-17,2435800.0
2019-08-30,2410400.0
2018-11-15,1981000.0
2019-07-29,1791900.0
2019-06-27,2230700.0
2019-04-24,2305900.0
2018-07-10,2324900.0
2018-09-12,2222200.0
2019-02-19,2274200.0
2019-01-18,2069700.0
2020-02-24,876900.0
2020-05-13,1914000.0
2019-12-10,2053500.0
2020-02-27,2275100.0
2019-12-13,2331800.0
2020-05-19,3127900.0
2019-03-06,2281900.0
2018-11-30,3004900.0
2019-08-13,2815600.0
2019-07-12,2554000.0
2019-06-10,2836200.0
2019-05-09,2437200.0
2018-07-25,1874700.0
2018-09-27,3024300.0
2018-10-29,2386600.0
2019-10-16,2856400.0
2019-12-16,3115100.0
2020-03-04,3144500.0
2020-05-22,3595700.0
2019-10-01,5180600.0
2019-12-19,1621200.0
2018-09-10,2738500.0
2019-05-24,3919800.0
2018-08-09,4146400.0
2019-04-22,2875000.0
2019-03-21,3539500.0
2019-01-16,3715100.0
2019-08-28,2704800.0
2018-11-13,2975300.0
2018-10-12,2696800.0
2019-06-25,4147400.0
2020-03-10,2874700.0
2020-05-28,3108100.0
2019-10-07,2102500.0
2020-03-13,2653100.0
2019-10-10,2464900.0
2020-03-16,2389200.0
2020-06-03,3428900.0
2018-11-28,3419000.0
2018-09-25,3913300.0
2018-07-23,2795100.0
2018-08-24,2854600.0
2019-07-10,2574700.0
2019-05-07,5111200.0
2019-04-05,1911400.0
2019-03-04,2524400.0
2019-01-31,2212300.0
2019-09-12,2518200.0
2019-12-31,2346700.0
2020-03-19,2368600.0
2020-01-03,2763200.0
2020-06-09,2271400.0
2019-02-15,2637300.0
2019-01-14,2687600.0
2018-07-06,1900200.0
2018-08-07,4027400.0
2018-10-10,4623400.0
2018-12-13,3353700.0
2019-08-26,3123600.0
2019-07-25,2545000.0
2019-05-22,2304200.0
2019-03-19,4639700.0
2020-01-06,6081400.0
2020-03-25,3153900.0
2020-06-12,5854400.0
2019-10-22,3167400.0
2020-01-09,2677100.0
2020-06-15,2694700.0
2019-10-25,2413300.0
2020-03-31,2798400.0
2020-06-18,2375100.0
2019-04-03,2291500.0
2018-08-22,2416500.0
2018-10-25,2178500.0
2019-01-29,1787000.0
2018-12-28,4470100.0
2018-11-26,2874700.0
2019-08-09,2129400.0
2019-07-08,2666700.0
2019-06-06,1788900.0
2019-09-10,2344200.0
2020-01-15,1770900.0
2020-04-03,1966000.0
2019-10-31,1760500.0
2020-04-06,2610900.0
2020-06-24,3037500.0
2018-11-09,2008400.0
2019-07-23,1795800.0
2019-06-21,2167700.0
2019-05-20,1686600.0
2019-04-18,2202300.0
2018-09-06,1598000.0
2018-10-08,1428600.0
2019-02-13,1391300.0
2018-12-11,1146300.0
2019-09-25,1468400.0
2020-01-21,1589300.0
2020-04-09,1459500.0
2019-11-06,1525400.0
2020-01-24,1695600.0
2020-01-27,2011200.0
2020-04-15,1622100.0
2018-12-26,1631100.0
2019-08-07,1516900.0
2019-06-04,1833000.0
2018-09-21,1317300.0
2018-07-19,2410200.0
2018-08-20,3316700.0
2018-10-23,3476800.0
2019-05-03,2088100.0
2019-04-01,1987700.0
2019-02-28,2400400.0
2019-11-12,1409900.0
2020-01-30,1959200.0
2019-11-15,1802600.0
2020-04-21,2322800.0
2019-04-16,1368900.0
2019-03-15,1296200.0
2019-02-11,1646800.0
2019-01-10,1380500.0
2019-08-22,1724300.0
2018-11-07,1947900.0
2018-08-03,1966000.0
2018-09-04,2925300.0
2019-06-19,1440900.0
2019-09-23,2865600.0
2019-11-18,2410400.0
2020-02-05,1211600.0
2020-04-24,2298400.0
2019-03-29,1870700.0
2019-11-21,1635100.0
2020-04-27,1590300.0
2020-02-11,2790700.0
2020-04-30,1730200.0
2019-05-01,1355300.0
2019-02-26,1376700.0
2019-01-25,2187200.0
2018-12-24,1874400.0
2019-09-06,1573900.0
2018-07-17,1775700.0
2018-09-19,1844600.0
2019-08-05,2100900.0
2019-10-08,2536900.0
2019-12-11,3847100.0
2019-11-27,2389200.0
2020-02-14,1389200.0
2020-05-06,1483700.0
2019-01-08,1261000.0
2018-12-07,2657200.0
2019-08-20,2278300.0
2018-11-05,2044600.0
2019-07-19,1226400.0
2018-10-04,1287000.0
2019-06-17,1688500.0
2019-05-16,1770900.0
2018-08-01,1686200.0
2019-03-13,1951100.0
2019-12-03,1376800.0
2020-02-20,1542400.0
2019-12-06,1925600.0
2020-05-12,1995700.0
2019-12-09,1908200.0
2020-02-26,1881500.0
2020-05-15,1552600.0
2019-03-28,1203700.0
2018-09-17,1255900.0
2018-08-16,1697100.0
2018-10-19,1496600.0
2019-04-29,2474700.0
2019-01-23,1923200.0
2019-09-04,4271100.0
2018-11-20,3845600.0
2019-07-02,2183500.0
2019-05-31,2560900.0
2019-12-12,1895500.0
2020-05-18,2850400.0
2019-09-27,2434300.0
2020-03-03,1750900.0
