Dates,NCLH
2018-07-19,2274500.0
2018-08-20,3898700.0
2018-10-23,2163600.0
2019-05-03,2403100.0
2019-04-01,1942300.0
2019-02-28,1733300.0
2019-11-12,2909100.0
2020-01-30,3546800.0
2019-11-15,2560100.0
2020-04-21,3309300.0
2019-04-16,2938600.0
2019-03-15,1511000.0
2019-02-11,1262200.0
2019-01-10,1255400.0
2019-08-22,1492200.0
2018-11-07,2098200.0
2018-08-03,1133600.0
2018-09-04,1444400.0
2019-06-19,1175600.0
2019-09-23,1258700.0
2019-11-18,1888400.0
2020-02-05,711600.0
2020-04-24,1002100.0
2019-03-29,1790700.0
2019-11-21,5897000.0
2020-04-27,6167200.0
2020-02-11,3791300.0
2020-04-30,2570000.0
2019-05-01,2294700.0
2019-02-26,1775600.0
2019-01-25,1270700.0
2018-12-24,1288200.0
2019-09-06,1634400.0
2018-07-17,1790200.0
2018-09-19,2019700.0
2019-08-05,1022100.0
2019-10-08,3373500.0
2019-12-11,3530100.0
2019-11-27,3243300.0
2020-02-14,2240900.0
2020-05-06,1624200.0
2019-01-08,1531500.0
2018-12-07,3881100.0
2019-08-20,2564000.0
2018-11-05,1841200.0
2019-07-19,1739400.0
2018-10-04,1347200.0
2019-06-17,2458100.0
2019-05-16,2464500.0
2018-08-01,3089200.0
2019-03-13,2446000.0
2019-12-03,1249600.0
2020-02-20,1393100.0
2019-12-06,2962300.0
2020-05-12,1861800.0
2019-12-09,1097600.0
2020-02-26,1509100.0
2020-05-15,3108400.0
2019-03-28,3248500.0
2018-09-17,3016800.0
2018-08-16,2010400.0
2018-10-19,1191800.0
2019-04-29,949800.0
2019-01-23,1604500.0
2019-09-04,3470700.0
2018-11-20,3272300.0
2019-07-02,2341200.0
2019-05-31,2309100.0
2019-12-12,2884600.0
2020-05-18,4154700.0
2019-09-27,4443800.0
2020-03-03,3796700.0
2020-05-21,2903300.0
2019-05-14,3277100.0
2018-08-31,3365600.0
2018-07-30,2027300.0
2018-10-02,1958900.0
2019-04-12,2113000.0
2019-03-11,1537300.0
2019-02-07,1241300.0
2019-07-17,1687500.0
2019-09-19,2823500.0
2019-10-21,1495100.0
2019-12-18,2508000.0
2020-03-06,1282500.0
2019-10-03,1088200.0
2020-03-09,2610400.0
2020-05-27,1890500.0
2019-12-24,1199400.0
2020-03-12,1941900.0
2018-12-20,1557900.0
2019-08-01,2028600.0
2018-08-14,3031100.0
2018-07-13,1476300.0
2018-10-17,1577000.0
2019-05-29,1547400.0
2019-03-26,2268100.0
2019-02-22,1687800.0
2019-10-04,1744200.0
2019-11-05,1391800.0
2019-12-27,1724000.0
2020-06-02,1415900.0
2019-12-30,1631800.0
2020-03-18,1293000.0
2020-06-05,1664300.0
2019-07-15,1295900.0
2018-12-03,1143600.0
2019-06-13,1249000.0
2019-01-04,2122500.0
2018-08-29,3425100.0
2019-02-05,2518500.0
2018-11-01,1174700.0
2019-08-16,1410000.0
2019-04-10,1307100.0
2019-09-17,1157800.0
2019-10-15,1052900.0
2020-01-02,739100.0
2020-06-08,1250900.0
2019-10-18,896100.0
2020-03-24,1363500.0
2020-06-11,1496100.0
2020-01-08,2047200.0
2019-04-25,909600.0
2019-07-30,875000.0
2019-02-20,1366200.0
2018-07-11,928400.0
2018-09-13,1084200.0
2018-10-15,1821700.0
2019-06-28,3017400.0
2018-12-18,1722800.0
2018-11-16,1383600.0
2019-10-02,1224500.0
2020-03-27,2509900.0
2020-01-10,2753600.0
2019-10-24,3215300.0
2020-03-30,1945000.0
2020-06-17,1076100.0
2020-01-14,1694700.0
2020-04-02,1437700.0
2019-01-02,1291100.0
2019-08-14,1532300.0
2018-10-30,1242000.0
2019-06-11,1912900.0
2019-05-10,2196100.0
2019-04-08,3269400.0
2018-08-27,1667500.0
2018-07-26,1143700.0
2018-09-28,2092100.0
2019-03-07,1075300.0
2019-10-30,606600.0
2020-01-17,1197200.0
2020-06-23,1695700.0
2020-04-08,1256900.0
2020-06-26,1159500.0
2019-03-22,1310200.0
2019-01-17,813300.0
2019-08-29,906800.0
2018-11-14,1250200.0
2019-06-26,1403400.0
2018-09-11,1057700.0
2018-07-09,1468200.0
2018-08-10,1470300.0
2019-04-23,1594000.0
2019-09-30,2071800.0
2020-01-23,2974800.0
2019-11-08,1972200.0
2020-04-14,497100.0
2019-11-11,909400.0
2020-01-29,842600.0
2020-04-17,609700.0
2018-07-24,940600.0
2018-09-26,977700.0
2019-05-08,1611800.0
2019-03-05,2302500.0
2019-02-01,1623100.0
2018-12-31,1187300.0
2018-11-29,782900.0
2019-08-12,1051900.0
2019-07-11,1357200.0
2019-09-13,1147400.0
2019-11-14,1212400.0
2020-04-20,1305200.0
2020-02-04,1701100.0
2020-04-23,2252800.0
2018-12-14,3227200.0
2019-08-27,1323800.0
2018-08-08,2244700.0
2018-10-11,2779200.0
2018-11-12,1484700.0
2019-07-26,1430400.0
2019-06-24,3359700.0
2019-05-23,2146700.0
2019-03-20,2456100.0
2019-01-15,1984800.0
2019-11-20,2200200.0
2020-02-07,1596500.0
2020-02-10,2369900.0
2020-04-29,2534900.0
2019-11-26,2002800.0
2020-02-13,1982900.0
2019-01-30,2246200.0
2018-08-23,2044500.0
2018-09-24,2179300.0
2018-11-27,2285700.0
2018-10-26,5621400.0
2019-07-09,4549900.0
2019-06-07,6497100.0
2019-05-06,5898800.0
2019-04-04,8127700.0
2019-09-11,10499100.0
2019-11-29,9206200.0
2020-05-05,7318900.0
2019-12-02,5704600.0
2020-02-19,7154900.0
2020-05-08,8778700.0
2019-05-21,12408800.0
2019-03-18,12091800.0
2018-09-07,21711700.0
2018-08-06,21631700.0
2018-10-09,29445000.0
2019-02-14,43494100.0
2018-12-12,35890800.0
2019-07-24,25250500.0
2019-09-26,24363500.0
2019-10-28,16537300.0
2019-12-05,27443900.0
2020-05-11,27174100.0
2019-07-03,46798300.0
2020-02-25,47730700.0
2020-05-14,51130200.0
