Dates,CMCSA
2018-06-20,31.803585052490234
2018-06-21,31.232091903686523
2018-06-25,32.20362854003906
2018-06-22,31.546411514282227
2018-06-26,31.222562789916992
2018-06-27,30.75584602355957
2018-06-28,31.079692840576172
2018-06-29,31.251144409179688
2018-07-02,31.778057098388672
2018-07-03,31.701417922973633
2018-07-05,31.73015785217285
2018-07-16,32.170860290527344
2018-09-18,32.151695251464844
2019-01-24,31.940929412841797
2019-09-05,32.352882385253906
2018-11-21,33.10015106201172
2020-01-13,33.24385070800781
2020-04-01,33.50252151489258
2020-06-19,32.831905364990234
2019-10-29,32.61155319213867
2020-01-16,33.445037841796875
2020-06-22,32.86064147949219
2018-10-03,32.736087799072266
2018-07-31,31.988828659057617
2019-03-12,32.01757049560547
2019-02-08,33.29175567626953
2019-01-07,33.607913970947266
2018-12-06,33.971961975097656
2019-08-19,34.278533935546875
2019-07-18,33.914485931396484
2019-05-15,33.18637466430664
2019-09-20,33.92406463623047
2019-11-01,33.83783721923828
2020-04-07,33.914485931396484
2020-06-25,33.57916259765625
2020-06-16,34.000701904296875
2019-11-04,33.607913970947266
2020-01-22,33.56958770751953
2019-11-07,33.904903411865234
2020-04-13,33.50252151489258
2019-07-01,34.16357421875
2019-05-30,34.1060905456543
2018-08-15,33.9432258605957
2018-10-18,34.24021530151367
2019-03-27,33.991127014160156
2019-01-22,33.82826232910156
2018-12-21,34.96832275390625
2019-09-03,34.9012565612793
2018-11-19,34.82461166381836
2019-08-02,35.207828521728516
2020-01-28,35.14076614379883
2020-04-16,35.43775939941406
2019-11-13,34.853363037109375
2020-01-31,34.75754928588867
2018-12-04,34.412654876708984
2018-11-02,34.65216827392578
2019-07-16,34.83419418334961
2018-08-30,34.77671432495117
2018-10-01,34.57552719116211
2019-06-14,35.48566436767578
2019-05-13,35.409019470214844
2019-04-11,35.409019470214844
2019-02-06,36.15628433227539
2019-09-18,35.753910064697266
2020-02-03,36.223350524902344
2020-04-22,36.309574127197266
2019-11-19,34.13482666015625
2020-02-06,33.914485931396484
2019-11-22,33.885738372802734
2019-03-25,33.742042541503906
2019-02-21,33.92406463623047
2018-12-19,34.02944564819336
2018-07-12,34.38582229614258
2018-09-14,33.894596099853516
2018-08-13,33.91386032104492
2018-10-16,33.28779220581055
2019-07-31,33.88496780395508
2019-05-28,34.13539505004883
2019-04-26,33.018096923828125
2020-04-28,32.4305534362793
2019-11-25,33.345584869384766
2020-02-12,33.798274993896484
2020-05-01,34.67477798461914
2020-05-04,35.060062408447266
2019-06-12,34.61698913574219
2019-04-09,34.655513763427734
2019-03-08,34.43398666381836
2019-02-04,34.33766174316406
2018-07-27,32.86398696899414
2018-08-28,34.52067565917969
2019-01-03,33.9427604675293
2019-08-15,34.6651496887207
2018-10-31,36.32182693481445
2019-09-16,36.73600769042969
2020-02-18,36.55300521850586
2020-05-07,36.2736701965332
2018-08-17,36.62042999267578
2019-12-04,36.341094970703125
2020-02-21,36.890113830566406
2018-12-17,36.890113830566406
2019-08-30,36.92864227294922
2018-11-15,36.601158142089844
2019-07-29,36.33147048950195
2019-06-27,36.8804817199707
2019-04-24,37.0731201171875
2018-07-10,37.169437408447266
2018-09-12,36.7745361328125
2019-02-19,35.406803131103516
2019-01-18,36.12919235229492
2020-02-24,36.013614654541016
2020-05-13,36.3796272277832
2019-12-10,36.94790267944336
2020-02-27,37.62213897705078
2019-12-13,37.96887969970703
2020-05-19,37.573978424072266
2019-03-06,37.70882034301758
2018-11-30,36.30256652832031
2019-08-13,36.48558044433594
2019-07-12,36.032875061035156
2019-06-10,35.97508239746094
2019-05-09,35.483856201171875
2018-07-25,35.61870574951172
2018-09-27,35.406803131103516
2018-10-29,35.002262115478516
2019-10-16,34.87704849243164
2019-12-16,34.33766174316406
2020-03-04,33.894596099853516
2020-05-22,33.345584869384766
2019-10-01,32.507606506347656
2019-12-19,31.852638244628906
2018-09-10,32.88324737548828
2019-05-24,33.201107025146484
2018-08-09,33.08552169799805
2019-04-22,32.97897720336914
2019-03-21,33.28891372680664
2019-01-16,33.55042266845703
2019-08-28,34.683624267578125
2018-11-13,34.31557846069336
2018-10-12,34.59645462036133
2019-06-25,34.92576217651367
2020-03-10,34.69330596923828
2020-05-28,34.50928497314453
2019-10-07,34.64488220214844
2020-03-13,34.7029914855957
2019-10-10,34.77079391479492
2020-03-16,34.780479431152344
2020-06-03,35.07103729248047
2018-11-28,33.87004089355469
2018-09-25,35.72965621948242
2018-07-23,35.100101470947266
2018-08-24,34.654563903808594
2019-07-10,34.25746154785156
2019-05-07,34.945133209228516
2019-04-05,34.31557846069336
2019-03-04,35.419715881347656
2019-01-31,35.6328010559082
2019-09-12,35.613426208496094
2019-12-31,35.981475830078125
2020-03-19,36.00083923339844
2020-01-03,36.49480056762695
2020-06-09,36.41731643676758
2019-02-15,35.8361930847168
2019-01-14,36.06864547729492
2018-07-06,35.86525344848633
2018-08-07,36.0880126953125
2018-10-10,36.58197021484375
2018-12-13,36.36888885498047
2019-08-26,36.60134506225586
2019-07-25,37.259952545166016
2019-05-22,37.39554977416992
2019-03-19,37.35680389404297
2020-01-06,37.57957077026367
2020-03-25,37.31806564331055
2020-06-12,37.45366668701172
2019-10-22,37.87013244628906
2020-01-09,37.511775970458984
2020-06-15,37.50209045410156
2019-10-25,37.39554977416992
2020-03-31,37.172786712646484
2020-06-18,36.98876190185547
2019-04-03,37.93793487548828
2018-08-22,38.24787139892578
2018-10-25,38.315673828125
2019-01-29,38.61592102050781
2018-12-28,39.197044372558594
2018-11-26,38.664344787597656
2019-08-09,38.52874755859375
2019-07-08,38.22850036621094
2019-06-06,38.790252685546875
2019-09-10,38.21881103515625
2020-01-15,37.9476203918457
2020-04-03,38.38346862792969
2019-10-31,38.945220947265625
2020-04-06,39.14861297607422
2020-06-24,38.72245788574219
2018-11-09,39.04207992553711
2019-07-23,38.96419143676758
2019-06-21,39.20758819580078
2019-05-20,39.343894958496094
2019-04-18,39.35363006591797
2018-09-06,39.635982513427734
