Dates,AIZ
2018-06-20,1665100.0
2018-06-21,1131200.0
2018-06-25,1391300.0
2018-06-22,1087900.0
2018-06-26,1022400.0
2018-06-27,1462100.0
2018-06-28,1588400.0
2018-06-29,877800.0
2018-07-02,1185500.0
2018-07-03,624600.0
2018-07-05,1173400.0
2018-07-16,915000.0
2018-09-18,1001900.0
2019-01-24,1244300.0
2019-09-05,1164400.0
2018-11-21,714500.0
2020-01-13,757400.0
2020-04-01,794700.0
2020-06-19,767400.0
2019-10-29,789400.0
2020-01-16,604500.0
2020-06-22,964600.0
2018-10-03,943400.0
2018-07-31,846000.0
2019-03-12,504300.0
2019-02-08,596300.0
2019-01-07,464100.0
2018-12-06,769100.0
2019-08-19,761400.0
2019-07-18,576200.0
2019-05-15,618900.0
2019-09-20,596600.0
2019-11-01,1379100.0
2020-04-07,768600.0
2020-06-25,1485800.0
2020-06-16,737000.0
2019-11-04,796700.0
2020-01-22,727100.0
2019-11-07,1035900.0
2020-04-13,537900.0
2019-07-01,924000.0
2019-05-30,516400.0
2018-08-15,723100.0
2018-10-18,675000.0
2019-03-27,588000.0
2019-01-22,454300.0
2018-12-21,545200.0
2019-09-03,716800.0
2018-11-19,663500.0
2019-08-02,591800.0
2020-01-28,668600.0
2020-04-16,556500.0
2019-11-13,848200.0
2020-01-31,685400.0
2018-12-04,837400.0
2018-11-02,686100.0
2019-07-16,556700.0
2018-08-30,421600.0
2018-10-01,363700.0
2019-06-14,751800.0
2019-05-13,511500.0
2019-04-11,683100.0
2019-02-06,714000.0
2019-09-18,685700.0
2020-02-03,884600.0
2020-04-22,1289200.0
2019-11-19,640800.0
2020-02-06,477000.0
2019-11-22,1782300.0
2019-03-25,897200.0
2019-02-21,822800.0
2018-12-19,834300.0
2018-07-12,616200.0
2018-09-14,824200.0
2018-08-13,601100.0
2018-10-16,340700.0
2019-07-31,631700.0
2019-05-28,406100.0
2019-04-26,626400.0
2020-04-28,722300.0
2019-11-25,558100.0
2020-02-12,354100.0
2020-05-01,409200.0
2020-05-04,596000.0
2019-06-12,424000.0
2019-04-09,388300.0
2019-03-08,386200.0
2019-02-04,1146800.0
2018-07-27,812500.0
2018-08-28,510200.0
2019-01-03,450400.0
2019-08-15,481300.0
2018-10-31,402400.0
2019-09-16,553500.0
2020-02-18,487300.0
2020-05-07,352600.0
2018-08-17,495400.0
2019-12-04,485900.0
2020-02-21,960600.0
2018-12-17,554200.0
2019-08-30,471200.0
2018-11-15,589300.0
2019-07-29,535000.0
2019-06-27,480400.0
2019-04-24,460200.0
2018-07-10,479900.0
2018-09-12,379400.0
2019-02-19,553800.0
2019-01-18,415500.0
2020-02-24,156000.0
2020-05-13,548400.0
2019-12-10,535800.0
2020-02-27,539600.0
2019-12-13,487900.0
2020-05-19,450000.0
2019-03-06,505200.0
2018-11-30,700600.0
2019-08-13,984800.0
2019-07-12,456900.0
2019-06-10,403700.0
2019-05-09,348300.0
2018-07-25,325200.0
2018-09-27,444200.0
2018-10-29,529600.0
2019-10-16,634800.0
2019-12-16,457700.0
2020-03-04,342400.0
2020-05-22,585600.0
2019-10-01,652100.0
2019-12-19,299000.0
2018-09-10,362800.0
2019-05-24,405700.0
2018-08-09,347600.0
2019-04-22,287500.0
2019-03-21,496200.0
2019-01-16,349200.0
2019-08-28,309800.0
2018-11-13,277200.0
2018-10-12,364100.0
2019-06-25,312300.0
2020-03-10,222200.0
2020-05-28,210100.0
2019-10-07,386500.0
2020-03-13,284100.0
2019-10-10,390100.0
2020-03-16,723100.0
2020-06-03,598400.0
2018-11-28,218100.0
2018-09-25,166600.0
2018-07-23,347200.0
2018-08-24,419700.0
2019-07-10,536100.0
2019-05-07,256700.0
2019-04-05,410600.0
2019-03-04,653200.0
2019-01-31,486700.0
2019-09-12,522200.0
2019-12-31,608100.0
2020-03-19,499300.0
2020-01-03,458300.0
2020-06-09,279300.0
2019-02-15,296200.0
2019-01-14,434000.0
2018-07-06,1478300.0
2018-08-07,546900.0
2018-10-10,543400.0
2018-12-13,419200.0
