Dates,CCI
2018-06-20,1825800.0
2018-06-21,1153800.0
2018-06-25,2537800.0
2018-06-22,2173200.0
2018-06-26,3673100.0
2018-06-27,1775600.0
2018-06-28,2087400.0
2018-06-29,2588400.0
2018-07-02,2178600.0
2018-07-03,2165200.0
2018-07-05,2311300.0
2018-07-16,1795800.0
2018-09-18,2164600.0
2019-01-24,3474900.0
2019-09-05,1771100.0
2018-11-21,2011200.0
2020-01-13,1105800.0
2020-04-01,1178100.0
2020-06-19,2896500.0
2019-10-29,2156200.0
2020-01-16,2178700.0
2020-06-22,3099800.0
2018-10-03,2227200.0
2018-07-31,4123600.0
2019-03-12,2160800.0
2019-02-08,1792600.0
2019-01-07,1594000.0
2018-12-06,2422000.0
2019-08-19,2921900.0
2019-07-18,1559100.0
2019-05-15,1256200.0
2019-09-20,1305700.0
2019-11-01,3334100.0
2020-04-07,3557400.0
2020-06-25,2289300.0
2020-06-16,1743600.0
2019-11-04,948100.0
2020-01-22,1397500.0
2019-11-07,1345300.0
2020-04-13,1854000.0
2019-07-01,1694700.0
2019-05-30,1850900.0
2018-08-15,1818700.0
2018-10-18,3458600.0
2019-03-27,2589900.0
2019-01-22,1116600.0
2018-12-21,1479400.0
2019-09-03,1531200.0
2018-11-19,1429200.0
2019-08-02,2493400.0
2020-01-28,1385200.0
2020-04-16,2181000.0
2019-11-13,1197600.0
2020-01-31,1247800.0
2018-12-04,1132000.0
2018-11-02,1236600.0
2019-07-16,1915100.0
2018-08-30,1996400.0
2018-10-01,1515800.0
2019-06-14,1779500.0
2019-05-13,1541700.0
2019-04-11,1738300.0
2019-02-06,1282400.0
2019-09-18,2120200.0
2020-02-03,2274500.0
2020-04-22,2906200.0
2019-11-19,1918300.0
2020-02-06,1513800.0
2019-11-22,2141900.0
2019-03-25,2020900.0
2019-02-21,2375100.0
2018-12-19,2121400.0
2018-07-12,1830800.0
2018-09-14,1757500.0
2018-08-13,1280000.0
2018-10-16,1232100.0
2019-07-31,2149300.0
2019-05-28,2330300.0
2019-04-26,3186700.0
2020-04-28,2324800.0
2019-11-25,3033400.0
2020-02-12,1871100.0
2020-05-01,2210500.0
2020-05-04,2465100.0
2019-06-12,3933100.0
2019-04-09,2567800.0
2019-03-08,2462500.0
2019-02-04,3149500.0
2018-07-27,4904400.0
2018-08-28,3272000.0
2019-01-03,3148700.0
2019-08-15,4762700.0
2018-10-31,3117100.0
2019-09-16,3168200.0
2020-02-18,2540500.0
2020-05-07,2817400.0
2018-08-17,2731300.0
2019-12-04,1365400.0
2020-02-21,1844600.0
2018-12-17,2177200.0
2019-08-30,1495800.0
2018-11-15,2334100.0
2019-07-29,2137300.0
2019-06-27,1837000.0
2019-04-24,2648700.0
2018-07-10,2328900.0
2018-09-12,2006900.0
2019-02-19,2550300.0
2019-01-18,2112900.0
2020-02-24,684700.0
2020-05-13,1539900.0
2019-12-10,2016200.0
2020-02-27,1865100.0
2019-12-13,2647000.0
2020-05-19,3752300.0
2019-03-06,3640600.0
2018-11-30,2907900.0
2019-08-13,3247300.0
2019-07-12,2308200.0
2019-06-10,2188900.0
2019-05-09,1732600.0
2018-07-25,2173400.0
2018-09-27,2153400.0
2018-10-29,2231100.0
2019-10-16,2837500.0
2019-12-16,2091500.0
2020-03-04,2324300.0
2020-05-22,3422400.0
2019-10-01,4839300.0
2019-12-19,1501100.0
2018-09-10,2234500.0
2019-05-24,1690600.0
2018-08-09,1575600.0
2019-04-22,1375800.0
