Dates,CCI
2018-06-20,101.69999694824219
2018-06-21,102.55000305175781
2018-06-25,103.16999816894531
2018-06-22,103.54000091552734
2018-06-26,104.6500015258789
2018-06-27,106.4000015258789
2018-06-28,106.69999694824219
2018-06-29,106.91000366210938
2018-07-02,107.8499984741211
2018-07-03,108.31999969482422
2018-07-05,109.05000305175781
2018-07-16,111.41999816894531
2018-09-18,111.54000091552734
2019-01-24,109.58000183105469
2019-09-05,110.55999755859375
2018-11-21,111.25
2020-01-13,111.19999694824219
2020-04-01,111.05999755859375
2020-06-19,110.83000183105469
2019-10-29,110.5199966430664
2020-01-16,109.6500015258789
2020-06-22,110.77999877929688
2018-10-03,110.2300033569336
2018-07-31,108.25
2019-03-12,108.37999725341797
2019-02-08,109.23999786376953
2019-01-07,109.94999694824219
2018-12-06,108.98999786376953
2019-08-19,109.58000183105469
2019-07-18,110.16000366210938
2019-05-15,111.68000030517578
2019-09-20,111.4000015258789
2019-11-01,112.66000366210938
2020-04-07,111.02999877929688
2020-06-25,111.41000366210938
2020-06-16,109.94999694824219
2019-11-04,111.29000091552734
2020-01-22,110.08999633789062
2019-11-07,110.80000305175781
2020-04-13,111.30000305175781
2019-07-01,112.06999969482422
2019-05-30,112.86000061035156
2018-08-15,113.94999694824219
2018-10-18,114.29000091552734
2019-03-27,112.76000213623047
2019-01-22,111.70999908447266
2018-12-21,111.69999694824219
2019-09-03,112.81999969482422
2018-11-19,111.58000183105469
2019-08-02,113.56999969482422
2020-01-28,114.2300033569336
2020-04-16,113.79000091552734
2019-11-13,113.69999694824219
2020-01-31,113.3499984741211
2018-12-04,114.05000305175781
2018-11-02,113.9000015258789
2019-07-16,113.37999725341797
2018-08-30,112.5
2018-10-01,112.26000213623047
2019-06-14,111.45999908447266
2019-05-13,112.33999633789062
2019-04-11,111.5999984741211
2019-02-06,112.51000213623047
2019-09-18,112.37999725341797
2020-02-03,111.72000122070312
2020-04-22,112.01000213623047
2019-11-19,111.4800033569336
2020-02-06,110.26000213623047
2019-11-22,109.69000244140625
2019-03-25,108.86000061035156
2019-02-21,109.2300033569336
2018-12-19,111.33000183105469
2018-07-12,110.44999694824219
2018-09-14,109.27999877929688
2018-08-13,108.44000244140625
2018-10-16,108.41000366210938
2019-07-31,108.9800033569336
2019-05-28,110.30999755859375
2019-04-26,111.06999969482422
2020-04-28,108.9800033569336
2019-11-25,106.2699966430664
2020-02-12,104.80999755859375
2020-05-01,105.56999969482422
2020-05-04,107.12999725341797
2019-06-12,106.0
2019-04-09,106.66999816894531
2019-03-08,107.26000213623047
2019-02-04,105.54000091552734
2018-07-27,106.41999816894531
2018-08-28,107.0999984741211
2019-01-03,106.61000061035156
2019-08-15,104.19999694824219
2018-10-31,106.7699966430664
2019-09-16,109.68000030517578
2020-02-18,109.23999786376953
2020-05-07,109.25
2018-08-17,109.80999755859375
2019-12-04,111.19000244140625
2020-02-21,111.3499984741211
2018-12-17,111.58999633789062
2019-08-30,111.47000122070312
2018-11-15,110.79000091552734
2019-07-29,110.05000305175781
2019-06-27,111.26000213623047
2019-04-24,110.06999969482422
2018-07-10,110.41999816894531
2018-09-12,112.16999816894531
2019-02-19,112.66999816894531
2019-01-18,109.43000030517578
2020-02-24,109.23999786376953
2020-05-13,108.33999633789062
2019-12-10,108.52999877929688
2020-02-27,110.69999694824219
2019-12-13,112.16000366210938
2020-05-19,113.30000305175781
2019-03-06,114.68000030517578
2018-11-30,113.66000366210938
2019-08-13,114.41999816894531
2019-07-12,117.12000274658203
2019-06-10,115.7300033569336
2019-05-09,116.73999786376953
2018-07-25,116.73999786376953
2018-09-27,114.76000213623047
2018-10-29,114.5
2019-10-16,114.55000305175781
2019-12-16,111.47000122070312
2020-03-04,111.26000213623047
2020-05-22,110.05999755859375
2019-10-01,108.3499984741211
2019-12-19,106.25
2018-09-10,104.0199966430664
2019-05-24,107.13999938964844
2018-08-09,108.95999908447266
2019-04-22,108.5
2019-03-21,107.62000274658203
2019-01-16,105.81999969482422
2019-08-28,107.30000305175781
2018-11-13,108.41999816894531
2018-10-12,109.47000122070312
2019-06-25,107.36000061035156
2020-03-10,105.62000274658203
2020-05-28,106.61000061035156
2019-10-07,106.80000305175781
2020-03-13,106.70999908447266
2019-10-10,107.1500015258789
2020-03-16,107.20999908447266
2020-06-03,108.2300033569336
2018-11-28,107.62000274658203
2018-09-25,109.70999908447266
2018-07-23,110.79000091552734
2018-08-24,112.73999786376953
2019-07-10,113.69000244140625
2019-05-07,114.05000305175781
2019-04-05,114.94000244140625
2019-03-04,115.47000122070312
2019-01-31,117.22000122070312
2019-09-12,116.81999969482422
2019-12-31,117.6500015258789
2020-03-19,119.41000366210938
2020-01-03,116.72000122070312
2020-06-09,118.06999969482422
2019-02-15,118.43000030517578
2019-01-14,118.4000015258789
2018-07-06,117.52999877929688
2018-08-07,118.45999908447266
2018-10-10,119.69000244140625
2018-12-13,120.2300033569336
2019-08-26,120.38999938964844
2019-07-25,119.11000061035156
2019-05-22,119.68000030517578
2019-03-19,120.05999755859375
2020-01-06,118.38999938964844
2020-03-25,118.11000061035156
2020-06-12,118.37999725341797
2019-10-22,118.8499984741211
2020-01-09,119.6500015258789
2020-06-15,119.51000213623047
2019-10-25,119.86000061035156
2020-03-31,120.5999984741211
2020-06-18,120.72000122070312
2019-04-03,121.18000030517578
2018-08-22,123.72000122070312
2018-10-25,124.2300033569336
2019-01-29,124.12999725341797
2018-12-28,124.5
2018-11-26,125.1500015258789
2019-08-09,124.69999694824219
2019-07-08,124.58999633789062
2019-06-06,125.30000305175781
2019-09-10,126.36000061035156
2020-01-15,125.58000183105469
2020-04-03,125.66999816894531
2019-10-31,125.47000122070312
2020-04-06,126.68000030517578
2020-06-24,127.2300033569336
2018-11-09,128.3699951171875
2019-07-23,126.66999816894531
2019-06-21,128.36000061035156
2019-05-20,128.67999267578125
2019-04-18,128.22000122070312
2018-09-06,128.9600067138672
2018-10-08,128.5500030517578
2019-02-13,130.16000366210938
2018-12-11,130.3800048828125
2019-09-25,128.32000732421875
2020-01-21,128.85000610351562
2020-04-09,127.33999633789062
2019-11-06,127.22000122070312
2020-01-24,121.75
2020-01-27,122.61000061035156
2020-04-15,123.08999633789062
2018-12-26,123.69000244140625
2019-08-07,123.04000091552734
2019-06-04,123.5
2018-09-21,124.0
2018-07-19,123.68000030517578
2018-08-20,125.62999725341797
2018-10-23,124.52999877929688
2019-05-03,124.43000030517578
2019-04-01,124.27999877929688
2019-02-28,124.62999725341797
2019-11-12,123.36000061035156
2020-01-30,123.6500015258789
2019-11-15,124.01000213623047
2020-04-21,124.80000305175781
2019-04-16,126.48999786376953
2019-03-15,126.81999969482422
2019-02-11,127.12000274658203
2019-01-10,127.05000305175781
2019-08-22,126.05999755859375
2018-11-07,124.05000305175781
2018-08-03,125.26000213623047
2018-09-04,126.44999694824219
2019-06-19,129.64999389648438
2019-09-23,128.0399932861328
2019-11-18,126.18000030517578
2020-02-05,125.88999938964844
2020-04-24,127.69000244140625
2019-03-29,130.11000061035156
2019-11-21,131.5
2020-04-27,132.47999572753906
2020-02-11,134.8000030517578
2020-04-30,135.77000427246094
2019-05-01,135.50999450683594
2019-02-26,134.75999450683594
2019-01-25,136.08999633789062
2018-12-24,133.16000366210938
2019-09-06,132.83999633789062
2018-07-17,133.6699981689453
2018-09-19,136.7100067138672
2019-08-05,135.25
2019-10-08,137.0
2019-12-11,136.75
2019-11-27,136.17999267578125
2020-02-14,135.47999572753906
2020-05-06,133.0800018310547
2019-01-08,130.99000549316406
2018-12-07,130.2899932861328
2019-08-20,130.83999633789062
2018-11-05,130.61000061035156
2019-07-19,133.58999633789062
2018-10-04,133.6699981689453
2019-06-17,134.25999450683594
2019-05-16,134.50999450683594
2018-08-01,135.47999572753906
2019-03-13,136.02000427246094
2019-12-03,134.77000427246094
2020-02-20,132.8000030517578
2019-12-06,133.3300018310547
2020-05-12,133.02999877929688
2019-12-09,125.30999755859375
2020-02-26,127.52999877929688
2020-05-15,125.4800033569336
2019-03-28,126.54000091552734
2018-09-17,127.86000061035156
2018-08-16,129.1999969482422
2018-10-19,129.99000549316406
2019-04-29,131.24000549316406
2019-01-23,130.33999633789062
2019-09-04,133.08999633789062
2018-11-20,134.6300048828125
2019-07-02,133.8699951171875
2019-05-31,134.83999633789062
2019-12-12,133.2100067138672
2020-05-18,135.64999389648438
2019-09-27,138.13999938964844
2020-03-03,140.97000122070312
2020-05-21,141.57000732421875
2019-05-14,141.0800018310547
2018-08-31,141.5800018310547
2018-07-30,139.0399932861328
2018-10-02,143.33999633789062
2019-04-12,143.64999389648438
2019-03-11,145.5
2019-02-07,145.3300018310547
2019-07-17,145.24000549316406
2019-09-19,146.5
2019-10-21,147.0
2019-12-18,148.0399932861328
2020-03-06,146.17999267578125
2019-10-03,147.16000366210938
2020-03-09,146.35000610351562
2020-05-27,145.08999633789062
2019-12-24,148.0
2020-03-12,149.35000610351562
2018-12-20,147.0399932861328
2019-08-01,146.22999572753906
2018-08-14,142.3300018310547
2018-07-13,139.07000732421875
2018-10-17,138.4199981689453
2019-05-29,138.61000061035156
2019-03-26,136.1199951171875
2019-02-22,138.91000366210938
2019-10-04,142.99000549316406
2019-11-05,141.0
2019-12-27,141.6699981689453
2020-06-02,140.72000122070312
2019-12-30,141.8699951171875
2020-03-18,142.82000732421875
2020-06-05,140.02999877929688
2019-07-15,141.74000549316406
2018-12-03,138.42999267578125
2019-06-13,138.88999938964844
2019-01-04,136.94000244140625
2018-08-29,136.8800048828125
2019-02-05,137.52000427246094
2018-11-01,137.4499969482422
2019-08-16,137.3300018310547
2019-04-10,137.36000061035156
2019-09-17,136.60000610351562
2019-10-15,138.22999572753906
2020-01-02,136.9499969482422
2020-06-08,136.22000122070312
2019-10-18,134.14999389648438
2020-03-24,135.52000427246094
2020-06-11,140.4499969482422
2020-01-08,144.0500030517578
2019-04-25,143.0800018310547
2019-07-30,141.0
2019-02-20,141.25999450683594
2018-07-11,141.5
2018-09-13,140.97000122070312
2018-10-15,139.3800048828125
2019-06-28,139.2100067138672
2018-12-18,139.32000732421875
2018-11-16,139.55999755859375
2019-10-02,137.27999877929688
2020-03-27,134.02999877929688
2020-01-10,132.16000366210938
2019-10-24,133.13999938964844
2020-03-30,130.5800018310547
2020-06-17,130.83999633789062
2020-01-14,131.11000061035156
2020-04-02,131.02000427246094
2019-01-02,131.82000732421875
2019-08-14,134.10000610351562
2018-10-30,134.77999877929688
2019-06-11,136.24000549316406
2019-05-10,134.30999755859375
2019-04-08,137.22000122070312
2018-08-27,135.4199981689453
2018-07-26,132.44000244140625
2018-09-28,132.08999633789062
2019-03-07,134.39999389648438
2019-10-30,134.0
2020-01-17,133.4499969482422
2020-06-23,131.16000366210938
2020-04-08,133.33999633789062
2020-06-26,134.32000732421875
2019-03-22,134.75999450683594
2019-01-17,135.17999267578125
2019-08-29,136.3800048828125
2018-11-14,133.8800048828125
2019-06-26,133.66000366210938
2018-09-11,131.99000549316406
2018-07-09,132.97999572753906
2018-08-10,134.77000427246094
2019-04-23,133.52000427246094
2019-09-30,136.91000366210938
2020-01-23,142.0500030517578
2019-11-08,142.32000732421875
2020-04-14,140.5500030517578
2019-11-11,140.27000427246094
2020-01-29,141.11000061035156
2020-04-17,140.69000244140625
2018-07-24,141.4499969482422
2018-09-26,142.3300018310547
2019-05-08,140.85000610351562
2019-03-05,142.13999938964844
2019-02-01,141.0
2018-12-31,139.00999450683594
2018-11-29,139.1999969482422
2019-08-12,140.39999389648438
2019-07-11,142.9199981689453
2019-09-13,142.9499969482422
2019-11-14,142.16000366210938
2020-04-20,144.39999389648438
2020-02-04,145.50999450683594
2020-04-23,145.32000732421875
2018-12-14,149.00999450683594
2019-08-27,149.1300048828125
2018-08-08,150.0
2018-10-11,149.3300018310547
2018-11-12,150.14999389648438
2019-07-26,151.8000030517578
2019-06-24,148.6300048828125
2019-05-23,151.05999755859375
2019-03-20,150.67999267578125
2019-01-15,149.6300048828125
2019-11-20,150.27000427246094
2020-02-07,150.1300048828125
2020-02-10,151.05999755859375
2020-04-29,151.05999755859375
2019-11-26,154.33999633789062
2020-02-13,160.8300018310547
2019-01-30,163.05999755859375
2018-08-23,164.47000122070312
2018-09-24,166.0500030517578
2018-11-27,166.27000427246094
2018-10-26,165.8699951171875
2019-07-09,166.66000366210938
2019-06-07,165.35000610351562
2019-05-06,167.0500030517578
2019-04-04,163.74000549316406
2019-09-11,148.74000549316406
2019-11-29,145.1300048828125
2020-05-05,143.92999267578125
2019-12-02,156.8300018310547
2020-02-19,160.6199951171875
2020-05-08,160.80999755859375
2019-05-21,159.25999450683594
2019-03-18,152.97999572753906
2018-09-07,153.61000061035156
2018-08-06,155.0800018310547
2018-10-09,143.19000244140625
2019-02-14,149.6300048828125
2018-12-12,138.92999267578125
2019-07-24,138.6999969482422
2019-09-26,141.16000366210938
2019-10-28,137.91000366210938
2019-12-05,129.30999755859375
2020-05-11,126.80000305175781
2019-07-03,121.83000183105469
2020-02-25,122.97000122070312
2020-05-14,128.0
2020-02-28,139.4199981689453
2019-08-08,140.5
2019-06-05,145.9499969482422
2018-07-20,137.6699981689453
2018-08-21,137.5
2018-10-24,144.85000610351562
2019-04-02,148.38999938964844
2019-03-01,153.5500030517578
2019-01-28,148.0
2018-12-27,158.25999450683594
2019-09-09,163.19000244140625
2020-03-02,160.2899932861328
2020-05-20,166.02000427246094
2019-12-17,164.44000244140625
2020-03-05,165.22999572753906
2019-02-12,165.25999450683594
2019-01-11,160.1699981689453
2018-12-10,161.86000061035156
2019-08-23,162.74000549316406
2018-11-08,161.61000061035156
2019-07-22,163.0
2019-06-20,163.02999877929688
2018-09-05,163.41000366210938
2019-04-17,150.60000610351562
2019-09-24,156.97999572753906
