Dates,LLY
2018-06-20,86.73999786376953
2018-06-21,85.81999969482422
2018-06-25,86.0199966430664
2018-06-22,86.0
2018-06-26,85.54000091552734
2018-06-27,84.91000366210938
2018-06-28,84.8499984741211
2018-06-29,85.83999633789062
2018-07-02,85.05999755859375
2018-07-03,85.80999755859375
2018-07-05,86.91000366210938
2018-07-16,86.83000183105469
2018-09-18,87.5999984741211
2019-01-24,88.08000183105469
2019-09-05,87.7699966430664
2018-11-21,88.0999984741211
2020-01-13,88.83000183105469
2020-04-01,89.62999725341797
2020-06-19,89.36000061035156
2019-10-29,89.5999984741211
2020-01-16,89.83000183105469
2020-06-22,89.0199966430664
2018-10-03,88.30000305175781
2018-07-31,91.05999755859375
2019-03-12,93.16000366210938
2019-02-08,96.63999938964844
2019-01-07,95.6500015258789
2018-12-06,96.37999725341797
2019-08-19,98.25
2019-07-18,98.73999786376953
2019-05-15,97.94999694824219
2019-09-20,99.18000030517578
2019-11-01,100.4000015258789
2020-04-07,101.79000091552734
2020-06-25,101.8499984741211
2020-06-16,102.05999755859375
2019-11-04,102.1500015258789
2020-01-22,102.44999694824219
2019-11-07,101.7699966430664
2020-04-13,102.27999877929688
2019-07-01,103.25
2019-05-30,104.43000030517578
2018-08-15,105.58000183105469
2018-10-18,106.0199966430664
2019-03-27,104.80000305175781
2019-01-22,104.98999786376953
2018-12-21,105.56999969482422
2019-09-03,106.1500015258789
2018-11-19,105.02999877929688
2019-08-02,104.4000015258789
2020-01-28,105.18000030517578
2020-04-16,105.13999938964844
2019-11-13,105.30999755859375
2020-01-31,104.8499984741211
2018-12-04,105.66999816894531
2018-11-02,105.1500015258789
2019-07-16,107.5
2018-08-30,106.41000366210938
2018-10-01,105.80999755859375
2019-06-14,106.16000366210938
2019-05-13,106.56999969482422
2019-04-11,105.61000061035156
2019-02-06,105.87000274658203
2019-09-18,106.87999725341797
2020-02-03,105.72000122070312
2020-04-22,106.2300033569336
2019-11-19,105.94999694824219
2020-02-06,106.01000213623047
2019-11-22,106.05999755859375
2019-03-25,106.48999786376953
2019-02-21,106.7699966430664
2018-12-19,107.66999816894531
2018-07-12,107.5
2018-09-14,108.47000122070312
2018-08-13,113.62000274658203
2018-10-16,114.08999633789062
2019-07-31,114.8499984741211
2019-05-28,115.08999633789062
2019-04-26,114.95999908447266
2020-04-28,113.08999633789062
2019-11-25,109.0
2020-02-12,110.5
2020-05-01,110.83999633789062
2020-05-04,110.9800033569336
2019-06-12,113.93000030517578
2019-04-09,112.87999725341797
2019-03-08,112.0
2019-02-04,110.69999694824219
2018-07-27,110.22000122070312
2018-08-28,106.43000030517578
2019-01-03,107.05000305175781
2019-08-15,107.44999694824219
2018-10-31,107.2300033569336
2019-09-16,109.58999633789062
2020-02-18,108.73999786376953
2020-05-07,108.13999938964844
2018-08-17,110.43000030517578
2019-12-04,109.0
2020-02-21,106.8499984741211
2018-12-17,109.48999786376953
2019-08-30,110.41999816894531
2018-11-15,112.26000213623047
2019-07-29,114.25
2019-06-27,112.36000061035156
2019-04-24,109.18000030517578
2018-07-10,111.68000030517578
2018-09-12,113.0
2019-02-19,114.87999725341797
2019-01-18,114.27999877929688
2020-02-24,111.86000061035156
2020-05-13,111.26000213623047
2019-12-10,112.27999877929688
2020-02-27,114.7300033569336
2019-12-13,115.30000305175781
2020-05-19,117.61000061035156
2019-03-06,118.63999938964844
2018-11-30,118.6500015258789
2019-08-13,115.31999969482422
2019-07-12,115.52999877929688
2019-06-10,113.5999984741211
2019-05-09,114.83999633789062
2018-07-25,115.4800033569336
2018-09-27,114.62000274658203
2018-10-29,114.29000091552734
2019-10-16,111.20999908447266
2019-12-16,109.43000030517578
2020-03-04,111.54000091552734
2020-05-22,109.0999984741211
2019-10-01,109.29000091552734
2019-12-19,109.3499984741211
2018-09-10,106.76000213623047
2019-05-24,110.23999786376953
2018-08-09,113.4000015258789
2019-04-22,114.33999633789062
2019-03-21,114.79000091552734
2019-01-16,114.72000122070312
2019-08-28,112.20999908447266
2018-11-13,112.37000274658203
2018-10-12,115.69000244140625
2019-06-25,116.37000274658203
2020-03-10,117.08999633789062
2020-05-28,115.2699966430664
2019-10-07,115.19999694824219
2020-03-13,113.91000366210938
2019-10-10,116.98999786376953
2020-03-16,116.80999755859375
2020-06-03,115.58000183105469
2018-11-28,115.69000244140625
2018-09-25,117.11000061035156
2018-07-23,118.22000122070312
2018-08-24,115.33999633789062
2019-07-10,114.72000122070312
2019-05-07,114.38999938964844
2019-04-05,115.52999877929688
2019-03-04,116.94000244140625
2019-01-31,120.31999969482422
2019-09-12,121.20999908447266
2019-12-31,120.72000122070312
2020-03-19,118.66999816894531
2020-01-03,119.0
2020-06-09,117.7300033569336
2019-02-15,119.19999694824219
2019-01-14,117.76000213623047
2018-07-06,119.5999984741211
2018-08-07,118.94000244140625
2018-10-10,121.18000030517578
2018-12-13,121.30999755859375
2019-08-26,122.37999725341797
2019-07-25,122.05999755859375
2019-05-22,122.7300033569336
2019-03-19,124.0999984741211
2020-01-06,123.86000061035156
2020-03-25,124.48999786376953
2020-06-12,125.5199966430664
2019-10-22,127.25
2020-01-09,130.50999450683594
2020-06-15,128.39999389648438
2019-10-25,128.75
2020-03-31,126.41000366210938
2020-06-18,126.37000274658203
2019-04-03,122.80000305175781
2018-08-22,123.5
2018-10-25,124.5999984741211
2019-01-29,124.9800033569336
2018-12-28,123.0999984741211
2018-11-26,123.98999786376953
2019-08-09,125.26000213623047
2019-07-08,127.54000091552734
2019-06-06,126.87999725341797
2019-09-10,128.72999572753906
2020-01-15,128.61000061035156
2020-04-03,130.24000549316406
2019-10-31,130.9600067138672
2020-04-06,129.33999633789062
2020-06-24,129.00999450683594
2018-11-09,130.7100067138672
2019-07-23,129.0399932861328
2019-06-21,129.11000061035156
2019-05-20,127.33999633789062
2019-04-18,126.48999786376953
2018-09-06,126.5
2018-10-08,126.76000213623047
2019-02-13,127.55999755859375
2018-12-11,126.86000061035156
2019-09-25,125.23999786376953
2020-01-21,123.7699966430664
2020-04-09,124.93000030517578
2019-11-06,120.0
2020-01-24,116.2300033569336
2020-01-27,115.04000091552734
2020-04-15,116.04000091552734
2018-12-26,118.29000091552734
2019-08-07,117.75
2019-06-04,118.83000183105469
2018-09-21,119.9000015258789
2018-07-19,116.61000061035156
2018-08-20,117.05000305175781
