Dates,LLY
2018-06-20,82.67138671875
2018-06-21,82.47016143798828
2018-06-25,82.32643127441406
2018-06-22,82.1827163696289
2018-06-26,81.5503158569336
2018-06-27,81.12871551513672
2018-06-28,81.91441345214844
2018-06-29,81.76111602783203
2018-07-02,82.2689437866211
2018-07-03,82.89176940917969
2018-07-05,82.93966674804688
2018-07-16,83.7349624633789
2018-09-18,84.19488525390625
2019-01-24,84.36734008789062
2019-09-05,83.8978500366211
2018-11-21,85.19139099121094
2020-01-13,85.95791625976562
2020-04-01,85.34468078613281
2020-06-19,85.82377624511719
2019-10-29,86.2645263671875
2020-01-16,85.68962097167969
2020-06-22,84.76978302001953
2018-10-03,85.16263580322266
2018-07-31,89.44567108154297
2019-03-12,92.39685821533203
2019-02-08,91.19914245605469
2019-01-07,92.55975341796875
2018-12-06,93.92034912109375
2019-08-19,94.67730712890625
2019-07-18,94.5719223022461
2019-05-15,95.30970764160156
2019-09-20,96.373291015625
2019-11-01,97.73390197753906
2020-04-07,97.6764144897461
2020-06-25,97.99260711669922
2020-06-16,97.91595458984375
2019-11-04,97.97344970703125
2020-01-22,98.15548706054688
2019-11-07,98.69792938232422
2020-04-13,99.555419921875
2019-07-01,100.54779052734375
2019-05-30,101.69434356689453
2018-08-15,101.95446014404297
2018-10-18,101.23185729980469
2019-03-27,101.19332122802734
2019-01-22,100.99098205566406
2018-12-21,101.90628814697266
2019-09-03,101.27040100097656
2018-11-19,101.33784484863281
2019-08-02,101.48236083984375
2020-01-28,101.62688446044922
2020-04-16,101.7906723022461
2019-11-13,100.79829406738281
2020-01-31,101.85812377929688
2018-12-04,101.5208969116211
2018-11-02,103.1202621459961
2019-07-16,102.53253936767578
2018-08-30,101.78103637695312
2018-10-01,102.09898376464844
2019-06-14,102.68670654296875
2019-05-13,101.90628814697266
2019-04-11,101.84847259521484
2019-02-06,102.9757308959961
2019-09-18,101.87738037109375
2020-02-03,102.1953353881836
2020-04-22,102.4458236694336
2019-11-19,101.73284912109375
2020-02-06,101.8388442993164
2019-11-22,102.42655944824219
2019-03-25,102.79267883300781
2019-02-21,103.3900375366211
2018-12-19,103.66943359375
2018-07-12,104.01628875732422
2018-09-14,104.65217590332031
2018-08-13,108.86254119873047
2018-10-16,110.8183822631836
2019-07-31,111.24230194091797
2019-05-28,111.23267364501953
2019-04-26,109.19975280761719
2020-04-28,103.96810913085938
2019-11-25,106.44422912597656
2020-02-12,106.57910919189453
2020-05-01,106.97413635253906
2020-05-04,109.44062042236328
2019-06-12,109.17086029052734
2019-04-09,107.83162689208984
2019-03-08,107.93760681152344
2019-02-04,106.3575210571289
2018-07-27,102.43620300292969
2018-08-28,103.94883728027344
2019-01-03,102.5036392211914
2019-08-15,103.47673797607422
2018-10-31,104.38240814208984
2019-09-16,104.47875213623047
2020-02-18,103.91993713378906
2020-05-07,102.85049438476562
2018-08-17,106.11664581298828
2019-12-04,102.03153228759766
2020-02-21,105.71199035644531
2018-12-17,106.07813262939453
2019-08-30,108.11103820800781
2018-11-15,109.06486511230469
2019-07-29,108.28446197509766
2019-06-27,106.33136749267578
2019-04-24,108.64563751220703
2018-07-10,110.22401428222656
2018-09-12,112.14128875732422
2019-02-19,111.08582305908203
2019-01-18,108.6747055053711
2020-02-24,109.29442596435547
2020-05-13,108.8199462890625
2019-12-10,110.6016616821289
2020-02-27,111.87015533447266
2019-12-13,113.2935791015625
2020-05-19,114.88163757324219
2019-03-06,114.76543426513672
2018-11-30,112.82878875732422
2019-08-13,112.17033386230469
2019-07-12,109.98194122314453
2019-06-10,110.47577667236328
2019-05-09,110.87278747558594
2018-07-25,110.71785736083984
2018-09-27,111.22138214111328
2018-10-29,108.38420104980469
2019-10-16,104.92729949951172
2019-12-16,103.126220703125
2020-03-04,105.65353393554688
2020-05-22,105.82784271240234
2019-10-01,105.9537124633789
