Dates,NUE
2018-06-20,2227400.0
2018-06-21,2318600.0
2018-06-25,2483400.0
2018-06-22,3126900.0
2018-06-26,1845000.0
2018-06-27,1748500.0
2018-06-28,1894200.0
2018-06-29,1763800.0
2018-07-02,1505300.0
2018-07-03,1100200.0
2018-07-05,1876900.0
2018-07-16,1031800.0
2018-09-18,1257300.0
2019-01-24,1449700.0
2019-09-05,2719100.0
2018-11-21,1854200.0
2020-01-13,1272200.0
2020-04-01,1359400.0
2020-06-19,1861500.0
2019-10-29,2634400.0
2020-01-16,3770700.0
2020-06-22,3219800.0
2018-10-03,3013900.0
2018-07-31,4795600.0
2019-03-12,3102600.0
2019-02-08,2866500.0
2019-01-07,1672600.0
2018-12-06,2654900.0
2019-08-19,3188500.0
2019-07-18,3227900.0
2019-05-15,3081900.0
2019-09-20,1589600.0
2019-11-01,2436800.0
2020-04-07,1502500.0
2020-06-25,1196600.0
2020-06-16,2159000.0
2019-11-04,2980300.0
2020-01-22,2836300.0
2019-11-07,1345700.0
2020-04-13,3765600.0
2019-07-01,3865100.0
2019-05-30,2155200.0
2018-08-15,2766100.0
2018-10-18,2835300.0
2019-03-27,1454400.0
2019-01-22,2074700.0
2018-12-21,3158000.0
2019-09-03,1587300.0
2018-11-19,1225900.0
2019-08-02,1571100.0
2020-01-28,2276200.0
2020-04-16,2203100.0
2019-11-13,2841400.0
2020-01-31,3208100.0
2018-12-04,1750200.0
2018-11-02,2100500.0
2019-07-16,1300100.0
2018-08-30,2107200.0
2018-10-01,1536600.0
2019-06-14,1430800.0
2019-05-13,2479300.0
2019-04-11,1310100.0
2019-02-06,1997000.0
2019-09-18,1666400.0
2020-02-03,1730000.0
2020-04-22,3230200.0
2019-11-19,1368700.0
2020-02-06,1817300.0
2019-11-22,1934800.0
2019-03-25,1522200.0
2019-02-21,1825200.0
2018-12-19,3059200.0
2018-07-12,2318200.0
2018-09-14,2066900.0
2018-08-13,1632000.0
2018-10-16,1790100.0
2019-07-31,1567200.0
2019-05-28,1747500.0
2019-04-26,3776900.0
2020-04-28,2474700.0
2019-11-25,3151900.0
2020-02-12,3280000.0
2020-05-01,3462700.0
2020-05-04,2446200.0
2019-06-12,3846100.0
2019-04-09,3484000.0
2019-03-08,2767900.0
2019-02-04,3619000.0
2018-07-27,4707600.0
2018-08-28,3944300.0
2019-01-03,4610100.0
2019-08-15,3574600.0
2018-10-31,3865200.0
2019-09-16,3923000.0
2020-02-18,3035600.0
2020-05-07,2868200.0
2018-08-17,3617300.0
2019-12-04,2166800.0
2020-02-21,4019600.0
2018-12-17,2922300.0
2019-08-30,3217000.0
2018-11-15,2603600.0
2019-07-29,1990400.0
2019-06-27,1903900.0
2019-04-24,2041700.0
2018-07-10,2989500.0
2018-09-12,1785800.0
2019-02-19,2426800.0
2019-01-18,1981200.0
2020-02-24,1019100.0
2020-05-13,1936800.0
2019-12-10,3437700.0
2020-02-27,2360600.0
2019-12-13,1658700.0
2020-05-19,2403200.0
2019-03-06,2519600.0
2018-11-30,3068300.0
2019-08-13,2284600.0
2019-07-12,2205700.0
2019-06-10,1887000.0
2019-05-09,1578100.0
2018-07-25,3010800.0
2018-09-27,3120500.0
2018-10-29,3614800.0
2019-10-16,3694700.0
2019-12-16,2841700.0
2020-03-04,2614100.0
2020-05-22,3036300.0
2019-10-01,5453100.0
2019-12-19,994100.0
2018-09-10,1776600.0
2019-05-24,2062600.0
2018-08-09,1860400.0
2019-04-22,1681700.0
2019-03-21,2707300.0
2019-01-16,3321900.0
2019-08-28,2662400.0
2018-11-13,3021800.0
2018-10-12,2835600.0
2019-06-25,2145100.0
2020-03-10,2042400.0
2020-05-28,1619900.0
2019-10-07,1696100.0
2020-03-13,1689300.0
2019-10-10,2633200.0
2020-03-16,1926400.0
2020-06-03,3000500.0
2018-11-28,3052100.0
2018-09-25,2165100.0
2018-07-23,1884000.0
2018-08-24,3417000.0
2019-07-10,2963200.0
2019-05-07,3435000.0
2019-04-05,3529200.0
2019-03-04,4474900.0
2019-01-31,2904000.0
2019-09-12,2545400.0
2019-12-31,2355100.0
2020-03-19,3132500.0
2020-01-03,2769300.0
2020-06-09,2795600.0
2019-02-15,2602200.0
2019-01-14,2430900.0
2018-07-06,2166400.0
2018-08-07,4712200.0
2018-10-10,3952500.0
2018-12-13,2712800.0
2019-08-26,2469900.0
2019-07-25,2252100.0
2019-05-22,1852500.0
2019-03-19,1766200.0
2020-01-06,1278000.0
2020-03-25,2706700.0
2020-06-12,2428000.0
2019-10-22,2004800.0
2020-01-09,2076500.0
2020-06-15,1821100.0
2019-10-25,1807300.0
2020-03-31,2631200.0
2020-06-18,2013800.0
2019-04-03,2691100.0
2018-08-22,1753400.0
2018-10-25,2048200.0
2019-01-29,2536300.0
2018-12-28,4344000.0
2018-11-26,2606400.0
2019-08-09,2448800.0
2019-07-08,1622300.0
2019-06-06,1612400.0
2019-09-10,2190600.0
2020-01-15,1504000.0
2020-04-03,1926900.0
2019-10-31,2306100.0
2020-04-06,1587800.0
2020-06-24,2882400.0
2018-11-09,2350100.0
2019-07-23,1675300.0
2019-06-21,2380000.0
2019-05-20,1773900.0
2019-04-18,1843600.0
2018-09-06,1728900.0
2018-10-08,1930500.0
2019-02-13,2069400.0
2018-12-11,2387200.0
2019-09-25,2208300.0
2020-01-21,1993800.0
2020-04-09,1754900.0
2019-11-06,2260900.0
2020-01-24,3601400.0
2020-01-27,2421900.0
2020-04-15,4806300.0
2018-12-26,2805900.0
2019-08-07,2598400.0
2019-06-04,2260300.0
2018-09-21,2300000.0
2018-07-19,2729500.0
2018-08-20,2237600.0
2018-10-23,2404700.0
2019-05-03,2104800.0
2019-04-01,1680200.0
2019-02-28,2182400.0
2019-11-12,2770100.0
2020-01-30,2146400.0
2019-11-15,1950900.0
2020-04-21,3261900.0
2019-04-16,1837600.0
2019-03-15,1409600.0
2019-02-11,1173000.0
2019-01-10,2709800.0
2019-08-22,1939900.0
2018-11-07,1771000.0
2018-08-03,2003400.0
2018-09-04,2553000.0
2019-06-19,1836700.0
2019-09-23,3851400.0
2019-11-18,2870800.0
2020-02-05,2921300.0
2020-04-24,3610000.0
2019-03-29,3432400.0
2019-11-21,3760100.0
2020-04-27,2824200.0
2020-02-11,3471400.0
2020-04-30,2243900.0
2019-05-01,4174400.0
2019-02-26,2211700.0
2019-01-25,1674700.0
2018-12-24,1973500.0
2019-09-06,1553600.0
2018-07-17,2588500.0
2018-09-19,2863200.0
2019-08-05,5546800.0
2019-10-08,3689600.0
2019-12-11,4127000.0
2019-11-27,2439600.0
2020-02-14,3280500.0
2020-05-06,3326900.0
2019-01-08,1593900.0
2018-12-07,2259300.0
2019-08-20,1697200.0
2018-11-05,1831000.0
2019-07-19,910600.0
2018-10-04,1822700.0
2019-06-17,2001400.0
2019-05-16,3120900.0
2018-08-01,1529300.0
2019-03-13,2035600.0
2019-12-03,1906600.0
2020-02-20,1478100.0
2019-12-06,2215800.0
2020-05-12,2043900.0
2019-12-09,2482600.0
2020-02-26,4016600.0
2020-05-15,2922100.0
2019-03-28,1914900.0
2018-09-17,1497400.0
2018-08-16,1723900.0
2018-10-19,1916300.0
2019-04-29,1552400.0
2019-01-23,1693200.0
2019-09-04,2888500.0
2018-11-20,2882200.0
2019-07-02,1805600.0
2019-05-31,2128100.0
2019-12-12,1470500.0
2020-05-18,1920800.0
2019-09-27,1374500.0
2020-03-03,1500800.0
2020-05-21,1775400.0
2019-05-14,2508000.0
2018-08-31,2185400.0
2018-07-30,1651300.0
2018-10-02,1381200.0
2019-04-12,1962900.0
2019-03-11,1506400.0
2019-02-07,1673200.0
2019-07-17,1352100.0
2019-09-19,2143300.0
2019-10-21,1330700.0
2019-12-18,1274800.0
2020-03-06,1309600.0
2019-10-03,2092800.0
2020-03-09,2361400.0
2020-05-27,1645400.0
2019-12-24,2005500.0
2020-03-12,1871500.0
2018-12-20,1676600.0
2019-08-01,1731900.0
2018-08-14,1984000.0
2018-07-13,1968200.0
2018-10-17,2763400.0
2019-05-29,1960800.0
2019-03-26,2167000.0
2019-02-22,1829300.0
2019-10-04,2869900.0
2019-11-05,2835700.0
2019-12-27,3932900.0
