Dates,NUE
2018-06-20,65.87999725341797
2018-06-21,64.87000274658203
2018-06-25,66.19999694824219
2018-06-22,63.459999084472656
2018-06-26,64.12000274658203
2018-06-27,62.9900016784668
2018-06-28,62.70000076293945
2018-06-29,62.5
2018-07-02,62.849998474121094
2018-07-03,61.68000030517578
2018-07-05,63.0
2018-07-16,63.34000015258789
2018-09-18,64.16999816894531
2019-01-24,64.7300033569336
2019-09-05,63.91999816894531
2018-11-21,63.869998931884766
2020-01-13,64.12000274658203
2020-04-01,64.01000213623047
2020-06-19,64.62000274658203
2019-10-29,65.61000061035156
2020-01-16,64.66999816894531
2020-06-22,66.25
2018-10-03,66.72000122070312
2018-07-31,67.81999969482422
2019-03-12,67.9800033569336
2019-02-08,67.55999755859375
2019-01-07,67.61000061035156
2018-12-06,67.20999908447266
2019-08-19,66.93000030517578
2019-07-18,65.69000244140625
2019-05-15,64.54000091552734
2019-09-20,64.47000122070312
2019-11-01,64.01000213623047
2020-04-07,64.54000091552734
2020-06-25,64.44000244140625
2020-06-16,63.40999984741211
2019-11-04,63.45000076293945
2020-01-22,63.15999984741211
2019-11-07,63.560001373291016
2020-04-13,61.11000061035156
2019-07-01,61.7599983215332
2019-05-30,62.380001068115234
2018-08-15,62.54999923706055
2018-10-18,63.79999923706055
2019-03-27,63.790000915527344
2019-01-22,62.02000045776367
2018-12-21,62.52000045776367
2019-09-03,63.709999084472656
2018-11-19,63.83000183105469
2019-08-02,64.08999633789062
2020-01-28,62.790000915527344
2020-04-16,62.5
2019-11-13,62.209999084472656
2020-01-31,63.630001068115234
2018-12-04,63.310001373291016
2018-11-02,63.2400016784668
2019-07-16,62.439998626708984
2018-08-30,62.70000076293945
2018-10-01,63.560001373291016
2019-06-14,63.5
2019-05-13,62.58000183105469
2019-04-11,63.04999923706055
2019-02-06,64.2699966430664
2019-09-18,64.83999633789062
2020-02-03,64.41000366210938
2020-04-22,64.37999725341797
2019-11-19,63.689998626708984
2020-02-06,64.66000366210938
2019-11-22,63.290000915527344
2019-03-25,63.06999969482422
2019-02-21,63.45000076293945
2018-12-19,64.30000305175781
2018-07-12,65.30000305175781
2018-09-14,65.38999938964844
2018-08-13,65.0
2018-10-16,64.29000091552734
2019-07-31,64.72000122070312
2019-05-28,63.70000076293945
2019-04-26,61.040000915527344
2020-04-28,60.459999084472656
2019-11-25,60.810001373291016
2020-02-12,58.77000045776367
2020-05-01,58.95000076293945
2020-05-04,59.09000015258789
2019-06-12,58.29999923706055
2019-04-09,58.38999938964844
2019-03-08,59.18000030517578
2019-02-04,58.619998931884766
2018-07-27,55.65999984741211
2018-08-28,57.720001220703125
2019-01-03,56.130001068115234
2019-08-15,56.849998474121094
2018-10-31,57.90999984741211
2019-09-16,59.119998931884766
2020-02-18,60.0099983215332
2020-05-07,60.52000045776367
2018-08-17,61.36000061035156
2019-12-04,62.43000030517578
2020-02-21,64.20999908447266
2018-12-17,64.12000274658203
2019-08-30,62.779998779296875
2018-11-15,62.15999984741211
2019-07-29,63.08000183105469
2019-06-27,62.099998474121094
2019-04-24,62.849998474121094
2018-07-10,63.22999954223633
2018-09-12,62.13999938964844
2019-02-19,60.18000030517578
2019-01-18,60.65999984741211
2020-02-24,59.41999816894531
2020-05-13,59.400001525878906
2019-12-10,58.279998779296875
2020-02-27,59.650001525878906
2019-12-13,59.97999954223633
2020-05-19,60.40999984741211
2019-03-06,61.189998626708984
2018-11-30,59.65999984741211
2019-08-13,59.18000030517578
2019-07-12,57.5099983215332
2019-06-10,56.97999954223633
2019-05-09,56.459999084472656
2018-07-25,56.29999923706055
2018-09-27,55.70000076293945
2018-10-29,56.38999938964844
2019-10-16,54.81999969482422
2019-12-16,54.970001220703125
2020-03-04,53.619998931884766
2020-05-22,52.2599983215332
2019-10-01,51.93000030517578
2019-12-19,50.029998779296875
2018-09-10,52.310001373291016
2019-05-24,52.459999084472656
2018-08-09,51.900001525878906
2019-04-22,51.810001373291016
2019-03-21,52.209999084472656
2019-01-16,51.29999923706055
2019-08-28,53.83000183105469
2018-11-13,53.41999816894531
2018-10-12,55.2599983215332
2019-06-25,55.91999816894531
2020-03-10,56.4900016784668
2020-05-28,56.59000015258789
2019-10-07,56.2599983215332
2020-03-13,55.880001068115234
2019-10-10,56.869998931884766
2020-03-16,57.7400016784668
2020-06-03,58.72999954223633
2018-11-28,57.70000076293945
2018-09-25,57.279998779296875
2018-07-23,56.869998931884766
2018-08-24,58.099998474121094
2019-07-10,58.5
2019-05-07,60.130001068115234
2019-04-05,60.34000015258789
2019-03-04,61.2400016784668
2019-01-31,61.47999954223633
2019-09-12,62.099998474121094
2019-12-31,61.380001068115234
2020-03-19,60.439998626708984
2020-01-03,59.34000015258789
2020-06-09,59.81999969482422
2019-02-15,59.900001525878906
2019-01-14,61.58000183105469
2018-07-06,61.25
2018-08-07,59.72999954223633
2018-10-10,59.5
2018-12-13,59.88999938964844
2019-08-26,61.47999954223633
