Dates,NUE
2018-06-20,66.06999969482422
2018-06-21,65.6500015258789
2018-06-25,66.3499984741211
2018-06-22,65.5999984741211
2018-06-26,64.4000015258789
2018-06-27,64.66000366210938
2018-06-28,62.91999816894531
2018-06-29,63.25
2018-07-02,63.029998779296875
2018-07-03,63.439998626708984
2018-07-05,63.290000915527344
2018-07-16,63.59000015258789
2018-09-18,64.19999694824219
2019-01-24,65.20999908447266
2019-09-05,64.63999938964844
2018-11-21,64.87000274658203
2020-01-13,64.3499984741211
2020-04-01,64.63999938964844
2020-06-19,64.7699966430664
2019-10-29,65.9000015258789
2020-01-16,65.38999938964844
2020-06-22,66.47000122070312
2018-10-03,67.38999938964844
2018-07-31,68.83999633789062
2019-03-12,68.0999984741211
2019-02-08,67.69999694824219
2019-01-07,68.05000305175781
2018-12-06,68.05999755859375
2019-08-19,67.76000213623047
2019-07-18,67.38999938964844
2019-05-15,65.31999969482422
2019-09-20,65.08000183105469
2019-11-01,64.54000091552734
2020-04-07,65.3499984741211
2020-06-25,64.95999908447266
2020-06-16,64.61000061035156
2019-11-04,63.93000030517578
2020-01-22,64.18000030517578
2019-11-07,63.709999084472656
2020-04-13,62.689998626708984
2019-07-01,62.29999923706055
2019-05-30,62.599998474121094
2018-08-15,63.060001373291016
2018-10-18,64.26000213623047
2019-03-27,64.2300033569336
2019-01-22,63.4900016784668
2018-12-21,63.130001068115234
2019-09-03,63.91999816894531
2018-11-19,64.48999786376953
2019-08-02,64.5
2020-01-28,63.7599983215332
2020-04-16,63.0099983215332
2019-11-13,62.5099983215332
2020-01-31,63.79999923706055
2018-12-04,64.13999938964844
2018-11-02,63.70000076293945
2019-07-16,63.61000061035156
2018-08-30,62.849998474121094
2018-10-01,63.79999923706055
2019-06-14,64.37999725341797
2019-05-13,63.45000076293945
2019-04-11,63.790000915527344
2019-02-06,64.80000305175781
2019-09-18,65.37000274658203
2020-02-03,65.9000015258789
2020-04-22,64.87000274658203
2019-11-19,65.06999969482422
