Dates,ZBRA
2018-06-20,231900.0
2018-06-21,316300.0
2018-06-25,482000.0
2018-06-22,562400.0
2018-06-26,568900.0
2018-06-27,384200.0
2018-06-28,230100.0
2018-06-29,255400.0
2018-07-02,594000.0
2018-07-03,324200.0
2018-07-05,448300.0
2018-07-16,150500.0
2018-09-18,286300.0
2019-01-24,270200.0
2019-09-05,285500.0
2018-11-21,434300.0
2020-01-13,584700.0
2020-04-01,267400.0
2020-06-19,325800.0
2019-10-29,590000.0
2020-01-16,306700.0
2020-06-22,180100.0
2018-10-03,353600.0
2018-07-31,213200.0
2019-03-12,220300.0
2019-02-08,134200.0
2019-01-07,319600.0
2018-12-06,459500.0
2019-08-19,366000.0
2019-07-18,457400.0
2019-05-15,331300.0
2019-09-20,267200.0
2019-11-01,585100.0
2020-04-07,1703700.0
2020-06-25,886400.0
2020-06-16,551500.0
2019-11-04,306200.0
2020-01-22,483700.0
2019-11-07,524500.0
2020-04-13,413900.0
2019-07-01,319100.0
2019-05-30,304900.0
2018-08-15,304400.0
2018-10-18,341000.0
2019-03-27,441200.0
2019-01-22,315500.0
2018-12-21,210400.0
2019-09-03,233200.0
2018-11-19,350900.0
2019-08-02,288200.0
2020-01-28,317900.0
2020-04-16,196700.0
2019-11-13,246000.0
2020-01-31,167100.0
2018-12-04,219900.0
2018-11-02,284500.0
2019-07-16,327900.0
2018-08-30,237000.0
2018-10-01,270400.0
2019-06-14,255400.0
2019-05-13,515800.0
2019-04-11,309100.0
2019-02-06,350200.0
2019-09-18,360000.0
2020-02-03,343000.0
2020-04-22,487700.0
2019-11-19,211500.0
2020-02-06,382600.0
2019-11-22,360500.0
2019-03-25,439800.0
2019-02-21,320300.0
2018-12-19,318500.0
2018-07-12,337600.0
2018-09-14,377700.0
2018-08-13,331500.0
2018-10-16,294500.0
2019-07-31,496200.0
2019-05-28,458400.0
2019-04-26,859300.0
2020-04-28,490200.0
2019-11-25,943500.0
2020-02-12,771100.0
2020-05-01,503700.0
2020-05-04,326100.0
2019-06-12,421100.0
2019-04-09,398100.0
2019-03-08,637800.0
2019-02-04,343300.0
2018-07-27,787700.0
2018-08-28,398900.0
2019-01-03,279200.0
2019-08-15,460800.0
2018-10-31,403800.0
2019-09-16,387100.0
2020-02-18,521200.0
2020-05-07,433400.0
2018-08-17,519300.0
2019-12-04,1238900.0
2020-02-21,678600.0
2018-12-17,629200.0
2019-08-30,421100.0
2018-11-15,416200.0
2019-07-29,447300.0
2019-06-27,332300.0
2019-04-24,766000.0
2018-07-10,682400.0
2018-09-12,427400.0
2019-02-19,555900.0
2019-01-18,328800.0
2020-02-24,81000.0
2020-05-13,200600.0
2019-12-10,281200.0
2020-02-27,361200.0
2019-12-13,375300.0
2020-05-19,435100.0
2019-03-06,579900.0
2018-11-30,607000.0
2019-08-13,270400.0
2019-07-12,416200.0
2019-06-10,335300.0
2019-05-09,370600.0
2018-07-25,378900.0
2018-09-27,259700.0
2018-10-29,396900.0
2019-10-16,807300.0
2019-12-16,766400.0
2020-03-04,764200.0
2020-05-22,614700.0
2019-10-01,939300.0
2019-12-19,363000.0
2018-09-10,327200.0
2019-05-24,504500.0
2018-08-09,344800.0
2019-04-22,409100.0
2019-03-21,347700.0
2019-01-16,514600.0
2019-08-28,723300.0
2018-11-13,1100000.0
2018-10-12,838500.0
2019-06-25,541200.0
2020-03-10,370400.0
2020-05-28,416200.0
2019-10-07,431900.0
2020-03-13,427500.0
2019-10-10,435300.0
2020-03-16,657000.0
2020-06-03,362700.0
2018-11-28,451400.0
2018-09-25,325400.0
2018-07-23,390500.0
2018-08-24,392300.0
2019-07-10,390800.0
2019-05-07,347400.0
2019-04-05,378700.0
2019-03-04,388700.0
2019-01-31,574200.0
2019-09-12,281000.0
2019-12-31,379600.0
2020-03-19,414300.0
2020-01-03,260400.0
2020-06-09,346000.0
2019-02-15,332900.0
2019-01-14,365700.0
2018-07-06,610300.0
2018-08-07,2749500.0
2018-10-10,781800.0
2018-12-13,674000.0
2019-08-26,380200.0
2019-07-25,332600.0
2019-05-22,539100.0
2019-03-19,508100.0
2020-01-06,374500.0
2020-03-25,340500.0
2020-06-12,343000.0
2019-10-22,288800.0
2020-01-09,477800.0
2020-06-15,315500.0
2019-10-25,218500.0
2020-03-31,308000.0
2020-06-18,374700.0
2019-04-03,494200.0
2018-08-22,399400.0
2018-10-25,569600.0
2019-01-29,424200.0
2018-12-28,496500.0
2018-11-26,400200.0
2019-08-09,363300.0
2019-07-08,540600.0
2019-06-06,259200.0
2019-09-10,534500.0
2020-01-15,551300.0
2020-04-03,476500.0
2019-10-31,403400.0
2020-04-06,289900.0
2020-06-24,339100.0
2018-11-09,245500.0
2019-07-23,339300.0
2019-06-21,309000.0
2019-05-20,327300.0
2019-04-18,410100.0
2018-09-06,449000.0
2018-10-08,344100.0
2019-02-13,525400.0
2018-12-11,341400.0
2019-09-25,585500.0
2020-01-21,603300.0
2020-04-09,325800.0
2019-11-06,354300.0
2020-01-24,312600.0
2020-01-27,351000.0
2020-04-15,571200.0
2018-12-26,480700.0
2019-08-07,433200.0
2019-06-04,422600.0
2018-09-21,751100.0
2018-07-19,1301600.0
2018-08-20,1096900.0
2018-10-23,654100.0
2019-05-03,506400.0
2019-04-01,771800.0
2019-02-28,648400.0
2019-11-12,391600.0
2020-01-30,721600.0
2019-11-15,668800.0
2020-04-21,1199800.0
2019-04-16,992400.0
2019-03-15,479500.0
2019-02-11,956600.0
2019-01-10,835700.0
2019-08-22,970800.0
2018-11-07,820800.0
2018-08-03,632000.0
2018-09-04,734300.0
2019-06-19,925800.0
2019-09-23,3765100.0
2019-11-18,816100.0
2020-02-05,565400.0
2020-04-24,853100.0
2019-03-29,721200.0
2019-11-21,716700.0
2020-04-27,1107600.0
2020-02-11,615400.0
2020-04-30,538300.0
2019-05-01,668500.0
2019-02-26,618800.0
2019-01-25,507700.0
2018-12-24,482200.0
2019-09-06,480700.0
2018-07-17,335300.0
2018-09-19,645600.0
2019-08-05,455400.0
2019-10-08,480800.0
2019-12-11,396500.0
2019-11-27,258300.0
2020-02-14,546100.0
2020-05-06,570800.0
2019-01-08,672900.0
2018-12-07,778400.0
2019-08-20,758400.0
2018-11-05,414700.0
2019-07-19,316800.0
2018-10-04,403200.0
2019-06-17,445800.0
2019-05-16,385900.0
2018-08-01,299600.0
2019-03-13,2208300.0
2019-12-03,762200.0
2020-02-20,446900.0
2019-12-06,496000.0
2020-05-12,395400.0
2019-12-09,2201400.0
2020-02-26,717600.0
2020-05-15,417400.0
2019-03-28,712400.0
2018-09-17,478400.0
2018-08-16,500000.0
2018-10-19,488900.0
2019-04-29,700300.0
2019-01-23,1433900.0
2019-09-04,676000.0
2018-11-20,708100.0
2019-07-02,365000.0
2019-05-31,623200.0
2019-12-12,467600.0
2020-05-18,448200.0
2019-09-27,723800.0
2020-03-03,324200.0
2020-05-21,292700.0
2019-05-14,432500.0
2018-08-31,382400.0
2018-07-30,242200.0
2018-10-02,344500.0
2019-04-12,301700.0
2019-03-11,422800.0
2019-02-07,479400.0
2019-07-17,264200.0
2019-09-19,327300.0
2019-10-21,303400.0
2019-12-18,463900.0
2020-03-06,356800.0
2019-10-03,342400.0
2020-03-09,342600.0
2020-05-27,412600.0
2019-12-24,274600.0
2020-03-12,367000.0
2018-12-20,294400.0
2019-08-01,446700.0
2018-08-14,500200.0
2018-07-13,307600.0
2018-10-17,317300.0
2019-05-29,609600.0
2019-03-26,418900.0
2019-02-22,488400.0
2019-10-04,304500.0
2019-11-05,305500.0
2019-12-27,534600.0
2020-06-02,266200.0
2019-12-30,337900.0
2020-03-18,330100.0
