Dates,RF
2019-01-25,11328300.0
2018-12-24,8375300.0
2019-09-06,8641100.0
2018-07-17,6571700.0
2018-09-19,12792900.0
2019-08-05,12878900.0
2019-10-08,12600000.0
2019-12-11,14843000.0
2019-11-27,7547500.0
2020-02-14,13636200.0
2020-05-06,10209900.0
2019-01-08,6418100.0
2018-12-07,14479600.0
2019-08-20,10021800.0
2018-11-05,13826000.0
2019-07-19,4881100.0
2018-10-04,6919800.0
2019-06-17,7110700.0
2019-05-16,8772800.0
2018-08-01,9594900.0
2019-03-13,11462000.0
2019-12-03,8218200.0
2020-02-20,7089700.0
2019-12-06,9638300.0
2020-05-12,13526600.0
2019-12-09,14774500.0
2020-02-26,20534300.0
2020-05-15,12781900.0
2019-03-28,14569400.0
2018-09-17,10728600.0
2018-08-16,10658000.0
2018-10-19,8698200.0
2019-04-29,9066700.0
2019-01-23,9996100.0
2019-09-04,24490700.0
2018-11-20,21792800.0
2019-07-02,18300400.0
2019-05-31,15374500.0
2019-12-12,9397600.0
2020-05-18,12902400.0
2019-09-27,10346000.0
2020-03-03,10523200.0
2020-05-21,9199400.0
2019-05-14,15424800.0
2018-08-31,15820300.0
2018-07-30,14858700.0
2018-10-02,10048800.0
2019-04-12,10728500.0
2019-03-11,9089700.0
2019-02-07,9295500.0
2019-07-17,7886700.0
2019-09-19,12282300.0
2019-10-21,9585200.0
2019-12-18,9413600.0
2020-03-06,8031900.0
2019-10-03,11275200.0
2020-03-09,10389800.0
2020-05-27,11341900.0
2019-12-24,8039500.0
2020-03-12,10269400.0
2018-12-20,8471500.0
2019-08-01,15609900.0
2018-08-14,16533900.0
2018-07-13,14678700.0
2018-10-17,11308900.0
2019-05-29,9920900.0
2019-03-26,7587600.0
2019-02-22,8389200.0
2019-10-04,12906000.0
2019-11-05,8220600.0
2019-12-27,14487000.0
2020-06-02,6054900.0
2019-12-30,8465500.0
2020-03-18,5653000.0
2020-06-05,6678000.0
2019-07-15,7700700.0
2018-12-03,7161900.0
2019-06-13,11021400.0
2019-01-04,8322800.0
2018-08-29,11667000.0
2019-02-05,9279700.0
2018-11-01,6924500.0
2019-08-16,10580000.0
2019-04-10,10402800.0
2019-09-17,10244000.0
2019-10-15,9809600.0
2020-01-02,6940100.0
2020-06-08,8491300.0
2019-10-18,7695000.0
2020-03-24,7941700.0
2020-06-11,14813500.0
2020-01-08,8952200.0
2019-04-25,18679000.0
2019-07-30,7876300.0
2019-02-20,6594900.0
2018-07-11,6814900.0
2018-09-13,9964300.0
2018-10-15,8535800.0
2019-06-28,7243400.0
2018-12-18,8206100.0
2018-11-16,8110600.0
2019-10-02,10327100.0
2020-03-27,8383600.0
2020-01-10,7188100.0
2019-10-24,14247800.0
2020-03-30,6690700.0
2020-06-17,7260500.0
2020-01-14,10035500.0
2020-04-02,7586000.0
2019-01-02,8075300.0
2019-08-14,8153100.0
2018-10-30,9655100.0
2019-06-11,5927000.0
2019-05-10,7018500.0
2019-04-08,6462800.0
2018-08-27,5918400.0
2018-07-26,7250700.0
2018-09-28,8049800.0
2019-03-07,5238300.0
2019-10-30,3348200.0
2020-01-17,7290700.0
2020-06-23,9932300.0
2020-04-08,9094700.0
2020-06-26,11004900.0
2019-03-22,9920000.0
2019-01-17,8621800.0
2019-08-29,9382000.0
2018-11-14,8461300.0
2019-06-26,10356800.0
2018-09-11,8754400.0
2018-07-09,9052200.0
2018-08-10,9671600.0
2019-04-23,10374500.0
2019-09-30,7615400.0
2020-01-23,17360800.0
2019-11-08,7879600.0
2020-04-14,3147700.0
2019-11-11,4234100.0
2020-01-29,6065200.0
2020-04-17,5555800.0
2018-07-24,6545100.0
2018-09-26,8972200.0
2019-05-08,8382600.0
2019-03-05,7579200.0
2019-02-01,9229600.0
2018-12-31,7741800.0
2018-11-29,7596500.0
2019-08-12,6160400.0
2019-07-11,6571100.0
2019-09-13,10616300.0
2019-11-14,12849500.0
2020-04-20,14894600.0
2020-02-04,17323400.0
2020-04-23,10804400.0
2018-12-14,8446500.0
2019-08-27,7058400.0
2018-08-08,6501900.0
2018-10-11,13732500.0
2018-11-12,10869700.0
2019-07-26,8072400.0
2019-06-24,13677100.0
2019-05-23,24895900.0
2019-03-20,11277300.0
2019-01-15,18884900.0
2019-11-20,8967100.0
2020-02-07,10912400.0
2020-02-10,6312700.0
2020-04-29,8848600.0
2019-11-26,6629600.0
2020-02-13,5081900.0
2019-01-30,4604400.0
2018-08-23,5911600.0
2018-09-24,9830000.0
2018-11-27,5140500.0
2018-10-26,9131300.0
2019-07-09,12312700.0
2019-06-07,10858700.0
2019-05-06,15818400.0
2019-04-04,11377700.0
2019-09-11,15071800.0
2019-11-29,28630100.0
2020-05-05,23705400.0
2019-12-02,32399400.0
2020-02-19,20535200.0
2020-05-08,24354300.0
2019-05-21,21487800.0
2019-03-18,23502700.0
2018-09-07,17013400.0
2018-08-06,25918700.0
2018-10-09,18790100.0
2019-02-14,28002000.0
2018-12-12,20294300.0
2019-07-24,23497600.0
2019-09-26,18007800.0
2019-10-28,15534000.0
2019-12-05,23045600.0
2020-05-11,17459500.0
2019-07-03,15558100.0
2020-02-25,18087500.0
2020-05-14,17779900.0
2020-02-28,12732600.0
2019-08-08,11634200.0
2019-06-05,15360200.0
2018-07-20,14045200.0
2018-08-21,14036000.0
2018-10-24,14772800.0
2019-04-02,15990700.0
2019-03-01,14330800.0
2019-01-28,10880200.0
2018-12-27,16772700.0
2019-09-09,11637000.0
2020-03-02,16539500.0
2020-05-20,13275000.0
2019-12-17,15716100.0
2020-03-05,16877000.0
2019-02-12,11453000.0
2019-01-11,15522000.0
2018-12-10,11049700.0
2019-08-23,12417400.0
2018-11-08,16855700.0
2019-07-22,14233000.0
2019-06-20,11182800.0
2018-09-05,11712000.0
2019-04-17,9886400.0
2019-09-24,6817500.0
2019-12-20,6483200.0
2020-05-26,8155700.0
2019-04-30,8734600.0
2019-12-23,9976700.0
2020-03-11,7562600.0
2020-05-29,10962000.0
2019-12-26,10209900.0
2020-06-01,14005600.0
2019-05-02,16513000.0
2019-02-27,9178000.0
2018-11-23,10776500.0
2019-08-06,9639400.0
2018-07-18,9019100.0
2018-09-20,7991500.0
