Dates,RF
2018-06-20,18.899999618530273
2018-06-21,18.639999389648438
2018-06-25,18.479999542236328
2018-06-22,18.1299991607666
2018-06-26,18.020000457763672
2018-06-27,17.799999237060547
2018-06-28,17.739999771118164
2018-06-29,17.770000457763672
2018-07-02,17.6299991607666
2018-07-03,17.540000915527344
2018-07-05,17.420000076293945
2018-07-16,17.200000762939453
2018-09-18,17.6200008392334
2019-01-24,17.75
2019-09-05,17.690000534057617
2018-11-21,17.3799991607666
2020-01-13,17.06999969482422
2020-04-01,17.25
2020-06-19,17.459999084472656
2019-10-29,17.610000610351562
2020-01-16,17.59000015258789
2020-06-22,17.270000457763672
2018-10-03,17.760000228881836
2018-07-31,18.170000076293945
2019-03-12,18.1299991607666
2019-02-08,18.219999313354492
2019-01-07,18.34000015258789
2018-12-06,18.56999969482422
2019-08-19,18.549999237060547
2019-07-18,18.65999984741211
2019-05-15,18.670000076293945
2019-09-20,18.989999771118164
2019-11-01,18.93000030517578
2020-04-07,19.149999618530273
2020-06-25,19.190000534057617
2020-06-16,19.219999313354492
2019-11-04,18.969999313354492
2020-01-22,18.950000762939453
2019-11-07,18.979999542236328
2020-04-13,18.950000762939453
2019-07-01,19.15999984741211
2019-05-30,19.309999465942383
2018-08-15,19.31999969482422
2018-10-18,19.420000076293945
2019-03-27,19.3799991607666
2019-01-22,19.260000228881836
2018-12-21,19.219999313354492
2019-09-03,19.309999465942383
2018-11-19,19.329999923706055
2019-08-02,19.34000015258789
2020-01-28,19.329999923706055
2020-04-16,19.18000030517578
2019-11-13,19.420000076293945
2020-01-31,19.6200008392334
2018-12-04,19.559999465942383
2018-11-02,19.530000686645508
2019-07-16,19.510000228881836
2018-08-30,19.5
2018-10-01,19.139999389648438
2019-06-14,18.809999465942383
2019-05-13,18.889999389648438
2019-04-11,18.81999969482422
2019-02-06,18.81999969482422
2019-09-18,18.899999618530273
2020-02-03,19.260000228881836
2020-04-22,19.350000381469727
2019-11-19,19.229999542236328
2020-02-06,19.239999771118164
2019-11-22,18.90999984741211
2019-03-25,18.520000457763672
2019-02-21,18.290000915527344
2018-12-19,18.079999923706055
2018-07-12,18.020000457763672
2018-09-14,18.209999084472656
2018-08-13,18.510000228881836
2018-10-16,18.450000762939453
2019-07-31,18.450000762939453
2019-05-28,18.489999771118164
2019-04-26,18.25
2020-04-28,17.68000030517578
2019-11-25,16.950000762939453
2020-02-12,17.15999984741211
2020-05-01,16.959999084472656
2020-05-04,16.93000030517578
2019-06-12,16.979999542236328
2019-04-09,16.829999923706055
2019-03-08,16.3700008392334
2019-02-04,15.710000038146973
2018-07-27,15.420000076293945
2018-08-28,15.529999732971191
2019-01-03,15.75
2019-08-15,16.239999771118164
2018-10-31,16.110000610351562
2019-09-16,16.709999084472656
2020-02-18,16.989999771118164
2020-05-07,17.059999465942383
2018-08-17,17.149999618530273
2019-12-04,17.239999771118164
2020-02-21,17.15999984741211
2018-12-17,17.40999984741211
2019-08-30,17.1299991607666
2018-11-15,16.899999618530273
2019-07-29,16.8700008392334
2019-06-27,16.15999984741211
2019-04-24,16.040000915527344
2018-07-10,16.1200008392334
2018-09-12,15.930000305175781
2019-02-19,15.640000343322754
2019-01-18,15.649999618530273
2020-02-24,15.569999694824219
2020-05-13,16.110000610351562
2019-12-10,16.15999984741211
2020-02-27,16.059999465942383
2019-12-13,16.1299991607666
2020-05-19,16.15999984741211
2019-03-06,16.450000762939453
2018-11-30,15.40999984741211
2019-08-13,14.8100004196167
2019-07-12,14.819999694824219
2019-06-10,14.170000076293945
2019-05-09,14.119999885559082
2018-07-25,14.130000114440918
2018-09-27,13.680000305175781
2018-10-29,13.399999618530273
2019-10-16,13.300000190734863
2019-12-16,13.119999885559082
2020-03-04,12.75
2020-05-22,12.729999542236328
2019-10-01,12.8100004196167
2019-12-19,12.529999732971191
2018-09-10,12.390000343322754
2019-05-24,12.850000381469727
2018-08-09,13.260000228881836
2019-04-22,13.180000305175781
2019-03-21,13.109999656677246
2019-01-16,13.489999771118164
2019-08-28,13.8100004196167
2018-11-13,14.020000457763672
2018-10-12,14.210000038146973
2019-06-25,14.479999542236328
2020-03-10,14.5600004196167
2020-05-28,14.520000457763672
2019-10-07,14.579999923706055
2020-03-13,14.720000267028809
2019-10-10,15.15999984741211
2020-03-16,15.149999618530273
2020-06-03,14.960000038146973
2018-11-28,15.4399995803833
2018-09-25,15.239999771118164
2018-07-23,15.25
2018-08-24,15.510000228881836
2019-07-10,15.5
2019-05-07,15.520000457763672
2019-04-05,15.420000076293945
2019-03-04,14.930000305175781
2019-01-31,15.15999984741211
2019-09-12,15.220000267028809
2019-12-31,15.3100004196167
2020-03-19,15.260000228881836
2020-01-03,15.319999694824219
2020-06-09,15.239999771118164
2019-02-15,15.359999656677246
2019-01-14,15.449999809265137
2018-07-06,15.460000038146973
2018-08-07,15.279999732971191
2018-10-10,15.619999885559082
2018-12-13,15.869999885559082
2019-08-26,16.040000915527344
2019-07-25,16.139999389648438
2019-05-22,16.079999923706055
2019-03-19,16.329999923706055
2020-01-06,16.100000381469727
2020-03-25,16.219999313354492
2020-06-12,16.350000381469727
2019-10-22,16.290000915527344
2020-01-09,16.049999237060547
2020-06-15,15.819999694824219
2019-10-25,15.760000228881836
2020-03-31,15.3100004196167
2020-06-18,15.210000038146973
2019-04-03,15.4399995803833
2018-08-22,15.520000457763672
2018-10-25,15.59000015258789
2019-01-29,15.770000457763672
2018-12-28,15.729999542236328
2018-11-26,15.8100004196167
2019-08-09,15.600000381469727
2019-07-08,14.949999809265137
2019-06-06,14.399999618530273
2019-09-10,13.420000076293945
2020-01-15,13.380000114440918
2020-04-03,13.609999656677246
2019-10-31,13.779999732971191
2020-04-06,13.880000114440918
2020-06-24,14.079999923706055
2018-11-09,14.319999694824219
2019-07-23,14.550000190734863
2019-06-21,14.850000381469727
2019-05-20,14.789999961853027
2019-04-18,14.979999542236328
2018-09-06,15.039999961853027
2018-10-08,14.899999618530273
2019-02-13,14.819999694824219
2018-12-11,15.0600004196167
2019-09-25,15.25
2020-01-21,15.229999542236328
2020-04-09,15.180000305175781
2019-11-06,15.520000457763672
2020-01-24,15.050000190734863
2020-01-27,15.0600004196167
2020-04-15,14.84000015258789
2018-12-26,15.039999961853027
2019-08-07,15.1899995803833
2019-06-04,15.359999656677246
2018-09-21,15.609999656677246
2018-07-19,15.40999984741211
2018-08-20,15.109999656677246
2018-10-23,15.170000076293945
2019-05-03,15.40999984741211
2019-04-01,15.1899995803833
2019-02-28,15.020000457763672
2019-11-12,14.930000305175781
2020-01-30,14.65999984741211
2019-11-15,14.720000267028809
2020-04-21,14.319999694824219
2019-04-16,14.279999732971191
2019-03-15,14.0600004196167
2019-02-11,14.4399995803833
2019-01-10,14.34000015258789
2019-08-22,14.359999656677246
2018-11-07,14.5
2018-08-03,14.300000190734863
2018-09-04,13.949999809265137
2019-06-19,14.050000190734863
2019-09-23,13.930000305175781
2019-11-18,13.75
2020-02-05,13.920000076293945
2020-04-24,13.699999809265137
2019-03-29,13.710000038146973
2019-11-21,14.180000305175781
2020-04-27,13.970000267028809
2020-02-11,13.869999885559082
2020-04-30,13.760000228881836
2019-05-01,13.970000267028809
2019-02-26,14.119999885559082
2019-01-25,14.180000305175781
2018-12-24,14.3100004196167
2019-09-06,14.279999732971191
