Dates,RF
2018-06-20,17.483627319335938
2018-06-21,17.492874145507812
2018-06-25,17.132291793823242
2018-06-22,16.965869903564453
2018-06-26,16.808692932128906
2018-06-27,16.512828826904297
2018-06-28,16.63302230834961
2018-06-29,16.43886375427246
2018-07-02,16.54056739807129
2018-07-03,16.235456466674805
2018-07-05,16.143003463745117
2018-07-16,16.26319694519043
2018-09-18,16.706989288330078
2019-01-24,16.531320571899414
2019-09-05,16.355653762817383
2018-11-21,16.198476791381836
2020-01-13,15.911857604980469
2020-04-01,16.189231872558594
2020-06-19,16.309423446655273
2019-10-29,16.697744369506836
2020-01-16,16.290937423706055
2020-06-22,16.475845336914062
2018-10-03,16.891904830932617
2018-07-31,16.891904830932617
2019-03-12,16.9103946685791
2019-02-08,17.002853393554688
2019-01-07,17.1600284576416
2018-12-06,17.400419235229492
2019-08-19,17.206260681152344
2019-07-18,17.409666061401367
2019-05-15,17.631561279296875
2019-09-20,17.6962833404541
2019-11-01,17.677791595458984
2020-04-07,17.85346031188965
2020-06-25,17.908933639526367
2020-06-16,17.825721740722656
2019-11-04,17.687034606933594
2020-01-22,17.520610809326172
2019-11-07,17.751754760742188
2020-04-13,17.631561279296875
2019-07-01,17.936670303344727
2019-05-30,18.019880294799805
2018-08-15,18.010635375976562
2018-10-18,18.06610870361328
2019-03-27,18.056861877441406
2019-01-22,17.881193161010742
2018-12-21,17.80722999572754
2019-09-03,17.97365379333496
2018-11-19,18.001388549804688
2019-08-02,18.047616958618164
2020-01-28,17.890439987182617
2020-04-16,17.992145538330078
2019-11-13,18.158565521240234
2020-01-31,18.426692962646484
2018-12-04,18.231157302856445
2018-11-02,18.259092330932617
2019-07-16,18.193912506103516
2018-08-30,18.29633331298828
2018-10-01,17.830780029296875
2019-06-14,17.570072174072266
2019-05-13,17.663179397583008
2019-04-11,17.6724910736084
2019-02-06,17.607315063476562
2019-09-18,17.840091705322266
2020-02-03,18.147357940673828
2020-04-22,18.100801467895508
2019-11-19,17.961135864257812
2020-02-06,17.923891067504883
2019-11-22,17.63524627685547
2019-03-25,17.262802124023438
2019-02-21,17.08588981628418
2018-12-19,16.89035987854004
2018-07-12,16.862424850463867
2018-09-14,17.19762420654297
2018-08-13,17.383848190307617
2018-10-16,17.262802124023438
2019-07-31,17.402469635009766
2019-05-28,17.309356689453125
2019-04-26,17.011404037475586
2020-04-28,16.517911911010742
2019-11-25,16.098913192749023
2020-02-12,15.977867126464844
2020-05-01,16.033735275268555
2020-05-04,16.136157989501953
2019-06-12,15.866135597229004
2019-04-09,15.735780715942383
2019-03-08,15.260912895202637
2019-02-04,15.158492088317871
2018-07-27,14.394980430603027
