Dates,FLS
2018-06-20,40.91999816894531
2018-06-21,40.59000015258789
2018-06-25,41.369998931884766
2018-06-22,40.560001373291016
2018-06-26,40.33000183105469
2018-06-27,41.34000015258789
2018-06-28,40.470001220703125
2018-06-29,41.040000915527344
2018-07-02,40.380001068115234
2018-07-03,41.0099983215332
2018-07-05,40.459999084472656
2018-07-16,40.720001220703125
2018-09-18,41.9900016784668
2019-01-24,42.20000076293945
2019-09-05,41.79999923706055
2018-11-21,41.689998626708984
2020-01-13,42.25
2020-04-01,42.209999084472656
2020-06-19,42.099998474121094
2019-10-29,42.06999969482422
2020-01-16,42.5
2020-06-22,42.630001068115234
2018-10-03,42.09000015258789
2018-07-31,42.70000076293945
2019-03-12,42.720001220703125
2019-02-08,43.56999969482422
2019-01-07,43.63999938964844
2018-12-06,43.9900016784668
2019-08-19,44.72999954223633
2019-07-18,44.06999969482422
2019-05-15,43.68000030517578
2019-09-20,44.959999084472656
2019-11-01,45.709999084472656
2020-04-07,46.060001373291016
2020-06-25,46.349998474121094
2020-06-16,51.54999923706055
2019-11-04,50.27000045776367
2020-01-22,50.7599983215332
2019-11-07,50.529998779296875
2020-04-13,49.650001525878906
2019-07-01,50.33000183105469
2019-05-30,51.4900016784668
2018-08-15,52.130001068115234
2018-10-18,52.06999969482422
2019-03-27,52.119998931884766
2019-01-22,51.880001068115234
2018-12-21,51.81999969482422
2019-09-03,52.470001220703125
2018-11-19,52.93000030517578
2019-08-02,53.16999816894531
2020-01-28,52.869998931884766
2020-04-16,52.380001068115234
2019-11-13,52.31999969482422
2020-01-31,52.7599983215332
2018-12-04,53.290000915527344
2018-11-02,52.720001220703125
2019-07-16,53.54999923706055
2018-08-30,53.7599983215332
2018-10-01,53.459999084472656
2019-06-14,55.150001525878906
2019-05-13,55.61000061035156
2019-04-11,55.75
2019-02-06,56.08000183105469
2019-09-18,56.86000061035156
2020-02-03,56.59000015258789
2020-04-22,56.04999923706055
2019-11-19,55.470001220703125
2020-02-06,55.09000015258789
2019-11-22,55.459999084472656
2019-03-25,54.95000076293945
2019-02-21,55.119998931884766
2018-12-19,55.130001068115234
2018-07-12,54.97999954223633
2018-09-14,54.97999954223633
2018-08-13,55.29999923706055
2018-10-16,54.689998626708984
2019-07-31,53.91999816894531
