Dates,FLS
2018-06-20,39.959999084472656
2018-06-21,40.029998779296875
2018-06-25,40.720001220703125
2018-06-22,39.45000076293945
2018-06-26,39.52000045776367
2018-06-27,40.20000076293945
2018-06-28,39.61000061035156
2018-06-29,40.310001373291016
2018-07-02,39.47999954223633
2018-07-03,40.09000015258789
2018-07-05,39.900001525878906
2018-07-16,40.11000061035156
2018-09-18,40.75
2019-01-24,41.689998626708984
2019-09-05,41.130001068115234
2018-11-21,40.7400016784668
2020-01-13,41.36000061035156
2020-04-01,40.900001525878906
2020-06-19,41.06999969482422
2019-10-29,40.86000061035156
2020-01-16,41.310001373291016
2020-06-22,42.119998931884766
2018-10-03,41.349998474121094
2018-07-31,41.77000045776367
2019-03-12,41.529998779296875
2019-02-08,42.63999938964844
2019-01-07,43.029998779296875
2018-12-06,43.15999984741211
2019-08-19,43.4900016784668
2019-07-18,43.22999954223633
2019-05-15,42.68000030517578
2019-09-20,43.619998931884766
2019-11-01,44.900001525878906
2020-04-07,45.0
2020-06-25,45.43000030517578
2020-06-16,47.86000061035156
2019-11-04,48.880001068115234
2020-01-22,49.68000030517578
2019-11-07,49.81999969482422
2020-04-13,48.47999954223633
2019-07-01,49.459999084472656
2019-05-30,50.2400016784668
2018-08-15,51.36000061035156
2018-10-18,51.13999938964844
2019-03-27,51.40999984741211
2019-01-22,51.2599983215332
2018-12-21,51.290000915527344
2019-09-03,51.650001525878906
2018-11-19,52.20000076293945
2019-08-02,52.27000045776367
2020-01-28,52.130001068115234
2020-04-16,52.040000915527344
2019-11-13,51.58000183105469
2020-01-31,51.75
2018-12-04,52.41999816894531
2018-11-02,51.869998931884766
2019-07-16,52.959999084472656
2018-08-30,52.77000045776367
2018-10-01,52.5099983215332
2019-06-14,53.900001525878906
2019-05-13,54.22999954223633
2019-04-11,55.029998779296875
2019-02-06,54.779998779296875
2019-09-18,55.91999816894531
2020-02-03,55.599998474121094
2020-04-22,55.400001525878906
2019-11-19,54.31999969482422
2020-02-06,54.630001068115234
2019-11-22,54.290000915527344
2019-03-25,54.16999816894531
2019-02-21,54.45000076293945
2018-12-19,54.16999816894531
2018-07-12,54.209999084472656
2018-09-14,54.38999938964844
2018-08-13,54.150001525878906
2018-10-16,53.38999938964844
2019-07-31,53.029998779296875
2019-05-28,52.970001220703125
2019-04-26,50.9900016784668
2020-04-28,49.380001068115234
2019-11-25,48.79999923706055
2020-02-12,49.81999969482422
2020-05-01,49.97999954223633
2020-05-04,50.900001525878906
2019-06-12,49.939998626708984
2019-04-09,49.540000915527344
2019-03-08,48.88999938964844
2019-02-04,46.310001373291016
2018-07-27,44.90999984741211
2018-08-28,44.939998626708984
2019-01-03,44.529998779296875
2019-08-15,43.61000061035156
2018-10-31,44.130001068115234
2019-09-16,45.790000915527344
2020-02-18,45.650001525878906
2020-05-07,46.90999984741211
2018-08-17,46.869998931884766
2019-12-04,47.099998474121094
2020-02-21,48.08000183105469
2018-12-17,50.810001373291016
2019-08-30,48.400001525878906
2018-11-15,49.15999984741211
2019-07-29,47.4900016784668
2019-06-27,46.650001525878906
2019-04-24,46.779998779296875
2018-07-10,48.86000061035156
2018-09-12,48.36000061035156
2019-02-19,46.29999923706055
2019-01-18,46.15999984741211
2020-02-24,44.72999954223633
2020-05-13,45.27000045776367
2019-12-10,45.599998474121094
2020-02-27,45.97999954223633
2019-12-13,46.90999984741211
2020-05-19,46.95000076293945
2019-03-06,48.15999984741211
2018-11-30,46.220001220703125
