Dates,ABBV
2018-06-20,5842700.0
2018-06-21,7225000.0
2018-06-25,9454800.0
2018-06-22,5573100.0
2018-06-26,5117100.0
2018-06-27,5833000.0
2018-06-28,6698900.0
2018-06-29,6787900.0
2018-07-02,3854500.0
2018-07-03,2452400.0
2018-07-05,4744000.0
2018-07-16,5867400.0
2018-09-18,5953100.0
2019-01-24,5119900.0
2019-09-05,6230000.0
2018-11-21,4672000.0
2020-01-13,3712400.0
2020-04-01,3783500.0
2020-06-19,5107500.0
2019-10-29,5521900.0
2020-01-16,19747200.0
2020-06-22,11791900.0
2018-10-03,6316800.0
2018-07-31,7965000.0
2019-03-12,7494300.0
2019-02-08,6812400.0
2019-01-07,12905800.0
2018-12-06,6466000.0
2019-08-19,8691800.0
2019-07-18,5330400.0
2019-05-15,6023200.0
2019-09-20,4876100.0
2019-11-01,5134200.0
2020-04-07,8890900.0
2020-06-25,4535100.0
2020-06-16,6176100.0
2019-11-04,4446800.0
2020-01-22,5920000.0
2019-11-07,5580800.0
2020-04-13,6861500.0
2019-07-01,6332900.0
2019-05-30,6307300.0
2018-08-15,6172500.0
2018-10-18,3528400.0
2019-03-27,2963300.0
2019-01-22,2137500.0
2018-12-21,2996100.0
2019-09-03,2456000.0
2018-11-19,3515400.0
2019-08-02,3637100.0
2020-01-28,3434400.0
2020-04-16,4703100.0
2019-11-13,4456100.0
2020-01-31,5188800.0
2018-12-04,5416300.0
2018-11-02,4051700.0
2019-07-16,3156800.0
2018-08-30,2638500.0
2018-10-01,3304700.0
2019-06-14,4850700.0
2019-05-13,3446000.0
2019-04-11,3987200.0
2019-02-06,10240500.0
2019-09-18,8451400.0
2020-02-03,5991200.0
2020-04-22,9953500.0
2019-11-19,5910300.0
2020-02-06,5303900.0
2019-11-22,4656200.0
2019-03-25,3028600.0
2019-02-21,4527900.0
2018-12-19,3763800.0
2018-07-12,6792200.0
2018-09-14,4796800.0
2018-08-13,4425400.0
2018-10-16,4190100.0
2019-07-31,3305500.0
2019-05-28,3625600.0
2019-04-26,5310800.0
2020-04-28,9994400.0
2019-11-25,5709600.0
2020-02-12,4827900.0
2020-05-01,3787100.0
2020-05-04,2857400.0
2019-06-12,4422300.0
2019-04-09,7059400.0
2019-03-08,7621100.0
2019-02-04,8096200.0
2018-07-27,8689100.0
2018-08-28,9173500.0
2019-01-03,6181500.0
2019-08-15,4343900.0
2018-10-31,5243100.0
2019-09-16,14068500.0
2020-02-18,10671700.0
2020-05-07,12781500.0
2018-08-17,10315600.0
2019-12-04,7945500.0
2020-02-21,10378000.0
2018-12-17,9333200.0
2019-08-30,9169800.0
2018-11-15,9344700.0
2019-07-29,7237200.0
2019-06-27,7268200.0
2019-04-24,10365700.0
2018-07-10,8691100.0
2018-09-12,5971700.0
2019-02-19,5372900.0
2019-01-18,6532500.0
2020-02-24,1612800.0
2020-05-13,5227900.0
2019-12-10,4338300.0
2020-02-27,3953600.0
2019-12-13,3838000.0
2020-05-19,12031700.0
2019-03-06,6673900.0
2018-11-30,7008400.0
2019-08-13,8734300.0
2019-07-12,6737700.0
2019-06-10,5229400.0
2019-05-09,5098100.0
2018-07-25,4185100.0
2018-09-27,4078600.0
2018-10-29,5461600.0
2019-10-16,5958200.0
2019-12-16,5288600.0
2020-03-04,5510800.0
2020-05-22,9453300.0
2019-10-01,16044700.0
2019-12-19,5097900.0
2018-09-10,6225000.0
2019-05-24,7272800.0
2018-08-09,6037700.0
2019-04-22,5722100.0
2019-03-21,6908400.0
2019-01-16,7653200.0
2019-08-28,8910600.0
2018-11-13,7281500.0
2018-10-12,7478300.0
2019-06-25,9971900.0
2020-03-10,6527700.0
2020-05-28,5318100.0
2019-10-07,6368500.0
2020-03-13,7295500.0
2019-10-10,4927000.0
2020-03-16,6438700.0
2020-06-03,6190000.0
2018-11-28,5664600.0
2018-09-25,4969300.0
2018-07-23,8372600.0
2018-08-24,21308600.0
2019-07-10,14718800.0
2019-05-07,13909000.0
2019-04-05,9277200.0
2019-03-04,11563900.0
2019-01-31,6759500.0
2019-09-12,10205600.0
2019-12-31,7965500.0
2020-03-19,4907200.0
2020-01-03,5877500.0
2020-06-09,4598900.0
2019-02-15,4803500.0
2019-01-14,6620100.0
2018-07-06,4237200.0
2018-08-07,3436300.0
2018-10-10,6295400.0
2018-12-13,5674700.0
2019-08-26,5564100.0
2019-07-25,6360800.0
2019-05-22,5022700.0
2019-03-19,5511800.0
2020-01-06,4283100.0
2020-03-25,4175500.0
2020-06-12,6310800.0
2019-10-22,8567900.0
2020-01-09,5872500.0
2020-06-15,5933100.0
2019-10-25,5293200.0
2020-03-31,6642500.0
2020-06-18,6189100.0
2019-04-03,8078100.0
2018-08-22,6128800.0
2018-10-25,5984500.0
2019-01-29,6161800.0
2018-12-28,12751100.0
2018-11-26,5550100.0
2019-08-09,6335500.0
2019-07-08,5360900.0
2019-06-06,5159200.0
2019-09-10,4992500.0
2020-01-15,4008400.0
2020-04-03,4921900.0
2019-10-31,4006200.0
2020-04-06,3082300.0
2020-06-24,7105900.0
2018-11-09,4759400.0
2019-07-23,6355800.0
2019-06-21,6083500.0
2019-05-20,4827900.0
2019-04-18,3996300.0
2018-09-06,3499200.0
2018-10-08,3712700.0
2019-02-13,3641900.0
2018-12-11,9094200.0
2019-09-25,5011500.0
2020-01-21,3495500.0
2020-04-09,3624700.0
2019-11-06,6817100.0
2020-01-24,7784900.0
2020-01-27,5358600.0
2020-04-15,9920600.0
2018-12-26,7056400.0
2019-08-07,10442900.0
2019-06-04,5790000.0
2018-09-21,6444500.0
2018-07-19,9367400.0
2018-08-20,5231700.0
2018-10-23,5206300.0
2019-05-03,4527300.0
2019-04-01,5413200.0
2019-02-28,4275300.0
2019-11-12,3820700.0
2020-01-30,3792200.0
2019-11-15,4731800.0
2020-04-21,3858400.0
2019-04-16,6365200.0
2019-03-15,4795700.0
2019-02-11,5404700.0
2019-01-10,4756400.0
2019-08-22,4395500.0
2018-11-07,4841900.0
2018-08-03,4219500.0
2018-09-04,3299100.0
2019-06-19,3872700.0
2019-09-23,6557800.0
2019-11-18,4182200.0
2020-02-05,3533100.0
2020-04-24,4003200.0
2019-03-29,8434400.0
2019-11-21,6447100.0
2020-04-27,3804400.0
2020-02-11,4032800.0
2020-04-30,4829100.0
2019-05-01,3969400.0
2019-02-26,4210200.0
2019-01-25,4165200.0
2018-12-24,2924900.0
2019-09-06,4075900.0
2018-07-17,3083200.0
2018-09-19,5433500.0
2019-08-05,6147300.0
2019-10-08,5347000.0
2019-12-11,10516900.0
2019-11-27,5182700.0
2020-02-14,90131800.0
2020-05-06,42093800.0
2019-01-08,22129200.0
2018-12-07,21381500.0
2019-08-20,18105500.0
2018-11-05,12862200.0
2019-07-19,7434100.0
2018-10-04,10854900.0
2019-06-17,13487400.0
2019-05-16,11832500.0
2018-08-01,9170400.0
2019-03-13,13001000.0
2019-12-03,12903000.0
2020-02-20,10253300.0
2019-12-06,10141600.0
2020-05-12,12205000.0
2019-12-09,8573300.0
2020-02-26,9806900.0
2020-05-15,9961800.0
2019-03-28,8025300.0
2018-09-17,12595300.0
2018-08-16,12403500.0
2018-10-19,12259300.0
2019-04-29,10117300.0
2019-01-23,8143700.0
2019-09-04,11300000.0
2018-11-20,13106700.0
2019-07-02,9653900.0
2019-05-31,11618800.0
2019-12-12,10248700.0
2020-05-18,10532100.0
2019-09-27,7427400.0
2020-03-03,10893500.0
2020-05-21,5724400.0
2019-05-14,7082500.0
2018-08-31,9373300.0
2018-07-30,9195700.0
2018-10-02,8348100.0
2019-04-12,9826300.0
2019-03-11,12043400.0
2019-02-07,7615700.0
2019-07-17,6495700.0
2019-09-19,8904700.0
2019-10-21,4841100.0
2019-12-18,7591200.0
2020-03-06,6872800.0
2019-10-03,6011900.0
2020-03-09,6415100.0
2020-05-27,7915700.0
2019-12-24,9618300.0
2020-03-12,5602400.0
2018-12-20,7502500.0
2019-08-01,10310900.0
2018-08-14,12155700.0
2018-07-13,8369100.0
2018-10-17,9560100.0
2019-05-29,8135600.0
2019-03-26,5992000.0
2019-02-22,9013500.0
2019-10-04,6252600.0
2019-11-05,5541200.0
2019-12-27,12968700.0
2020-06-02,8092300.0
2019-12-30,8223800.0
2020-03-18,5922700.0
2020-06-05,10324100.0
2019-07-15,7677300.0
2018-12-03,8315100.0
2019-06-13,10910800.0
2019-01-04,8380500.0
2018-08-29,6228500.0
2019-02-05,7007500.0
2018-11-01,5163500.0
2019-08-16,6121500.0
2019-04-10,5851000.0
2019-09-17,7329400.0
2019-10-15,7164900.0
2020-01-02,5040900.0
2020-06-08,6028300.0
2019-10-18,8288300.0
2020-03-24,6811300.0
2020-06-11,9480200.0
2020-01-08,7839100.0
2019-04-25,6062000.0
2019-07-30,6136700.0
2019-02-20,5699300.0
2018-07-11,5497000.0
2018-09-13,7146400.0
2018-10-15,6391100.0
2019-06-28,7222500.0
2018-12-18,10009400.0
2018-11-16,13356300.0
2019-10-02,9127900.0
2020-03-27,7475600.0
2020-01-10,9303600.0
2019-10-24,6561500.0
2020-03-30,11364100.0
2020-06-17,8726300.0
2020-01-14,12165900.0
2020-04-02,5798800.0
2019-01-02,5425600.0
2019-08-14,8036700.0
2018-10-30,5772300.0
2019-06-11,7504800.0
2019-05-10,10933000.0
2019-04-08,9614100.0
2018-08-27,7784700.0
2018-07-26,9522100.0
2018-09-28,6431400.0
2019-03-07,4711800.0
2019-10-30,3042800.0
2020-01-17,6526400.0
2020-06-23,10054500.0
2020-04-08,6174600.0
2020-06-26,6072100.0
