Dates,ABBV
2018-06-20,98.22000122070312
2018-06-21,97.70999908447266
2018-06-25,96.05999755859375
2018-06-22,93.47000122070312
2018-06-26,93.36000061035156
2018-06-27,92.36000061035156
2018-06-28,91.33999633789062
2018-06-29,92.83999633789062
2018-07-02,92.05999755859375
2018-07-03,93.58000183105469
2018-07-05,94.45999908447266
2018-07-16,95.19999694824219
2018-09-18,97.9800033569336
2019-01-24,97.11000061035156
2019-09-05,96.26000213623047
2018-11-21,94.91999816894531
2020-01-13,94.95999908447266
2020-04-01,96.76000213623047
2020-06-19,96.2699966430664
2019-10-29,95.2699966430664
2020-01-16,93.22000122070312
2020-06-22,88.70999908447266
2018-10-03,89.16999816894531
2018-07-31,90.51000213623047
2019-03-12,91.08000183105469
2019-02-08,93.94999694824219
2019-01-07,91.33999633789062
2018-12-06,90.66999816894531
2019-08-19,91.6500015258789
2019-07-18,92.29000091552734
2019-05-15,93.58000183105469
2019-09-20,94.88999938964844
2019-11-01,96.26000213623047
2020-04-07,97.30000305175781
2020-06-25,93.5199966430664
2020-06-16,94.19999694824219
2019-11-04,95.3499984741211
2020-01-22,96.0
2019-11-07,96.72000122070312
2020-04-13,95.91999816894531
2019-07-01,97.83999633789062
2019-05-30,98.22000122070312
2018-08-15,99.33000183105469
2018-10-18,97.86000061035156
2019-03-27,97.83999633789062
2019-01-22,97.69000244140625
2018-12-21,97.13999938964844
2019-09-03,98.11000061035156
2018-11-19,97.79000091552734
2019-08-02,97.43000030517578
2020-01-28,97.5
2020-04-16,96.25
2019-11-13,95.97000122070312
2020-01-31,94.33999633789062
2018-12-04,94.79000091552734
2018-11-02,93.6500015258789
2019-07-16,94.9800033569336
2018-08-30,93.72000122070312
2018-10-01,92.38999938964844
2019-06-14,93.41999816894531
2019-05-13,96.29000091552734
2019-04-11,95.4000015258789
2019-02-06,95.3499984741211
2019-09-18,91.70999908447266
2020-02-03,91.43000030517578
2020-04-22,92.8499984741211
2019-11-19,92.30000305175781
2020-02-06,93.4800033569336
2019-11-22,94.29000091552734
2019-03-25,94.3499984741211
2019-02-21,94.0
2018-12-19,94.73999786376953
2018-07-12,95.33999633789062
2018-09-14,94.63999938964844
2018-08-13,95.80999755859375
2018-10-16,94.0999984741211
2019-07-31,94.06999969482422
2019-05-28,94.70999908447266
2019-04-26,93.8499984741211
2020-04-28,93.0
2019-11-25,90.70999908447266
2020-02-12,90.51000213623047
2020-05-01,89.77999877929688
2020-05-04,91.81999969482422
2019-06-12,91.8499984741211
2019-04-09,89.26000213623047
2019-03-08,88.52999877929688
2019-02-04,82.58000183105469
2018-07-27,82.83999633789062
2018-08-28,80.4000015258789
2019-01-03,81.0199966430664
2019-08-15,82.1500015258789
2018-10-31,81.93000030517578
2019-09-16,80.9800033569336
2020-02-18,77.70999908447266
2020-05-07,84.18000030517578
2018-08-17,79.44999694824219
2019-12-04,82.7300033569336
2020-02-21,84.1500015258789
2018-12-17,87.12999725341797
2019-08-30,87.83000183105469
2018-11-15,88.75
2019-07-29,90.0
2019-06-27,89.05000305175781
2019-04-24,87.62999725341797
2018-07-10,89.7300033569336
2018-09-12,91.29000091552734
2019-02-19,89.0
2019-01-18,88.5
2020-02-24,85.5999984741211
2020-05-13,86.38999938964844
2019-12-10,86.22000122070312
2020-02-27,88.04000091552734
2019-12-13,89.01000213623047
2020-05-19,90.26000213623047
2019-03-06,94.31999969482422
2018-11-30,93.91999816894531
2019-08-13,89.69999694824219
2019-07-12,89.93000030517578
2019-06-10,86.66999816894531
2019-05-09,88.62000274658203
2018-07-25,89.31999969482422
2018-09-27,89.37000274658203
2018-10-29,86.80000305175781
2019-10-16,85.06999969482422
2019-12-16,85.45999908447266
2020-03-04,84.33000183105469
2020-05-22,82.98999786376953
2019-10-01,84.62999725341797
2019-12-19,84.8499984741211
2018-09-10,84.73999786376953
2019-05-24,87.94999694824219
2018-08-09,90.08999633789062
2019-04-22,91.5999984741211
2019-03-21,91.23999786376953
2019-01-16,88.63999938964844
2019-08-28,87.75
2018-11-13,90.06999969482422
2018-10-12,91.19999694824219
2019-06-25,90.87999725341797
2020-03-10,87.87999725341797
2020-05-28,87.54000091552734
2019-10-07,86.97000122070312
2020-03-13,84.93000030517578
2019-10-10,85.66000366210938
2020-03-16,85.54000091552734
2020-06-03,88.44999694824219
2018-11-28,88.86000061035156
2018-09-25,88.83999633789062
2018-07-23,88.33000183105469
2018-08-24,82.51000213623047
2019-07-10,80.0
2019-05-07,77.02999877929688
2019-04-05,77.69000244140625
2019-03-04,78.94999694824219
2019-01-31,80.25
2019-09-12,80.30000305175781
2019-12-31,78.55999755859375
2020-03-19,79.5999984741211
2020-01-03,78.3499984741211
2020-06-09,79.02999877929688
2019-02-15,79.88999938964844
2019-01-14,79.98999786376953
2018-07-06,80.33999633789062
2018-08-07,80.44999694824219
2018-10-10,81.12999725341797
2018-12-13,80.5
2019-08-26,80.52999877929688
2019-07-25,79.73999786376953
2019-05-22,79.16000366210938
2019-03-19,80.45999908447266
2020-01-06,80.19999694824219
2020-03-25,80.13999938964844
2020-06-12,79.45999908447266
2019-10-22,79.7699966430664
2020-01-09,80.4000015258789
2020-06-15,79.37999725341797
2019-10-25,79.12999725341797
2020-03-31,77.7699966430664
2020-06-18,77.66999816894531
2019-04-03,77.56999969482422
2018-08-22,78.4800033569336
2018-10-25,78.91999816894531
2019-01-29,79.0
2018-12-28,80.05999755859375
2018-11-26,81.33999633789062
2019-08-09,80.33000183105469
2019-07-08,80.72000122070312
2019-06-06,79.87999725341797
