Dates,DLTR
2018-06-20,87.87999725341797
2018-06-21,86.5199966430664
2018-06-25,86.58000183105469
2018-06-22,87.12000274658203
2018-06-26,86.61000061035156
2018-06-27,85.31999969482422
2018-06-28,83.62000274658203
2018-06-29,85.0
2018-07-02,84.52999877929688
2018-07-03,84.30000305175781
2018-07-05,83.79000091552734
2018-07-16,84.2300033569336
2018-09-18,84.6500015258789
2019-01-24,84.83000183105469
2019-09-05,85.7300033569336
2018-11-21,85.5999984741211
2020-01-13,85.94999694824219
2020-04-01,86.66000366210938
2020-06-19,86.08000183105469
2019-10-29,86.52999877929688
2020-01-16,86.70999908447266
2020-06-22,87.25
2018-10-03,86.33999633789062
2018-07-31,87.72000122070312
2019-03-12,88.41999816894531
2019-02-08,89.79000091552734
2019-01-07,89.55000305175781
2018-12-06,87.91999816894531
2019-08-19,90.0
2019-07-18,91.0199966430664
2019-05-15,89.55999755859375
2019-09-20,90.69000244140625
2019-11-01,90.3499984741211
2020-04-07,91.22000122070312
2020-06-25,92.87999725341797
2020-06-16,91.7300033569336
2019-11-04,92.05999755859375
2020-01-22,93.86000061035156
2019-11-07,93.0
2020-04-13,93.97000122070312
2019-07-01,95.30000305175781
2019-05-30,94.93000030517578
2018-08-15,96.0
2018-10-18,95.30000305175781
2019-03-27,94.87999725341797
2019-01-22,93.13999938964844
2018-12-21,93.9000015258789
2019-09-03,94.22000122070312
2018-11-19,93.02999877929688
2019-08-02,93.37999725341797
2020-01-28,89.5999984741211
2020-04-16,80.36000061035156
2019-11-13,80.44999694824219
2020-01-31,79.76000213623047
2018-12-04,82.91999816894531
2018-11-02,81.5999984741211
2019-07-16,82.41999816894531
2018-08-30,83.88999938964844
2018-10-01,83.94000244140625
2019-06-14,84.97000122070312
2019-05-13,84.2699966430664
2019-04-11,84.70999908447266
2019-02-06,85.0
2019-09-18,85.7300033569336
2020-02-03,84.5999984741211
2020-04-22,86.70999908447266
2019-11-19,84.5999984741211
2020-02-06,84.44000244140625
2019-11-22,85.70999908447266
2019-03-25,84.18000030517578
2019-02-21,82.38999938964844
2018-12-19,81.91000366210938
2018-07-12,82.41000366210938
2018-09-14,81.63999938964844
2018-08-13,81.12000274658203
2018-10-16,81.1500015258789
2019-07-31,80.62999725341797
2019-05-28,83.5999984741211
2019-04-26,82.91999816894531
2020-04-28,83.80999755859375
2019-11-25,81.16000366210938
2020-02-12,80.37000274658203
2020-05-01,81.29000091552734
2020-05-04,86.30000305175781
2019-06-12,85.36000061035156
2019-04-09,85.4000015258789
2019-03-08,84.81999969482422
2019-02-04,82.48999786376953
2018-07-27,84.0
2018-08-28,82.94000244140625
2019-01-03,81.72000122070312
2019-08-15,84.25
2018-10-31,84.20999908447266
2019-09-16,85.0
2020-02-18,84.22000122070312
2020-05-07,85.41999816894531
2018-08-17,85.20999908447266
2019-12-04,85.88999938964844
2020-02-21,86.61000061035156
2018-12-17,86.41999816894531
2019-08-30,87.69000244140625
2018-11-15,86.80999755859375
2019-07-29,86.38999938964844
2019-06-27,86.94999694824219
2019-04-24,85.13999938964844
2018-07-10,84.9800033569336
2018-09-12,84.1500015258789
2019-02-19,82.0
2019-01-18,81.93000030517578
2020-02-24,81.88999938964844
2020-05-13,84.94000244140625
2019-12-10,82.61000061035156
2020-02-27,82.12999725341797
2019-12-13,84.54000091552734
2020-05-19,88.62999725341797
2019-03-06,87.5999984741211
2018-11-30,86.3499984741211
2019-08-13,85.88999938964844
2019-07-12,85.1500015258789
2019-06-10,83.75
2019-05-09,84.66999816894531
2018-07-25,85.66000366210938
2018-09-27,84.7699966430664
2018-10-29,86.36000061035156
2019-10-16,85.73999786376953
2019-12-16,85.56999969482422
2020-03-04,85.9000015258789
2020-05-22,86.2699966430664
2019-10-01,83.93000030517578
2019-12-19,83.38999938964844
2018-09-10,83.91999816894531
2019-05-24,86.61000061035156
2018-08-09,87.75
2019-04-22,88.11000061035156
2019-03-21,89.80000305175781
2019-01-16,90.6500015258789
2019-08-28,91.70999908447266
2018-11-13,96.2699966430664
2018-10-12,98.33000183105469
2019-06-25,98.55999755859375
2020-03-10,94.01000213623047
2020-05-28,96.2300033569336
2019-10-07,97.0
2020-03-13,97.44999694824219
2019-10-10,95.72000122070312
2020-03-16,93.29000091552734
2020-06-03,95.29000091552734
2018-11-28,94.12000274658203
2018-09-25,95.41999816894531
2018-07-23,94.83000183105469
2018-08-24,95.19000244140625
2019-07-10,96.1500015258789
2019-05-07,95.55000305175781
2019-04-05,96.68000030517578
2019-03-04,96.1500015258789
2019-01-31,96.87000274658203
2019-09-12,96.72000122070312
2019-12-31,98.9800033569336
2020-03-19,97.77999877929688
2020-01-03,97.44000244140625
2020-06-09,97.80999755859375
2019-02-15,97.63999938964844
2019-01-14,98.33999633789062
2018-07-06,98.44999694824219
2018-08-07,98.05999755859375
2018-10-10,99.16000366210938
2018-12-13,99.4000015258789
2019-08-26,99.20999908447266
2019-07-25,98.94999694824219
2019-05-22,98.29000091552734
2019-03-19,97.80000305175781
2020-01-06,97.29000091552734
2020-03-25,96.19000244140625
2020-06-12,95.55000305175781
2019-10-22,96.86000061035156
2020-01-09,96.41999816894531
2020-06-15,96.13999938964844
2019-10-25,97.66000366210938
2020-03-31,99.43000030517578
2020-06-18,102.41999816894531
2019-04-03,102.19000244140625
2018-08-22,104.2699966430664
2018-10-25,102.62000274658203
2019-01-29,101.75
2018-12-28,100.5199966430664
2018-11-26,100.41000366210938
2019-08-09,101.13999938964844
2019-07-08,101.30999755859375
2019-06-06,101.73999786376953
2019-09-10,101.04000091552734
2020-01-15,101.4000015258789
2020-04-03,102.69999694824219
2019-10-31,102.06999969482422
2020-04-06,104.27999877929688
2020-06-24,103.7300033569336
2018-11-09,105.5999984741211
2019-07-23,103.30999755859375
2019-06-21,104.0999984741211
2019-05-20,104.72000122070312
2019-04-18,105.62999725341797
2018-09-06,104.41999816894531
2018-10-08,102.0
2019-02-13,102.8499984741211
2018-12-11,103.55999755859375
2019-09-25,104.7699966430664
2020-01-21,104.69000244140625
2020-04-09,107.05000305175781
2019-11-06,106.47000122070312
2020-01-24,108.66000366210938
2020-01-27,108.69999694824219
2020-04-15,108.20999908447266
2018-12-26,109.56999969482422
2019-08-07,110.05999755859375
2019-06-04,110.41999816894531
2018-09-21,110.16000366210938
2018-07-19,111.4000015258789
2018-08-20,111.29000091552734
2018-10-23,109.75
2019-05-03,109.69999694824219
2019-04-01,107.68000030517578
2019-02-28,107.98999786376953
2019-11-12,104.7300033569336
2020-01-30,105.43000030517578
2019-11-15,105.41999816894531
2020-04-21,102.62000274658203
2019-04-16,99.29000091552734
2019-03-15,98.16000366210938
2019-02-11,100.51000213623047
2019-01-10,100.47000122070312
2019-08-22,99.9000015258789
2018-11-07,99.6500015258789
2018-08-03,99.88999938964844
2018-09-04,99.16000366210938
2019-06-19,98.12999725341797
2019-09-23,98.41999816894531
2019-11-18,96.26000213623047
2020-02-05,96.16999816894531
2020-04-24,97.56999969482422
2019-03-29,101.58999633789062
2019-11-21,101.18000030517578
2020-04-27,100.87000274658203
2020-02-11,100.18000030517578
2020-04-30,102.58000183105469
2019-05-01,102.69999694824219
2019-02-26,108.0
2019-01-25,106.1500015258789
2018-12-24,108.2699966430664
2019-09-06,108.9800033569336
2018-07-17,110.43000030517578
2018-09-19,109.25
2019-08-05,109.5
2019-10-08,110.5
2019-12-11,110.88999938964844
2019-11-27,112.30000305175781
2020-02-14,112.61000061035156
2020-05-06,109.0
2019-01-08,109.2300033569336
2018-12-07,107.9800033569336
2019-08-20,108.79000091552734
2018-11-05,110.08999633789062
2019-07-19,109.38999938964844
2018-10-04,108.9800033569336
2019-06-17,109.31999969482422
2019-05-16,109.83000183105469
2018-08-01,111.62000274658203
2019-03-13,112.12000274658203
2019-12-03,111.13999938964844
2020-02-20,112.47000122070312
2019-12-06,111.83999633789062
2020-05-12,112.44000244140625
2019-12-09,111.94000244140625
2020-02-26,110.5
2020-05-15,108.08999633789062
2019-03-28,107.5999984741211
2018-09-17,105.31999969482422
2018-08-16,106.18000030517578
2018-10-19,106.55000305175781
2019-04-29,106.01000213623047
2019-01-23,103.47000122070312
2019-09-04,101.5
2018-11-20,101.44999694824219
2019-07-02,97.43000030517578
2019-05-31,94.5999984741211
2019-12-12,92.88999938964844
2020-05-18,92.12000274658203
2019-09-27,92.26000213623047
2020-03-03,92.86000061035156
2020-05-21,89.91999816894531
2019-05-14,91.08999633789062
2018-08-31,92.30000305175781
2018-07-30,93.72000122070312
2018-10-02,93.88999938964844
2019-04-12,95.16999816894531
2019-03-11,95.80999755859375
2019-02-07,95.83999633789062
2019-07-17,96.02999877929688
2019-09-19,96.91999816894531
2019-10-21,96.3499984741211
2019-12-18,96.37000274658203
2020-03-06,96.44999694824219
2019-10-03,102.5
2020-03-09,98.25
2020-05-27,101.19000244140625
2019-12-24,102.86000061035156
2020-03-12,106.43000030517578
2018-12-20,107.68000030517578
2019-08-01,109.87000274658203
2018-08-14,108.55000305175781
2018-07-13,111.0199966430664
2018-10-17,111.83000183105469
2019-05-29,111.88999938964844
2019-03-26,112.0999984741211
2019-02-22,109.73999786376953
2019-10-04,111.36000061035156
2019-11-05,112.45999908447266
2019-12-27,111.95999908447266
2020-06-02,111.0999984741211
2019-12-30,113.66999816894531
2020-03-18,113.37000274658203
2020-06-05,113.51000213623047
2019-07-15,113.29000091552734
2018-12-03,114.45999908447266
2019-06-13,115.08999633789062
2019-01-04,112.25
2018-08-29,112.7699966430664
2019-02-05,113.20999908447266
2018-11-01,115.12999725341797
2019-08-16,111.11000061035156
2019-04-10,113.16000366210938
2019-09-17,113.25
2019-10-15,115.0
2020-01-02,115.3499984741211
2020-06-08,115.0
2019-10-18,116.66000366210938
2020-03-24,117.2699966430664
2020-06-11,117.19999694824219
2020-01-08,117.26000213623047
2019-04-25,117.44999694824219
2019-07-30,117.86000061035156
2019-02-20,116.23999786376953
2018-07-11,115.20999908447266
2018-09-13,114.91999816894531
2018-10-15,113.7300033569336
2019-06-28,112.36000061035156
2018-12-18,111.70999908447266
2018-11-16,111.13999938964844
2019-10-02,112.05999755859375
2020-03-27,111.83999633789062
2020-01-10,113.08000183105469
2019-10-24,113.37000274658203
2020-03-30,112.30999755859375
2020-06-17,109.79000091552734
2020-01-14,108.5
2020-04-02,107.69000244140625
2019-01-02,108.81999969482422
2019-08-14,109.37000274658203
2018-10-30,108.54000091552734
2019-06-11,108.77999877929688
2019-05-10,107.25
2019-04-08,107.31999969482422
2018-08-27,108.55000305175781
2018-07-26,109.83000183105469
2018-09-28,95.76000213623047
2019-03-07,94.5
2019-10-30,92.76000213623047
2020-01-17,91.5
2020-06-23,88.54000091552734
2020-04-08,89.36000061035156
2020-06-26,89.94999694824219
2019-03-22,91.43000030517578
2019-01-17,92.0999984741211
2019-08-29,93.04000091552734
2018-11-14,91.51000213623047
2019-06-26,91.45999908447266
2018-09-11,92.38999938964844
2018-07-09,94.0
2018-08-10,94.4800033569336
2019-04-23,92.27999877929688
2019-09-30,91.87000274658203
2020-01-23,92.5199966430664
2019-11-08,94.11000061035156
2020-04-14,92.76000213623047
2019-11-11,93.30000305175781
2020-01-29,92.11000061035156
2020-04-17,92.80999755859375
