Dates,DLTR
2018-06-20,2192100.0
2018-06-21,2824000.0
2018-06-25,5743400.0
2018-06-22,1784400.0
2018-06-26,2369800.0
2018-06-27,2354800.0
2018-06-28,3439600.0
2018-06-29,2292500.0
2018-07-02,1965400.0
2018-07-03,812300.0
2018-07-05,1642300.0
2018-07-16,1464200.0
2018-09-18,2263700.0
2019-01-24,1765000.0
2019-09-05,2767100.0
2018-11-21,1833400.0
2020-01-13,1904100.0
2020-04-01,1629200.0
2020-06-19,2130300.0
2019-10-29,2001500.0
2020-01-16,2314900.0
2020-06-22,2606700.0
2018-10-03,2738000.0
2018-07-31,2895500.0
2019-03-12,2865000.0
2019-02-08,2341000.0
2019-01-07,1867000.0
2018-12-06,3027000.0
2019-08-19,2997700.0
2019-07-18,5689900.0
2019-05-15,2228800.0
2019-09-20,1392600.0
2019-11-01,1716600.0
2020-04-07,2119000.0
2020-06-25,2043700.0
2020-06-16,1738400.0
2019-11-04,1279600.0
2020-01-22,3332900.0
2019-11-07,2720700.0
2020-04-13,2907800.0
2019-07-01,3083100.0
2019-05-30,1822000.0
2018-08-15,3152500.0
2018-10-18,2602100.0
2019-03-27,4019400.0
2019-01-22,3107000.0
2018-12-21,2105200.0
2019-09-03,3021400.0
2018-11-19,3933100.0
2019-08-02,4330200.0
2020-01-28,25539500.0
2020-04-16,7458000.0
2019-11-13,8938200.0
2020-01-31,7281000.0
2018-12-04,5243900.0
2018-11-02,5507500.0
2019-07-16,4669700.0
2018-08-30,4686000.0
2018-10-01,4307300.0
2019-06-14,2937600.0
2019-05-13,3074900.0
2019-04-11,4448900.0
2019-02-06,4913800.0
2019-09-18,5389400.0
2020-02-03,5978600.0
2020-04-22,4206600.0
2019-11-19,2756700.0
2020-02-06,3409200.0
2019-11-22,5191300.0
2019-03-25,3527600.0
2019-02-21,3246000.0
2018-12-19,4748800.0
2018-07-12,2729500.0
2018-09-14,2995900.0
2018-08-13,2586500.0
2018-10-16,3639100.0
2019-07-31,2111400.0
2019-05-28,5335800.0
2019-04-26,4312200.0
2020-04-28,9635400.0
2019-11-25,3840300.0
2020-02-12,2866400.0
2020-05-01,11097700.0
2020-05-04,3731500.0
2019-06-12,2946900.0
2019-04-09,2621100.0
2019-03-08,2159100.0
2019-02-04,2528500.0
2018-07-27,3850700.0
2018-08-28,2988200.0
2019-01-03,2702400.0
2019-08-15,3317500.0
2018-10-31,2114000.0
2019-09-16,2630300.0
2020-02-18,2023200.0
2020-05-07,2998600.0
2018-08-17,1689000.0
2019-12-04,1576900.0
2020-02-21,2318700.0
2018-12-17,2981100.0
2019-08-30,2031800.0
2018-11-15,2902600.0
2019-07-29,1508100.0
2019-06-27,2864800.0
2019-04-24,2882200.0
2018-07-10,2737800.0
2018-09-12,2082400.0
2019-02-19,3664700.0
2019-01-18,2463100.0
2020-02-24,1209000.0
2020-05-13,3609500.0
2019-12-10,4560200.0
2020-02-27,5289600.0
2019-12-13,12183600.0
2020-05-19,6646700.0
2019-03-06,5059400.0
2018-11-30,3794900.0
2019-08-13,3171600.0
2019-07-12,3345800.0
2019-06-10,2820100.0
2019-05-09,2370200.0
2018-07-25,1690600.0
2018-09-27,1934300.0
2018-10-29,2980200.0
2019-10-16,3569000.0
2019-12-16,2879200.0
2020-03-04,4222800.0
2020-05-22,3410200.0
2019-10-01,5334000.0
2019-12-19,1474100.0
2018-09-10,3850400.0
2019-05-24,3204400.0
2018-08-09,2186500.0
2019-04-22,2598100.0
2019-03-21,3328400.0
2019-01-16,2789000.0
2019-08-28,3271400.0
2018-11-13,6433900.0
2018-10-12,3711100.0
2019-06-25,3258200.0
2020-03-10,3439900.0
2020-05-28,1733600.0
2019-10-07,2592400.0
2020-03-13,3076900.0
2019-10-10,3091600.0
2020-03-16,3139200.0
2020-06-03,2846300.0
2018-11-28,2161500.0
2018-09-25,2233300.0
2018-07-23,2578700.0
2018-08-24,2472800.0
2019-07-10,1468900.0
2019-05-07,2011700.0
2019-04-05,1416600.0
2019-03-04,2280700.0
2019-01-31,1754700.0
2019-09-12,1880200.0
2019-12-31,2376500.0
2020-03-19,1339800.0
2020-01-03,1566300.0
2020-06-09,1312100.0
2019-02-15,1178900.0
2019-01-14,1743200.0
2018-07-06,2039900.0
2018-08-07,1613300.0
2018-10-10,1570800.0
2018-12-13,1936400.0
2019-08-26,2205700.0
2019-07-25,1017200.0
2019-05-22,1997100.0
2019-03-19,2163700.0
2020-01-06,2621500.0
2020-03-25,2892500.0
2020-06-12,2551600.0
2019-10-22,2153400.0
2020-01-09,1945100.0
2020-06-15,2565600.0
2019-10-25,10496200.0
2020-03-31,5266000.0
2020-06-18,2332400.0
2019-04-03,2199700.0
2018-08-22,1885700.0
2018-10-25,1746500.0
2019-01-29,2565800.0
2018-12-28,3500200.0
2018-11-26,1738100.0
2019-08-09,2081100.0
2019-07-08,2119900.0
2019-06-06,1341600.0
2019-09-10,1423200.0
2020-01-15,1801200.0
2020-04-03,1280400.0
2019-10-31,2594700.0
2020-04-06,1332500.0
2020-06-24,1897400.0
2018-11-09,1922400.0
2019-07-23,1824200.0
2019-06-21,2025000.0
2019-05-20,1886300.0
2019-04-18,2615000.0
2018-09-06,3993700.0
2018-10-08,2913200.0
2019-02-13,2408800.0
2018-12-11,1393200.0
2019-09-25,1422800.0
2020-01-21,2553600.0
2020-04-09,1212200.0
2019-11-06,1536600.0
2020-01-24,1625500.0
2020-01-27,1603900.0
2020-04-15,1895100.0
2018-12-26,1386100.0
2019-08-07,1293000.0
2019-06-04,1438900.0
2018-09-21,1771500.0
2018-07-19,1639600.0
2018-08-20,1010600.0
2018-10-23,1508000.0
2019-05-03,1529700.0
2019-04-01,1577000.0
2019-02-28,2368000.0
2019-11-12,1593000.0
2020-01-30,1525200.0
2019-11-15,2163700.0
2020-04-21,2739400.0
2019-04-16,2947800.0
2019-03-15,1870600.0
2019-02-11,2052800.0
2019-01-10,1877900.0
2019-08-22,1878200.0
2018-11-07,1961500.0
2018-08-03,1425100.0
2018-09-04,2659600.0
2019-06-19,2191300.0
2019-09-23,3131300.0
2019-11-18,3289700.0
2020-02-05,4004200.0
2020-04-24,3477900.0
2019-03-29,2242200.0
2019-11-21,2257000.0
2020-04-27,1806100.0
2020-02-11,1619900.0
2020-04-30,1782700.0
2019-05-01,2186900.0
2019-02-26,3479300.0
2019-01-25,1778900.0
2018-12-24,1672600.0
2019-09-06,3320700.0
2018-07-17,2148800.0
2018-09-19,1899200.0
2019-08-05,1870000.0
2019-10-08,1678200.0
2019-12-11,3037100.0
2019-11-27,2007800.0
2020-02-14,2392900.0
2020-05-06,1407900.0
2019-01-08,1155900.0
2018-12-07,3885900.0
2019-08-20,2107600.0
2018-11-05,1841900.0
2019-07-19,1149700.0
2018-10-04,1024100.0
2019-06-17,1642500.0
2019-05-16,2045100.0
2018-08-01,1468900.0
2019-03-13,1407200.0
2019-12-03,1209300.0
2020-02-20,1194900.0
2019-12-06,1210600.0
2020-05-12,1262900.0
2019-12-09,1473800.0
2020-02-26,1245700.0
2020-05-15,1348000.0
2019-03-28,2187500.0
2018-09-17,1192500.0
2018-08-16,1232300.0
2018-10-19,1504700.0
2019-04-29,1714200.0
2019-01-23,1806200.0
2019-09-04,2641100.0
2018-11-20,4272200.0
2019-07-02,2424500.0
2019-05-31,4313300.0
2019-12-12,2840600.0
2020-05-18,2237500.0
2019-09-27,1858400.0
2020-03-03,2153000.0
2020-05-21,2276700.0
2019-05-14,4286200.0
2018-08-31,2455100.0
2018-07-30,1563600.0
2018-10-02,1504700.0
2019-04-12,2303800.0
2019-03-11,1512300.0
2019-02-07,1556700.0
2019-07-17,1355000.0
2019-09-19,2533300.0
2019-10-21,2596000.0
2019-12-18,2292700.0
2020-03-06,2971900.0
2019-10-03,6131300.0
2020-03-09,3975300.0
2020-05-27,2110800.0
2019-12-24,2570500.0
2020-03-12,2448500.0
2018-12-20,2531200.0
2019-08-01,2687100.0
2018-08-14,1826200.0
2018-07-13,3242900.0
2018-10-17,1549900.0
2019-05-29,1801600.0
2019-03-26,1746600.0
2019-02-22,1220900.0
2019-10-04,1728000.0
2019-11-05,1565100.0
2019-12-27,2548600.0
2020-06-02,1922900.0
2019-12-30,1693000.0
2020-03-18,1346300.0
2020-06-05,1384700.0
