Dates,BBD
2018-06-20,27824800.0
2018-06-21,14294200.0
2018-06-25,17094700.0
2018-06-22,13231400.0
2018-06-26,13780000.0
2018-06-27,16740900.0
2018-06-28,11952900.0
2018-06-29,12475200.0
2018-07-02,9309100.0
2018-07-03,10681800.0
2018-07-05,14187000.0
2018-07-16,14770400.0
2018-09-18,12788600.0
2019-01-24,16228000.0
2019-09-05,15369100.0
2018-11-21,11733900.0
2020-01-13,15210200.0
2020-04-01,9295400.0
2020-06-19,15436900.0
2019-10-29,9520400.0
2020-01-16,11678700.0
2020-06-22,34456000.0
2018-10-03,14762100.0
2018-07-31,11522500.0
2019-03-12,20071300.0
2019-02-08,17938400.0
2019-01-07,12006700.0
2018-12-06,8323600.0
2019-08-19,9866600.0
2019-07-18,8939600.0
2019-05-15,8811900.0
2019-09-20,16122300.0
2019-11-01,9995200.0
2020-04-07,15637800.0
2020-06-25,16251600.0
2020-06-16,9693700.0
2019-11-04,25790700.0
2020-01-22,16929100.0
2019-11-07,15049500.0
2020-04-13,18084100.0
2019-07-01,16356200.0
2019-05-30,12250000.0
2018-08-15,9064200.0
2018-10-18,23097900.0
2019-03-27,15476200.0
2019-01-22,18210800.0
2018-12-21,11536900.0
2019-09-03,13646700.0
2018-11-19,10221200.0
2019-08-02,10654600.0
2020-01-28,17994800.0
2020-04-16,17675100.0
2019-11-13,14421800.0
2020-01-31,14418700.0
2018-12-04,17436300.0
2018-11-02,17433400.0
2019-07-16,21319900.0
2018-08-30,15119600.0
2018-10-01,21370800.0
2019-06-14,17788000.0
2019-05-13,17286200.0
2019-04-11,12186000.0
2019-02-06,13875700.0
2019-09-18,20108400.0
2020-02-03,15592800.0
2020-04-22,25182300.0
2019-11-19,14103400.0
2020-02-06,21186400.0
2019-11-22,18540000.0
2019-03-25,28049400.0
2019-02-21,23245000.0
2018-12-19,12643000.0
2018-07-12,31006800.0
2018-09-14,47177100.0
2018-08-13,31236900.0
2018-10-16,22505800.0
2019-07-31,43724400.0
2019-05-28,30294800.0
2019-04-26,23902400.0
2020-04-28,24165000.0
2019-11-25,15491400.0
2020-02-12,15560000.0
2020-05-01,21070000.0
2020-05-04,22141600.0
2019-06-12,13847500.0
2019-04-09,14182900.0
2019-03-08,16196600.0
2019-02-04,12549300.0
2018-07-27,18463400.0
2018-08-28,23373700.0
2019-01-03,18829800.0
2019-08-15,42872400.0
2018-10-31,27059400.0
2019-09-16,26272200.0
2020-02-18,22117800.0
2020-05-07,15634300.0
2018-08-17,17079200.0
2019-12-04,13165800.0
2020-02-21,18150700.0
2018-12-17,17805600.0
2019-08-30,20595300.0
2018-11-15,12618600.0
2019-07-29,15393300.0
2019-06-27,16756400.0
2019-04-24,12594100.0
2018-07-10,14972600.0
2018-09-12,14460600.0
2019-02-19,25186300.0
2019-01-18,16651000.0
2020-02-24,6451800.0
2020-05-13,13151600.0
2019-12-10,14849800.0
2020-02-27,19422400.0
2019-12-13,20267500.0
2020-05-19,11789000.0
2019-03-06,14825700.0
2018-11-30,19326200.0
2019-08-13,15546300.0
2019-07-12,17254600.0
2019-06-10,18090700.0
2019-05-09,17189500.0
2018-07-25,18128100.0
2018-09-27,9655400.0
2018-10-29,26744100.0
2019-10-16,20570700.0
2019-12-16,11239800.0
2020-03-04,17510600.0
2020-05-22,20305300.0
