Dates,BBD
2018-06-20,5.775000095367432
2018-06-21,5.625
2018-06-25,5.650000095367432
2018-06-22,5.583333492279053
2018-06-26,5.616666793823242
2018-06-27,5.441666603088379
2018-06-28,5.5333333015441895
2018-06-29,5.6583333015441895
2018-07-02,5.574999809265137
2018-07-03,5.691666603088379
2018-07-05,5.791666507720947
2018-07-16,5.808333396911621
2018-09-18,5.9083333015441895
2019-01-24,5.958333492279053
2019-09-05,5.875
2018-11-21,5.991666793823242
2020-01-13,6.025000095367432
2020-04-01,6.166666507720947
2020-06-19,6.191666603088379
2019-10-29,6.300000190734863
2020-01-16,6.074999809265137
2020-06-22,6.666666507720947
2018-10-03,6.583333492279053
2018-07-31,6.7166666984558105
2019-03-12,6.949999809265137
2019-02-08,6.666666507720947
2019-01-07,6.800000190734863
2018-12-06,6.8416666984558105
2019-08-19,6.708333492279053
2019-07-18,6.741666793823242
2019-05-15,6.666666507720947
2019-09-20,7.008333206176758
2019-11-01,7.041666507720947
2020-04-07,6.8416666984558105
2020-06-25,6.708333492279053
2020-06-16,6.558333396911621
2019-11-04,6.133333206176758
2020-01-22,6.058333396911621
2019-11-07,6.208333492279053
2020-04-13,6.175000190734863
2019-07-01,6.183333396911621
2019-05-30,6.008333206176758
2018-08-15,5.941666603088379
2018-10-18,5.733333110809326
2019-03-27,5.641666889190674
2019-01-22,5.616666793823242
2018-12-21,5.675000190734863
2019-09-03,5.791666507720947
2018-11-19,5.733333110809326
2019-08-02,5.808333396911621
2020-01-28,5.574999809265137
2020-04-16,5.5916666984558105
2019-11-13,5.458333492279053
2020-01-31,5.425000190734863
2018-12-04,5.491666793823242
2018-11-02,5.775000095367432
2019-07-16,5.708333492279053
2018-08-30,5.458333492279053
2018-10-01,5.541666507720947
2019-06-14,5.416666507720947
2019-05-13,5.416666507720947
2019-04-11,5.550000190734863
2019-02-06,5.724999904632568
2019-09-18,5.699999809265137
2020-02-03,5.800000190734863
2020-04-22,5.858333110809326
2019-11-19,5.766666889190674
2020-02-06,5.633333206176758
2019-11-22,5.866666793823242
2019-03-25,5.991666793823242
2019-02-21,5.849999904632568
2018-12-19,5.800000190734863
2018-07-12,6.141666889190674
2018-09-14,6.574999809265137
2018-08-13,6.483333110809326
2018-10-16,6.599999904632568
2019-07-31,7.166666507720947
2019-05-28,7.166666507720947
2019-04-26,7.041666507720947
2020-04-28,6.900000095367432
2019-11-25,7.0333333015441895
2020-02-12,7.0916666984558105
2020-05-01,7.25
2020-05-04,7.4083333015441895
2019-06-12,7.308333396911621
2019-04-09,7.258333206176758
2019-03-08,7.441666603088379
2019-02-04,7.2833333015441895
2018-07-27,7.2166666984558105
2018-08-28,7.316666603088379
2019-01-03,7.449999809265137
2019-08-15,7.3416666984558105
2018-10-31,7.375
2019-09-16,7.483333110809326
2020-02-18,7.800000190734863
2020-05-07,8.116666793823242
2018-08-17,8.199999809265137
2019-12-04,8.0
2020-02-21,7.816666603088379
2018-12-17,7.741666793823242
2019-08-30,7.691666603088379
2018-11-15,7.758333206176758
2019-07-29,7.508333206176758
2019-06-27,7.5916666984558105
2019-04-24,7.775000095367432
2018-07-10,7.941666603088379
2018-09-12,8.033333778381348
2019-02-19,7.800000190734863
2019-01-18,7.925000190734863
2020-02-24,7.941666603088379
2020-05-13,7.583333492279053
2019-12-10,7.775000095367432
2020-02-27,7.883333206176758
2019-12-13,8.208333015441895
2020-05-19,8.241666793823242
2019-03-06,8.100000381469727
2018-11-30,7.949999809265137
2019-08-13,7.708333492279053
2019-07-12,8.008333206176758
2019-06-10,7.824999809265137
2019-05-09,7.833333492279053
2018-07-25,8.058333396911621
2018-09-27,8.083333015441895
2018-10-29,8.058333396911621
2019-10-16,7.916666507720947
2019-12-16,8.0
2020-03-04,7.916666507720947
2020-05-22,8.100000381469727
2019-10-01,7.933333396911621
2019-12-19,7.849999904632568
2018-09-10,7.599999904632568
2019-05-24,7.724999904632568
2018-08-09,8.116666793823242
2019-04-22,8.166666984558105
2019-03-21,8.375
2019-01-16,8.791666984558105
2019-08-28,8.808333396911621
2018-11-13,9.016666412353516
2018-10-12,8.916666984558105
2019-06-25,9.308333396911621
2020-03-10,9.241666793823242
2020-05-28,9.175000190734863
2019-10-07,9.199999809265137
2020-03-13,9.233333587646484
2019-10-10,9.308333396911621
2020-03-16,9.216666221618652
2020-06-03,9.366666793823242
2018-11-28,9.091666221618652
2018-09-25,9.191666603088379
2018-07-23,9.358333587646484
2018-08-24,9.383333206176758
2019-07-10,9.441666603088379
2019-05-07,9.566666603088379
2019-04-05,9.383333206176758
2019-03-04,10.116666793823242
2019-01-31,10.041666984558105
2019-09-12,10.0
2019-12-31,10.208333015441895
2020-03-19,9.733333587646484
2020-01-03,9.658333778381348
2020-06-09,9.716666221618652
2019-02-15,9.658333778381348
2019-01-14,9.916666984558105
2018-07-06,9.833333015441895
2018-08-07,9.683333396911621
2018-10-10,10.175000190734863
2018-12-13,10.074999809265137
2019-08-26,9.925000190734863
2019-07-25,9.758333206176758
2019-05-22,9.783333778381348
2019-03-19,9.766666412353516
2020-01-06,9.774999618530273
2020-03-25,9.833333015441895
2020-06-12,9.550000190734863
2019-10-22,9.316666603088379
2020-01-09,9.241666793823242
2020-06-15,9.316666603088379
2019-10-25,9.083333015441895
2020-03-31,8.983333587646484
2020-06-18,9.091666221618652
2019-04-03,9.399999618530273
2018-08-22,9.649999618530273
2018-10-25,9.675000190734863
2019-01-29,9.691666603088379
2018-12-28,9.883333206176758
2018-11-26,9.925000190734863
2019-08-09,9.850000381469727
2019-07-08,9.608333587646484
2019-06-06,9.183333396911621
