Dates,BBD
2018-06-20,5.346773147583008
2018-06-21,5.150145053863525
2018-06-25,5.218208312988281
2018-06-22,5.20308256149292
2018-06-26,5.135019779205322
2018-06-27,4.953516006469727
2018-06-28,5.1274566650390625
2018-06-29,5.187957286834717
2018-07-02,5.165106296539307
2018-07-03,5.390010356903076
2018-07-05,5.412881374359131
2018-07-16,5.496744632720947
2018-09-18,5.504366397857666
2019-01-24,5.55010986328125
2019-09-05,5.4052581787109375
2018-11-21,5.519615650177002
2020-01-13,5.71021032333374
2020-04-01,5.702585697174072
2020-06-19,5.885557651519775
2019-10-29,5.778822898864746
2020-01-16,5.794071674346924
2020-06-22,6.129517078399658
2018-10-03,6.083775043487549
2018-07-31,6.221002578735352
2019-03-12,6.411596775054932
2019-02-08,6.152387619018555
2019-01-07,6.289616107940674
2018-12-06,6.312488079071045
2019-08-19,6.160011291503906
2019-07-18,6.236250877380371
2019-05-15,6.232438564300537
2019-09-20,6.583347320556641
2019-11-01,6.468920707702637
2020-04-07,6.308723449707031
2020-06-25,6.194296836853027
2020-06-16,6.0646138191223145
2019-11-04,5.68319034576416
2020-01-22,5.706076145172119
2019-11-07,5.858645439147949
2020-04-13,5.744217395782471
2019-07-01,5.721333026885986
2019-05-30,5.561135768890381
2018-08-15,5.530620574951172
2018-10-18,5.294140338897705
2019-03-27,5.393310070037842
2019-01-22,5.187342166900635
2018-12-21,5.271254539489746
2019-09-03,5.408566951751709
2018-11-19,5.294140338897705
2019-08-02,5.385680675506592
2020-01-28,5.149199962615967
2020-04-16,5.294140338897705
2019-11-13,5.04603910446167
2020-01-31,5.0765767097473145
2018-12-04,5.229252815246582
2018-11-02,5.359030723571777
2019-07-16,5.305593013763428
2018-08-30,5.05367374420166
2018-10-01,5.091843128204346
2019-06-14,5.000236988067627
2019-05-13,5.091843128204346
2019-04-11,5.29032564163208
2019-02-06,5.29032564163208
2019-09-18,5.328495979309082
2020-02-03,5.404835224151611
2020-04-22,5.519344329833984
