Dates,WFC
2007-02-12,35.47999954223633
2007-02-13,35.599998474121094
2007-02-15,35.880001068115234
2007-02-14,36.220001220703125
2007-02-16,36.27000045776367
2007-02-20,35.77000045776367
2007-02-21,35.939998626708984
2007-02-22,36.130001068115234
2007-02-23,36.16999816894531
2007-02-26,35.75
2007-02-27,35.150001525878906
2007-03-28,34.5
2007-11-07,34.5
2007-09-04,34.599998474121094
2007-08-03,34.0
2008-04-15,34.45000076293945
2008-05-21,34.52000045776367
2008-08-08,34.619998931884766
2008-08-11,34.779998779296875
2008-01-25,34.209999084472656
2007-05-14,34.2599983215332
2007-04-12,33.47999954223633
2007-12-24,33.619998931884766
2007-09-19,34.130001068115234
2008-04-30,34.09000015258789
2007-07-17,34.25
2007-06-15,34.65999984741211
2008-02-26,35.04999923706055
2008-05-27,35.02000045776367
2008-08-14,34.84000015258789
2008-05-30,34.5
2008-08-20,34.31999969482422
2007-08-01,34.5
2008-03-12,34.5
2007-03-26,34.41999816894531
2007-05-29,34.099998474121094
2007-04-27,34.54999923706055
2008-01-08,34.20000076293945
2007-12-07,34.40999984741211
2007-11-05,34.38999938964844
2007-10-04,34.43000030517578
2008-05-15,34.16999816894531
2008-06-05,34.150001525878906
2008-08-26,34.79999923706055
2007-10-19,35.689998626708984
2007-09-17,35.400001525878906
2007-08-16,35.849998474121094
2008-04-28,36.41999816894531
2007-04-10,36.369998931884766
2007-03-09,35.95000076293945
2007-06-13,35.83000183105469
2008-03-27,35.540000915527344
2008-01-23,35.970001220703125
2007-11-20,36.150001525878906
2008-06-11,36.029998779296875
2008-08-29,35.7599983215332
2007-12-05,35.720001220703125
2007-10-02,35.959999084472656
2007-04-25,35.91999816894531
2007-08-31,35.869998931884766
2007-07-30,35.75
2008-04-11,36.029998779296875
2007-06-28,35.52000045776367
2008-03-10,35.61000061035156
2008-02-07,35.45000076293945
2008-05-13,35.66999816894531
2008-06-23,36.04999923706055
2007-07-13,36.34000015258789
2008-03-25,36.45000076293945
2008-02-22,36.2599983215332
2007-12-20,36.060001373291016
2007-05-10,36.060001373291016
2007-03-07,36.06999969482422
2007-06-11,36.150001525878906
2007-10-17,36.060001373291016
2007-08-14,36.18000030517578
2008-05-28,36.09000015258789
2008-06-26,36.400001525878906
2007-05-31,36.11000061035156
2008-07-02,35.84000015258789
2007-08-29,35.560001373291016
2008-04-09,35.04999923706055
2007-06-26,35.27000045776367
2008-02-05,35.310001373291016
2008-01-04,35.29999923706055
2007-03-22,35.45000076293945
2007-05-25,36.0
2007-04-23,36.130001068115234
2007-12-03,36.150001525878906
2007-11-01,36.45000076293945
2008-07-08,35.68000030517578
2007-12-18,35.470001220703125
2007-11-16,35.0
2007-10-15,35.310001373291016
2007-09-13,34.810001373291016
2008-04-24,35.33000183105469
2007-07-11,35.5
2008-02-20,35.41999816894531
2007-03-05,35.7400016784668
2007-05-08,35.56999969482422
2008-06-27,35.2400016784668
2008-07-11,35.400001525878906
2008-07-14,35.0
2008-03-06,34.400001525878906
2007-05-23,35.150001525878906
2008-01-02,35.34000015258789
2007-03-20,35.650001525878906
2007-10-30,35.79999923706055
2007-09-28,35.45000076293945
2007-08-27,35.540000915527344
2007-07-26,35.18000030517578
2008-04-07,34.95000076293945
2008-05-09,34.45000076293945
2008-07-23,34.38999938964844
2007-09-11,33.849998474121094
2007-04-04,33.689998626708984
2007-06-07,33.77000045776367
2007-08-10,34.720001220703125
2008-04-22,33.7599983215332
2007-07-09,33.689998626708984
2008-01-17,34.11000061035156
2007-11-14,32.810001373291016
2008-06-25,34.25
2008-08-28,34.630001068115234
2008-07-29,33.900001525878906
2007-11-29,33.5099983215332
2007-05-21,34.68000030517578
2007-04-19,33.939998626708984
2007-09-26,33.68000030517578
2007-07-24,33.06999969482422
2007-06-22,37.040000915527344
2008-03-04,37.220001220703125
2008-02-01,36.93000030517578
2007-12-31,37.40999984741211
2008-05-07,36.779998779296875
2008-08-01,36.45000076293945
2008-08-04,36.369998931884766
2008-08-07,35.70000076293945
2008-01-15,35.349998474121094
2007-12-14,35.79999923706055
2007-04-02,36.380001068115234
2007-03-01,36.47999954223633
2007-05-04,36.0099983215332
2007-06-05,35.849998474121094
2007-11-12,35.06999969482422
2007-10-11,35.34000015258789
2007-08-08,35.25
2008-03-19,35.959999084472656
2008-05-23,35.7400016784668
2008-08-13,35.560001373291016
2007-08-23,35.459999084472656
2008-04-03,35.470001220703125
2007-06-20,37.380001068115234
2008-01-30,37.11000061035156
2007-04-17,36.5
2007-03-16,36.2400016784668
2007-11-27,35.560001373291016
2007-10-26,36.20000076293945
2007-09-24,35.91999816894531
2008-05-05,35.86000061035156
2008-05-29,35.20000076293945
2008-03-14,36.790000915527344
2008-08-19,36.47999954223633
2008-06-04,37.0
2008-08-22,37.4900016784668
2007-10-09,37.45000076293945
2007-09-07,37.099998474121094
2007-08-06,37.11000061035156
2008-04-18,36.65999984741211
2007-07-05,36.45000076293945
2008-03-17,35.970001220703125
2007-05-02,35.06999969482422
2008-02-14,34.86000061035156
2007-12-12,33.720001220703125
2008-05-20,33.36000061035156
2008-08-25,32.72999954223633
2008-06-10,34.099998474121094
2008-01-28,33.5099983215332
2007-12-27,34.150001525878906
2007-10-24,34.4900016784668
2007-08-21,34.70000076293945
2007-03-14,34.0099983215332
2007-05-17,34.47999954223633
2007-06-18,33.18000030517578
2007-07-20,32.349998474121094
2008-04-01,32.0
2008-02-29,32.0
2008-06-13,32.689998626708984
2008-01-10,31.389999389648438
2008-06-16,31.1299991607666
2008-06-19,31.540000915527344
