Dates,WFC
2007-05-30,21773800.0
2007-11-06,20313700.0
2007-10-05,23568800.0
2007-08-02,17637400.0
2008-04-14,35344200.0
2008-03-13,9505400.0
2008-05-16,11876900.0
2008-06-17,18016800.0
2008-07-07,12907200.0
2008-07-10,12947700.0
2007-07-16,24387800.0
2008-03-28,26313100.0
2008-02-25,50818700.0
2007-04-11,25887100.0
2007-06-14,41495200.0
2008-01-24,37293300.0
2008-04-29,44359200.0
2007-11-21,32925100.0
2007-09-18,22667200.0
2007-08-17,36283900.0
2008-07-16,43681900.0
2007-10-03,34795200.0
2007-07-31,49848000.0
2007-04-26,60889400.0
2008-03-11,88250400.0
2007-06-29,65278700.0
2008-02-08,57728300.0
2008-01-07,36801500.0
2007-12-06,44412500.0
2008-05-14,62076900.0
2008-07-17,60276300.0
2008-07-22,44720500.0
2008-07-25,39734200.0
2007-08-15,33198700.0
2007-11-19,30586300.0
2007-10-18,31932500.0
2008-01-22,34869000.0
2007-03-08,23042800.0
2007-05-11,28865800.0
2007-04-09,34892200.0
2007-06-12,25116200.0
2007-12-21,26386700.0
2008-03-26,29717800.0
2008-07-28,28800700.0
2007-07-02,28937100.0
2008-07-31,28788100.0
2007-06-27,42232900.0
2008-04-10,30393300.0
2007-12-04,30550200.0
2007-03-23,27700300.0
2007-04-24,33507400.0
2007-11-02,25951400.0
2007-10-01,30441700.0
2008-02-06,32727100.0
2007-08-30,33668800.0
2008-05-12,48327100.0
2008-08-06,33698100.0
2008-05-22,51189600.0
2007-10-16,39549000.0
2007-09-14,51569200.0
2007-08-13,51388600.0
2007-07-12,54665200.0
2008-03-24,55149600.0
2008-02-21,46917900.0
2008-04-25,47658600.0
2007-03-06,45234500.0
2007-05-09,27482600.0
2007-12-19,36599400.0
2008-08-12,26998000.0
2008-08-15,28854000.0
2008-08-18,34976200.0
2008-01-03,36070500.0
2007-10-31,37101500.0
2007-08-28,20045200.0
2007-07-27,25087100.0
2008-04-08,20142300.0
2008-03-07,33757900.0
2007-03-21,29806200.0
2007-05-24,45453800.0
2007-06-25,44211800.0
2008-02-04,36081500.0
2008-06-03,29674500.0
2008-08-21,69841500.0
2008-06-06,32575200.0
2007-05-07,37941600.0
2007-04-05,24365800.0
2007-07-10,22788100.0
2007-06-08,24533400.0
2008-02-19,28973100.0
2008-01-18,25805400.0
2007-12-17,17222000.0
2007-11-15,19367400.0
2007-09-12,21492200.0
2008-04-23,38326900.0
2008-08-27,25950200.0
2008-06-12,18618000.0
2007-09-27,21163200.0
2007-05-22,27670800.0
2007-03-19,24230300.0
2007-04-20,16056300.0
2007-07-25,13503000.0
2008-03-05,27224800.0
2007-11-30,25831600.0
2007-10-29,27903900.0
2008-05-08,25883600.0
2008-06-09,28571900.0
2008-06-18,31462700.0
2007-11-13,32859800.0
2007-03-02,26221400.0
2007-04-03,23920700.0
2007-06-06,27493300.0
2007-10-12,39715000.0
2007-09-10,25225100.0
2007-08-09,19411300.0
2008-04-21,23179200.0
2008-03-20,30363600.0
2008-01-16,33490000.0
2008-06-24,26962600.0
2008-03-03,57724400.0
2008-01-31,40108200.0
2007-04-18,43539900.0
2007-06-21,48023600.0
2007-11-28,40700800.0
2007-09-25,32367300.0
2007-08-24,33166500.0
2007-07-23,40682000.0
2008-04-04,42211000.0
2008-05-06,47029900.0
2008-06-30,62647400.0
2008-07-03,36638600.0
2007-08-07,50002700.0
2007-07-06,41995500.0
2008-03-18,59131200.0
2008-02-15,49640300.0
2007-02-28,42295500.0
2007-05-03,58147900.0
2007-06-04,34038500.0
2008-01-14,28348800.0
2007-12-13,58126600.0
2007-10-10,61171700.0
2008-07-09,52656700.0
2007-11-26,61009300.0
2007-10-25,82338800.0
2007-08-22,56418100.0
2008-04-02,122587000.0
2007-05-18,206249200.0
2007-03-15,115206800.0
2007-04-16,71649800.0
2007-06-19,70613600.0
2008-01-29,100898900.0
2007-12-28,122201200.0
2008-07-15,70564700.0
2008-02-11,55525300.0
2008-07-18,46645300.0
2008-07-21,62303400.0
2008-02-13,65749100.0
2007-12-11,48107500.0
2007-11-09,40425300.0
2007-10-08,46627900.0
2007-09-06,45806300.0
2007-03-30,42199300.0
2007-05-01,57510900.0
2008-04-17,45857600.0
2008-05-19,55278900.0
2008-06-20,54318600.0
2008-07-24,53459400.0
2007-08-20,40937100.0
2007-07-19,43611700.0
2008-03-31,38157700.0
2008-02-28,45428100.0
2007-12-26,52813300.0
2007-10-23,37272800.0
2007-03-13,44892000.0
2007-05-16,30517900.0
2007-09-21,33048100.0
2008-05-02,25864700.0
2008-07-30,36971300.0
2008-08-05,29295400.0
