Dates,MCK
2018-06-20,147.5
2018-06-21,146.4600067138672
2018-06-25,148.8800048828125
2018-06-22,146.07000732421875
2018-06-26,144.92999267578125
2018-06-27,144.66000366210938
2018-06-28,135.8000030517578
2018-06-29,133.39999389648438
2018-07-02,134.8800048828125
2018-07-03,134.57000732421875
2018-07-05,136.0399932861328
2018-07-16,137.8800048828125
2018-09-18,138.27000427246094
2019-01-24,138.52000427246094
2019-09-05,134.6999969482422
2018-11-21,135.97999572753906
2020-01-13,136.58999633789062
2020-04-01,135.5800018310547
2020-06-19,134.5800018310547
2019-10-29,134.33999633789062
2020-01-16,133.80999755859375
2020-06-22,132.89999389648438
2018-10-03,132.6300048828125
2018-07-31,131.97999572753906
2019-03-12,133.35000610351562
2019-02-08,127.05999755859375
2019-01-07,123.88999938964844
2018-12-06,125.9000015258789
2019-08-19,125.5999984741211
2019-07-18,124.79000091552734
2019-05-15,123.98999786376953
2019-09-20,126.20999908447266
2019-11-01,126.75
2020-04-07,126.75
2020-06-25,124.05999755859375
2020-06-16,123.87999725341797
2019-11-04,123.13999938964844
2020-01-22,126.02999877929688
2019-11-07,126.68000030517578
2020-04-13,126.41999816894531
2019-07-01,127.08999633789062
2019-05-30,129.3800048828125
2018-08-15,130.64999389648438
2018-10-18,130.38999938964844
2019-03-27,129.72000122070312
2019-01-22,129.36000061035156
2018-12-21,129.6699981689453
2019-09-03,130.32000732421875
2018-11-19,130.0
2019-08-02,130.0
2020-01-28,129.97999572753906
2020-04-16,128.75
2019-11-13,123.9000015258789
2020-01-31,123.43000030517578
2018-12-04,125.5
2018-11-02,129.74000549316406
2019-07-16,130.36000061035156
2018-08-30,130.0800018310547
2018-10-01,130.2899932861328
2019-06-14,129.61000061035156
2019-05-13,128.55999755859375
2019-04-11,131.77999877929688
2019-02-06,133.0800018310547
2019-09-18,134.27000427246094
2020-02-03,135.85000610351562
2020-04-22,134.9499969482422
2019-11-19,132.63999938964844
2020-02-06,131.72000122070312
2019-11-22,131.9600067138672
2019-03-25,131.69000244140625
2019-02-21,132.64999389648438
2018-12-19,132.32000732421875
2018-07-12,132.52999877929688
2018-09-14,130.5
2018-08-13,132.25999450683594
2018-10-16,134.0800018310547
2019-07-31,136.0500030517578
2019-05-28,136.83999633789062
2019-04-26,135.5
2020-04-28,129.24000549316406
2019-11-25,130.7899932861328
2020-02-12,131.3699951171875
2020-05-01,133.44000244140625
2020-05-04,135.0399932861328
2019-06-12,132.6999969482422
2019-04-09,132.38999938964844
2019-03-08,126.7300033569336
2019-02-04,127.29000091552734
2018-07-27,121.58000183105469
2018-08-28,121.98999786376953
2019-01-03,118.38999938964844
2019-08-15,120.7699966430664
2018-10-31,124.12000274658203
2019-09-16,124.76000213623047
2020-02-18,129.08999633789062
2020-05-07,125.41000366210938
2018-08-17,127.12000274658203
2019-12-04,128.60000610351562
2020-02-21,132.72000122070312
2018-12-17,132.57000732421875
2019-08-30,130.80999755859375
2018-11-15,130.47000122070312
2019-07-29,130.14999389648438
2019-06-27,128.88999938964844
2019-04-24,127.47000122070312
2018-07-10,123.88999938964844
2018-09-12,126.19000244140625
2019-02-19,122.55000305175781
2019-01-18,121.80999755859375
2020-02-24,121.16000366210938
2020-05-13,120.63999938964844
2019-12-10,125.69000244140625
2020-02-27,127.16000366210938
2019-12-13,127.01000213623047
2020-05-19,124.5
2019-03-06,127.16000366210938
2018-11-30,125.05000305175781
2019-08-13,126.4000015258789
2019-07-12,124.94000244140625
2019-06-10,123.0999984741211
2019-05-09,122.1500015258789
2018-07-25,123.33000183105469
2018-09-27,122.86000061035156
2018-10-29,116.66000366210938
2019-10-16,111.9000015258789
2019-12-16,109.19000244140625
2020-03-04,110.62999725341797
2020-05-22,109.86000061035156
2019-10-01,108.33999633789062
2019-12-19,108.2300033569336
2018-09-10,110.77999877929688
2019-05-24,111.05999755859375
2018-08-09,110.04000091552734
2019-04-22,110.47000122070312
2019-03-21,113.06999969482422
2019-01-16,112.94000244140625
2019-08-28,114.33000183105469
2018-11-13,115.36000061035156
2018-10-12,117.70999908447266
2019-06-25,118.26000213623047
2020-03-10,122.04000091552734
2020-05-28,122.16000366210938
2019-10-07,121.69000244140625
2020-03-13,123.05000305175781
2019-10-10,123.5999984741211
2020-03-16,124.38999938964844
2020-06-03,126.66999816894531
2018-11-28,125.87000274658203
2018-09-25,126.12000274658203
2018-07-23,125.47000122070312
2018-08-24,127.05000305175781
2019-07-10,125.7699966430664
2019-05-07,125.29000091552734
2019-04-05,124.97000122070312
2019-03-04,128.25
2019-01-31,127.33000183105469
2019-09-12,132.25999450683594
2019-12-31,131.77000427246094
2020-03-19,132.6199951171875
2020-01-03,130.60000610351562
2020-06-09,128.49000549316406
2019-02-15,130.42999267578125
2019-01-14,134.0
2018-07-06,134.1699981689453
2018-08-07,134.38999938964844
2018-10-10,135.55999755859375
2018-12-13,136.3000030517578
2019-08-26,134.0399932861328
2019-07-25,131.9499969482422
2019-05-22,131.49000549316406
2019-03-19,130.17999267578125
2020-01-06,127.1500015258789
2020-03-25,127.41999816894531
2020-06-12,127.16000366210938
2019-10-22,124.52999877929688
2020-01-09,120.0999984741211
2020-06-15,117.16000366210938
2019-10-25,113.51000213623047
2020-03-31,112.27999877929688
2020-06-18,111.86000061035156
2019-04-03,113.4800033569336
