Dates,MCK
2018-06-20,146.6999969482422
2018-06-21,147.9600067138672
2018-06-25,147.33999633789062
2018-06-22,148.2899932861328
2018-06-26,146.0800018310547
2018-06-27,144.92999267578125
2018-06-28,138.33999633789062
2018-06-29,135.89999389648438
2018-07-02,133.22999572753906
2018-07-03,134.9600067138672
2018-07-05,135.3699951171875
2018-07-16,136.0800018310547
2018-09-18,138.4600067138672
2019-01-24,138.86000061035156
2019-09-05,137.1699981689453
2018-11-21,135.50999450683594
2020-01-13,135.8000030517578
2020-04-01,136.77000427246094
2020-06-19,135.30999755859375
2019-10-29,134.33999633789062
2020-01-16,133.35000610351562
2020-06-22,132.60000610351562
2018-10-03,132.52999877929688
2018-07-31,132.80999755859375
2019-03-12,132.30999755859375
2019-02-08,131.99000549316406
2019-01-07,126.5199966430664
2018-12-06,124.0
2019-08-19,125.83000183105469
2019-07-18,125.68000030517578
2019-05-15,124.61000061035156
2019-09-20,123.9000015258789
2019-11-01,125.36000061035156
2020-04-07,126.81999969482422
2020-06-25,126.56999969482422
2020-06-16,124.0
2019-11-04,123.5
2020-01-22,123.01000213623047
2019-11-07,126.20999908447266
2020-04-13,125.93000030517578
2019-07-01,127.5
2019-05-30,126.81999969482422
2018-08-15,129.33999633789062
2018-10-18,130.5500030517578
2019-03-27,130.02999877929688
2019-01-22,129.83999633789062
2018-12-21,129.80999755859375
2019-09-03,130.0399932861328
2018-11-19,130.44000244140625
2019-08-02,130.16000366210938
2020-01-28,129.6699981689453
2020-04-16,128.69000244140625
2019-11-13,128.30999755859375
2020-01-31,123.18000030517578
2018-12-04,123.30999755859375
2018-11-02,124.56999969482422
2019-07-16,129.82000732421875
2018-08-30,129.8800048828125
2018-10-01,130.0500030517578
2019-06-14,131.1999969482422
2019-05-13,130.0
2019-04-11,128.6699981689453
2019-02-06,131.5399932861328
2019-09-18,133.22999572753906
2020-02-03,134.5399932861328
2020-04-22,135.9199981689453
2019-11-19,134.92999267578125
2020-02-06,132.8000030517578
2019-11-22,131.5
2019-03-25,131.97999572753906
2019-02-21,131.5
2018-12-19,132.97000122070312
2018-07-12,132.5500030517578
2018-09-14,133.25999450683594
2018-08-13,130.5399932861328
2018-10-16,132.2899932861328
2019-07-31,133.83999633789062
2019-05-28,135.97999572753906
2019-04-26,136.8000030517578
2020-04-28,135.35000610351562
2019-11-25,130.0
2020-02-12,130.3800048828125
2020-05-01,132.0399932861328
2020-05-04,133.42999267578125
2019-06-12,135.0
2019-04-09,132.9499969482422
2019-03-08,129.6300048828125
2019-02-04,125.25
2018-07-27,126.80999755859375
2018-08-28,120.0199966430664
2019-01-03,120.97000122070312
2019-08-15,120.25
2018-10-31,121.25
2019-09-16,124.88999938964844
2020-02-18,125.4800033569336
2020-05-07,129.66000366210938
2018-08-17,125.66000366210938
2019-12-04,126.66999816894531
2020-02-21,129.05999755859375
2018-12-17,132.02999877929688
2019-08-30,132.5800018310547
2018-11-15,130.83999633789062
2019-07-29,130.77000427246094
2019-06-27,130.6199951171875
2019-04-24,128.17999267578125
2018-07-10,127.0999984741211
2018-09-12,123.93000030517578
2019-02-19,125.7300033569336
2019-01-18,122.44000244140625
2020-02-24,121.08999633789062
2020-05-13,122.29000091552734
2019-12-10,120.43000030517578
2020-02-27,125.72000122070312
2019-12-13,126.98999786376953
2020-05-19,126.94000244140625
2019-03-06,123.02999877929688
2018-11-30,126.5
2019-08-13,124.0
2019-07-12,125.63999938964844
2019-06-10,124.83999633789062
2019-05-09,123.83999633789062
2018-07-25,121.98999786376953
2018-09-27,123.33000183105469
2018-10-29,121.29000091552734
2019-10-16,115.25
2019-12-16,113.12999725341797
2020-03-04,108.97000122070312
2020-05-22,111.98999786376953
2019-10-01,108.44000244140625
2019-12-19,108.31999969482422
2018-09-10,108.31999969482422
2019-05-24,109.7699966430664
2018-08-09,111.44999694824219
2019-04-22,110.37000274658203
2019-03-21,109.86000061035156
2019-01-16,112.44999694824219
2019-08-28,113.55999755859375
2018-11-13,114.4800033569336
2018-10-12,116.05999755859375
2019-06-25,118.06999969482422
2020-03-10,118.08000183105469
2020-05-28,121.30000305175781
2019-10-07,121.0199966430664
2020-03-13,121.7699966430664
2019-10-10,122.95999908447266
2020-03-16,123.44999694824219
2020-06-03,125.04000091552734
2018-11-28,125.88999938964844
2018-09-25,126.08000183105469
2018-07-23,125.9000015258789
2018-08-24,126.86000061035156
2019-07-10,126.41999816894531
2019-05-07,126.16999816894531
2019-04-05,125.30000305175781
2019-03-04,125.2300033569336
2019-01-31,123.55999755859375
2019-09-12,127.69000244140625
2019-12-31,132.55999755859375
