Dates,ORLY
2018-06-20,680000.0
2018-06-21,504800.0
2018-06-25,926000.0
2018-06-22,751200.0
2018-06-26,635500.0
2018-06-27,853000.0
2018-06-28,569800.0
2018-06-29,598500.0
2018-07-02,611100.0
2018-07-03,323800.0
2018-07-05,509600.0
2018-07-16,439500.0
2018-09-18,857200.0
2019-01-24,488800.0
2019-09-05,436600.0
2018-11-21,467700.0
2020-01-13,370900.0
2020-04-01,624800.0
2020-06-19,678200.0
2019-10-29,538800.0
2020-01-16,1017100.0
2020-06-22,633200.0
2018-10-03,645500.0
2018-07-31,784200.0
2019-03-12,1264500.0
2019-02-08,1570600.0
2019-01-07,702600.0
2018-12-06,658700.0
2019-08-19,559200.0
2019-07-18,575700.0
2019-05-15,856300.0
2019-09-20,612400.0
2019-11-01,529400.0
2020-04-07,412900.0
2020-06-25,519400.0
2020-06-16,357800.0
2019-11-04,443200.0
2020-01-22,528000.0
2019-11-07,717700.0
2020-04-13,684000.0
2019-07-01,500200.0
2019-05-30,508800.0
2018-08-15,501300.0
2018-10-18,508600.0
2019-03-27,489500.0
2019-01-22,444000.0
2018-12-21,424900.0
2019-09-03,393100.0
2018-11-19,338100.0
2019-08-02,357800.0
2020-01-28,509100.0
2020-04-16,707700.0
2019-11-13,763100.0
2020-01-31,690800.0
2018-12-04,407700.0
2018-11-02,440000.0
2019-07-16,487600.0
2018-08-30,688100.0
2018-10-01,583200.0
2019-06-14,893100.0
2019-05-13,598200.0
2019-04-11,840700.0
2019-02-06,758200.0
2019-09-18,469000.0
2020-02-03,364600.0
2020-04-22,1041100.0
2019-11-19,410600.0
2020-02-06,357900.0
2019-11-22,376600.0
2019-03-25,354400.0
2019-02-21,443500.0
2018-12-19,565800.0
2018-07-12,476500.0
2018-09-14,433900.0
2018-08-13,391400.0
2018-10-16,602900.0
2019-07-31,493500.0
2019-05-28,504400.0
2019-04-26,699300.0
2020-04-28,649100.0
2019-11-25,735000.0
2020-02-12,683700.0
2020-05-01,671800.0
2020-05-04,966000.0
2019-06-12,697000.0
2019-04-09,629100.0
2019-03-08,560800.0
2019-02-04,901800.0
2018-07-27,1158000.0
2018-08-28,1955800.0
2019-01-03,1009400.0
2019-08-15,584600.0
2018-10-31,645700.0
2019-09-16,1056400.0
2020-02-18,954400.0
2020-05-07,944600.0
2018-08-17,699100.0
2019-12-04,566500.0
2020-02-21,806800.0
2018-12-17,1017300.0
2019-08-30,773000.0
2018-11-15,989200.0
2019-07-29,759500.0
2019-06-27,668800.0
2019-04-24,818100.0
2018-07-10,625400.0
2018-09-12,583400.0
2019-02-19,789900.0
2019-01-18,545900.0
2020-02-24,261000.0
2020-05-13,468800.0
2019-12-10,672000.0
2020-02-27,647600.0
2019-12-13,543800.0
2020-05-19,814600.0
2019-03-06,1126600.0
2018-11-30,1144300.0
2019-08-13,990700.0
2019-07-12,551200.0
2019-06-10,563900.0
2019-05-09,596100.0
2018-07-25,718400.0
2018-09-27,613600.0
2018-10-29,662800.0
2019-10-16,680600.0
2019-12-16,550700.0
2020-03-04,674500.0
2020-05-22,769800.0
2019-10-01,1291500.0
2019-12-19,367400.0
2018-09-10,515100.0
2019-05-24,583300.0
2018-08-09,521200.0
2019-04-22,588000.0
2019-03-21,937400.0
2019-01-16,1027500.0
2019-08-28,807600.0
2018-11-13,1096700.0
2018-10-12,1340800.0
2019-06-25,727900.0
2020-03-10,517900.0
2020-05-28,544000.0
2019-10-07,539400.0
2020-03-13,559900.0
2019-10-10,461900.0
2020-03-16,503100.0
2020-06-03,576100.0
2018-11-28,586200.0
2018-09-25,406000.0
2018-07-23,625100.0
2018-08-24,751600.0
2019-07-10,624500.0
2019-05-07,515800.0
2019-04-05,637200.0
2019-03-04,804800.0
2019-01-31,899300.0
2019-09-12,738600.0
2019-12-31,814500.0
2020-03-19,893800.0
2020-01-03,1760100.0
2020-06-09,1407700.0
2019-02-15,896600.0
2019-01-14,1032800.0
2018-07-06,725500.0
2018-08-07,622400.0
2018-10-10,675100.0
2018-12-13,632000.0
2019-08-26,521600.0
2019-07-25,455500.0
2019-05-22,480000.0
2019-03-19,756200.0
2020-01-06,863900.0
2020-03-25,666200.0
2020-06-12,799100.0
2019-10-22,575800.0
2020-01-09,701100.0
2020-06-15,557100.0
2019-10-25,500300.0
2020-03-31,423000.0
2020-06-18,489000.0
2019-04-03,501500.0
2018-08-22,514300.0
2018-10-25,573200.0
2019-01-29,687900.0
2018-12-28,1155100.0
2018-11-26,711300.0
2019-08-09,431900.0
2019-07-08,457100.0
2019-06-06,514500.0
2019-09-10,457900.0
2020-01-15,487200.0
2020-04-03,435500.0
2019-10-31,424000.0
2020-04-06,436500.0
2020-06-24,797200.0
2018-11-09,737700.0
2019-07-23,535100.0
2019-06-21,579000.0
2019-05-20,341800.0
2019-04-18,486600.0
2018-09-06,496500.0
2018-10-08,378700.0
2019-02-13,471700.0
2018-12-11,554300.0
2019-09-25,490800.0
2020-01-21,457000.0
2020-04-09,572500.0
2019-11-06,502900.0
2020-01-24,774600.0
2020-01-27,704300.0
2020-04-15,906100.0
2018-12-26,802500.0
2019-08-07,2223100.0
2019-06-04,1097600.0
2018-09-21,771800.0
2018-07-19,803300.0
2018-08-20,650900.0
2018-10-23,722800.0
2019-05-03,672100.0
2019-04-01,599100.0
2019-02-28,590800.0
2019-11-12,676900.0
2020-01-30,716000.0
2019-11-15,747600.0
2020-04-21,749500.0
2019-04-16,819700.0
2019-03-15,814400.0
2019-02-11,647000.0
2019-01-10,606300.0
2019-08-22,562500.0
2018-11-07,869900.0
2018-08-03,929800.0
2018-09-04,705700.0
2019-06-19,671800.0
2019-09-23,774100.0
2019-11-18,611500.0
2020-02-05,441800.0
2020-04-24,549200.0
2019-03-29,801600.0
2019-11-21,687900.0
2020-04-27,504900.0
2020-02-11,456500.0
2020-04-30,462900.0
2019-05-01,361800.0
2019-02-26,455700.0
2019-01-25,292100.0
2018-12-24,282300.0
2019-09-06,448400.0
2018-07-17,641200.0
2018-09-19,620400.0
2019-08-05,695300.0
2019-10-08,640200.0
2019-12-11,863400.0
2019-11-27,387000.0
2020-02-14,473100.0
2020-05-06,531800.0
2019-01-08,533000.0
2018-12-07,615700.0
2019-08-20,522200.0
2018-11-05,635900.0
2019-07-19,436700.0
2018-10-04,325600.0
2019-06-17,433500.0
2019-05-16,466000.0
2018-08-01,558900.0
2019-03-13,515500.0
2019-12-03,514900.0
2020-02-20,339500.0
2019-12-06,512300.0
2020-05-12,504500.0
2019-12-09,907000.0
2020-02-26,586600.0
2020-05-15,676000.0
2019-03-28,630300.0
2018-09-17,575600.0
2018-08-16,1568700.0
2018-10-19,554000.0
2019-04-29,666300.0
2019-01-23,431900.0
2019-09-04,646700.0
2018-11-20,823700.0
2019-07-02,678800.0
2019-05-31,792800.0
2019-12-12,728000.0
2020-05-18,695600.0
2019-09-27,538700.0
2020-03-03,542900.0
2020-05-21,857200.0
2019-05-14,840100.0
2018-08-31,782500.0
2018-07-30,479700.0
2018-10-02,490000.0
2019-04-12,556900.0
2019-03-11,505700.0
2019-02-07,385200.0
2019-07-17,434200.0
2019-09-19,483900.0
2019-10-21,445400.0
2019-12-18,613900.0
2020-03-06,411200.0
2019-10-03,451300.0
2020-03-09,420700.0
2020-05-27,353600.0
2019-12-24,419900.0
2020-03-12,500200.0
2018-12-20,417700.0
2019-08-01,548500.0
2018-08-14,698800.0
