Dates,ORLY
2018-06-20,284.17999267578125
2018-06-21,287.07000732421875
2018-06-25,286.1600036621094
2018-06-22,280.32000732421875
2018-06-26,281.0400085449219
2018-06-27,272.8399963378906
2018-06-28,276.260009765625
2018-06-29,273.57000732421875
2018-07-02,274.5199890136719
2018-07-03,276.7799987792969
2018-07-05,279.7300109863281
2018-07-16,282.95001220703125
2018-09-18,289.3800048828125
2019-01-24,288.1099853515625
2019-09-05,283.3399963378906
2018-11-21,284.9100036621094
2020-01-13,286.0
2020-04-01,285.32000732421875
2020-06-19,289.5
2019-10-29,290.510009765625
2020-01-16,299.2300109863281
2020-06-22,297.3299865722656
2018-10-03,299.5299987792969
2018-07-31,294.1499938964844
2019-03-12,297.20001220703125
2019-02-08,303.760009765625
2019-01-07,300.44000244140625
2018-12-06,304.5899963378906
2019-08-19,306.0
2019-07-18,302.70001220703125
2019-05-15,308.8699951171875
2019-09-20,311.8800048828125
2019-11-01,315.4700012207031
2020-04-07,315.6700134277344
2020-06-25,318.0400085449219
2020-06-16,318.7799987792969
2019-11-04,318.94000244140625
2020-01-22,314.3599853515625
2019-11-07,323.2699890136719
2020-04-13,324.75
2019-07-01,328.5400085449219
2019-05-30,329.9599914550781
2018-08-15,330.1099853515625
2018-10-18,329.9700012207031
2019-03-27,328.6600036621094
2019-01-22,331.6499938964844
2018-12-21,330.6700134277344
2019-09-03,330.0799865722656
2018-11-19,332.0299987792969
2019-08-02,332.7699890136719
2020-01-28,329.5299987792969
2020-04-16,335.4200134277344
2019-11-13,343.7799987792969
2020-01-31,340.8599853515625
2018-12-04,344.70001220703125
2018-11-02,346.1199951171875
2019-07-16,345.8900146484375
2018-08-30,347.7200012207031
2018-10-01,343.9599914550781
2019-06-14,341.80999755859375
2019-05-13,338.7300109863281
2019-04-11,336.6600036621094
2019-02-06,340.4800109863281
2019-09-18,342.9100036621094
2020-02-03,344.5400085449219
2020-04-22,344.510009765625
2019-11-19,343.04998779296875
2020-02-06,344.30999755859375
2019-11-22,345.7200012207031
2019-03-25,345.8999938964844
2019-02-21,347.32000732421875
2018-12-19,345.7799987792969
2018-07-12,342.0899963378906
2018-09-14,343.5
2018-08-13,339.44000244140625
2018-10-16,340.82000732421875
2019-07-31,344.3399963378906
2019-05-28,345.55999755859375
2019-04-26,336.45001220703125
2020-04-28,330.3500061035156
2019-11-25,339.5400085449219
2020-02-12,343.5400085449219
2020-05-01,347.2699890136719
2020-05-04,334.7799987792969
2019-06-12,338.45001220703125
2019-04-09,339.8699951171875
2019-03-08,344.82000732421875
2019-02-04,340.3299865722656
2018-07-27,322.8299865722656
2018-08-28,324.54998779296875
2019-01-03,326.0799865722656
2019-08-15,329.17999267578125
2018-10-31,330.4700012207031
2019-09-16,320.75
2020-02-18,320.6099853515625
2020-05-07,325.2300109863281
2018-08-17,327.2699890136719
2019-12-04,333.5400085449219
2020-02-21,342.1300048828125
2018-12-17,353.44000244140625
2019-08-30,354.739990234375
2018-11-15,349.4100036621094
2019-07-29,357.5199890136719
2019-06-27,354.7799987792969
2019-04-24,346.0
2018-07-10,352.6000061035156
2018-09-12,354.239990234375
2019-02-19,336.07000732421875
2019-01-18,345.5799865722656
2020-02-24,350.6300048828125
2020-05-13,350.989990234375
2019-12-10,353.0799865722656
2020-02-27,358.8699951171875
2019-12-13,354.8500061035156
2020-05-19,346.7799987792969
2019-03-06,346.3399963378906
2018-11-30,346.42999267578125
2019-08-13,340.4100036621094
2019-07-12,331.45001220703125
2019-06-10,338.05999755859375
2019-05-09,342.57000732421875
2018-07-25,353.6300048828125
2018-09-27,354.55999755859375
2018-10-29,348.1700134277344
2019-10-16,340.94000244140625
2019-12-16,344.1000061035156
2020-03-04,340.3900146484375
2020-05-22,332.69000244140625
2019-10-01,330.57000732421875
2019-12-19,327.4100036621094
2018-09-10,344.45001220703125
2019-05-24,343.1199951171875
2018-08-09,342.1000061035156
2019-04-22,344.3299865722656
2019-03-21,341.1499938964844
2019-01-16,346.1300048828125
2019-08-28,341.82000732421875
2018-11-13,339.69000244140625
2018-10-12,336.07000732421875
2019-06-25,343.5400085449219
2020-03-10,343.44000244140625
2020-05-28,338.7300109863281
2019-10-07,341.1499938964844
2020-03-13,344.1499938964844
2019-10-10,344.0
2020-03-16,348.2200012207031
2020-06-03,351.5
2018-11-28,345.45001220703125
2018-09-25,347.8999938964844
2018-07-23,339.94000244140625
2018-08-24,337.44000244140625
2019-07-10,335.6700134277344
2019-05-07,339.239990234375
2019-04-05,345.67999267578125
2019-03-04,344.6600036621094
2019-01-31,346.75
2019-09-12,356.1700134277344
2019-12-31,358.2099914550781
2020-03-19,353.6199951171875
2020-01-03,365.4599914550781
2020-06-09,360.2300109863281
2019-02-15,366.67999267578125
2019-01-14,378.489990234375
2018-07-06,377.4200134277344
2018-08-07,383.04998779296875
2018-10-10,388.0
2018-12-13,384.5400085449219
2019-08-26,383.5799865722656
2019-07-25,380.5
2019-05-22,383.989990234375
2019-03-19,375.1600036621094
2020-01-06,378.0400085449219
2020-03-25,367.9599914550781
2020-06-12,371.9599914550781
2019-10-22,371.0899963378906
2020-01-09,370.4800109863281
2020-06-15,374.79998779296875
2019-10-25,372.3599853515625
2020-03-31,369.4100036621094
2020-06-18,364.1000061035156
2019-04-03,366.3399963378906
2018-08-22,365.510009765625
2018-10-25,367.3299865722656
2019-01-29,368.1600036621094
2018-12-28,370.0199890136719
2018-11-26,375.79998779296875
2019-08-09,374.2099914550781
2019-07-08,375.4800109863281
2019-06-06,384.6099853515625
2019-09-10,376.29998779296875
2020-01-15,385.8900146484375
2020-04-03,384.67999267578125
2019-10-31,386.8900146484375
2020-04-06,388.4700012207031
2020-06-24,388.29998779296875
2018-11-09,391.5400085449219
2019-07-23,394.3299865722656
2019-06-21,396.3999938964844
2019-05-20,398.0799865722656
2019-04-18,401.1300048828125
2018-09-06,401.989990234375
2018-10-08,399.9100036621094
2019-02-13,405.010009765625
2018-12-11,407.8500061035156
2019-09-25,406.32000732421875
2020-01-21,408.6700134277344
2020-04-09,408.489990234375
2019-11-06,404.2699890136719
2020-01-24,399.4599914550781
2020-01-27,393.30999755859375
2020-04-15,395.6600036621094
2018-12-26,396.7099914550781
2019-08-07,380.0
2019-06-04,379.9599914550781
2018-09-21,375.0
2018-07-19,378.57000732421875
2018-08-20,373.54998779296875
2018-10-23,381.0299987792969
2019-05-03,375.7900085449219
2019-04-01,375.760009765625
2019-02-28,368.8699951171875
2019-11-12,367.7699890136719
2020-01-30,367.3900146484375
2019-11-15,364.7900085449219
2020-04-21,354.8500061035156
2019-04-16,353.80999755859375
2019-03-15,353.3999938964844
2019-02-11,352.57000732421875
2019-01-10,353.0199890136719
2019-08-22,353.989990234375
2018-11-07,362.6400146484375
