Dates,OIL
2020-01-02,12.550000190734863
2020-01-03,13.029999732971191
2020-01-08,13.0600004196167
2020-01-06,12.869999885559082
2020-01-07,12.819999694824219
2020-01-09,12.220000267028809
2020-01-10,12.25
2020-01-13,12.069999694824219
2020-01-14,12.029999732971191
2020-01-15,11.970000267028809
2020-01-16,11.960000038146973
2020-01-27,12.079999923706055
2020-02-20,12.0
2020-02-12,11.800000190734863
2020-04-16,11.359999656677246
2020-02-04,11.260000228881836
2020-03-06,10.880000114440918
2020-02-27,10.960000038146973
2020-04-15,11.050000190734863
2020-02-03,10.699999809265137
2020-02-11,10.649999618530273
2020-02-19,10.529999732971191
2020-04-07,10.470000267028809
2020-03-30,10.529999732971191
2020-04-23,10.430000305175781
2020-01-17,10.380000114440918
2020-03-13,10.270000457763672
2020-03-05,10.420000076293945
2020-02-26,10.600000381469727
2020-02-18,10.609999656677246
2020-04-22,10.739999771118164
2020-02-10,10.529999732971191
2020-04-14,10.90999984741211
2020-04-06,11.100000381469727
2020-03-31,10.880000114440918
2020-04-13,10.430000305175781
2020-03-20,10.550000190734863
2020-03-12,10.170000076293945
2020-01-24,9.520000457763672
2020-03-04,9.220000267028809
2020-02-25,9.470000267028809
2020-04-21,9.8100004196167
2020-04-29,9.899999618530273
2020-02-28,9.619999885559082
2020-01-23,9.069999694824219
2020-04-20,6.71999979019165
2020-02-24,7.110000133514404
2020-01-31,6.900000095367432
2020-03-19,6.5
2020-03-27,6.760000228881836
2020-03-11,6.570000171661377
2020-03-03,6.0
2020-04-28,5.010000228881836
2020-03-10,4.71999979019165
2020-03-02,5.230000019073486
2020-01-22,4.710000038146973
2020-01-30,5.099999904632568
2020-02-07,4.889999866485596
2020-04-03,4.829999923706055
2020-03-26,4.510000228881836
2020-03-18,4.150000095367432
2020-01-21,4.28000020980835
2020-01-29,4.159999847412109
2020-03-25,4.5
2020-03-17,5.599999904632568
2020-03-09,5.5
2020-02-14,5.369999885559082
2020-02-06,4.980000019073486
2020-04-02,5.320000171661377
2020-04-24,4.860000133514404
2020-04-08,4.659999847412109
2020-04-09,4.289999961853027
2020-04-01,4.28000020980835
2020-03-24,4.019999980926514
2020-03-16,3.609999895095825
2020-01-28,2.759999990463257
2020-02-05,2.2799999713897705
2020-02-13,2.6700000762939453
2020-02-21,2.6600000858306885
2020-04-17,1313.550048828125
2020-03-23,1343.7900390625
