Dates,CVX
2018-06-20,126.12000274658203
2018-06-21,124.5
2018-06-25,125.41000366210938
2018-06-22,124.43000030517578
2018-06-26,123.02999877929688
2018-06-27,125.1500015258789
2018-06-28,126.54000091552734
2018-06-29,125.73999786376953
2018-07-02,125.27999877929688
2018-07-03,125.45999908447266
2018-07-05,126.11000061035156
2018-07-16,123.5199966430664
2018-09-18,125.0
2019-01-24,127.33000183105469
2019-09-05,126.2300033569336
2018-11-21,124.44000244140625
2020-01-13,124.19999694824219
2020-04-01,123.01000213623047
2020-06-19,122.36000061035156
2019-10-29,121.23999786376953
2020-01-16,121.0999984741211
2020-06-22,121.25
2018-10-03,122.3499984741211
2018-07-31,121.87000274658203
2019-03-12,123.62000274658203
2019-02-08,124.69999694824219
2019-01-07,122.79000091552734
2018-12-06,126.76000213623047
2019-08-19,128.0
2019-07-18,125.30999755859375
2019-05-15,124.44000244140625
2019-09-20,124.1500015258789
2019-11-01,124.41999816894531
2020-04-07,125.54000091552734
2020-06-25,124.5199966430664
2020-06-16,123.95999908447266
2019-11-04,122.16999816894531
2020-01-22,123.30999755859375
2019-11-07,122.91999816894531
2020-04-13,121.69999694824219
2019-07-01,117.69999694824219
2019-05-30,118.1500015258789
2018-08-15,118.0
2018-10-18,118.37999725341797
2019-03-27,118.54000091552734
2019-01-22,118.38999938964844
2018-12-21,118.9000015258789
2019-09-03,119.36000061035156
2018-11-19,120.5999984741211
2019-08-02,120.0
2020-01-28,120.08000183105469
2020-04-16,119.4000015258789
2019-11-13,118.93000030517578
2020-01-31,118.05999755859375
2018-12-04,117.88999938964844
2018-11-02,114.5199966430664
2019-07-16,115.43000030517578
2018-08-30,114.33999633789062
2018-10-01,116.41999816894531
2019-06-14,116.01000213623047
2019-05-13,116.43000030517578
2019-04-11,117.61000061035156
2019-02-06,118.5
2019-09-18,118.33000183105469
2020-02-03,120.19000244140625
2020-04-22,119.91000366210938
2019-11-19,121.91000366210938
2020-02-06,123.5
2019-11-22,122.98999786376953
2019-03-25,122.16000366210938
2019-02-21,121.98999786376953
2018-12-19,123.11000061035156
2018-07-12,125.06999969482422
2018-09-14,125.12999725341797
2018-08-13,124.79000091552734
2018-10-16,124.93000030517578
2019-07-31,124.05000305175781
2019-05-28,125.51000213623047
2019-04-26,127.2300033569336
2020-04-28,122.43000030517578
2019-11-25,119.52999877929688
2020-02-12,117.69999694824219
2020-05-01,117.08999633789062
2020-05-04,117.20999908447266
2019-06-12,117.41999816894531
2019-04-09,117.37000274658203
2019-03-08,118.0999984741211
2019-02-04,115.72000122070312
2018-07-27,113.72000122070312
2018-08-28,111.36000061035156
2019-01-03,110.62999725341797
2019-08-15,112.04000091552734
2018-10-31,109.62000274658203
2019-09-16,111.70999908447266
2020-02-18,111.7699966430664
2020-05-07,114.8499984741211
