Dates,CVX
2018-06-20,7980700.0
2018-06-21,7290800.0
2018-06-25,8535200.0
2018-06-22,5801900.0
2018-06-26,4592800.0
2018-06-27,6339500.0
2018-06-28,3814800.0
2018-06-29,5669700.0
2018-07-02,5073500.0
2018-07-03,3919600.0
2018-07-05,5926900.0
2018-07-16,4020000.0
2018-09-18,4602200.0
2019-01-24,5092100.0
2019-09-05,6631800.0
2018-11-21,3745200.0
2020-01-13,3352800.0
2020-04-01,4317800.0
2020-06-19,4135200.0
2019-10-29,6061300.0
2020-01-16,4471400.0
2020-06-22,5394700.0
2018-10-03,5359400.0
2018-07-31,4423500.0
2019-03-12,4278800.0
2019-02-08,5544100.0
2019-01-07,7580900.0
2018-12-06,5729300.0
2019-08-19,5894400.0
2019-07-18,4661000.0
2019-05-15,4639600.0
2019-09-20,5299400.0
2019-11-01,4455900.0
2020-04-07,4542000.0
2020-06-25,5957200.0
2020-06-16,5218300.0
2019-11-04,6128000.0
2020-01-22,4360000.0
2019-11-07,3622200.0
2020-04-13,9476700.0
2019-07-01,5455200.0
2019-05-30,6112900.0
2018-08-15,5403600.0
2018-10-18,4875800.0
2019-03-27,3636900.0
2019-01-22,3962500.0
2018-12-21,4415400.0
2019-09-03,3901900.0
2018-11-19,4685700.0
2019-08-02,4101700.0
2020-01-28,3353000.0
2020-04-16,5287000.0
2019-11-13,4590900.0
2020-01-31,4619400.0
2018-12-04,8191100.0
2018-11-02,6637800.0
2019-07-16,5870900.0
2018-08-30,5605300.0
2018-10-01,5067800.0
2019-06-14,6297700.0
2019-05-13,4947800.0
2019-04-11,5560200.0
2019-02-06,4966300.0
2019-09-18,4855300.0
2020-02-03,5846700.0
2020-04-22,13703600.0
2019-11-19,6534100.0
2020-02-06,5396400.0
2019-11-22,4231400.0
2019-03-25,4533400.0
2019-02-21,5202900.0
2018-12-19,5348200.0
2018-07-12,5445400.0
2018-09-14,4479500.0
2018-08-13,4824300.0
2018-10-16,4318000.0
2019-07-31,6267700.0
2019-05-28,6797900.0
2019-04-26,6504400.0
2020-04-28,8589900.0
2019-11-25,7450700.0
2020-02-12,6047300.0
2020-05-01,4846100.0
2020-05-04,6978700.0
2019-06-12,7391600.0
2019-04-09,7944400.0
2019-03-08,5644900.0
2019-02-04,8095300.0
2018-07-27,8035200.0
2018-08-28,5734000.0
2019-01-03,8035500.0
2019-08-15,8598300.0
2018-10-31,7523800.0
2019-09-16,7429800.0
2020-02-18,10572000.0
2020-05-07,9890400.0
2018-08-17,8758700.0
2019-12-04,5273200.0
2020-02-21,4848800.0
2018-12-17,9532400.0
2019-08-30,6565700.0
2018-11-15,10550800.0
2019-07-29,6846200.0
2019-06-27,6783500.0
2019-04-24,7218100.0
2018-07-10,6706900.0
2018-09-12,5328300.0
2019-02-19,7983500.0
2019-01-18,5624400.0
2020-02-24,5577800.0
2020-05-13,6953000.0
