Dates,CVX
2018-06-20,126.45999908447266
2018-06-21,124.58999633789062
2018-06-25,126.56999969482422
2018-06-22,124.63999938964844
2018-06-26,124.61000061035156
2018-06-27,127.41999816894531
2018-06-28,126.86000061035156
2018-06-29,127.7300033569336
2018-07-02,125.29000091552734
2018-07-03,126.69000244140625
2018-07-05,126.25
2018-07-16,124.5199966430664
2018-09-18,126.27999877929688
2019-01-24,128.50999450683594
2019-09-05,126.68000030517578
2018-11-21,124.94999694824219
2020-01-13,124.87999725341797
2020-04-01,123.87999725341797
2020-06-19,122.95999908447266
2019-10-29,121.66999816894531
2020-01-16,122.13999938964844
2020-06-22,122.3499984741211
2018-10-03,123.06999969482422
2018-07-31,124.16000366210938
2019-03-12,125.2300033569336
2019-02-08,125.37999725341797
2019-01-07,127.04000091552734
2018-12-06,128.41000366210938
2019-08-19,128.5500030517578
2019-07-18,125.91999816894531
2019-05-15,124.80999755859375
2019-09-20,124.25
2019-11-01,124.94000244140625
2020-04-07,125.69999694824219
2020-06-25,124.79000091552734
2020-06-16,124.37000274658203
2019-11-04,123.5199966430664
2020-01-22,123.68000030517578
2019-11-07,123.6500015258789
2020-04-13,121.7300033569336
2019-07-01,118.30999755859375
2019-05-30,118.58000183105469
2018-08-15,118.31999969482422
2018-10-18,118.93000030517578
2019-03-27,119.45999908447266
2019-01-22,118.81999969482422
2018-12-21,119.54000091552734
2019-09-03,120.4800033569336
2018-11-19,121.33999633789062
2019-08-02,120.83000183105469
2020-01-28,120.43000030517578
2020-04-16,119.4000015258789
2019-11-13,119.62999725341797
2020-01-31,118.94000244140625
2018-12-04,118.51000213623047
2018-11-02,115.3499984741211
2019-07-16,115.72000122070312
2018-08-30,115.73999786376953
2018-10-01,117.48999786376953
2019-06-14,116.5199966430664
2019-05-13,117.61000061035156
2019-04-11,118.68000030517578
2019-02-06,118.9000015258789
2019-09-18,120.04000091552734
2020-02-03,121.31999969482422
2020-04-22,121.26000213623047
2019-11-19,122.9800033569336
2020-02-06,124.23999786376953
2019-11-22,123.41999816894531
2019-03-25,123.0
2019-02-21,123.20999908447266
2018-12-19,124.87999725341797
2018-07-12,125.76000213623047
2018-09-14,125.83999633789062
2018-08-13,125.58999633789062
2018-10-16,125.9000015258789
2019-07-31,125.45999908447266
2019-05-28,127.44000244140625
2019-04-26,127.5999984741211
2020-04-28,122.43000030517578
2019-11-25,119.68000030517578
2020-02-12,118.86000061035156
2020-05-01,117.68000030517578
2020-05-04,117.69000244140625
2019-06-12,118.13999938964844
2019-04-09,119.26000213623047
2019-03-08,118.48999786376953
2019-02-04,115.72000122070312
2018-07-27,114.18000030517578
2018-08-28,113.4000015258789
2019-01-03,112.47000122070312
2019-08-15,112.06999969482422
2018-10-31,111.1500015258789
2019-09-16,112.5
2020-02-18,111.98999786376953
2020-05-07,117.11000061035156
2018-08-17,119.66999816894531
2019-12-04,119.43000030517578
2020-02-21,121.12000274658203
2018-12-17,121.87000274658203
2019-08-30,120.37000274658203
2018-11-15,121.37000274658203
2019-07-29,117.87999725341797
2019-06-27,117.79000091552734
2019-04-24,117.08000183105469
2018-07-10,119.2699966430664
2018-09-12,119.4800033569336
2019-02-19,119.5
2019-01-18,119.19000244140625
2020-02-24,115.22000122070312
2020-05-13,115.44000244140625
2019-12-10,115.66000366210938
2020-02-27,118.27999877929688
2019-12-13,119.7300033569336
2020-05-19,119.20999908447266
2019-03-06,122.43000030517578
2018-11-30,121.08999633789062
2019-08-13,116.13999938964844
2019-07-12,119.69999694824219
2019-06-10,115.95999908447266
2019-05-09,116.62000274658203
2018-07-25,117.72000122070312
2018-09-27,116.31999969482422
2018-10-29,115.80999755859375
2019-10-16,114.97000122070312
2019-12-16,113.23999786376953
2020-03-04,111.98999786376953
2020-05-22,108.06999969482422
2019-10-01,106.94000244140625
2019-12-19,104.1500015258789
2018-09-10,107.38999938964844
2019-05-24,109.33000183105469
2018-08-09,110.36000061035156
2019-04-22,110.23999786376953
2019-03-21,111.68000030517578
2019-01-16,111.29000091552734
2019-08-28,110.98999786376953
2018-11-13,112.93000030517578
2018-10-12,113.79000091552734
2019-06-25,114.0
2020-03-10,113.62999725341797
2020-05-28,113.05000305175781
2019-10-07,112.33999633789062
2020-03-13,113.06999969482422
2019-10-10,112.31999969482422
2020-03-16,112.29000091552734
2020-06-03,114.6500015258789
2018-11-28,113.44999694824219
2018-09-25,112.66999816894531
2018-07-23,113.81999969482422
2018-08-24,114.77999877929688
2019-07-10,112.56999969482422
2019-05-07,113.3499984741211
2019-04-05,113.6500015258789
2019-03-04,115.41000366210938
2019-01-31,119.25
2019-09-12,119.75
2019-12-31,119.86000061035156
2020-03-19,119.58999633789062
2020-01-03,118.51000213623047
2020-06-09,117.88999938964844
2019-02-15,117.36000061035156
2019-01-14,118.87000274658203
2018-07-06,120.38999938964844
2018-08-07,119.52999877929688
2018-10-10,119.86000061035156
2018-12-13,119.86000061035156
2019-08-26,120.72000122070312
2019-07-25,120.31999969482422
2019-05-22,120.45999908447266
2019-03-19,120.41999816894531
2020-01-06,120.97000122070312
2020-03-25,121.29000091552734
2020-06-12,120.16000366210938
2019-10-22,122.04000091552734
2020-01-09,122.83999633789062
2020-06-15,123.3499984741211
2019-10-25,124.69999694824219
2020-03-31,123.5
2020-06-18,121.93000030517578
2019-04-03,124.19999694824219
2018-08-22,124.95999908447266
2018-10-25,124.93000030517578
2019-01-29,125.45999908447266
2018-12-28,125.41999816894531
2018-11-26,126.12999725341797
2019-08-09,126.91999816894531
2019-07-08,126.33999633789062
2019-06-06,125.95999908447266
2019-09-10,124.9000015258789
2020-01-15,123.3499984741211
2020-04-03,124.91000366210938
2019-10-31,124.4800033569336
2020-04-06,123.16000366210938
2020-06-24,124.47000122070312
2018-11-09,125.2699966430664
2019-07-23,125.44000244140625
2019-06-21,125.3499984741211
2019-05-20,124.83000183105469
2019-04-18,126.63999938964844
2018-09-06,127.33999633789062
2018-10-08,126.29000091552734
2019-02-13,126.56999969482422
2018-12-11,126.26000213623047
2019-09-25,122.0
2020-01-21,121.0199966430664
2020-04-09,121.31999969482422
2019-11-06,122.54000091552734
2020-01-24,120.81999969482422
2020-01-27,122.01000213623047
2020-04-15,122.27999877929688
2018-12-26,121.43000030517578
2019-08-07,118.69999694824219
2019-06-04,118.5
2018-09-21,118.11000061035156
2018-07-19,121.91999816894531
2018-08-20,120.13999938964844
2018-10-23,118.4800033569336
2019-05-03,118.55000305175781
2019-04-01,119.83999633789062
2019-02-28,118.2699966430664
2019-11-12,118.4800033569336
2020-01-30,122.31999969482422
2019-11-15,122.2699966430664
2020-04-21,122.26000213623047
2019-04-16,122.25
2019-03-15,122.48999786376953
2019-02-11,121.55000305175781
2019-01-10,121.11000061035156
2019-08-22,121.20999908447266
2018-11-07,121.94000244140625
2018-08-03,121.44000244140625
2018-09-04,118.87000274658203
2019-06-19,118.93000030517578
2019-09-23,119.31999969482422
2019-11-18,117.36000061035156
2020-02-05,116.73999786376953
2020-04-24,115.19999694824219
2019-03-29,116.0999984741211
2019-11-21,117.68000030517578
2020-04-27,118.02999877929688
2020-02-11,121.16000366210938
2020-04-30,122.12000274658203
2019-05-01,122.76000213623047
2019-02-26,123.5
2019-01-25,120.58000183105469
2018-12-24,121.88999938964844
2019-09-06,121.16000366210938
2018-07-17,121.83999633789062
2018-09-19,123.87000274658203
2019-08-05,123.4800033569336
2019-10-08,124.69999694824219
2019-12-11,126.19999694824219
2019-11-27,125.37999725341797
2020-02-14,125.11000061035156
2020-05-06,124.87999725341797
2019-01-08,124.19999694824219
2018-12-07,124.4800033569336
2019-08-20,125.83999633789062
2018-11-05,124.72000122070312
2019-07-19,123.37000274658203
2018-10-04,123.73999786376953
2019-06-17,124.08999633789062
2019-05-16,124.13999938964844
2018-08-01,125.62000274658203
2019-03-13,125.68000030517578
2019-12-03,126.25
2020-02-20,126.4000015258789
2019-12-06,125.77999877929688
2020-05-12,125.27999877929688
2019-12-09,125.05000305175781
2020-02-26,125.41000366210938
2020-05-15,125.75
2019-03-28,126.22000122070312
2018-09-17,126.94000244140625
2018-08-16,127.0
2018-10-19,125.25
2019-04-29,124.63999938964844
2019-01-23,124.75
2019-09-04,124.69000244140625
2018-11-20,123.75
2019-07-02,122.54000091552734
2019-05-31,120.55000305175781
2019-12-12,119.52999877929688
2020-05-18,119.80000305175781
2019-09-27,123.33000183105469
2020-03-03,123.88999938964844
2020-05-21,123.13999938964844
2019-05-14,122.69999694824219
2018-08-31,120.58999633789062
2018-07-30,117.83999633789062
2018-10-02,116.6500015258789
2019-04-12,117.81999969482422
2019-03-11,117.19000244140625
2019-02-07,118.22000122070312
2019-07-17,118.73999786376953
2019-09-19,118.05999755859375
2019-10-21,116.22000122070312
2019-12-18,117.02999877929688
2020-03-06,117.19999694824219
2019-10-03,117.83999633789062
2020-03-09,118.9800033569336
2020-05-27,116.33000183105469
2019-12-24,118.54000091552734
2020-03-12,119.06999969482422
2018-12-20,118.44000244140625
2019-08-01,119.62999725341797
2018-08-14,123.29000091552734
2018-07-13,122.9800033569336
2018-10-17,122.18000030517578
2019-05-29,122.31999969482422
2019-03-26,125.2699966430664
2019-02-22,124.62000274658203
