Dates,GPC
2018-06-20,94.06999969482422
2018-06-21,92.58999633789062
2018-06-25,93.04000091552734
2018-06-22,92.25
2018-06-26,92.55999755859375
2018-06-27,91.91000366210938
2018-06-28,91.7300033569336
2018-06-29,91.79000091552734
2018-07-02,91.01000213623047
2018-07-03,90.72000122070312
2018-07-05,91.37999725341797
2018-07-16,90.73999786376953
2018-09-18,92.73999786376953
2019-01-24,93.41999816894531
2019-09-05,92.05999755859375
2018-11-21,92.41999816894531
2020-01-13,93.25
2020-04-01,93.23999786376953
2020-06-19,94.18000030517578
2019-10-29,94.62999725341797
2020-01-16,97.30000305175781
2020-06-22,98.05999755859375
2018-10-03,98.56999969482422
2018-07-31,97.87999725341797
2019-03-12,97.0
2019-02-08,97.61000061035156
2019-01-07,96.69000244140625
2018-12-06,96.51000213623047
2019-08-19,97.30999755859375
2019-07-18,97.1500015258789
2019-05-15,97.83000183105469
2019-09-20,98.04000091552734
2019-11-01,98.37999725341797
2020-04-07,99.30000305175781
2020-06-25,99.33000183105469
2020-06-16,99.37000274658203
2019-11-04,98.02999877929688
2020-01-22,96.58000183105469
2019-11-07,98.2699966430664
2020-04-13,98.0999984741211
2019-07-01,98.45999908447266
2019-05-30,98.88999938964844
2018-08-15,99.4800033569336
2018-10-18,99.77999877929688
2019-03-27,99.27999877929688
2019-01-22,99.58999633789062
2018-12-21,99.12999725341797
2019-09-03,99.83999633789062
2018-11-19,99.61000061035156
2019-08-02,100.12000274658203
2020-01-28,99.08000183105469
2020-04-16,99.8499984741211
2019-11-13,100.19000244140625
2020-01-31,101.11000061035156
2018-12-04,101.23999786376953
2018-11-02,101.38999938964844
2019-07-16,101.80000305175781
2018-08-30,101.9800033569336
2018-10-01,101.69999694824219
2019-06-14,101.62999725341797
2019-05-13,101.9000015258789
2019-04-11,100.68000030517578
2019-02-06,101.30999755859375
2019-09-18,101.02999877929688
2020-02-03,101.51000213623047
2020-04-22,101.13999938964844
2019-11-19,99.38999938964844
2020-02-06,98.7699966430664
2019-11-22,99.45999908447266
2019-03-25,99.44999694824219
2019-02-21,99.4000015258789
2018-12-19,99.27999877929688
2018-07-12,100.06999969482422
2018-09-14,97.95999908447266
2018-08-13,97.75
2018-10-16,99.2300033569336
2019-07-31,99.73999786376953
2019-05-28,98.08000183105469
2019-04-26,96.63999938964844
2020-04-28,94.75
2019-11-25,94.8499984741211
2020-02-12,96.25
2020-05-01,97.05999755859375
2020-05-04,95.13999938964844
2019-06-12,100.81999969482422
2019-04-09,101.33999633789062
2019-03-08,100.79000091552734
2019-02-04,100.56999969482422
2018-07-27,99.55999755859375
2018-08-28,100.5999984741211
2019-01-03,98.55999755859375
2019-08-15,99.75
2018-10-31,98.33000183105469
2019-09-16,97.91999816894531
2020-02-18,97.83000183105469
2020-05-07,97.0199966430664
2018-08-17,98.08000183105469
2019-12-04,98.55999755859375
2020-02-21,100.45999908447266
2018-12-17,101.08000183105469
2019-08-30,100.61000061035156
2018-11-15,100.29000091552734
2019-07-29,101.41000366210938
2019-06-27,101.87000274658203
2019-04-24,101.58999633789062
2018-07-10,102.41000366210938
2018-09-12,101.66000366210938
2019-02-19,99.5199966430664
2019-01-18,100.01000213623047
2020-02-24,99.72000122070312
2020-05-13,101.19000244140625
2019-12-10,102.01000213623047
2020-02-27,103.87999725341797
2019-12-13,103.08999633789062
2020-05-19,103.70999908447266
2019-03-06,104.19999694824219
2018-11-30,103.23999786376953
2019-08-13,101.05000305175781
2019-07-12,99.54000091552734
2019-06-10,99.31999969482422
2019-05-09,99.11000061035156
2018-07-25,100.11000061035156
2018-09-27,100.11000061035156
2018-10-29,98.9000015258789
2019-10-16,96.5
2019-12-16,96.20999908447266
2020-03-04,94.79000091552734
2020-05-22,93.80000305175781
2019-10-01,93.20999908447266
2019-12-19,91.8499984741211
2018-09-10,94.80999755859375
2019-05-24,95.19999694824219
2018-08-09,95.51000213623047
2019-04-22,96.0199966430664
2019-03-21,94.79000091552734
2019-01-16,93.27999877929688
2019-08-28,93.79000091552734
2018-11-13,94.62000274658203
2018-10-12,95.1500015258789
2019-06-25,96.20999908447266
2020-03-10,97.05999755859375
2020-05-28,96.16000366210938
2019-10-07,95.2699966430664
2020-03-13,96.68000030517578
2019-10-10,96.05000305175781
2020-03-16,97.05999755859375
2020-06-03,97.93000030517578
2018-11-28,96.79000091552734
2018-09-25,96.86000061035156
2018-07-23,95.54000091552734
2018-08-24,96.80000305175781
2019-07-10,96.91000366210938
2019-05-07,98.31999969482422
2019-04-05,99.43000030517578
2019-03-04,99.81999969482422
2019-01-31,100.87999725341797
2019-09-12,101.38999938964844
2019-12-31,102.56999969482422
2020-03-19,102.52999877929688
2020-01-03,102.87000274658203
2020-06-09,102.83999633789062
2019-02-15,103.61000061035156
2019-01-14,105.55000305175781
2018-07-06,105.95999908447266
2018-08-07,105.69000244140625
2018-10-10,107.58999633789062
2018-12-13,109.18000030517578
2019-08-26,109.11000061035156
2019-07-25,109.9000015258789
2019-05-22,110.80999755859375
2019-03-19,109.63999938964844
2020-01-06,109.80000305175781
2020-03-25,109.16000366210938
2020-06-12,108.77999877929688
2019-10-22,109.1500015258789
2020-01-09,108.51000213623047
2020-06-15,108.33000183105469
2019-10-25,107.80000305175781
2020-03-31,106.8499984741211
2020-06-18,105.94000244140625
2019-04-03,106.36000061035156
2018-08-22,106.72000122070312
2018-10-25,107.16999816894531
2019-01-29,107.0999984741211
2018-12-28,107.05000305175781
2018-11-26,107.30999755859375
2019-08-09,107.20999908447266
2019-07-08,107.25
