Dates,HD
2018-06-20,49.42197799682617
2018-06-21,49.36354064941406
2018-06-25,49.30511474609375
2018-06-22,50.22052001953125
2018-06-26,50.337379455566406
2018-06-27,50.91194152832031
2018-06-28,51.778648376464844
2018-06-29,51.76890563964844
2018-07-02,51.55466842651367
2018-07-03,51.885772705078125
2018-07-05,52.888824462890625
2018-07-16,53.22966384887695
2018-09-18,52.051326751708984
2019-01-24,53.04462814331055
2019-09-05,53.22966384887695
2018-11-21,53.49259948730469
2020-01-13,54.42747497558594
2020-04-01,53.43416213989258
2020-06-19,53.33677673339844
2019-10-29,52.38243103027344
2020-01-16,52.72327423095703
2020-06-22,53.541290283203125
2018-10-03,53.33677673339844
2018-07-31,53.23939895629883
2019-03-12,53.51206970214844
2019-02-08,53.86265563964844
2019-01-07,53.911338806152344
2018-12-06,53.84317398071289
2019-08-19,54.43721389770508
2019-07-18,53.70684051513672
2019-05-15,55.303924560546875
2019-09-20,55.673973083496094
2019-11-01,55.956390380859375
2020-04-07,54.99229049682617
2020-06-25,54.476165771484375
2020-06-16,54.115848541259766
2019-11-04,54.281402587890625
2020-01-22,54.42747497558594
2019-11-07,54.20995330810547
2020-04-13,54.806312561035156
2019-07-01,55.57863998413086
2019-05-30,55.87193298339844
2018-08-15,56.3411979675293
2018-10-18,55.519981384277344
2019-03-27,55.0995979309082
2019-01-22,55.256019592285156
2018-12-21,55.07027053833008
2019-09-03,54.943180084228516
2018-11-19,55.187583923339844
2019-08-02,55.23646926879883
2020-01-28,55.1191520690918
2020-04-16,55.31467819213867
2019-11-13,55.216915130615234
2020-01-31,56.409637451171875
2018-12-04,56.82024383544922
2018-11-02,57.37749099731445
2019-07-16,57.17218780517578
2018-08-30,57.6805534362793
2018-10-01,58.100948333740234
2019-06-14,58.12049865722656
2019-05-13,58.218257904052734
2019-04-11,58.46266555786133
2019-02-06,58.38446044921875
2019-09-18,57.67078399658203
2020-02-03,58.32579803466797
2020-04-22,58.697303771972656
2019-11-19,57.7783203125
2020-02-06,57.69033432006836
2019-11-22,58.071617126464844
2019-03-25,57.573020935058594
2019-02-21,58.04228973388672
2018-12-19,58.218257904052734
2018-07-12,58.79506301879883
2018-09-14,57.76854705810547
2018-08-13,56.99620819091797
2018-10-16,57.866310119628906
2019-07-31,58.46266555786133
2019-05-28,58.09116744995117
2019-04-26,54.70854187011719
2020-04-28,53.642921447753906
2019-11-25,54.81608581542969
2020-02-12,55.77416229248047
2020-05-01,57.20151901245117
2020-05-04,57.20151901245117
2019-06-12,57.74899673461914
2019-04-09,58.98081588745117
2019-03-08,58.550655364990234
2019-02-04,58.13026809692383
2018-07-27,58.579986572265625
2018-08-28,57.95429992675781
2019-01-03,56.73225402832031
2019-08-15,57.5632438659668
2018-10-31,58.883052825927734
2019-09-16,58.04228973388672
2020-02-18,63.41929244995117
2020-05-07,64.58267211914062
2018-08-17,65.10082244873047
2019-12-04,66.36198425292969
2020-02-21,64.63156127929688
2018-12-17,62.989131927490234
2019-08-30,64.0840835571289
2018-11-15,64.5337905883789
2019-07-29,64.07430267333984
2019-06-27,64.22879791259766
2019-04-24,64.55248260498047
2018-07-10,64.15031433105469
2018-09-12,63.58140563964844
2019-02-19,63.189048767089844
2019-01-18,64.27783966064453
2020-02-24,64.68000793457031
2020-05-13,64.38573455810547
2019-12-10,64.9448471069336
2020-02-27,65.08216857910156
2019-12-13,64.69963073730469
2020-05-19,64.92522430419922
2019-03-06,65.14102172851562
2018-11-30,65.327392578125
2019-08-13,65.44509887695312
2019-07-12,65.53337860107422
2019-06-10,65.30778503417969
2019-05-09,67.0929946899414
2018-07-25,66.54369354248047
2018-09-27,67.85809326171875
2018-10-29,67.41670227050781
2019-10-16,64.21897888183594
2019-12-16,64.26802825927734
2020-03-04,63.52256393432617
2020-05-22,63.424468994140625
2019-10-01,63.65988540649414
2019-12-19,61.462684631347656
2018-09-10,63.620643615722656
2019-05-24,64.45439910888672
2018-08-09,64.4936294555664
2019-04-22,64.50344848632812
2019-03-21,63.1988639831543
2019-01-16,63.06153106689453
2019-08-28,63.81681823730469
2018-11-13,64.62115478515625
2018-10-12,64.4642105102539
2019-06-25,64.56229400634766
2020-03-10,65.74917602539062
2020-05-28,65.86688995361328
2019-10-07,65.41567993164062
2020-03-13,66.09248352050781
2019-10-10,66.08268737792969
2020-03-16,66.102294921875
2020-06-03,67.05376434326172
2018-11-28,64.9742660522461
2018-09-25,64.25822448730469
2018-07-23,63.07134246826172
2018-08-24,62.374908447265625
2019-07-10,62.404335021972656
2019-05-07,62.5024299621582
2019-04-05,61.99236297607422
2019-03-04,63.375423431396484
2019-01-31,63.434268951416016
2019-09-12,64.12090301513672
2019-12-31,59.304718017578125
2020-03-19,61.58038330078125
2020-01-03,61.38420867919922
2020-06-09,62.12968444824219
2019-02-15,62.95363235473633
2019-01-14,62.92421340942383
2018-07-06,63.58140563964844
2018-08-07,63.34270477294922
2018-10-10,63.67738342285156
2018-12-13,63.94316101074219
2019-08-26,63.923465728759766
2019-07-25,65.11453247070312
2019-05-22,65.24249267578125
2019-03-19,64.27783203125
2020-01-06,64.57312774658203
2020-03-25,64.7109375
2020-06-12,64.77001190185547
2019-10-22,64.55345916748047
2020-01-09,64.85858917236328
2020-06-15,64.6026611328125
