Dates,HD
2018-08-28,2084500.0
2019-01-03,1637100.0
2019-08-15,2493700.0
2018-10-31,1872000.0
2019-09-16,3903700.0
2020-02-18,5564500.0
2020-05-07,3833900.0
2018-08-17,2962900.0
2019-12-04,2634700.0
2020-02-21,3254400.0
2018-12-17,5571500.0
2019-08-30,2491800.0
2018-11-15,1864200.0
2019-07-29,1595300.0
2019-06-27,1196900.0
2019-04-24,1164800.0
2018-07-10,1501800.0
2018-09-12,1619400.0
2019-02-19,2192200.0
2019-01-18,1822000.0
2020-02-24,744900.0
2020-05-13,1771600.0
2019-12-10,1170100.0
2020-02-27,1606300.0
2019-12-13,1806000.0
2020-05-19,4142800.0
2019-03-06,1839800.0
2018-11-30,1714900.0
2019-08-13,2026400.0
2019-07-12,1380900.0
2019-06-10,1566600.0
2019-05-09,2090400.0
2018-07-25,1724500.0
2018-09-27,1848400.0
2018-10-29,1733900.0
2019-10-16,2241100.0
2019-12-16,2607000.0
2020-03-04,1699000.0
2020-05-22,1596500.0
2019-10-01,3856600.0
2019-12-19,1092400.0
2018-09-10,1510000.0
2019-05-24,2013600.0
2018-08-09,1239700.0
2019-04-22,1815700.0
2019-03-21,1943400.0
2019-01-16,1518400.0
2019-08-28,1676900.0
2018-11-13,1896900.0
2018-10-12,2363700.0
2019-06-25,2770100.0
2020-03-10,1717100.0
2020-05-28,1091800.0
2019-10-07,1941700.0
2020-03-13,1463500.0
2019-10-10,1526200.0
2020-03-16,1717200.0
2020-06-03,1906500.0
2018-11-28,2001800.0
2018-09-25,3460900.0
2018-07-23,5222600.0
2018-08-24,2803400.0
2019-07-10,1591000.0
2019-05-07,1437900.0
2019-04-05,2352600.0
2019-03-04,3716500.0
2019-01-31,2005000.0
2019-09-12,2197400.0
2019-12-31,7547100.0
2020-03-19,4122200.0
2020-01-03,2073500.0
2020-06-09,2084800.0
2019-02-15,2013000.0
2019-01-14,1581100.0
2018-07-06,2083000.0
2018-08-07,1302900.0
2018-10-10,1537500.0
2018-12-13,1608900.0
2019-08-26,1683300.0
2019-07-25,1739200.0
2019-05-22,1751500.0
2019-03-19,1443200.0
2020-01-06,1040000.0
2020-03-25,1449000.0
2020-06-12,2402300.0
2019-10-22,1340800.0
2020-01-09,1247700.0
2020-06-15,1060300.0
2019-10-25,1497000.0
2020-03-31,948300.0
2020-06-18,829300.0
2019-04-03,829700.0
2018-08-22,1152200.0
2018-10-25,1175200.0
2019-01-29,759300.0
2018-12-28,1625800.0
2018-11-26,771800.0
2019-08-09,1126200.0
2019-07-08,1906600.0
2019-06-06,1204800.0
2019-09-10,1379800.0
2020-01-15,1310100.0
2020-04-03,1546400.0
2019-10-31,1811500.0
2020-04-06,3256400.0
2020-06-24,2659200.0
2018-11-09,1983500.0
2019-07-23,1983200.0
2019-06-21,1400100.0
2019-05-20,1845900.0
2019-04-18,933700.0
2018-09-06,1127000.0
2018-10-08,1168700.0
2019-02-13,976900.0
2018-12-11,1114100.0
2019-09-25,710500.0
2020-01-21,1061300.0
2020-04-09,1005800.0
2019-11-06,1166500.0
2020-01-24,1356000.0
2020-01-27,878800.0
2020-04-15,1018800.0
2018-12-26,1773300.0
2019-08-07,969500.0
2019-06-04,912700.0
2018-09-21,860000.0
2018-07-19,1366600.0
2018-08-20,1733900.0
2018-10-23,1597900.0
2019-05-03,928800.0
2019-04-01,1792600.0
2019-02-28,1348500.0
2019-11-12,1045500.0
2020-01-30,991100.0
2019-11-15,1153600.0
2020-04-21,1645700.0
2019-04-16,2182700.0
2019-03-15,2496800.0
2019-02-11,1106600.0
2019-01-10,796400.0
2019-08-22,801900.0
2018-11-07,1192700.0
2018-08-03,830900.0
2018-09-04,1011800.0
2019-06-19,719100.0
2019-09-23,2211100.0
2019-11-18,961500.0
2020-02-05,949600.0
2020-04-24,1363900.0
2019-03-29,1117200.0
2019-11-21,1454900.0
2020-04-27,1230100.0
2020-02-11,1597000.0
2020-04-30,1687700.0
2019-05-01,812800.0
2019-02-26,1250600.0
2019-01-25,915400.0
2018-12-24,836800.0
2019-09-06,1081100.0
2018-07-17,1156600.0
2018-09-19,1685900.0
2019-08-05,1389700.0
2019-10-08,1519400.0
2019-12-11,1539200.0
2019-11-27,1349600.0
2020-02-14,1187700.0
2020-05-06,2207900.0
2019-01-08,1572500.0
2018-12-07,2034300.0
2019-08-20,1627400.0
2018-11-05,1270900.0
2019-07-19,1465300.0
2018-10-04,698500.0
2019-06-17,1008700.0
2019-05-16,2292000.0
2018-08-01,1687800.0
2019-03-13,1224700.0
2019-12-03,1096800.0
2020-02-20,822700.0
2019-12-06,1011400.0
2020-05-12,820500.0
2019-12-09,1620200.0
2020-02-26,1211700.0
2020-05-15,744400.0
2019-03-28,806300.0
2018-09-17,1053900.0
2018-08-16,1075800.0
2018-10-19,755200.0
2019-04-29,773200.0
2019-01-23,1540200.0
2019-09-04,1728800.0
2018-11-20,1815700.0
2019-07-02,1204300.0
2019-05-31,2071600.0
2019-12-12,1564300.0
2020-05-18,1223400.0
2019-09-27,1074700.0
2020-03-03,1171200.0
