Dates,COTY
2018-06-20,14.539999961853027
2018-06-21,14.390000343322754
2018-06-25,14.539999961853027
2018-06-22,14.649999618530273
2018-06-26,14.510000228881836
2018-06-27,14.520000457763672
2018-06-28,14.130000114440918
2018-06-29,13.979999542236328
2018-07-02,14.050000190734863
2018-07-03,13.90999984741211
2018-07-05,14.0
2018-07-16,14.100000381469727
2018-09-18,14.1899995803833
2019-01-24,14.140000343322754
2019-09-05,14.420000076293945
2018-11-21,14.069999694824219
2020-01-13,14.069999694824219
2020-04-01,14.1899995803833
2020-06-19,14.229999542236328
2019-10-29,14.149999618530273
2020-01-16,13.8100004196167
2020-06-22,13.800000190734863
2018-10-03,13.880000114440918
2018-07-31,13.899999618530273
2019-03-12,13.609999656677246
2019-02-08,13.59000015258789
2019-01-07,13.359999656677246
2018-12-06,13.399999618530273
2019-08-19,13.5
2019-07-18,13.3100004196167
2019-05-15,13.34000015258789
2019-09-20,13.600000381469727
2019-11-01,13.899999618530273
2020-04-07,13.600000381469727
2020-06-25,13.5
2020-06-16,13.300000190734863
2019-11-04,12.40999984741211
2020-01-22,12.029999732971191
2019-11-07,11.770000457763672
2020-04-13,11.890000343322754
2019-07-01,10.819999694824219
2019-05-30,11.510000228881836
2018-08-15,12.199999809265137
2018-10-18,11.729999542236328
2019-03-27,11.550000190734863
2019-01-22,11.649999618530273
2018-12-21,11.670000076293945
2019-09-03,12.020000457763672
2018-11-19,12.979999542236328
2019-08-02,12.890000343322754
2020-01-28,12.829999923706055
2020-04-16,12.65999984741211
2019-11-13,12.239999771118164
2020-01-31,12.050000190734863
2018-12-04,12.229999542236328
2018-11-02,12.319999694824219
2019-07-16,12.4399995803833
2018-08-30,12.039999961853027
2018-10-01,11.989999771118164
2019-06-14,12.399999618530273
2019-05-13,12.300000190734863
2019-04-11,11.920000076293945
2019-02-06,12.329999923706055
2019-09-18,12.609999656677246
2020-02-03,12.680000305175781
2020-04-22,12.989999771118164
2019-11-19,12.979999542236328
2020-02-06,13.029999732971191
2019-11-22,12.739999771118164
2019-03-25,12.609999656677246
2019-02-21,12.520000457763672
2018-12-19,12.630000114440918
2018-07-12,12.600000381469727
2018-09-14,12.8100004196167
2018-08-13,12.359999656677246
2018-10-16,11.430000305175781
2019-07-31,11.579999923706055
2019-05-28,11.920000076293945
2019-04-26,11.59000015258789
2020-04-28,11.449999809265137
2019-11-25,11.260000228881836
2020-02-12,11.029999732971191
2020-05-01,11.130000114440918
2020-05-04,11.199999809265137
2019-06-12,11.109999656677246
2019-04-09,10.930000305175781
2019-03-08,10.539999961853027
2019-02-04,10.470000267028809
2018-07-27,10.59000015258789
2018-08-28,10.390000343322754
2019-01-03,10.25
2019-08-15,10.0600004196167
2018-10-31,9.880000114440918
2019-09-16,10.329999923706055
2020-02-18,10.59000015258789
2020-05-07,10.949999809265137
2018-08-17,10.989999771118164
2019-12-04,11.119999885559082
2020-02-21,9.520000457763672
2018-12-17,8.720000267028809
2019-08-30,8.369999885559082
2018-11-15,8.630000114440918
2019-07-29,8.670000076293945
2019-06-27,8.220000267028809
2019-04-24,8.710000038146973
2018-07-10,8.720000267028809
2018-09-12,9.380000114440918
2019-02-19,9.0
2019-01-18,8.670000076293945
2020-02-24,8.710000038146973
2020-05-13,8.600000381469727
2019-12-10,8.680000305175781
2020-02-27,8.5600004196167
2019-12-13,8.420000076293945
2020-05-19,8.5
2019-03-06,8.4399995803833
2018-11-30,8.5
2019-08-13,7.840000152587891
2019-07-12,7.659999847412109
2019-06-10,7.480000019073486
2019-05-09,7.670000076293945
2018-07-25,7.670000076293945
2018-09-27,7.739999771118164
2018-10-29,7.550000190734863
2019-10-16,7.309999942779541
2019-12-16,7.110000133514404
2020-03-04,7.110000133514404
2020-05-22,6.900000095367432
2019-10-01,6.5
2019-12-19,6.150000095367432
2018-09-10,6.130000114440918
2019-05-24,6.409999847412109
2018-08-09,6.409999847412109
2019-04-22,6.5
2019-03-21,6.460000038146973
2019-01-16,6.900000095367432
2019-08-28,6.840000152587891
2018-11-13,7.139999866485596
2018-10-12,7.769999980926514
2019-06-25,7.579999923706055
2020-03-10,7.289999961853027
2020-05-28,7.199999809265137
2019-10-07,7.210000038146973
2020-03-13,7.190000057220459
2019-10-10,7.289999961853027
2020-03-16,7.150000095367432
2020-06-03,7.480000019073486
2018-11-28,7.550000190734863
2018-09-25,7.269999980926514
2018-07-23,7.320000171661377
2018-08-24,6.989999771118164
2019-07-10,7.269999980926514
2019-05-07,7.369999885559082
2019-04-05,7.260000228881836
2019-03-04,7.210000038146973
2019-01-31,7.75
2019-09-12,7.599999904632568
2019-12-31,7.760000228881836
2020-03-19,7.820000171661377
2020-01-03,7.340000152587891
2020-06-09,8.760000228881836
2019-02-15,9.300000190734863
2019-01-14,11.300000190734863
2018-07-06,10.970000267028809
2018-08-07,11.100000381469727
2018-10-10,11.119999885559082
2018-12-13,11.029999732971191
2019-08-26,10.989999771118164
2019-07-25,11.130000114440918
2019-05-22,11.079999923706055
2019-03-19,11.3100004196167
2020-01-06,11.170000076293945
2020-03-25,11.050000190734863
2020-06-12,11.09000015258789
2019-10-22,11.079999923706055
2020-01-09,11.130000114440918
2020-06-15,11.15999984741211
2019-10-25,11.029999732971191
2020-03-31,10.979999542236328
2020-06-18,10.850000381469727
2019-04-03,10.989999771118164
2018-08-22,10.920000076293945
2018-10-25,10.899999618530273
2019-01-29,10.979999542236328
2018-12-28,11.029999732971191
2018-11-26,11.149999618530273
2019-08-09,11.34000015258789
2019-07-08,11.479999542236328
