Dates,COTY
2018-06-20,14.270000457763672
2018-06-21,14.279999732971191
2018-06-25,14.380000114440918
2018-06-22,14.460000038146973
2018-06-26,14.170000076293945
2018-06-27,14.109999656677246
2018-06-28,13.789999961853027
2018-06-29,13.8100004196167
2018-07-02,13.529999732971191
2018-07-03,13.760000228881836
2018-07-05,13.960000038146973
2018-07-16,14.020000457763672
2018-09-18,13.979999542236328
2019-01-24,14.09000015258789
2019-09-05,13.970000267028809
2018-11-21,14.029999732971191
2020-01-13,14.0
2020-04-01,14.020000457763672
2020-06-19,14.210000038146973
2019-10-29,13.510000228881836
2020-01-16,13.6899995803833
2020-06-22,13.649999618530273
2018-10-03,13.869999885559082
2018-07-31,13.420000076293945
2019-03-12,13.25
2019-02-08,13.430000305175781
2019-01-07,13.3100004196167
2018-12-06,13.289999961853027
2019-08-19,13.40999984741211
2019-07-18,13.260000228881836
2019-05-15,13.229999542236328
2019-09-20,13.550000190734863
2019-11-01,13.550000190734863
2020-04-07,13.350000381469727
2020-06-25,13.279999732971191
2020-06-16,12.020000457763672
2019-11-04,12.039999961853027
2020-01-22,11.319999694824219
2019-11-07,11.619999885559082
2020-04-13,11.199999809265137
2019-07-01,10.729999542236328
2019-05-30,11.510000228881836
2018-08-15,12.119999885559082
2018-10-18,10.970000267028809
2019-03-27,11.390000343322754
2019-01-22,11.399999618530273
2018-12-21,11.640000343322754
2019-09-03,11.979999542236328
2018-11-19,12.710000038146973
2019-08-02,12.6899995803833
2020-01-28,12.699999809265137
2020-04-16,12.010000228881836
2019-11-13,12.039999961853027
2020-01-31,11.9399995803833
2018-12-04,12.100000381469727
2018-11-02,12.130000114440918
2019-07-16,12.100000381469727
2018-08-30,11.829999923706055
2018-10-01,11.970000267028809
2019-06-14,12.270000457763672
2019-05-13,11.869999885559082
2019-04-11,11.859999656677246
2019-02-06,12.180000305175781
2019-09-18,12.5
2020-02-03,12.539999961853027
2020-04-22,12.699999809265137
2019-11-19,12.5600004196167
2020-02-06,12.729999542236328
2019-11-22,12.529999732971191
2019-03-25,12.449999809265137
2019-02-21,12.380000114440918
2018-12-19,12.380000114440918
2018-07-12,12.550000190734863
2018-09-14,12.4399995803833
2018-08-13,11.420000076293945
2018-10-16,11.34000015258789
2019-07-31,11.569999694824219
2019-05-28,11.75
2019-04-26,11.4399995803833
2020-04-28,11.119999885559082
2019-11-25,10.880000114440918
2020-02-12,11.029999732971191
2020-05-01,11.020000457763672
2020-05-04,11.079999923706055
2019-06-12,10.760000228881836
2019-04-09,10.489999771118164
2019-03-08,10.40999984741211
2019-02-04,10.380000114440918
2018-07-27,10.34000015258789
2018-08-28,10.329999923706055
2019-01-03,9.890000343322754
2019-08-15,9.6899995803833
2018-10-31,9.779999732971191
2019-09-16,10.149999618530273
2020-02-18,10.479999542236328
2020-05-07,10.699999809265137
2018-08-17,10.84000015258789
2019-12-04,10.949999809265137
2020-02-21,8.359999656677246
2018-12-17,8.289999961853027
2019-08-30,8.350000381469727
2018-11-15,8.520000457763672
2019-07-29,8.149999618530273
2019-06-27,8.199999809265137
2019-04-24,8.600000381469727
2018-07-10,8.710000038146973
2018-09-12,9.109999656677246
2019-02-19,8.600000381469727
2019-01-18,8.600000381469727
2020-02-24,8.420000076293945
2020-05-13,8.5600004196167
2019-12-10,8.489999771118164
2020-02-27,8.489999771118164
2019-12-13,8.40999984741211
2020-05-19,8.260000228881836
2019-03-06,8.359999656677246
2018-11-30,7.909999847412109
2019-08-13,7.550000190734863
2019-07-12,7.440000057220459
2019-06-10,7.369999885559082
2019-05-09,7.460000038146973
2018-07-25,7.670000076293945
2018-09-27,7.579999923706055
2018-10-29,7.289999961853027
2019-10-16,6.96999979019165
2019-12-16,7.019999980926514
2020-03-04,6.900000095367432
2020-05-22,6.380000114440918
2019-10-01,6.119999885559082
2019-12-19,6.0
2018-09-10,5.909999847412109
2019-05-24,6.03000020980835
2018-08-09,6.409999847412109
2019-04-22,6.389999866485596
2019-03-21,6.289999961853027
2019-01-16,6.71999979019165
2019-08-28,6.809999942779541
2018-11-13,7.059999942779541
2018-10-12,7.369999885559082
2019-06-25,7.309999942779541
2020-03-10,7.159999847412109
2020-05-28,7.179999828338623
2019-10-07,7.110000133514404
2020-03-13,7.170000076293945
2019-10-10,7.110000133514404
2020-03-16,7.110000133514404
2020-06-03,7.460000038146973
2018-11-28,7.210000038146973
2018-09-25,7.159999847412109
2018-07-23,6.900000095367432
2018-08-24,6.989999771118164
2019-07-10,7.159999847412109
2019-05-07,7.199999809265137
2019-04-05,7.119999885559082
2019-03-04,7.190000057220459
2019-01-31,7.46999979019165
2019-09-12,7.510000228881836
2019-12-31,7.670000076293945
2020-03-19,7.420000076293945
2020-01-03,7.059999942779541
2020-06-09,8.5
2019-02-15,9.239999771118164
2019-01-14,10.84000015258789
2018-07-06,10.880000114440918
2018-08-07,10.979999542236328
2018-10-10,10.979999542236328
2018-12-13,10.869999885559082
2019-08-26,10.970000267028809
2019-07-25,11.039999961853027
2019-05-22,10.979999542236328
2019-03-19,10.989999771118164
2020-01-06,11.15999984741211
2020-03-25,10.920000076293945
2020-06-12,10.949999809265137
2019-10-22,10.989999771118164
2020-01-09,11.079999923706055
2020-06-15,11.010000228881836
2019-10-25,10.949999809265137
2020-03-31,10.779999732971191
2020-06-18,10.8100004196167
2019-04-03,10.899999618530273
2018-08-22,10.880000114440918
2018-10-25,10.890000343322754
2019-01-29,10.949999809265137
2018-12-28,10.84000015258789
2018-11-26,11.039999961853027
2019-08-09,11.279999732971191
2019-07-08,11.350000381469727
2019-06-06,11.270000457763672
2019-09-10,11.199999809265137
2020-01-15,11.170000076293945
2020-04-03,11.229999542236328
2019-10-31,11.220000267028809
2020-04-06,11.390000343322754
2020-06-24,11.369999885559082
2018-11-09,11.220000267028809
2019-07-23,11.130000114440918
2019-06-21,11.15999984741211
2019-05-20,11.130000114440918
2019-04-18,11.229999542236328
2018-09-06,11.239999771118164
2018-10-08,11.1899995803833
2019-02-13,11.079999923706055
2018-12-11,11.130000114440918
2019-09-25,11.079999923706055
2020-01-21,11.069999694824219
2020-04-09,11.09000015258789
2019-11-06,11.130000114440918
2020-01-24,11.180000305175781
2020-01-27,11.180000305175781
2020-04-15,11.210000038146973
2018-12-26,11.09000015258789
2019-08-07,11.079999923706055
2019-06-04,11.140000343322754
2018-09-21,10.739999771118164
2018-07-19,10.720000267028809
2018-08-20,10.739999771118164
2018-10-23,10.760000228881836
2019-05-03,10.890000343322754
2019-04-01,11.170000076293945
2019-02-28,11.75
2019-11-12,11.149999618530273
2020-01-30,11.210000038146973
2019-11-15,11.479999542236328
2020-04-21,11.319999694824219
2019-04-16,11.800000190734863
2019-03-15,12.15999984741211
2019-02-11,13.100000381469727
2019-01-10,13.180000305175781
2019-08-22,13.199999809265137
2018-11-07,13.359999656677246
2018-08-03,12.729999542236328
2018-09-04,12.890000343322754
2019-06-19,12.90999984741211
2019-09-23,13.010000228881836
2019-11-18,12.5
2020-02-05,12.489999771118164
2020-04-24,12.1899995803833
2019-03-29,12.220000267028809
2019-11-21,12.670000076293945
2020-04-27,12.760000228881836
2020-02-11,12.970000267028809
2020-04-30,13.4399995803833
2019-05-01,13.420000076293945
2019-02-26,13.3100004196167
2019-01-25,13.3100004196167
2018-12-24,13.25
2019-09-06,13.479999542236328
2018-07-17,13.539999961853027
2018-09-19,13.59000015258789
2019-08-05,13.420000076293945
2019-10-08,13.420000076293945
2019-12-11,13.010000228881836
2019-11-27,12.9399995803833
2020-02-14,12.930000305175781
2020-05-06,13.010000228881836
2019-01-08,13.029999732971191
2018-12-07,13.119999885559082
2019-08-20,10.859999656677246
2018-11-05,11.100000381469727
2019-07-19,11.529999732971191
2018-10-04,11.260000228881836
2019-06-17,11.3100004196167
2019-05-16,11.239999771118164
2018-08-01,11.229999542236328
2019-03-13,11.1899995803833
2019-12-03,11.029999732971191
2020-02-20,11.050000190734863
2019-12-06,11.069999694824219
2020-05-12,10.989999771118164
2019-12-09,10.9399995803833
2020-02-26,11.0
2020-05-15,10.920000076293945
2019-03-28,10.850000381469727
2018-09-17,10.869999885559082
2018-08-16,10.949999809265137
2018-10-19,10.890000343322754
2019-04-29,10.949999809265137
2019-01-23,11.0
2019-09-04,10.739999771118164
2018-11-20,10.84000015258789
2019-07-02,10.59000015258789
2019-05-31,10.119999885559082
2019-12-12,10.029999732971191
2020-05-18,10.109999656677246
2019-09-27,10.40999984741211
2020-03-03,10.15999984741211
2020-05-21,9.829999923706055
2019-05-14,9.670000076293945
2018-08-31,9.289999961853027
2018-07-30,9.0
2018-10-02,8.960000038146973
2019-04-12,9.15999984741211
2019-03-11,8.710000038146973
2019-02-07,8.770000457763672
2019-07-17,8.850000381469727
2019-09-19,8.609999656677246
2019-10-21,8.699999809265137
2019-12-18,8.75
2020-03-06,9.020000457763672
2019-10-03,9.170000076293945
2020-03-09,9.4399995803833
2020-05-27,9.069999694824219
2019-12-24,9.010000228881836
2020-03-12,9.579999923706055
2018-12-20,9.75
2019-08-01,9.979999542236328
2018-08-14,10.180000305175781
2018-07-13,10.350000381469727
2018-10-17,10.510000228881836
2019-05-29,10.569999694824219
2019-03-26,10.550000190734863
2019-02-22,10.460000038146973
2019-10-04,10.359999656677246
2019-11-05,10.170000076293945
2019-12-27,10.140000343322754
2020-06-02,10.0
2019-12-30,10.319999694824219
2020-03-18,10.40999984741211
2020-06-05,10.329999923706055
2019-07-15,10.369999885559082
2018-12-03,10.359999656677246
2019-06-13,10.289999961853027
2019-01-04,10.029999732971191
2018-08-29,9.850000381469727
2019-02-05,10.180000305175781
2018-11-01,10.3100004196167
2019-08-16,10.079999923706055
2019-04-10,10.0
2019-09-17,10.010000228881836
2019-10-15,10.09000015258789
2020-01-02,10.569999694824219
2020-06-08,10.359999656677246
2019-10-18,10.279999732971191
2020-03-24,10.15999984741211
2020-06-11,10.0600004196167
2020-01-08,10.699999809265137
2019-04-25,11.399999618530273
2019-07-30,11.680000305175781
2019-02-20,11.65999984741211
2018-07-11,11.529999732971191
2018-09-13,11.699999809265137
2018-10-15,11.5600004196167
2019-06-28,11.550000190734863
2018-12-18,11.5
2018-11-16,11.5
2019-10-02,11.4399995803833
2020-03-27,11.399999618530273
2020-01-10,11.390000343322754
2019-10-24,12.8100004196167
2020-03-30,12.789999961853027
2020-06-17,12.34000015258789
2020-01-14,12.319999694824219
2020-04-02,12.170000076293945
2019-01-02,12.170000076293945
2019-08-14,11.779999732971191
2018-10-30,11.859999656677246
2019-06-11,11.930000305175781
2019-05-10,11.90999984741211
2019-04-08,11.760000228881836
2018-08-27,11.529999732971191
2018-07-26,11.420000076293945
2018-09-28,11.479999542236328
2019-03-07,11.520000457763672
2019-10-30,11.520000457763672
2020-01-17,11.300000190734863
2020-06-23,11.319999694824219
2020-04-08,11.550000190734863
2020-06-26,11.5600004196167
2019-03-22,11.850000381469727
2019-01-17,11.699999809265137
2019-08-29,11.479999542236328
2018-11-14,11.5
2019-06-26,11.420000076293945
2018-09-11,11.069999694824219
2018-07-09,10.869999885559082
2018-08-10,10.90999984741211
2019-04-23,10.989999771118164
2019-09-30,11.149999618530273
2020-01-23,11.449999809265137
2019-11-08,10.9399995803833
2020-04-14,10.90999984741211
2019-11-11,10.890000343322754
2020-01-29,10.739999771118164
2020-04-17,10.859999656677246
2018-07-24,11.0
2018-09-26,10.9399995803833
2019-05-08,10.899999618530273
2019-03-05,10.760000228881836
2019-02-01,10.710000038146973
2018-12-31,10.390000343322754
2018-11-29,10.390000343322754
2019-08-12,10.5600004196167
2019-07-11,10.359999656677246
2019-09-13,10.289999961853027
2019-11-14,10.739999771118164
2020-04-20,11.3100004196167
2020-02-04,10.930000305175781
2020-04-23,10.640000343322754
2018-12-14,10.649999618530273
2019-08-27,10.529999732971191
2018-08-08,10.449999809265137
2018-10-11,10.050000190734863
2018-11-12,10.170000076293945
2019-07-26,10.399999618530273
2019-06-24,10.069999694824219
2019-05-23,10.210000038146973
2019-03-20,10.239999771118164
2019-01-15,10.569999694824219
2019-11-20,11.640000343322754
2020-02-07,12.069999694824219
2020-02-10,11.779999732971191
2020-04-29,11.899999618530273
2019-11-26,11.880000114440918
2020-02-13,11.739999771118164
2019-01-30,11.529999732971191
2018-08-23,11.270000457763672
2018-09-24,11.430000305175781
2018-11-27,11.420000076293945
2018-10-26,11.319999694824219
2019-07-09,11.170000076293945
2019-06-07,10.649999618530273
2019-05-06,10.329999923706055
2019-04-04,10.020000457763672
2019-09-11,9.5
2019-11-29,9.140000343322754
2020-05-05,8.899999618530273
2019-12-02,8.819999694824219
2020-02-19,8.84000015258789
2020-05-08,8.789999961853027
2019-05-21,8.5
2019-03-18,7.650000095367432
2018-09-07,7.510000228881836
2018-08-06,7.409999847412109
2018-10-09,6.019999980926514
2019-02-14,6.769999980926514
2018-12-12,5.869999885559082
2019-07-24,4.96999979019165
2019-09-26,3.0199999809265137
2019-10-28,3.369999885559082
2019-12-05,3.799999952316284
2020-05-11,4.380000114440918
2019-07-03,5.010000228881836
2020-02-25,4.610000133514404
2020-05-14,5.400000095367432
2020-02-28,5.909999847412109
2019-08-08,5.170000076293945
2019-06-05,5.050000190734863
2018-07-20,4.440000057220459
2018-08-21,4.269999980926514
2018-10-24,4.300000190734863
2019-04-02,4.820000171661377
2019-03-01,5.440000057220459
2019-01-28,5.679999828338623
2018-12-27,5.96999979019165
2019-09-09,5.510000228881836
2020-03-02,5.860000133514404
2020-05-20,5.610000133514404
2019-12-17,5.519999980926514
2020-03-05,5.590000152587891
2019-02-12,5.329999923706055
2019-01-11,5.320000171661377
2018-12-10,5.360000133514404
2019-08-23,5.5
2018-11-08,5.920000076293945
2019-07-22,5.389999866485596
2019-06-20,5.539999961853027
2018-09-05,5.289999961853027
2019-04-17,5.21999979019165
2019-09-24,5.099999904632568
2019-12-20,4.860000133514404
2020-05-26,5.199999809265137
2019-04-30,4.869999885559082
2019-12-23,4.889999866485596
2020-03-11,5.019999980926514
2020-05-29,4.760000228881836
2019-12-26,4.309999942779541
2020-06-01,3.5999999046325684
2019-05-02,3.2699999809265137
2019-02-27,3.2200000286102295
2018-11-23,3.3399999141693115
2019-08-06,3.240000009536743
2018-07-18,3.1600000858306885
2018-09-20,3.25
